star_point,comment,photo
5,"아이맥 사면서 같이 왔던 매직키보드 1세대 고장으로 구입했습니다. 1세대보다 좋아진 점이 많네요.
1. 키보드 크기는 작아졌지만 키 간격은 넓어져서 타이핑이 편해졌습니다.
2. 라이트닝 케이블로 충전 가능. 매번 건전지 사서 교체하는 것도 일이고, 교체 간격이 생각보다 빨라서 버리는 건전지가 수두룩 했거든요(전용 수거함에 버리지만 양심이...) 맥 본체에 연결하거나 아이폰 충전기로 충전해서 쓰니 너무 마음이 편하네요. 가장 마음에 드는 개선점입니다. 매직 마우스 아직 1세대 쓰는데 고장나면 바로 충전되는 2세대로 바꾸고 싶어요.
3. 한/영 변환키. 1세대에는 없었죠. 단축키를 외워놔서 불편하진 않았지만 있으니 반갑네요.
4. 그밖에 1세대에는 커맨드만 있었지만 2세대는 컨트롤 옵션 커맨드 위 모두 기호표시, 전원 버튼, 타이핑 소음 감소가 개선되었습니다.",['https://phinf.pstatic.net/checkout/20201113_157/1605199240237UTsJ7_JPEG/review-attachment-cb413bcc-e46c-4247-83d4-e16441ffbef6.jpeg?type=f287']
5,"배송이 미친듯이 느렸습니다. (발송 후 5일소요) ㅠㅠ

상품박스가 다 찌그러져 왔길래 설마했지만,
공홈답게 내부는 뽁뽁이 포장 잘 해주셨음.

배송 느린것 이해할 수 있는게 10월제조품이란 것.

빠릿빠릿한 연결성에 금새 기분이 좋아집니다.","['https://phinf.pstatic.net/checkout/20201106_189/1604665723562TaR3M_PNG/review-attachment-14c687e2-fd8c-40aa-b9d3-0bc4e53cfcbe.png?type=f287', 'https://phinf.pstatic.net/checkout/20201106_160/1604665723378yab6f_JPEG/review-attachment-94c0f72d-59d2-4e5f-8482-7290ea2bfacb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_46/1604665723541FPFA3_JPEG/review-attachment-b9c3ba76-9b1c-4567-834c-517b7673743b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_85/1604665724213kTt17_JPEG/review-attachment-bef80ed0-7254-44d4-a550-0b2cd27de4b7.jpeg?type=f287']"
5,"애플에서 블루투스로 연동해서 사용하라고
만든 제품이라 그런 지,
블루투스 연동이 깔끔하게 잘 되고,
처음에 배터리 충전이 90% 이상
되어있는 상태로 와서 바로 작업할 수 있었습니다
택배상자는 좀 훼손이 되어있었지만,
애플 답게 깔끔한 포장과
:)","['https://phinf.pstatic.net/checkout/20200930_16/1601461979499QlT63_JPEG/review-attachment-fbb3db3f-cc94-470b-a8b5-81fa4e0d52fc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200930_86/1601461977535OFIVo_JPEG/review-attachment-7a6819e7-de35-45f4-a110-ee6cb1745712.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200930_112/1601461977414tSYQP_JPEG/review-attachment-1e9fb7aa-67e8-4fab-8a56-e569a5c80386.jpeg?type=f287']"
5,"케이블과 마우스는 추가하지 않고 키보드만 주문하였습니다. 지역이 충남이어서 이틀은 걸리지 않을까? 라고 생각했지만, 수요일 오전에 주문하였는데 목요일 1시경에 도착하였습니다. 배송 진짜 빨라서 너무 좋습니다. 박스와 함께 주셔서 정말 좋았고 키감이 생각한 것보다 좋습니다. 맥북을 올려놓고 쓰시는 분이라면 제격인 것 같습니다. 다만 윈도우에서 사용하실 분들은 윈도우 자체에서 키 설정을 따로 해줘 합니다. 싸고 배송이 빨라서 너무 좋고 잘 사용하겠습니다. 감사합니다.","['https://phinf.pstatic.net/checkout/20200910_281/1599736002824y21Va_JPEG/review-attachment-7caa90c5-67d3-4d05-bb66-1033fb314fd2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200910_136/1599736002622Xe8Et_JPEG/review-attachment-2b3f2d03-5382-4ce9-904f-215a5cc46248.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200910_191/1599735994274S7vhu_JPEG/review-attachment-56826d2c-8a94-4b77-8e46-2f877bd355df.jpeg?type=f287']"
5,택배 배송도 빠르고 포장도 잘 되어있었습니다 :) 새제품이나 마찬가지인거같아요 제품도 깨끗하고 바로 아이패드랑 연결했더니 키보드 자판도 열심히 두드려 봤는데 👍 마우스 인식도 잘 되어서 놀라웁웁 너무 좋았어요 가격 저렴하게 잘 산거같아요 추천입니다🙂,"['https://phinf.pstatic.net/checkout/20200917_205/1600353565397QFtPX_JPEG/review-attachment-7eb65fdb-aa6b-4833-9292-c44beba80a8b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_53/1600353565384SsDEH_JPEG/review-attachment-852ef4e4-d4f6-4ebe-ae59-bf7e68648551.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_197/16003535656496HP1g_JPEG/review-attachment-868d17ba-2e34-4c0e-9b92-ad0a68948dc4.jpeg?type=f287']"
5,맥북하고 아이패드 다 쓰는데 거벼운 키보드가 필요해서 별거 다 샀는데 한번도 만족을 못했어요. 기왕 애플 쓰니까 폴딩 안되더 걍 사자하고 샀는데 신세계ㅠㅠ 너무 가볍고 감도 좋고 예뻐요 깜빡잊고 커버 주문 못해서 너무 슬픔 ㅠㅠ,"['https://phinf.pstatic.net/checkout/20201004_97/1601781111433xpP3C_JPEG/review-attachment-44bea1fc-e51b-442b-9728-1d0368d640e0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201004_120/1601781127071WmV79_JPEG/review-attachment-d2862ca9-47e1-4c00-b83e-8612e6330aa3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201004_64/1601781143138lO1d4_JPEG/review-attachment-2cc3f06a-09f9-4747-9ec2-c808aaf70cea.jpeg?type=f287']"
5,"배송이 무지 빠릅니다.
가격이 부담돼서 저가 제품으로 사야 하나 고민했는데, 오래 쓸 생각해서 이걸로 결정했습니다.
받아서 사용해보니 고민할 필요가 없었네요..
블루투스 연결도 빠르게 되고, 가볍고, 키감도 우수합니다.
지금은 카페에 가지고 나와서 쓰고 있습니다. 그리 크지 않은 숄더백 안에 쏙 들어가네요.
많이 파십쇼.",['https://phinf.pstatic.net/checkout/20200910_218/15997057081416iTeI_JPEG/review-attachment-ddef069f-1480-47f7-935a-6f66552d13d2.jpeg?type=f287']
5,배송엄청 빨랐어요 상자에 잘 담겨져왔고 택배박스 외부에 구겨짐이 심해서 걱정하며 열어봤는데 뾱뾱이에 잘 싸주셨고 그 안에 상자는 멀쩡했어요 예전에 사용하던 모델보다 높낮이가 없어서 손목에 무리가 가는건 아닌지 좀 염려스럽지만 더 사용해보고 후기남길게요 ㅎㅎ,"['https://phinf.pstatic.net/checkout/20200912_136/1599903465838Rw0rN_JPEG/review-attachment-ee3d1f4e-5d06-477c-a64a-222ee9a220de.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_23/1599903467778ivxEt_JPEG/review-attachment-0f66d829-2098-4475-bc66-988a7498b07d.jpeg?type=f287']"
5,"최곱니다. 아이패드용으로 샀는데 가장 저렴한 가격에 초특급 배송 (오후3시쯤 결제했는데 다음날 받았습니다) 너무 감사합니다. 그리고 제조년월도 2020/3월이네요.
앞으로도 좋은 제품 많이 보여주세요~ 건강하세요. 아, 우리집 강아지도 마음에 든답니다^^","['https://phinf.pstatic.net/checkout/20200603_139/1591182691539rsDQ1_JPEG/D4B61BF2-09F7-4B5E-AB2C-F57B371A9F70.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_228/1591182695964dWcyh_JPEG/3C250A49-3FE6-45A6-9F9D-14F3A7739D31.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_37/1591182696414QnshF_JPEG/1FE3D58F-E965-456F-9775-3B72CFC09705.jpeg?type=f287']"
5,"포장도 잘 되어오고 저렴한 가격과 나름 빠른 배송 만족합니다 ㅎㅎ
아이패드 에어 전용 스마트 키보드는 키감이 너무 뻑뻑해서 굳이 별개의 키보드를 구매했는데 키감이 촤르르 거리고 아주 좋습니다 ㅎㅎ
한영키 눌러도 불이 안 들어오는 점이 좀 의문스럽고 배터리가 어느 정도 충전되어있는지 키보드로 확인할수 없어서 불편하지만 감수할 만 합니다 추천합니다!",['https://phinf.pstatic.net/checkout/20200905_91/1599283382377Jrk1B_JPEG/review-attachment-ee0a4fb1-0a0b-420f-b624-370feaa19f44.jpeg?type=f287']
