star_point,comment,photo
5,"한달사이 클래식 키보드 와 3.0s 두제품 모두 화이트 제품 흑축으로 사서 구매를 이제 당분간 안하려다 기다리던 이 제품이 출시되었는데 그동안 팔지않던 장패드의 유혹에 구매해버리고 말았네요
장패드 가격이 15,000원정도만 계산하더라도 이 제품은 혜자입니다
중국 제조가 살짝? 아쉽지만 뭔가 이번 제품은 클래식 키보드와 같이 만듬새가 슬로바키아 제조 느낌이 납니다
키감은 g80-3494 와 3.0s 중간 정도 느낌 입니다 g80 처럼 너무 부들거리지 않고 3.0처럼 너무 단단하지는 않고 중간느낌
G80보단 통울림은 적은 느낌인데 흡음작업과 스위치 윤활하면 사무용이나 타이핑 용으로 무보강 제품 구매 원하시는 분들은 추천드립니다
다만 손가락 압은 제법 느껴져 압 센거 싫어 하시는 분들은 적축으로 하시면 됩니다","['https://phinf.pstatic.net/checkout/20200925_151/1601024395136XWDpp_JPEG/review-attachment-68432552-a623-4e58-a9a1-f89cdfec77e0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200925_85/1601024422236gyJMw_JPEG/review-attachment-3de78388-c38d-46f4-9e2b-f73fdb74e77e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200925_151/1601024440581V9yxD_JPEG/review-attachment-5b9d2542-583a-47c0-8605-50719acdd214.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200925_285/16010244506685jxPz_JPEG/review-attachment-89aa8b23-16ec-43c9-b5ad-d0dca8a21b53.jpeg?type=f287']"
5,"일단 후기가 늦어서 죄송해요~
연휴로 배송이 늦어 오매불망 기다렸습니다.
너무너무 만족합니다. 포장도 에어캡으로 몇 겹으로 해주셨어요. 언 박싱하고 키를 누르는 순간 맑은 소리에 반해버렸어요 ㅎ
이전에 한고무(적축)을 나름 만족하며 사용하고 있었는데, 한고무는 키캡의 마감이 좀 아쉬웠는데, 우연히 검색을 하다가 체리에서 키보드가 새로 나왔다고 하여 검색하고 바로 질렀습니다. 예~~~!!
나사가 없고 무 보강이라는 것이 이렇게 매력적인지 처음 알았네요 ㅎㅎ
다음에는 클래식한 디자인으로 텐키리스가 나온다면 또!!! 바로 지를 것 같아요~

마지막으로 굳이 아쉬운 점을 찾아보자면... 케이블이 일체형이 것... 은 전혀 상관없고.. 음.... 키캡리무버가 없는 것과 브러시가 없는 것은... 음... 어차피 허접한 것 넣어주는 것 보다 안 주는 게 나은 것 같아요 허접한 것 받아봤자 쓰레기만 늘죠 뭐... ㅎㅎ
음.... 개인적으로 클래식 풀버전처럼 흰색?이 있었다면 아마도 100%로 흰색으로 구매했을 것 같아요 ㅎ 그리고 클래식 버전처럼 좀 더 둥글둥글하게 디자인되었다면 사이즈가 좀 커지긴 해도 정말 이쁠 것 같아요~ ㅎ
텐키리스가 클래식하게 나오길 기대하며 기다려 보렵니다~ 원래 mx를 사려고 벼르고 있었는데 참고 기다리길 참 잘했다 싶어요~
감사합니다.","['https://phinf.pstatic.net/checkout/20201015_226/16027640777792pYSp_JPEG/review-attachment-cd8c0b60-a0b8-4c8c-ade2-8bcc9d8a64a5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201015_3/1602764094424uxTAN_JPEG/review-attachment-e977f168-57f1-4db2-a970-5045c694c7ff.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201015_154/1602764086394dfBfB_JPEG/review-attachment-362adf88-cb15-4ad2-bf89-5f5b3c52cd50.jpeg?type=f287']"
5,"갈축이랑 같이 샀어요.
개인적으로 리니어를 그렇게 썩 좋아하진 않았는데, 카일박적 쓰고 나서 리니어에도 호감을 가지게 된 참에 무보강 적축은 어떤 느낌일까 궁금해서 갈축 사는 김에 같이 한 번 질러봤습니다ㅋㅋㅋ
무보강은 청축 아니면 적축 많이 추천하시던데, 타이핑을 좀 해보니까 추천 이유를 알 것 같습니다. 청축 무보강 써봤을 때랑 좀 비슷한 느낌인데 기존 키보드와는 다른 맛이 있어요. 이건 정말 개인적인 생각인데 무보강 키보드들은 타건 시 손가락이 생각했던 지점보다 더 들어가는 느낌이 나요.
청축은 기존 키보드보다 훨씬 부드럽게 느껴졌고, 타건음도 체리 청축으로 들어봤던 것중에서 가장 맑고 재잘대는 느낌이 나거든요. 적축의 경우는 좀 더 선명하게 도각도각 서걱서걱한다고 해야할지.. 거기에 쫄깃함도 훨씬 더 느껴지는 거 같고요. 심심하지 않아서 참 좋네요.
총평은 갈축 쪽에 적어놨으니까 여기서는 생략할게요.
그리고 마지막으로 화이트 버전도 꼭 들어오면 좋겠습니다. 청축은 화이트로 사고 싶어요.. 꼭..ㅠㅠ",['https://phinf.pstatic.net/checkout/20201112_74/1605166206335VJCIO_JPEG/review-attachment-a3e32785-1d04-45d5-9309-a1d69803a3bb.jpeg?type=f287']
5,"가성비가 좋은 괜찮은 키보드인 것 같습니다
방금 받고 타건해보았는데, 스테빌도 잘 잡혀있고, 전체적으로 다그닥다그닥거리는 키감이 만족스럽습니다
이전 3.0s는 체리키랑 좁은배열, 그리도 측각이 은근이 불편했는데 이건 클래식한데다 키감도 잘 살려서 추천할만한 키보드인것 같습니다
(참고로 전 적축 샀어요)

물론 3.0s랑 조금 다르긴한데, 그거 카건할때 만큼에 버금가게 낮은음으로 다그닥거리는게 매력적입니다.
경험상으로는 3.0s보다는 아주약간? 키압이 높은 느낌입니다
그래봤자 뭐 적축이긴한데, 이거 흑축사면 많이 무거울 수 도 있겠다는 생각이 듭니다.

그래도 체리사에서 직접만들어서 그런지, 축별로 다살까 싶은 생각이 들정도로 매력적인 키보드인것 같습니다.

윤활까지 하면...음 완벽해질 것 같네요",['https://phinf.pstatic.net/checkout/20200922_213/1600778612652gw5Wf_JPEG/review-attachment-9aabd673-6d7c-4c55-b0f8-d3d41a69b9ef.jpeg?type=f287']
5,"적축이랑 같이 샀어요.
무보강이라 그런지 갈축 오돌오돌한 키감이 다른 키보드보다 훨씬 더 잘 느껴지는 거 같아요. 파워 타건을 하면 갈/적 비슷비슷한 키감인데 무보강은 파워 타건을 해도 넌클릭 고유의 키감이 사는 거 같아요. 만족스럽습니다.
생각보다 훨씬 더 컴팩트하고, 스테빌도 아주 잘 잡혀 있네요. 타이핑을 좀 해봐야 알겠지만 지금 당장은 윤활하지 않고 순정으로 써볼 생각입니다.
키캡도 PBT라서 부들부들하니 . 옷 바꿔 입히려고 세팅까지 다 해놨는데 생각보다 키캡이 괜찮아서..ㅋㅋㅋ 오늘 하루는 일단 이대로 쓸까 망설여지네요..
단점이라고 하면 많은 분들이 말씀하시는 F1 옆에 체리키, 그리고 분리형 케이블이 아니라는 점 정도일까요.
가장 좋아하는 축은 청축인데, 체리 오리지널 클래식으로 청축을 가지고 있고.. 나중에 화이트 나오면(나오겠죠?ㅠㅠ) 사고 싶어서 이번에는 참았습니다..ㅠㅠ 화이트 꼭 나왔으면 좋겠네요ㅠㅠ! 제발!",['https://phinf.pstatic.net/checkout/20201112_112/1605165476683bSdva_JPEG/review-attachment-7d72178b-a718-48e1-885b-1719d51816ac.jpeg?type=f287']
5,"전에 5만원짜리 스카이디지탈 키보드를 썼습니다. AS를 두 번이나 보냈는데도 키가 씹히더군요... 그래서 근-본의 체리사 키보드를 한 번 사보자 해서 적축 입문용으로 하나 사봤는데 예상외로 너무 좋습니다. 청축이 그리워지면 어쩌나 했는데, 청축 생각이 안날 정도로 너무 좋습니다. 스페이스바 누를 때 통울림이 좀 있는 편이고, 그 외에는 소음도 적습니다. 너무 만족하면서 쓰고 있습니다.",['https://phinf.pstatic.net/checkout/20201014_213/16026655255498kO6c_JPEG/review-attachment-90d1fec1-6baf-4ada-a1f0-8356b975eb9e.jpeg?type=f287']
5,무보강을 좋아해서 개인적으로 기대를 갖고 구입했습니다. g80-3494를 써본적 있으신 분들은 비슷한 타건감이라고 생각하시면 될듯하구요. 3.0s랑 비교하면 3.0s가 좀더 단단한 느낌이라고 설명드리고 싶습니다. 부드러운 타건감을 원하시고 레트로함을 좋아하시면 아마 만족하실것 같습니다.,"['https://phinf.pstatic.net/checkout/20200919_195/1600518168673WDtA6_JPEG/review-attachment-d221b8ee-becf-4ab8-acd9-b7dccea55749.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200919_75/1600518168983W0o0p_JPEG/review-attachment-dde1e03a-d75d-4624-9ef3-65c25caf0d74.jpeg?type=f287']"
5,"키보드 : 스테빌도 제 기준에선 훌륭하고 키감도 정갈합니다. 무보강 갈축 첨 써보는데 타건해보고 감탄했네요. 키캡 퀄리티도 좋습니다. 한동안 다른 키보드 생각 안날것같습니다.

판매자 : 발송 빨랐고, 패키징 꼼꼼히 잘해주셨고
다른 스토어랑 다르게 포인트키캡을 같이 판매한다는 점에서 좋았습니다.
또 이용하고 싶은 곳이에요",['https://phinf.pstatic.net/checkout/20201022_254/1603354586837thrym_JPEG/review-attachment-eac1beca-57dc-4d23-9566-d28df4b097a7.jpeg?type=f287']
5,"체리 적축 처음 사용하는데요. 기대이상입니다. 도각도각? 하는 타건감입니다 정갈한 느낌이구요. 스프링 소리는 좀 아쉽지만ㅠ 디자인도 심플하고 텐키리스라 가벼워서 가장 많이 사용하게 될것같아요. 못받을줄 알았는데 장패드도 주셔서 너무 기쁩니다.
참고로 정품 스티커는 박스 앞에 있으니 따로 챙겨두세요",['https://phinf.pstatic.net/checkout/20201008_87/1602084261416fwf09_JPEG/review-attachment-c20a71b5-a7c0-4314-9f90-2f9e34d12650.jpeg?type=f287']
5,키감도 좋고 적축이라 손 피로도 덜하고 제품 자체도 단단하고 묵직해서 안정감이 좋습니다. 텐키리스는 처음 써보는데 가격도 저렴해서 입문자들이 사용하기 좋은거같아요 역시 키보드 명가 체리 키보드 답네요 로지텍 쓰다가 바꿧는데 너무 만족스럽습니다.,['https://phinf.pstatic.net/checkout/20201118_169/1605696166321iLtou_JPEG/review-attachment-7d4f0651-813a-4d4d-bb0d-ab0c241e7878.jpeg?type=f287']
