star_point,comment,photo
5,"키보드도 가볍고 깔끔하고 좋습니다.
USB선도 탈부착이 가능한점이 너무 좋은것같습니다.
높낮이 조절하는게 없지만 대신 프리미엄 키보드 받침대를 줘서
그걸로 조절할수 있어 좋았습니다.
하지만 받침대는 이벤트로 지급해주는것이다보니
이벤트가 끝났을시엔 따로 구매를 해야 한다는 점이 조금 아쉬운것같아요
청축인데도 그렇게 시끄럽지 않으며
입력도 부드럽고 좋습니다.
다만 체리 MX보드 전용 소프트웨어가 한글을 지원하지 않는다는게
다소 아쉽습니다.
그래도 기본적인 영어 실력을 갖고 있다면 사용하는데 어렵진 않을것 같네요
전적으로 마음에 듭니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_04_0/43897e94-a620-11ea-a4a6-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_04_0/64ae9a6a-a620-11ea-b233-48df37ae3fca_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200604_59/15912468030114ITmf_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200604_33/1591246803270qd6wY_JPEG/5.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200604_106/1591246803135etdi6_JPEG/3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200604_173/1591246803063pN4mY_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200604_300/1591246803305v6z9x_JPEG/6.jpg?type=f287']"
5,"그냥 데스크탑 샀을때 번들로 끼워져나오는 기본 키보드만 쓰다가, 우연찮게 키보드 스킨을 벗겨서 사용해봤는데 그 사운드가 더 크게 들리면서 저는 오히려 그게 더 괜찮더라구요 그래서 타건소리가 나는게 더 내 취향이라는걸 그 때 알아서 기계식 키보드에 관심가지게 됐어요 그래서 키보드 공부를 한 3주간 했는데 진짜 별의별 이쁜 키보드가 많더군요. 일단 혼자 컴퓨터를 하며 작업하고 제 개인취향상 타건소리가 큰게 좋았고 손가락이 두껍고 쎄게치는거 좋아해서 흑축, 청축중에 고민하다가 소리가 더 영롱하고 청량한 청축을 선택하게됐죠 체리키보드는 워낙 유명해서 조금만 검색해봐도 아실거고, 일단 타건감이 너무 좋아요 게다가 타건음도 너무 내 취향이라 역시 고르고 고른거라 성공한 것 같네요.
백라이트 불빛도 제가 알아본것중에는 제일 고급지고 부드럽고 밝았어요. 게임을 안하기 때문에 각종 편의기능은 필요없어서 기본 키보드 기능에 충실하면서 타건느낌과 타건음, 그리고 RGB에 집중해서 골랐고 제일 만족합니다. 문서작업시에도 전혀 이상없고요. 참고로 제 이전 기본 번들로 왔던 키보드랑 사운드 비교해보니 역시 비교불가더라구요. 그것도 괜찮았는데 이 키보드 타건음과 비교가 안될정도에요 그만큼 타건. 마세라티가 시동소리 엔진소리도 전문가에게 맡겨서 만든다던데 이게 키보드계의 마세라티? 여턴 그만큼 사운드는 만족하구요. 단 저처럼 혼자 컴퓨터하는 사람들만 가능할듯. 왜냐면 이게 사무실에서 쓰기엔 꽤 시끄러울테니깐요. 남이 내는 소리는 소음이잖아요.
그리고 스페이스 바 부분이 약간 둥굴게 마감되어 있어서 손가락을 배려하는 디자인이라 세심한 것 같습니다.
키보드 크기에 따라 타건음이 다른것도 재밌구요 ㅋ 개인적으로는 기본 키인 제일작은 키를 칠때의 사운드가
제일 좋습니다. 제일작은키가 제일 많으니 행복하네요 ~
혼자 하는 작업에 이뿐 빽라이트 효과와 손끝에서 물방울이 부셔지는 듯한 타건느낌, 그리고 경쾌한 타건음까지.
작업에 재미를 더해주네요 왜 이제서야 기계식 키보드를 알았는지 ~ 흐뭇합니다. 매일 혼자 일해서 외로웠는데
친구가 생긴 느낌~ 이 키보드와 작업하면서 돈도 더 벌고 쉬는 시간에도 더 재밌게 쉴수 있을 듯 합니다 :)",[]
5,"기계식 키보드는 처음 사보는데, 아주 만족했습니다. 배송은 월요일에 주문이 들어가서 수요일에 도착했습니다. 화이트 색상에 갈축 주문했습니다. 마감과 품질이 상당히 좋습니다. 타건감이 매우 훌륭합니다 그리고 소음이 생각보다 크지 않습니다 걱정하지 마세요. 제가 손이 큰편은 아닌데 키보드가 거추장 스럽지 않습니다. 그리고 이 제품의 꽃이라고 할 수 있는 RGB는 정말 화려합니다. 압도적인 컬러 구현과 세세한 커스텀까지 가능합니다. 체리 감성 인정입니다.","['https://phinf.pstatic.net/checkout/20200916_236/1600231508253jtVxH_JPEG/review-attachment-56f13c77-aec2-4d34-90b5-fa81d5e95b32.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_91/1600231508115mgCiF_JPEG/review-attachment-f29061e0-34f4-48fc-8a41-f210a2eba5b6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_255/1600231510696TkUqr_JPEG/review-attachment-ad9d501a-8117-42ba-a590-fdef439fae2d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_298/1600231512070HLy9o_JPEG/review-attachment-1fef1d9b-89d0-4f2d-b851-7877c16765f9.jpeg?type=f287']"
5,"택배 휴무랑 임시공휴일이 있어서 물량이 많아서 그런지 배송은 발송하고 다다음날 받았어요.

신랑 선물로 사줬는데 너무 맘에 들어해서 좋아요. RGB 불 들어오는게 넘 예쁘다고 하네요.
제가 봐도 화이트랑 라이트 컬러가 너무 상큼하게 잘 어울려요.
알루미늄 소재랑 화이트도 깔끔하게 잘 어울리구요!

저는 레오폴드 갈축 사용 중인데요, 레오폴드 보단 좀 더 눌렀을 때 쫀득한 느낌이라고 할까요?

타자 소음은 사무실에서 괜찮을 정도에요!
그래서 소음 때문에 고민하시는 분들은 MX 3.0 완전 추천 드려요!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_21_0/b7543e27-e333-11ea-8a69-505dac8c38f5_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200821_47/1597962159794W1hDm_JPEG/review-attachment-def3b76d-dce6-4537-81a0-4c537d9b4ade.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200821_95/1597962160088uUQfs_JPEG/review-attachment-4ef9c03a-0979-4254-af1a-974de97a69b8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200821_278/1597962160498TyDrH_JPEG/review-attachment-885ce525-3141-43f7-83e6-563d797b2a95.jpeg?type=f287']"
3,"좋은 키보드라고 하기에 구입 해봤는데 가격에 비해서는 글쎄요...
우선 외관은 깔끔한 느낌을 받았고 구성품은 너무도 초라하다. 제일 중요한 것은 박스 오른쪽 모서리 부분이 찍혀 불안했는데 아니나 다를까 q w 키는 스프링 소리가 들리고 tab capslock shift키에서는 통울림이 있다. 키 압력도 고르지 않고(주로 오른쪽 가장자리 키들의 키압이 너무 가볍다) 내가 불량 상품을 받았을 수도 있다는 것은 알지만 5만원이 안되는 콕스 텐키리스(모델명은 생략) 검빨 색상의 키보드가 가성비만 보았을때 더 좋은 제품이라 생각(개인주관)합니다.","['https://phinf.pstatic.net/checkout/20200917_196/1600352701574XEBsh_JPEG/review-attachment-808a5093-d127-4e1f-be65-c4f3c460e1d7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_48/16003527016944RjBH_JPEG/review-attachment-ea6af4ff-e875-42f9-8999-861f73c979b0.jpeg?type=f287']"
5,"타건감이나 성능은 잘 알려져 있어 말할 것도 없습니다. 대만족입니다.
rgb 백라이트가 정말 영롱하네요. 최대밝기가 조금만 더 밝았으면 더 좋았겠지만 형광등 조명 아래서도 꽤 잘 보여서 좋습니다.
키캡은 알리에서 푸딩키보드를 사서 갈아꼈는데 자판들이 예쁜 불빛 위에 떠있는 것처럼 보여 더 좋네요.
기본으로 넣어 주신 높이조절 고무랑 청축스위치 액세서리도 잘 쓰고 있습니다.
아쉬운 점은 손목받침대와 키보드 커버입니다.
앞선 판매처에선 손목받침대도 함께 줬는데 이번엔 없는게 조금 아쉽네요.
키보드 커버도 독자적 배열을 채택한 이 키보드 특성상 전용 커버를 제공하거나 함께 판매하면 더 좋을 것 같습니다. 호환 제품을 찾기는 쉽잖네요.
그리고 체리 중국 홈피에서 체리 소프트웨어를 설치했는데 저만 그런지 키보드를 찾을 수 없다고 나옵니다. 그 외엔 모두 만족스럽습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_21_0/e8970158-9b0a-11ea-bad7-a0369ff952f4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200521_92/1590028223361UM7xr_JPEG/image.jpg?type=f287']"
1,"상품은 안전하고 빠르게 왔습니다.
근데 1점도 안주고 싶어요.
고객응대도 잘못됬구요.

스테빌라이저는 소리가 문제가 없구요.
양 끝쪽 키들 여러개가 스프링 소리 통울림이 심하다고 문의를 남겼는데 ,
처음에 불량이라고 제가 말한부분이 없는데 답변에서는 '통상적으로 통울림 같은 감성클레임의 경우 불량으로 판정짓기 어렵다'는 식으로 말하며 서비스센터 번호를 준 것도 그렇네요. 뭐 싸우자는것도 아니고 ,어찌됬든 상품의 문제치고는 가격이 비싸다고 생각해요 . 이런 걸 판매자 분께서는 감성클레임이라고 지칭하는것 같네요

그래서 연락해보니 통울림이라는 말에 스테빌라이저를 얘기 하시며, 윤활제를 바르라고 하셨고, 제가 그건 문제가 없다고 다른 키라고 말하니 키보드를 보내주시면 (수리)된다고 하셨지만 소리는 다시 고쳐도 어쩔수 없다고 답변 하시며 결국 제 목적은 이렇게 안하려고 이 키보드를 상세페이지 꼼꼼히봐가면서 산건데 그런 말도 없었고 엄청 비싼건 아니지만 키보드치고 나름 가격대 있다고 느끼는데, 뭐 여기서는(a/s센터) 해결이 안된다고 해도 상세페이지에는 통울림이 있다는것을 명시 해놓은 것도 아니고 처음 쓰거나 받아보는 사람들은 아무것도 모르지 않을까요?

이 돈주고 걸 받을 바에 다른 가성비 좋은 키보드 사는게 낫다고 생각하구요 다시는 여기서 뭐 비슷한거라도 재구매 예정 없을 것 같습니다.

참고로 받으시고 2주 안에 보내주셔야 배송비가 안든답니다. 단, 여기 스토어팜이 아니라 수리센터에서요~",['https://phinf.pstatic.net/checkout/20201116_148/1605508480041s7Ss1_JPEG/review-attachment-2067c5ae-0f80-458a-9fcd-100bdf49d425.jpeg?type=f287']
5,"제품에 하자 없이 잘 왔어요!! 생각한 대로 이쁘고 좋아요 :)
배송도 아주 빠른 편이었고, 구성도 잘 챙겨주셨어요!
성능은 역시 체리답게 믿고 쓸 수 있고 조명도 예뻐요~
추가로 주문한 케이블도 함께 와서 좋아요!!
케이블이나 고무패드 추가 주문을 원하는 분들이 있을 텐데 키보드 주문 페이지에서 추가 옵션으로 선택이 가능하면 더 좋을 것 같아요!!","['https://phinf.pstatic.net/checkout/20200613_43/15920052733771d1Rf_JPEG/3F90CB82-B35C-4607-9DE1-67C99756CB9F.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200613_234/1592005275633KEHF7_JPEG/6E9DD588-54F0-491C-B1FF-76D8B799A8C4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200613_21/1592005273327i0JEA_JPEG/530B111B-806C-4D28-8498-BA6AE09C26F8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200613_25/1592005326665fcIEF_JPEG/11618FFD-8AAA-4063-85B5-9839CC841AFB.jpeg?type=f287']"
5,"명불허전이네요. 작년 블랙모델 출시 이벤트 놓치고 여러 키보드로 방황하다 정착했는데 매우 만족스럽네요. 가족들과 같이 사용하다보니 이전 모델처럼 측각이나 LED미지원되는 점이 구매를 망설였던 이유였지만, 백색+LED지원 모델이라 망설임없이 구입했습니다.
FN키를 이용한 다양한 추가기능 지원도 좋고 무엇보다 키감이 지금까지 써봤던 모델 중에 발군입니다. 너무 좋네요. 강추합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_09_0/879f2423-aa5f-11ea-8788-505dac8c3607_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200609_98/1591713741980Fhyy6_JPEG/20200609_223352.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200609_111/1591713760453vM3Pi_JPEG/20200609_223849.jpg?type=f287']"
4,"금요일 주문 토요일 받음

처음 입문할때 갈축을 쓰다가 적축으로 바꿨음

적축 쓰면서 불편한 점이 키압이 너무 낮아서 키보드에 손 올려놓고 나도 모르게 키보드를 누른적이 많았음

타자 칠때는 편했으나 게임 같은거 하다보면 키압 때문에 불편한 적이 꽤 있었음

결국 나한테 맞는건 갈축이라고 생각해서 적축 봉인하고 갈축으로 구매함

기존 제품이 검은색에 LED 없는 제품이라 심심해서 이번에 RGB 있는 제품으로 구매

그런데 기존 제품보다 키 배열이 너무 붙어 있음

특히 F1이나 F2 누를때 기존 키보드는 ESC 랑 떨어져 있어서 눈으로 안봐도 입력실수가 없었는데 이 키보드는 ESC~F4까지 붙어 있어서 눈으로 안보면 F1,F2 누를때 잘못 누르는 경우가 많았음

점점 익숙해지면 괜찮아지겠지만 ESC 옆에 체리모양 키는 왜 있는지 잘 모르겠음...

차라리 그 키를 빼고 공간확보를 했으면 좀더 좋지 않았을까 생각함

그래도 다양한 LED 패턴 변경으로 이쁘기도 하고 만족함 흰색이 진리임",[]
5,어우 진짜... 품절 풀릴 때까지 기다리고 기다렸는데 너무 예뻐요... 특히 rgb 제 스타일대로 꾸미는 맛이 너무 쏠쏠해요 ㅠㅠㅠ 진짜 그냥 키보드가 너무 예뻐요 rgb때문에 다른 키보드 고민하다 이거 샀는데 절대 후회없어요 다들 꼭 소프트웨어 다운 받으셔서 rgb 설정 해보세요!!!!!,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_03_0/fa0ce83a-bd29-11ea-a1d5-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200703_48/1593779923555YuOeL_JPEG/review-attachment-861e23a3-b25d-43cc-b2c1-cdf9f583136e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200703_277/15937798029065P2ym_JPEG/review-attachment-e44897f8-ca67-4156-ae65-9c6f40f7684d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200703_24/1593779803093TkwWA_JPEG/review-attachment-341cf27a-30b5-45b1-b751-5ab3e71899b8.jpeg?type=f287']"
5,"기계식 키보드를 처음 사보게 되면서 내구성 등 오랫동안 사용할 목적으로 가격비교 사이트에서 고민하다가 리뷰글에서 장단점을 확인해 전에 쓴 노트북의 펜타그래프 키보드랑 가장 적합해보이는 이 제품의 적축으로 선택했습니다.
바로 꺼내자마자 타자연습으로 문장을 치면서 위치, 키압때문에 적응이 필요하긴 하지만 개인적으로 오타율이 전보다 몇%낮아서 빠르게 적응할 수 있을 거라 생각합니다.
RGB 스타일도 맘에 들어서 아직은 극 초기이지만 오래쓰실 분들한테는 이 키보드를 추천드립니다.",['https://phinf.pstatic.net/checkout/20200910_134/1599698728547wyANC_JPEG/review-attachment-d26cd359-1470-49d4-88a4-447735d3acae.jpeg?type=f287']
