star_point,comment,photo
5,"키보드에 대한 별 생각 없이 기본으로 주어지거나 마트에서 구입한 저렴이 키보드들만 사용하다가 너무 더러워서 교체 결심한 후 좀 좋은 제품을 사용하고 싶어 조사를 시작했습니다. 키보드의 세계는 넓고도 깊더군요. 기계식 키보드로 결심하고 며칠을 유투브 리뷰와 네이버 쇼핑 리뷰들을 찾아보며 헤메다 이 제품, 체리 MX Board 3.0S 갈축으로 결정했습니다. 금요일 오전에 주문했더니 토요일에 도착했습니다.

설치하니 알루미늄 하판 덕분인지 묵직합니다. 타이핑을 해보니 오우 키감이 매우 좋습니다. 유투브와 각종 리뷰의 극찬이 사실입니다. 경쾌한 소리가 너무 매력적이어서 계속 타이핑하고 싶어져요.

보통 키보드와 달리 타이트하게 꽉 차있는 구성, 그리고 측각 때문에 디자인적으로 세련되어 보이기는 하지만 사용하는데 적응기간은 좀 필요한 것 같습니다.

기계식 키보드에 처음 입문하는데 좋은 녀석을 만난 것 같아 기분 좋습니다.","['https://phinf.pstatic.net/checkout/20200830_55/1598739618021pvdme_JPEG/review-attachment-e96e1867-eb7d-4172-8259-1d9ca5a5d7a5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200830_154/1598739617784FrUJw_JPEG/review-attachment-98d4bcbd-9e2d-4011-bc4d-27c34dccfd16.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200830_227/15987396147456fm1d_JPEG/review-attachment-888d60d5-b379-4b36-96b3-5812e3236103.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200830_262/1598739614383ysJ4e_JPEG/review-attachment-14446c49-6f2e-415e-a21d-98e420d9aa47.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200830_198/1598739616895jYuLB_JPEG/review-attachment-dd62b1be-1831-4c37-a867-c66506639b22.jpeg?type=f287']"
5,"확실히 갈축이 가벼우면서도 그 특유의 초콜릿 부러트리는 맛이 있네요.
근데 개인적으로는 흑축을 사용하던 입장으로는 타감이 조금 심심한 느낌이 있어요. 다만 이 사각사각 거리는 느낌은 묘하게 듣기 좋네요.
그리고 중요한거... 스테빌라이저 엄청잘되있습니다. 철심소리가 아예 나질 않아요. 이전에 쓰던건 몬스터기어 커스텀 모델이여서 풀윤활하고 구리스칠까지 했었는데요. 그것보다도 스테빌라이저 철심소리가 안나네요.
rgb 필요없을 것 같아서 이모델로 샀는데 rgb있던거 쓰다가 없는거 쓰니 엄청 심심한 감이 있어요.
하나 크게 아쉬운건 키보드 키설정인거 같아요. 키설정의 한계가 명확합니다. 로지텍처럼 여러 키를 볶합적으로 설정해서 키를 커스텀할수가 없고 그냥 1차원적인 위치이동과 매크로만 가능해서 그다지 . 한계가 명확합니다.
그리고 이 키보드로 편집을 하시는 분이라면 좋은건 텐키 위에 미디어 제어키가 위치하고 있어요. 이건 진짜 칭찬을 아끼고 싶지가 않네요.
마지막으로 모든걸 떠나서 애초에 스위치 하나만 보고 구매한거라 있습니다.","['https://phinf.pstatic.net/checkout/20200904_211/159919923611024WCD_JPEG/review-attachment-14818f76-5464-4485-a8f6-6c131a2f4a83.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200904_233/1599199236035JROTt_JPEG/review-attachment-4d5e909e-9086-4808-bd27-8a6d33874e71.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200904_155/1599199236176wd0yW_JPEG/review-attachment-5dfd026e-da6d-40f4-8846-90342e9cf5fb.jpeg?type=f287']"
3,"제품 자체는 만족스러웠습니다.
배송 상태도 매우 좋았습니다.

하지만 단점이 있습니다.
왠지 유선이 본체에 끼워져 왔더군요.
이렇게 선이 분리되는 제품은 본체에서 분리되어 포장되는데 말입니다.
거기서 불길한 느낌을 받았습니다.

느낌은 맞았고, 사진에 보이는 바와 같이.
누군가 뜯고서 다시 붙인 티가 나는 유선 포장이었습니다.
사진상에 잘 보이지 않지만, 손으로 상당히 만진 흔적이 있습니다.
(똑같은 제품의 포장입니다. 제가 한참을 썼는데도 이렇게 깨끗합니다.)

그래서 혹시나 반품 제품인가? 싶어 제품 봉인스티커를 봤습니다.
스티커가 두 장 붙어있습니다.
저기 살짝 뗀 것 아래 보면 스티커가 또 있습니다.
아래에 보면 스티커 테두리 원이 두 개로 보이기도 합니다.

그래서 판매처에 전화를 해보니, 스티커는 해외에서 들어온 뒤 한국에서 붙인다고 합니다. 그런데 실수로 두 장을 붙인 것 같다고 합니다.

그리고 유선 포장은 왜 그런지 모르겠다고 하더군요.

답변이 이렇게 왔기에 그냥 믿고 쓰기로 했습니다.
하지만 찜찜한 느낌은 계속 맴도네요.
이것 때문에 혹시나 작동이 안되는 키가 있나 한참을 테스트 했습니다.","['https://phinf.pstatic.net/checkout/20201126_76/1606356443879t77B2_JPEG/review-attachment-ace1e632-adb9-46d5-a8c6-8357ad1874ea.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201126_203/1606356449953rgkpl_JPEG/review-attachment-be7d4b2a-5a20-4cb3-a96c-02b974c52add.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201126_275/1606356464175zv9Rc_JPEG/review-attachment-f57549e2-c002-4c97-a82b-30e9dbe2bf54.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201126_174/1606356469893HnBLd_JPEG/review-attachment-f718090c-b36a-420c-968e-112cb14a1914.jpeg?type=f287']"
1,"확실히 사각거리는 타건감은 좋은데 일단 화요일에 주문한 배송이 금요일에 왔다는거..그리고 왔을때 사진처럼 찌그러져 있는것을 더불어서 봉인라벨까지 멋대로 뜯어져 있었고 타건시 쇠통? 울림 같은게 엄청 크게들림.

전에 쓰던 4만원짜리 키보드에서도 가까이 들어야 조금씩 들리던 울림이 이 키보드는 그냥 지금 쓰고 있는 이 상태에서도 바로바로 들릴정도로 크게 들림 공식 정품사이트라길래 믿고 주문했는데 이렇게 통수맞을거라고 생각도 못했네요.

통울림이 거슬려서 이게 9만원짜리가 맞나 싶을정도네요.
다들 사시기전에 이글 한 번 확인하시고 사시길 바랍니다. 유튜브에서 그렇게 칭찬들 하길래 사봤는데 여지것 3만원 짜리 키보드에서도 느껴보지못한 쇠통울림이 들립니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_16_0/4aa35e04-0f76-11eb-b148-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201016_143/1602828617248yQw94_JPEG/review-attachment-e07b1fd4-2941-4e53-a4d7-4bbc393ecd0f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201016_41/1602828617254znqYu_JPEG/review-attachment-2bc3c36e-ca94-447f-8cb8-6a17415f9fc5.jpeg?type=f287']"
5,"와 마감 퀄리티랑 키감 실화인가요? ㄷㄷ
전에 앱x , 맥xx 2~3만원대 적축 키보드 사용중이었을때도 키감 괜찮네 하고 1년이상 잘 사용했었는데 체리mx 이녀석 사용하고나서 전에쓰던 키보드는 사용하기 힘들정도로 키감이 좋아요

물론 전에 썼던게 저가형 기계식이긴 했지만 키감이 이정도로 차이가 날 줄은 몰랐네요; 처음부터 이거 살걸 후회됩니다

비록 모두 저가형이지만 청 갈 적 흑 다 사용해본 사람인데 저에게 가장 잘 맞는축은 갈축이네요 정숙하며 심심하지 않고 키압도 너무 가볍지도 무겁지도 않고 저에게 완전 딱 맞아요 진심으로 이렇게 리뷰 길게 작성한거 처음입니다;; 키보드 정말좋네요

그냥 까만색 키보드임에도 불구하고 모던하고 엣지있게 생겼어요 측면 각인도 마음에 들구요

그런데 키 배열이 다닥다닥 붙어있어서 몇몇 분들이 오타가 잘 생긴다고 하던데 워낙 저가형 키보드 사용하다가 체리로 바꿔서 그런진 모르겠지만 저는 오타나 불편함 같은거 전혀 없이 너무 편하네요","['https://phinf.pstatic.net/checkout/20200721_4/1595337722077YVgDt_JPEG/review-attachment-a5ac515a-2319-47cc-a0e7-ec4da3e2a359.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200721_172/1595337727159EcoAT_JPEG/review-attachment-17ae26ed-41f7-4d65-a306-2bdb81ff08a4.jpeg?type=f287']"
1,박스가 재포장된 듯 송장이 앞 뒤로 붙여져 있었네요. 외부 박스야 비 오고 그랬으니 어느정도 이해가 갑니다만 내부에도 완충재 없이 덩그러니 있어 그런지 좀 훼손됐네요. 받침대는 동봉 되어있었습니다만 포인트 키캡은 보이질 않네요. 보통 리뷰를 남기지 않으나 충격 받아 남깁니다.,"['https://phinf.pstatic.net/checkout/20200909_102/1599649849297Yl9nW_JPEG/review-attachment-3645ff18-a309-48e6-9977-92329bbbf6f7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_38/1599649849318B1Ff4_JPEG/review-attachment-70ef4bcd-e35c-472d-ba8c-65a30886be3f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_177/15996498493722ctJm_JPEG/review-attachment-f4b646d7-7014-4bb3-9f2f-04b41bea0e71.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_122/1599649849425QAzil_JPEG/review-attachment-b0abae4a-c19a-437f-8d2f-0e6204e3abf5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_117/1599649850168o4kPM_JPEG/review-attachment-99ae3a30-cfe7-41d1-94ec-155d1fa01373.jpeg?type=f287']"
5,"그동안 쓰던 싸구려 키보드가 고장나서 사고 싶었던 키보드를 큰 맘 먹고 샀어요~
적축이냐 갈축이냐로 고민했는데 갈축이 품절이라 적축으로~~
갈축과 적축은 큰 차이는 없다고 하더라고요~
각인이 위가 아니라 앞면에 되어있어서 첨에 살짝 당황했는데 금방 적응했어요~묵직한 키감도 너무 좋고, 소리도 많이 크지 않아서 좋습니다~
그동안 다른 키보드 어떻게 썼지....ㅋㅋㅋ
근데 전 체리키캡은 못 받았어요 ㅜㅜ","['https://phinf.pstatic.net/checkout/20201009_268/1602218054712LDkMG_JPEG/review-attachment-2f1ff541-442f-473d-bca7-a3816a8f22f0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_233/1602218128412HueRw_JPEG/review-attachment-b42362b5-ee62-4795-be4a-b2121659af74.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_255/1602218159405jCkDn_JPEG/review-attachment-ad48bae2-2442-4a80-94df-80dc0129d65a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_170/1602218159386amjAn_JPEG/review-attachment-bac74922-95b5-4b24-ad69-4499ff538b0e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_202/16022182121922ctpY_JPEG/review-attachment-ba3a7ba8-7943-4942-b152-7dff0530d377.jpeg?type=f287']"
4,"배송이 코로나 때문에 하루 늦게 온것은 조금 아쉽지만 제품으로써는 정말 좋습니다. 저소음 적축이라 소리도 거의 안나요. 특히 스페이스바의 버튼은 보통의 키보드였다면 턱턱 스프링과 울림이 들려 거슬려야할텐데 이 제품은 소리도 거의 안들리고 좋아요

키스킨도 주니 먼지에 대한 부분도좋아요(키 덮게를 사용한다면 하단쪽의 글씨는 잘 안보일수있으니 주의해주세요.타자를 많이 사용하여 안봐도 되시는분들은 위에 덮어도상관없다고 생각합니다.)

만약에 키보드위에 글씨가 없는게 불편하시면 흰색모델이 더 좋을듯해요.

저같이 키보드 소리에 민감한 분들에게는 추천드립니다.","['https://phinf.pstatic.net/checkout/20201127_49/1606485603623ts8FT_JPEG/review-attachment-8c7e1322-b23c-4089-b272-e3030a694f89.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201127_294/1606485603602ChxSL_JPEG/review-attachment-e8ded5e7-9558-46ea-af29-6da9c23ec2bb.jpeg?type=f287']"
5,"쫀독한 타건감이 있네요!
가성비 괴물의 키보드라더니 진짜입니다 ㅎ
근데 왜 키를 뺄 수 있는 도구 없이 키만 덩그러니 보내주신건지 잘 모르겠습니다.. 그래서 지금 이쁜 빨간 체리 버튼 못 빼고 잇어요 혹여 키가 다칠까봐 힘으로 뽑지도 못하고 ㅠㅜㅜ","['https://phinf.pstatic.net/checkout/20201111_152/1605084192736ylart_JPEG/review-attachment-75051b9f-9629-4ecb-a51e-1d217b6f5eb9.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201111_98/1605084192624xIeVw_JPEG/review-attachment-fac3e725-cfa6-4a62-889a-9542391c8d10.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201111_124/1605084192722MbcBX_JPEG/review-attachment-69f02ee7-ca6e-436a-9f00-e96262fae842.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201111_265/1605084192825tmXfD_JPEG/review-attachment-ffc2eb5a-4f70-4a05-9957-64bba783fdad.jpg?type=f287']"
4,약 한달전 같은 제품(블랙) 주문했을때완 달리 이건 뭐 대충해서 보낸 느낌. 새거 주문해놓고 중고받은 기분이랄까? 포장박스에서부터 재활용한 분위기 팍팍. 테입은 덕지덕지. 내부에는 사은품 굴러다니고~ 박스 안쪽엔 다른제품 정품스티커가 두개나 붙어있음. 기분이 영 껄쩍지근합니다 그려.,"['https://phinf.pstatic.net/checkout/20201029_29/1603955957649mYX03_JPEG/review-attachment-1d1f6efb-4825-4da0-98a9-a2ee4f419ee1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201029_158/160395597445330HoM_JPEG/review-attachment-61d70ea8-2435-4796-9163-d08a62f577a0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201029_147/1603955984105922Nz_JPEG/review-attachment-7fc9e2dc-8a82-4929-9516-c03bc45d7c31.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201029_57/1603955990918V4RdL_JPEG/review-attachment-225a8bb8-824f-4141-bb16-c8318c834ccd.jpeg?type=f287']"
