star_point,comment,photo
5,"타브랜드인 친구 블루투스 키보드를 써보고 블투 키보드는 있으면 정말 편하겠다 싶어서 구매하려고 했는데 3~4만원대인게 부담스럽더라구요...ㅜ 그래서 찾아보던중에 만원 초반대의 저렴한 제품이 있어서 사볼까 고민하다가.. 싼게 비지떡이라고 두번 돈 쓰는 일이 생길까봐 정말 고민 많이 하고 샀는데 결론은 정말 잘 산거 같아요!!! 일주일째 써본 결과 타자밀림?이라고 하나요.. 그런건 전혀 없었고 일단 가벼워서 휴대하기가 좋고, 처음 한번 연결해놓으면 다음부터는 자동으로 바로바로 연결된다는 점이 좋았어요. 초반에는 오타가 자주 나고 쫌 더 꾹꾹 눌러야 제대로 쳐지긴 한데 3일정도 쓰다보니깐 익숙해지더라구요! 11인치 아이패드 파우치에 넣으면 들어는 가는데 지퍼가 잠기지 않는? 정도의 크기였어요. 고장이 잘나는지는 더 사용해봐야 알겠지만 지금은 후회 없이 잘 사용하고 있습니다! 너무 싼게 마음에 걸렸는데 가격이랑 상관없이 키보드 자체는 정말 마음에 들어요. 근데 타자 소리가 커서 전용 키스킨도 판매했으면.. 하는 개인적인 바람이...","['https://phinf.pstatic.net/checkout/20200707_168/1594084204118Pu3rp_JPEG/review-attachment-8877a073-2c14-4acd-9310-3f72d0e0ede4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200707_60/1594084229688cBB0K_JPEG/review-attachment-5e199b4e-539c-44a2-a4e0-ecce785202e0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200707_134/1594084243169rMX3n_JPEG/review-attachment-2faad341-31d1-4754-b7a7-6b98090fac25.jpeg?type=f287']"
5,"1. 무게
보통 아이패드랑 같이 들고 나가는데 아이패드만 들었다 싶을 정도로 무게감 거의 없어요

2. 크기
아래 첨부한 사진과 같아요, 참고로 아이패드는 에어 3세대 입니다!

3.
, 하지만 제가 코시 특유의 타자음을 좋아해서 그닥 신경은 안 쓰지만 독서실, 도서관, 열람실 같은 곳은 불가능할 것 같아요

4. 블루투스 연결
끊긴 적도 없고 정말 매끄럽게 잘 돼요. 연결도 쉽고요! 타사 제품도 두 개를 써 보긴 했는데 .

5. 디자인
것을 좋아하는데 코시가 딱 그래요, 정말 심플하고 깔끔함 그 자체랍니다

한/영 바꾸는 게 일반 키보드랑은 달라서 좀 불편하긴 한데 인간은 적응의 동물이라잖아요.. 불편한 게 뭐더라? 싶을 정도로 잘 쓰고 있답니다!
타사 제품 가격이 그리 비싼 건 아니지만 부담스럽다.
간단한 문서 작업을 하고 싶은데 태블릿으로 하고 싶을 때가 있다.
그냥 무선키보드 하나쯤 필요하다.
하시는 분들은 사 보셔도 좋을 것 같아요!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_18_0/48f9a173-28f5-11eb-9751-505dac8c381b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_70/1605631891142PDmyp_JPEG/review-attachment-ca4236c8-facd-4af0-965d-88db0219177d.jpeg?type=f287']"
4,"총평 나는 맘에든다. 그러나 배송이느렸다.
•배송
: 택배 배송이 조금 느려서 별하나 뺐음
•감동(?)
: 키보드에 건전지 안오는줄알고 건전지 구입해뒀는데 더 오래 쓸 수 있게 되었음:)
(적혀있는데 못본걸수도)
•포장
: 뽁뽁이× 그냥 옷구매할때 담겨오는 봉투에 키보드 박스채 들어있음
•연결
: 다른 리뷰에서 연결하기 힘들다고하는데 그냥 확인번호 꾹꾹 잘 눌러주면 한번에 연결가능하고, 다른 기기로 전환은 안할꺼여서 쓸 기계에 한 번 연결해두면 불편하진 않음, 가끔 자판칠때 버퍼링이 좀 있음
•키감
: 노트북 자판 치는 느낌 은근 fn키가 잘되어있음
•디자인
: 심플한거 좋아하는 나에게는 아주 맘에듬
•아쉬운점
: 마감상태(del키,날카로움, 키스킨 필요...)","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_05_0/b9f3ad37-ef53-11ea-8651-246e963a49a8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_35/1599295491090qE5WX_JPEG/review-attachment-977da263-c96f-4893-a4fb-e6d70b8737d9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_137/1599295506639rrNUq_JPEG/review-attachment-5df1737a-0e9f-4c70-8664-f71d60b54533.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_27/1599295519980H1cNw_JPEG/review-attachment-d052dbf8-042e-47c0-8723-e4e16f9bd851.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_68/1599295530121NCXOE_JPEG/review-attachment-6894cab8-39f2-4c56-975b-6dedc7cb7ead.jpeg?type=f287']"
5,"일단 배송 주문한지 하루만에 도착한 점 너무 좋습니다 ㅎㅎ배송상태는 아쉽게도 비닐에 싸여 오지만 그렇다해서 제품박스가 못쓰게 되거나 제품 자체에 결함이 있는 건 아니니 걱정마세요!
안에 AAA 건전지 두 개가 동봉되어 있어 받자마자 바로 사용 가능하구요. 페어링 방법도 동봉된 사용설명서에 따라 쉽게 할 수 있어 좋습니다.
아직 오래 써보진 않았지만 타감과 소리가 좋고, 유용한 기능도 많아 가성비는 이미 압도하는 수준이라고 생각됩니다.
저는 갤럭시 탭 s6 lite에 연결해쓰고 라이브워크 포켓v3파우치 11인치 파우치에 함께 넣어 가지고 다닐 예정인데 키보드 길이가 파우치에 꽉 맞는 사이즈지만 잘 잠깁니다!
어디까지 블루투스 연결이 되나 궁금해 다른 방에 가서도 시도해봤는데 약 4m 거리에서도 잘 되더라구요 ㅎㅎ그 이상은 가보진 않았지만 굳이 그렇게 멀리서 사용할 이유도 없을 것 같네요!
깔끔한 외관이 마음에 드는 제품입니다👍","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_09_0/749d16c6-91ed-11ea-b0ea-505dac8c3607_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200509_198/15890259569171DIoN_JPEG/20200509_195029.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200509_104/15890267943088ojaP_JPEG/20200509_204929.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200509_276/1589026802436QUDeu_JPEG/20200509_205242.jpg?type=f287']"
5,일단 가성비가 아주 좋아요 할인받아서 12000원 정도에 구입했어요 정말 가벼워서 들고 다니기에도 무리가 없어요 디자인도 심플한것이 애플 매직키보드 비슷하게 생겼어요. 타자소리가 그리 크지않아서 좋았구요. 하루정도만 사용해서 단점을 아직 모르겠지만 멀티 페어링은 되지않아요. 아이패드용으로 산거라 괜춘하고 로지텍 사려다가 가격이 계속오르길래 무겁기도 하다고 해서 그냥 가성비 택했어요. 하지만 여러분 이 가격은 12000원입니다. 그러니까 조금 버벅거려도 용서가 되는 거예요. 저는 아이패드로는 타잧는 일이 주 기능이 아니라서 가격대비 만족하는 거지. 업무용으로 전문적인 키보드 (잘눌러지고 인식률이 고급인 키보드가 아닙니다)찾으시면 돈 조금더 주시고 사세요. 아 그리고 아이패드 용으로 블루투스 키보드 연결했다가 펜슬 동시 사용안되는 제품도 있다던데 이 제품은 둘다 사용 가능해용 그럼 현명한 소비하시길 ><,"['https://phinf.pstatic.net/checkout/20200511_278/1589134673730HuDzy_JPEG/image.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200511_38/1589134749354gIlm8_JPEG/image.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200511_286/1589134768212vD9p5_JPEG/image.jpg?type=f287']"
4,"배송시간 2일 걸렸습니다 이점 매우만족하구요
배송된 상품 상태는 그닥좋지않네요 뾱뾱이 하나없고 박스도아닌 그냥 비닐하나에 싸여져서 왔습니다
사진처럼 박스가 터져서왔구요 가격이 싸기도하고 제품에는 문제없어서 이부분은 넘기겠습니다. 근데 뾱뾱이하나정도는 싸주시면 좋을듯

상품은 디자인은 매우좋아요 깔끔하고 대충 정면에서보면 애플꺼랑 크게다를게없음
후기중에 키가 휘어져있거나 튀어놔아맀는 후기본적있는데 저도 스페이스바가 아주살딱 휘어져있게나옴
이것도 사용하는데 지장없고 가격이싸니 넘어감

페어링이 쉬움 근데 이게 페어링을 빨리시도하지않으면 페어링이안됨
타이핑감은좀 묵직하게 눌림
나머진 다작음
제품받고 바로 후기쓰는거긴한데 아직까진 타이핑도
잘되고 제품에 문제는 없음

제품만보면 별5점인데 포장상태때문에 4점","['https://phinf.pstatic.net/checkout/20200905_209/1599278482250XQGRv_JPEG/review-attachment-0bc21956-51ad-4960-8ef3-742bce618418.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_117/15992784883870mV45_JPEG/review-attachment-8be5f1d1-2e38-4128-b91e-7020d080fad6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_179/1599278494701M63Lj_JPEG/review-attachment-421b2d4a-0eed-47b9-81f0-515650cf101a.jpeg?type=f287']"
5,"진짜진짜 너무 좋습니당 지금 이 키보드로 리뷰 쓰는 중이에요! 처음에 배송왔을 땐 달랑 박스만 들어있어서 너무 놀랐지만(박스안에 박스도 아닌 옷 배송오는 비닐 안에 박스였어요) 그래도 구겨진곳도 없고 고장도 안났네요!

-페어링도 잘되고 건전지도 들어있어서 완전 만족합니다 10500원에 절대 이런 퀄리티 안나올 것 같은데 완전 땡잡았어요!
-ctrl+shift로 한영 변경 하는거 아직 적응이 안되서 그렇지 그다지 불편하지 않습니당
-키감은 노트북이나 다른 키보드보다는 확실히 피로감이 있으나 나쁘지 않아요! 소리가 나서 조용한 곳에서는 못쓰겠지만 타자소리 좋아하는 저는 혼자있을 땐 힐링이네용. 손목이 조금 아프지만 괜찮습니당
-. 베이직하고 딱 바라던 심플한 스타일이에요. 완전 강추합니다.
-암튼 완전 좋습니다 이거 사셈 이거!!!!!","['https://phinf.pstatic.net/checkout/20201117_78/1605599691956kaUlS_JPEG/review-attachment-1441212b-ccea-4518-9e49-1789c433f976.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201117_228/1605599693476FQ9jB_JPEG/review-attachment-b5165aae-c60f-420f-821a-99406b2c55c4.jpeg?type=f287']"
5,아이패드 구입 후 자판을 치는 데 어려움을 느껴 블루투스 키보드를 알아보던 중 코시 제품을 알게 되었습니다~ :) 처음엔 가격 면에서 굉장히 만족스러웠고 (가격 차이에 비하여 타사 제품과 큰 성능 차이를 보이지 않을 것 같았다) 상품의 빵빵한 리뷰를 보며 더욱 믿음이 가 주문을 해 배송까지 빠르게 받은 지금! 이 리뷰도 키보드를 통해 작성하고 있으며 정말 정말 만족스럽습니다 기울어져 있는 것도 손목에 정말 무리 안 가고 찰떡처럼 편하구요 다른 분들도 어서 코시 키보드를 써 주셨으면 좋겠어요 이렇게 키보드까지 있으니 맥북을 쓰는 기분이네요 키감도 타닥타닥 제가 좋아하는 소리예요 소리는 조금 크다고 할 수 있지만 저는 이런 걸 훨씬 좋아합니다 건전지도 두 개 같이 보내 주셔서 좋았어요 다음에도 구매할 일이 생긴다면 다시 찾겠습니다 감사히 잘 쓸게요 늘 번창하시고 건강하세요~~,['https://phinf.pstatic.net/checkout/20201124_280/1606205924511ydAqS_JPEG/review-attachment-9c6b7d29-cc04-4cca-b9f1-2dc15ffd9e8b.jpeg?type=f287']
5,"일단 매우 가볍다...
타사 제품 좀 좋은 걸 쓰고 있었는데 색상이 지겨워져서 바꿨는데
진짜 가볍다... 무게에 감동 받았고,
타자감이 좀 뻑뻑하다. 약간 기름칠 덜 된 느낌?
그래서 그런지 타자 소리가 생각보다 컸다.
근데 난 타자 소리 좋아해서 상관없지만, 조용한 데서 두드리기엔 눈치 보일 수도 있을거같다.
아, 사용설명서에는 아이패드 한영키로 ctrl + 스페이스 누르라고 나오는데, caps lock 눌러야 되었다.
F4키도 스크린샷이라고 나오는데 그냥 화면이 잠겼다. F3키와 같은 기능이었다.
나머지는 .","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_25_0/ee1e6654-fe80-11ea-9d26-a0369ff963bc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200925_187/1600964051966KPGd8_JPEG/review-attachment-60142fd2-5ce6-45c3-8e03-71206baea33c.jpeg?type=f287']"
5,"요새 사람들이 로지텍 노트북을 많이사서 제일 괜찮은게 그거밖에 없을리가 없다며, 더 가성비 좋은 제품들을 찾아보다가 발견한 아이입니다!
키보드는 무소음이면 뭔 재미로 키보드 치냐 라고 생각하는 주의라
이 키보드가 넘 마음에 들었고, 타닥타닥 소리도 경쾌하고 좋아요 ㅎ-ㅎ
무엇보다 가성비도 너무 좋고요ㅠㅠ

생긴것도 너무 이쁘게 생겼습니다. 너무 깔끔해요 혹시 아이패드랑 연동해서 쓰실분이라면 휴대하기 편리하겠습니다.
높이도 구입하기전에는 너무 낮아서 불편할까봐 걱정했는데
아주 딱 적당하게 손목에 무리없는 탁월한 높이 입니다.

무소음과 여러 전자기기에 한번에 연결해서 사용하실분만 아니면 안살이유가 없는거 같아요 !
전 집이나 카페에서 휴대폰에 연결하여 사용할 목적이였기때문에 아주 만족합니다 !",['https://phinf.pstatic.net/checkout/20200911_292/15998128943325QgL9_JPEG/review-attachment-88dcbc66-a637-4cf3-b3e9-d6b61ae741e7.jpeg?type=f287']
