star_point,comment,photo
5,"아이패드 프로 12.9인치 사용자입니다.아이패드의 가로폭과 키보드 너비가 꼭 같아서 원래 셋트 상품 같아요. 사용할 때마다 기분이 좋네요. (각 맞춤 성애자)손이 크면 불편하다는 의견이 있던데, 저는 전혀 불편하지 않구요, 오타도 안나요. 남자분들 중 손가락 자체가 두꺼우신 경우면 몰라도, 일반 성인 손에는 충분합니다. (전 여자지만 손이 큰 여자임.)매우매우 가볍습니다. 가벼운 느낌 때문에 몇몇 분들에게는 뭔가 묵직하지 않고, 제품의 내구성이 떨어지게 느껴질 수도 있으나,전 휴대할 때 조금이라도 무게감이 느껴지지 않길 바랬기 때문에 이 부분은 만족합니다.제가 받은 제품은 키보드 한쪽이 약간 수평이 안 맞는 느낌으로 들려 있으나, 사용이 어려울 정도의 큰 차이는 아니었고, (흔들리거나 할 정도가 아닙니다.)다만 타이핑 할 때마다 들려있는 부분이 책상에 부딪히면서 약간 소리가 나곤 했는데요. 그건 부직포 스티커를 사다가 붙여줬더니 소리가 안나서 마음이 한결 편해졌습니다.제품 수평이 살짝 안 맞았기 때문에 새 상품으로 교환 신청을 할까 고민했었는데, 아무리 수평이 기가 막히게 맞는 제품으로 교환 받더라도,키보드를 놓을 책상이나 바닥에 조금이라도 굴곡이 있으면 그 때문에 또 덜컥 거릴 수 있을 것 같아, 그냥 사용하기로 했습니다.코시 측에서는 바로 교환해주시겠다고 했는데, 교환받지 않고, 그냥 사용하겠다고 했습니다. 단순한 문의였는데, 바로 발빠르게 교환처리를 해주려고 한 코시 측에 매우매우 감사드립니다. 코시 CS팀 짱이에요. (최고!)사진에서 보시는 바와 같이 지금 이 글도 코시의 접이식 블루투스 키보드로 작성하고 있습니다.이것봐요, 오타 안나죠. 오타가 안나서 아직까지 백스페이스를 누른 적이 없네요 아직까지. 사용하다가 접이식은 휴대용으로만 쓰고, 접이식이 아닌 코시 블루투스 키보드도 하나쯤 더 사두면 집에서 아이패드 이용하기에 더 수월할 거 같습니다. 가성비 짱짱이에요. 모두모두 사세요.","['https://phinf.pstatic.net/checkout/20190401_276/1554121641933ohDxY_JPEG/6994393A-1B91-46E4-A5D8-5B69A43E821D.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190401_170/1554121641968xfbqQ_JPEG/0AEB7AD9-3F31-45D7-9CCF-844FD7A7B400.jpeg?type=f287']"
5,"휴대성 그리고 무게감 영구적가치 활용도를 생각햇을때 코시 접이식 블루투스 키보드가 딱이어서 구매했습니다. 사용중인 핸드폰과 아이패드 두개 호환잘되고, 앞으로 안드로이드로 갈아타더라도 호환이 잘 될거같아요~!! 자판 적응은 쉽게 끝났지만 영어-한글 변환이 자판의 영한 버튼이 먹히질 않아 숫자6눌러서 하고있어요( 이 점 ,,,, 상당히 불편,,ㅜ)그리고 오른쪽 자판이 살짝 뜨는 감이 있어서 타이핑할때 소음이 조금 발생합니다. 처음에 받았던 제품은 들뜸이 커서 소음이 굉장히 거슬렸는데 교환해서 도착한 키보드도 소음이 없진않네요,,, 휴,,,,, 원래 제품이 들뜬가봅니다.. 많이 아쉽습니다. ㅜ ㅜ",[]
4,가격대비 좋았어요. 접이식이라 휴대성도 편리하고 페어링도 잘 됩니다.다른 키보드에 비해 가격도 저렴하고요.그런데 오늘 받아서 사용하는데 백스페이스 키를 눌러도 글자가 지워지지 않아요.. 처음에 쓸 때는 괜찮았는데 설명서 보니까 충전이 잘 안되어있으면 잘 안눌릴 수 있다고 해서 충전도 시켰는데 안되네요..뭐가 문제죠?..,[]
5,저는 진짜 만족이요!!!아이패드프로랑 연결해서 쓰는데 연결이 딱딱 잘되네욥 조그만데 있을거 다있고 진짜 가볍구영 높이안맞아서 소리난다고도 하는데 저는 안그래요!! 넘 좋네요 가격도 착하고~! 다만 저소음이라는데 원래 이것보다 소리가 큰가요 보통 이것도 작지는 읺은데 그래도 집에서 쓰니까 괜찮아요!! 감사합니당,[]
4,"가격대비 성능 만족합니다.처음 사용할 시 약간 적응이 필요합니다.오타도 많이나고 기호, 숫자, 특수문자 등 문자열 사용하는게 아니라면 키보드를 보고서 사용해야 합니다.아이패드 연결성은 좋습니다. 아이패드 미니4, 아이폰x 연결시 약간 입력지연이 일어나기도 하지만 참고 사용할 만한 수준 입니다.소음은 크지 않습니다. 카페나 공공장소에서 충분히 사용 가능하지만 도서관, 독서실등 정숙해야 하는 상황에서 여유롭게 타이핑 하기는 힘들어 보입니다. 키감은 나쁘지 않습니다. 일반적인 노트북이나 데스크탑에서 사용하는 저가 멤브레인 키보드와 비슷한 키감입니다. 하지만 반발력이 좀 있어서 장시간 타이핑시엔 손가락이 피로해집니다. 배터리는 충분해 보입니다. 설명서엔 2~3시간 충전 10시간 사용이라고 하는데 카페에서 일기를 쓰거나 간단한 작문, sns, 회사원분들 간략한 자료 수정 및 정정 등 정말 말그대로 간단한 작업시엔 전혀 무리없겠지만, 각잡고 빡세게 작업하긴 힘들어 보입니다. 장점도 있지만 단점으로는 키보드와 바닥면의 접지력이 약해서 한 두 문장 쓰고나면 손으로 키보드 위치를 조정해줘야 합니다. 키보드 높이조절 기능이 없어서 편안한 타이핑은 힘들어요.이런점 때문에 간단한 작업에 적합하다고 생각합니다.",['https://phinf.pstatic.net/checkout/20181128_277/1543366697980VQuKR_JPEG/IMG_0359.JPG?type=f287']
4,"간단히 사용할 수 있다고 생각합니다. 연결하는 방식이 조금 아쉽다. 자판에 특수 문자가 없어서 아쉬운 부분도 있고 기능이 많은 거 같지만 그냥 타이핑하는 정도의 용도가 딱 그 정도라고 생각합니다, 전 그 정도만 생각하고 있어서 그냥 저냥 사용할만 합니다.",[]
4,구매한 키보드로 작성 중이에요. 이전 과 키배열이 달라 한참 적응은 해야 할 듯 하고요. 가벼운 점이 장점이자 단점이 될 수 있을 듯 해요. 가벼우니 좋은데 떨어뜨리거나 보관케이스가 없어서 내구성이 얼마나 좋을지 모르겠어요.,[]
4,"작고 가벼워 휴대가 용이합니다. 옛날 샤프 전자사전 느낌이네요.접으면 휴대전화 사이즈로 작고 가벼워서 갖고 다니기 좋을 것 같습니다.양 옆에 자석이 있는지 접을 때 딱 붙어서 덜렁거리지 않는 점도 좋으네요.타이핑시 소음이 크지는 않지만 독서실 같은 조용한 곳에서는 사용하기 어려울것 같아요.자판 크기도 적당합니다.그런데상자에 포장되어 왔는데도때(?), 기스(?) 이런것들이 좀 있네요그런 좀 찝찝한 부분들이 사소하지만 좀 아쉬웠습니다.","['https://phinf.pstatic.net/checkout/20180707_188/1530935934956PLgeA_JPEG/PRREW_7776105867645552386.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20180707_113/1530935942323VePlU_JPEG/PRREW_7635231101684790886.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20180707_259/1530935947262XikIu_JPEG/PRREW_4484099586948063645.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20180707_7/1530935954788IL75V_JPEG/PRREW_376762728783446178.jpeg?type=f287']"
5,아이패드 프로(10.5)랑 연결해서 사용하는데 너무 좋아요 폴더형은 처음이고 전에 쓰던거는 일자형이었는데 잃어버려서 다시 샀어요 크기는 접었을때 아이폰6 만하고 두께는 두배? 무게는 핸드폰보다 훨씬 가벼운 느낌이에요 컴팩트하고 이뻐요 검정 모델 보다가 실버가 아무래도 아이패드랑 어울릴 거 같아 샀는데 잘 했다는 생각이 들어요 키감은 지난번에 쓰던 제품은 너무 얇은 느낌이라 장난감 같았는데... 이건 딱 좋네요 요즘 사용하는 키보드들의 키감이랑 비슷해요 폴더 부분 공간 때문에 불편하다는 분들 있길래 걱정했는데~ 오히려 공간이 조금 손가락의 자유로움을 확보해주는 느낌이랄까 무튼 전 너무 좋아요 대만족입니다!,['https://phinf.pstatic.net/checkout/20190327_109/1553682749939g2LXV_JPEG/727C894E-55AA-4FC0-AEFB-83EA46C65189.jpeg?type=f287']
5,"평소에 문서작성을 자주 하는데,, 크기도 무게도 굉장히 만족스러워요. 그리고 생각보다 불편하지 않고 키보드 배열이 하루 이틀이면 손에 익는 것 같아서 마음에 들었습니다. 다른 키보드들이랑 고민을 꽤 했는데 가성비도 가장 좋은 것 같아서 추천합니다. ^^","['https://phinf.pstatic.net/checkout/20190429_213/1556519726223UHGT5_JPEG/KakaoTalk_20190429_153426465.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190429_207/155651972657168vnQ_JPEG/KakaoTalk_20190429_153426871.jpg?type=f287']"
