star_point,comment,photo
4,"하얗고 깔끔한 디자인이 정말 눈물나게 마음에 듭니다. 들어오는 RGB 색도 너무너무 영롱하고, 키보드 자판의 글자마저 깔끔하고 예쁩니다 ... 단점이 하나 있다면 .. 통울림이 심하다는 것? 타자를 치면 웅웅 소리가 납니다 가벼워서 그런듯 하구 ... 별로 신경은 안쓰입니다.. 적축이라 저거저저걱저걱적겆겆적 소리가 나네요 키 누르는 소리도 괜찮구.. 조용하진 않습니다. 근데 모든 단점을 찍어누를 만큼 키보드가 예쁘네요ㅎㅎ 키도 엄청 가볍게 눌립니다. 진짜 가볍게 눌려서 종이 누르는 기분입니다 아무튼 예뻐서 추천 // 통울림 심한거 싫어하시는 분께는 비추","['https://phinf.pstatic.net/checkout/20201021_12/1603265082463nMMOB_JPEG/review-attachment-fa2029ff-65e7-48b8-a308-d1868390c027.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201021_74/16032650827416189e_JPEG/review-attachment-b3a5c117-17fa-4381-83db-8f31ed11539e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201021_212/1603265082652v6Kv3_JPEG/review-attachment-c2e7aa47-24d6-4524-ac2d-73a112675068.jpeg?type=f287']"
3,"일단 타자칠때 부드럽지만 기계식에 소음은 어쩔수 없는거 같네요. 상품 사용감인지 불량인지 모르겠지만 긁힌 자국 비슷한게 있어서 맘에 안들어 점수 3점 줍니다.
이런 부분은 검수하면서 안거르는 건지요?? 교체 할 수도 있지만 왔다갔다 하기 귀찮아서 그냥써요. 다음에 재주문은 글쎄요....","['https://phinf.pstatic.net/checkout/20201030_255/1604058726006z6cCE_JPEG/review-attachment-c8f39c9d-f0aa-4df8-a06b-bae850c2c0ad.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201030_151/1604058742236gu1Q8_JPEG/review-attachment-64d89fc7-44e1-42b7-9c8a-1c520b3161e2.jpeg?type=f287']"
5,"기계식키보드를 아주 저렴하게 구입했습니다.
모든키와 모든LED 잘 작동합니다.
편하게 쓰기엔 오타도 적어 커세어은축 low profile보다 낫네요.
가격대에 불구하고 마감상태까지 허술하지는 않네요.
키캡 감촉도 무난하고, 각인도 깔끔합니다.
LED광량이 그냥 켜졌구나라는 정도...화사하진 않습니다.
텅텅거리는 철심소리가 있네요. 이런 소리는 더 비싼 키보드들에서 자주 있는것이니, 윤활수고가 좀 필요해보입니다.
난 그냥 쓸테니까....뭐....스피커 켜면 묻히겠??
단점없으면 거짓말이고, 이 가격이면 커버할수 있는게 아닐까요? 내 생각인가...
화이트갈축인데....제대로 찰칵거리게 청축살껄 그랬나",[]
3,"타자 소음이 매우 크고, 탄력적이지 않고 뭔가 딱딱한 느낌? 아이들 게임용과 일반용을 겸해서 오랫동안 사용할 생각으로 구매했는데, 예전 사용한 자판보다는 별로인것 같음. 교환신청해봐야 똑같은 물건일까봐 교환신청하는것도 번거롭고..., 암튼 자판이 뭔가 부드럽지 못하고 딱딱한 느낌! 구매에 신중하시길....",[]
3,생각보다 시끄럽구요. 통울림 거슬립니다.그리고 키 높이가 너무 높아요. 키감은 나쁘지 않습니다. LED가 롤 용으로 기본셋팅 옵션에 있다는 있은 좋습니다. QWER-DF-B키만 불이 들어오는 옵션이 있습니다. 가격이 싸서 샀는데 딱 이정도네요. 키캡 도색이 별로 안이쁩니다. 잘 사용할거같진 않네요. 사무실같은 곳에서는 절대 못 씁니다.,[]
5,기계식 키보드 처음 사보는데 잘 모르겠어서 오프에서 대충 보니 청축보단 소리가 덜 나는 것 같아서 갈축으로 선택했습니당 노트북을 거치대에 올려두고 메이플하는데 어깨에 너무 부담가는 것 같아서요~ㅎㅎㅎ 너무 예쁘고 맘에 들어요~ 배송도 엄청 빨랐어요. 감사합니다^^,"['https://phinf.pstatic.net/checkout/20200619_295/1592554211936NS922_JPEG/20200619_165647.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200619_110/1592554211684nbo2L_JPEG/20200619_165911.jpg?type=f287']"
4,방금전에 배송이 왔네요 보내주는거는 정말 빠르게 보내주시는데 택배사에서 많은 물량으로 인하여 6일에 시킨 물건이 오늘인 12일에 배송을 받았습니다. 빠르게 필요로 하시는분들은 택배사를 잘 보시구 주문 하시는게 나으실것같네요. 그리고 배송포장상태에서 말씀 드립니다. 키보드도 pc상품이고 전자제품인데도 불구하고 뽁뽁이를 안해주시는거에 대해서 좀 실망스럽습니다. 박스가 살짝 구부져써네여ㅠ 일단 써봐야 알 것같습니다. 그래도 이 가격대에 이상품을 사시는것은 추천해드립니다. 가성비굿👍🏻,[]
5,기존에도 콕스 기계식 사용중인데 다른 세컨컴에 맞룰려고 신제품 하나 장만했습니다. 기존께 ck420이였는데 이번에 나온 ck01이 같은 청축인데 엘이디도 옆에 나오고 시스템엘이디도 기존꺼랑 다르게 바형태로 나오네요 암튼 좋습니다 ㅋㅋ,['https://phinf.pstatic.net/checkout/20200520_261/1589943499147fvecc_JPEG/KakaoTalk_20200519_130827319.jpg?type=f287']
5,"기존에 쓰는 키보드가 점점 갈수록 자판이 연속으로 눌러지는 현상이 발생해서 싸고 좋은걸 찾고 있었는데 괜찮에요 ㅎㅎㅎ
잘쓰겠습니다
조금 흠이 있다면 속목받침이 없는 정도 인거 같네요 ㅎㅎ ..
아직 오래 쓰진 않았지만 그왜에는 괜찮은거 같습니다",[]
1,저가형 키보드가 출시되서 어떤가 해서 샀습니다키보드가 가벼운거는 좋지만 타건시 팅팅 거리는 울림이 너무 거슬립니다.제품하자인 줄 알고 교체 받았지만받은 것도 동일합니다.이 소리만 없으면 너무 좋은 가격인데전 너무 신경쓰이네요,[]
