star_point,comment,photo
5,"장난감으로 산 키보드라 사용은 그리 많이 하지않지만
그래도 사용후기 적어봅니다
LED가 없어서 추가로 화이트 LED 장착햇고
퀵스왑은 그대로 유지되게 스위치 안쪽 기판에 장착했습니다
그리고 케이블 하나로 이놈 저놈 쓰려고 탈착식 개조했습니다
순정상태의 키보드는 솔직히 잡소리가 너무납니다
스프링 팅팅 거리는 소리에, 통울림 까지.....
하지만 풀윤활에 흡음재까지 하면 말이 틀려집니다
이가격대에 키보드에서는 따라올수가 없을정도입니다
예전에 캐러벨 108도 풀윤활 해서 써봣지만 못따라옵니다
무엇보다 스테빌이 잘잡혀있어 발톱제거 하고 구리스 조그만
발라주면 철심 소리 바로 잡히네요
갈축살까 고민하다가 적축삿는데 갈축도 하나 사봐야겠어요 ㅋㅋ
기본키캡도 타건감 좋지만 저는 다크시티가 타건감이 더좋네요 ~
암튼 윤활해서 쓰실분들은 드립니다","['https://phinf.pstatic.net/checkout/20201102_50/1604278676342WO3D5_JPEG/review-attachment-28095abf-81a3-4237-9ec8-d3b49ca3f0c0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201102_93/1604278676388ScWel_JPEG/review-attachment-30ce8bbb-a4bb-4d40-b996-a10f4b73fe83.jpeg?type=f287']"
5,배송도 빠르고 뽁뽁이로 잘 감싸서 보내주셔서 파손 걱정도 덜었어요! 키보드도 실제로 받아보니 더 예쁘고 좋네요. 기계식 키보드는 처음이라 적축으로 사봤는데 그래서 그런지 생각보다 시끄럽지도 않고 만족합니다. 통울림이 있다는데 저는 둔한편이라 별생각없이 쓸 수 있을거 같아요.,"['https://phinf.pstatic.net/checkout/20201031_234/1604141543219UYSF8_JPEG/review-attachment-e2bb8ade-2159-46c9-9633-722598358e23.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_282/1604141543174Gqaco_JPEG/review-attachment-3700140b-5cc9-4482-8cd1-89f28f8b2fa1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_142/1604141543153pbq9n_JPEG/review-attachment-0d98f4d7-6f89-438a-8917-f353b6c11cf2.jpeg?type=f287']"
5,갓성비 기계식 입문용으로 추천합니다. 기계식일 시작한다면 최소한 이정도 급은 써야 기계식의 매력을 느낄 수 있을 것 같아요. 일단 키캡이 이 가격대에 나올 수 없는 키캡입니다. 이것만으로도 구매가치가 충분하도 저도 이 목적으로 구매하였습니다. 스위치도 핫스왑형태로 교체가 가능하고 갈축을 구매하였는데 갈축의 매력을 느끼기에도 충분했다고 생각합니다. 저가형이다보니 묵직한 느낌이나 흡음처리 윤활등은 되어 있지 않긴 합니다. 만약 흡읍이나 간이윤활을 해본다면 이 키보드가 딱이죠.,"['https://phinf.pstatic.net/checkout/20200810_68/1597069421951oPU07_JPEG/review-attachment-89a5e994-a02a-4916-856d-a23d3329d76b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200810_281/1597069422098KTXSt_JPEG/review-attachment-86fce5da-bead-440b-8d89-5ff9a256ac28.jpeg?type=f287']"
5,인터넷에서 본 그대로 디자인이 깔끔해서 너무 좋아요 그리고 개인적으로는 갈축 특유의 소리랑 부드러운 느낌이 너무 좋게 잘 되어있는것 같고 가성비가 좋다고 생각합니다! 개인적으로 진짜 디자인이 10점만점에 10점 드리고 싶습니다,"['https://phinf.pstatic.net/checkout/20200925_159/1601002140686zfPTm_JPEG/review-attachment-03fc318c-b03d-4f53-8907-6fe1449e040a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200925_58/16010021404380g9wr_JPEG/review-attachment-eb020ddf-1923-4f85-816e-9a49034c65ce.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200925_208/16010021407029uoHo_JPEG/review-attachment-b005ab07-2e86-4ba8-ac7a-e158f506687b.jpeg?type=f287']"
5,물건 잘 받았습니다. 3만원가격대에 pbt이중사출 키캡의 키보드를 살 수 있다는 점에서 일단 가성비는 끝났다고 보고요 다만 키보드의 성능이나 내구성부분에서 gtmx축의 내구성이 어느정도인지 몰라서 계속 써보고 판단해야겠네요 그래도 만족합니다~,"['https://phinf.pstatic.net/checkout/20200926_148/1601081470540dhJCu_JPEG/review-attachment-25e0b687-ed47-4b45-82ab-3fd67e9ddeb3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200926_16/1601081479710nw3SW_JPEG/review-attachment-67a950cc-c5f3-4a2b-9b2e-ce87cb3e9e3b.jpeg?type=f287']"
4,"레오폴x 제품 알아보다 기계식 키보드 입문으로 평이 좋아서 사봤는데요.
배송은 2일 걸렸고 용산상가에서 타건해봣던거보다 소리가 크네요. 갈축입니다. 키감은 부드러운데 소리가 좀 아쉬워요.
그리고 몇몇 키캡 마감이 좋진않은것같아요.
물론 타이핑 하는쪽은 아니고 하단 사이드 부분인데 플라스틱 실처럼 생긴것들이 보이네요. 사용엔 문제없으나 좀 아쉽네요.
오늘 받았는데 한 번 잘 사용해볼게요.",[]
5,"배송이 cj 였는데 4일 걸렸습니다 ;ㅁ; 코로나로 인해 목이 빠지게 기다렸네요^^; 물론 판매처의 잘못 1도 없습니다. 그냥 상황이 그러했던거고. 한국사람들은 빨리빨리를 좋아할 뿐이고, 대단히 잘 받았습니다. 사실 큰 회사의 쇼핑몰에서 구입하려다 쿠폰이 쓰고싶고, 포인트도 써서 저렴하게 구입하고파 모험을 감행한것이었습니다. 왜냐하면 용산에 매장을 둔 컴퓨터기기 판매점들은 보통 이런것들의 포장이 정말 파손되기 좋을정도로 에어캡 조금도 두르지 않고 비닐에 넣어 발송하기 때문입니다. 근데 이 업체는 박스에 넣어서 보내주셔서 고맙게 잘 받았습니다^^. 제품도 아무 이상 없고, 아주 잘 도착했으며, 제품의 퀄리티 역시 콕스사의 가성비 제품으로 매우 만족스럽게 지금 후기 역시 이 제품으로 작성중입니다. 감사히 잘 쓰겠고 번창하세요!",[]
5,"연휴 때문에 주문하고 생각없이 있었는데
깜짝 놀랄 정도로 배송이 진짜 빨리 왔습니다.
포장 또한 완벽했구요.

그리고, 적축 키보드 간단한 사용감을 말씀 드리면

.
단, 한가지 단점이 키보드를 높여서 쓰면 통
울림이 조금 있습니다.

낮춰서 쓰면 없구요.

하지만 가격대비 좋은 키보드 인건 확실 한거 같습니다.

잘 쓰겠습니다~^^",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_29_0/4e0e15c6-022a-11eb-8d48-505dac8c3607_03.jpg?type=f287']
5,레오폴드 디자인이 이뻐서 사려고 매장에 직접가서 타건후 개인적인 생각으로는 그 가격대에 못 미치는듯하여 이 제품을 구매했는데 별 차이를 못 느껴서 저는 매우 만족합니다. 현재 스카이디지탈 N키보드 메카닉 청축 쓰다가 갈축으로 구매를 했는데 만족합니다. 스피링 소리 및 타건시 나오는 소리는 레오폴드보다 못할순 있지만 가격적인 면과 저처럼 별로 예민하지 않고 신경을 안 쓰시는분들이라면 사셔도 무방할것 같습니다.,[]
5,"가격대에 비해 키캡 품질이 진짜 엄청나군요..
개인적으로 GTMX 클릭과 리니어 둘 다 써봐서 넌클릭으로 삿는데 키캡을 사니 키보드 스위치랑 PCB,하우징이 온듯한 기분이 듭니다.
COX제품 답게 마감에서 살짝 아쉬운 부분들은 있는데 가격 생각하면 용납이 가는 부분이 있습니다.",['https://phinf.pstatic.net/checkout/20200923_109/1600857718711zA5d9_JPEG/review-attachment-25cffe98-0cf4-4ccf-98ba-2e4f2b6bb26b.jpeg?type=f287']
