star_point,comment,photo
5,구매 후 2일 뒤에 수령할 수 있었습니다. 입문용 키보드로 구매했는데 전체적으로 만족스럽습니다. 처음 구매하시는 분들이 주의 하셔야 될 점이 한영키가 별도로 존재하지 않습니다. 대신 우측 Alt키가 한영키 역할을 하며 따라서 우측 Alt키는 본연의 역할을 못한다는 점을 참고하시면 좋을 듯 합니다. 한가지 아쉬운 점은 상태를 표시하는 점등기에 별도의 마감 없이 구멍만 뚫려 있어 완성도가 조금 깎이는 느낌이 들었습니다. 제가 느낀 단점은 위 사항 하나이며 나머지는 전체적으로 만족스럽고 입문자분들께 추천드리고 싶습니다.,[]
4,"전반적으로 만족합니다. 블루투스로 사용하려고 구매했는데, 입력 지연도 못 느끼겠네요. 아마 FPS 주로 하시는 분만 아니면 게임 할 때도 그냥 쓰면 될 듯 합니다. 예전에는 체리 갈축 썼는데, 게이트론 황축도 매력 있는 것 같습니다. 다만 일부 스위치에 약간의 문제가 있어서 인지 아주 가끔씩 씹히는 키들이 있습니다. 여분의 게이트론 황축 검뚜를 구매하셔서 약간 맛이 간 스위치들은 교체 해 주시는게 좋을 것 같습니다.",[]
5,"블루투스 연결방식은 처음 써보는데 매우 잘 작동하네요. 무한입력 (N키 롤오버) 도 유선, 블루투스 모두 문제없이 작동하는데, 메모장을 켜서 여러키를 동시에 눌렀을 때 마지막에 누른 키만 연타가 되는게 아니라 5~6번째 쯤 누른 키 부터 마지막 키까지 동시에 연타가 되는 건 조금 신기합니다. (아마 제가 기존에 쓰던 키보드와 무한입력 기능 구현 방식이 다른 듯 하네요)

빠르고 안전하게 잘 받았습니다 :)",[]
5,반응도 좋구 특히 무선이라 너무 편합니다!,['https://phinf.pstatic.net/checkout/20201122_298/1606003386104SrUCl_JPEG/review-attachment-cf810854-ff3e-4722-b351-1abdaed58ea0.jpeg?type=f287']
4,우선 선이 없으니 편하네요 블투 키보드는 첨써보지만 좋음,['https://phinf.pstatic.net/checkout/20201123_2/1606095244749c3Jvk_JPEG/review-attachment-75de0094-ff1f-4440-96bd-ea19918f7375.jpeg?type=f287']
3,가성비가 안좋은듯함. 7따리 였으면 괜춘,['https://phinf.pstatic.net/checkout/20201017_158/1602902144733XUh0V_JPEG/review-attachment-91e7bffd-0017-4a42-9cbd-24b4f30442bc.jpeg?type=f287']
5,배터리 용량이 커서 좋다.,['https://phinf.pstatic.net/checkout/20201028_187/1603811015087Cykf8_JPEG/review-attachment-6d323625-f64a-4c79-bcd0-b24852ad46cc.jpeg?type=f287']
5,오 생각보다 더 이쁘네요 아주 만족스러워요!,['https://phinf.pstatic.net/checkout/20201008_53/1602139616587N4tAF_JPEG/review-attachment-1ec7b844-e14d-496d-ad06-6bcb02fe5946.jpeg?type=f287']
5,"키감도 좋도 가격은 조금 있어도 좋습니다,",['https://phinf.pstatic.net/checkout/20200927_37/1601197187524B2dUQ_JPEG/review-attachment-4834d273-6a03-4fec-a832-bde209e6e078.jpeg?type=f287']
5,"배터리 용량은 충분함
입문으로 갈축 했는데, 만족",['https://phinf.pstatic.net/checkout/20200911_70/1599808346641iGTgU_JPEG/review-attachment-61f14530-5e97-4d7a-9af1-6f655e3f22dd.jpeg?type=f287']
3,괜찮은듯. 좀 더 써봐야 정확히 알즛함,['https://phinf.pstatic.net/checkout/20200913_160/1599928412991JPzmW_JPEG/review-attachment-dd48b0c7-1d8c-4b6a-b634-976f804273b8.jpeg?type=f287']
5,블루투스로 키보드 전환돼서 좋아요,['https://phinf.pstatic.net/checkout/20200917_154/1600296699069QjFG8_JPEG/review-attachment-772ba708-a6e7-4ecf-8aec-046fc862ede3.jpeg?type=f287']
5,친절하게 해주셔서 감사합니다,[]
5,배송도 빠르고 사용하기 좋네요,[]
5,빠른 배송 만족합니다.,[]
5,가격은 조금 비싸도 디자인과 고유의 키감 때문에 구입 했는데 역시 예날의 기계식 키감이 살아 있어요. 펑션키 단축키 기능표시가 없어서 깔끔한 디자인이에요. 기능은 단축키로 다 있어요.,[]
4,"키감도 괜찮고 디자인도 까끔하지만 제 불찰이지만
데스크탑에 블투가 없다는걸...ㅎㅎ;; 그래서 그녕 선으로 연결해서 쓰고 있습니다 리씨버가 필요한지 내용이 없어서 좀 아쉽습니다",[]
5,감사합니다. 잘 사용하겠습니다.,[]
3,배송도 빠르고 타격감이 좋네요~~,[]
5,사용방법을 잘 몰랐는데 제품 회사 고객센터와 연결해 주셔서 금방 해결했습니다. 상담원분이 매우 친절하시네요 감사합니다.,[]
5,잘받았습니다 너무좋아요 감사합니다.,[]
