star_point,comment,photo
4,"1. 자체 포장
- COX 의 박스 포장은 사진 처럼, 단가를 최대한 낮추어 포장한 형태입니다. 심지어 보급형 키보드에도 들어있는 더스트 루프 마저 빼서 상자에 키보드만 들어 있는 심플한 구성입니다. (키캡 리무버 및 청소도구는 있음)
- 이러한 박스 포장 탓에 배송중에 충격에 매우 취약한 구조를 가지고 있습니다. 다행히 저희 지역 배송기사님들이 안전하게 배송하셔서 다행이지만, 일부 지역은 심심치않게 키캡이 빠져 나오거나~ 긁혀서 오는 경우가 종종 있습니다.

2. 포장/배송
- 위의 이유 때문에 배송포장의 중요성이 아주 중요한데. 제가 볼 때 컴퓨존은 그나마 믿을 수 있는 업체 라고 보겠습니다.

3. 키감/
, 갈축은 SA랑 그나마 잘 어울리네요. 하지만 원한던 키감은 아니라서 개인적으로 실망했습니다.

4. 총평
- 갈축은 아주 정갈하고, 타이핑 하는 재미도 있습니다. 저 처럼 특정 키감을 생각하고 구매하지 않는 이상 실망하실 일은 없다고 봅니다.
단, SA 키캡을 처음 사용하시는 분은 사용할 때 많이 불편할 수도 있습니다.
그건 감안 하시고, 구입하시길","['https://phinf.pstatic.net/checkout/20200209_293/158122976603004Nv5_JPEG/20200207_011226.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200209_119/1581229765888NOezj_JPEG/20200207_012429.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200209_228/1581229765919MeGyf_JPEG/20200207_012416.jpg?type=f287']"
4,디자인 이쁘고 마음에 듭니다. 다만 키캡색깔이 메인 프레임처럼 완벽한 화이트가 아닌 살짝 때탄? 색깔입니다. 그러나 전체적인 구성이 이뻐서 만족하고 사용중입니다. 그리고 sa키캡이라 인기가 많다고 하던데 개인적으로 키가 상하좌우로 유동성이 좋아서 빠질까봐 우려도 됩니다. 구매하실때 참고하시면 좋을거 같습니다. 필자는 적응했습니다.,['https://phinf.pstatic.net/checkout/20200624_157/1592938282186PIsC0_JPEG/image.jpg?type=f287']
4,-단점-1. 스페이스바를 약간만 눌러도 센서가 반응합니다. 이 점은 유의하시기 바랍니다.2. 자판 하단에는 LED가 흐릿하게 들어옵니다.3.게임 중에 스페이스바를 누르다가 종종 걸리는 현상이 발생합니다. 약간 위로 올리듯이 누르게 되면 걸리는 현상이 발생하니 참고 바랍니다.4.. 전체적으로 LED 밝기가 좀 어둡긴 합니다. 하지만 사용에 있어서 지장이 있을 정도는 아닙니다.-장점-1. 색상 자체가 아이보리와 살구색의 은은한 조화로 시간이 흘러도 유행이 타지 않아 빈티지한 느낌으로 오래도록 사용할 수 있을 것 같습니다.키보드의 색이 변하더라도 애초에 아이보리 계열의 색상인지로 부담이 적네요.2. 타건감이 참 좋습니다. 그동안 기계식 키보드를 사용하지 않았던 것에 대한 아쉬움이 밀려올 정도. (황축 화이트)3. 전체적인 만듦새가 나쁘지 않습니다. 자판 몇개가 조금은 덜 부착된 상태로 오긴 했지만 손으로 누르니 제대로 부착되어 큰 문제는 없었습니다.-총평-앱코의 계열사라는 점에서 구매가 망설여졌지만 가격 값을 하는 키보드인 것 같습니다. 조금더 보완되어 나온다면 더욱더 괜찮은 상품이 되어 입소문을 탈 것 같습니다. 가격이 좀 더 착해지면 더더욱 좋구요 : ),['https://phinf.pstatic.net/checkout/20190730_187/1564474021412jWe4v_JPEG/KakaoTalk_20190730_170555010.jpg?type=f287']
5,"예상 배송일과 구매 가격가장 저렴한걸로 찾고 찾아서 구매했는데, 배송은 하루만에 잘 받았습니다.키보드는 일단 색감은 진짜 이쁩니다. 포장상태나 같이오는 키캡리무버 상태도 동급 앱X와 비교해도 오히려 COX가 좋다고 생각됩니다.다만 키보드 덥개가 없는부분은 조금 아쉽네요.그리고 키보드에 손가락 위치를 위해 F, J, 숫자키판 5번이 다른 키와다르게 움푹 들어가있어서 느낌이 확연하게 다르게 느껴집니다.주로 CAD, 3D 설계툴을 이용하는데 확실히 이질감이 느껴집니다. 사람마다 호불호가 갈리겠지만 제가 느끼기엔 그냥 구분없이 같은 키캡을 사용했으면 더 좋았을꺼라 생각합니다.그리고 다른 유투브, 블로그 리뷰에도 많이 나왔지만 스페이스바에서 나는 소리가 확실히 구분되게 큽니다. 다만 불편할 정돈 아니라 생각되는게, 스테빌이랑 흡음 처리가 잘되있어서 그냥 좀 크구나 하는정도라.. 그래도 아쉬운 부분이긴합니다.확실히 적축보단 쫀득한 키감을 가지고있고, 클릭방식을 선호하지 않는분들에겐 . 카일광축을 잘못구매해서 리니어가 아닌 클릭타입이라 알아보고 COX CK108을 . F, J, 5번 키만 구해서 교체하면 업무용, 게임용으로 다 사용할 수 있겠네요.",['https://phinf.pstatic.net/checkout/20190716_203/1563271245033Gw9fd_JPEG/KakaoTalk_20190716_185625279.jpg?type=f287']
3,"기존에 쓰던 키보드의 입력 오류가 심해져서 몇 달간 정보 얻고 고민고민하다가 마침 할인 이벤트 중이길래 구입했습니다. 구매포인트는 저소음이었으면 좋겠다였어서 그쪽에 초점을 맞춰서 구입을 했습니다만 저소음 적축 이런게 아니다보니 생각보단 타이핑 소리가 조금 크게 느껴졌지만 그래도 이정도면 집에서 쓰는거라 큰 편이라고는 생각 안들거같네요. 그 외에는 음, 평범한 맴브레인? 키보드만 써오다가 이게 어떤 스타일이라고 칭하는건진 잘 모르겟는데 키 자판이 전체적으로 아래쪽이 들려있는? 느낌이 들어서 아직까지도 타이핑 치는데 어색하고 오타가 좀 나는거같아요. 이게 적응이 되서 괜찮아질 부분인지는 지켜봐야될거같고, 키캡의 높낮이가? 울퉁불퉁하네요 혹시 덜 끼워？볐で漫？ 눌러？f는데 그건 또 아니고 큰건 아니지만 조금은 거슬리네요. 마지막으로 색감이나 디자인은 이쁘네요 이것만큼은 매우 만족합니다. 아직은 낯설지만 적응하면서 고장날때까지 잘 쓰겠습니다.",[]
5,"키캡 색과의 조화를 위해 흰색으로 할지 검은색으로 할지 한참을 고민하다가....나중에 키캡바꿀수도 있을지 몰라 검은색으로 했는데 대만족 입니다.
SA프로파일의 키캡이라 키캡높이가 OEM, 체리 프로파일보다 훨씬 높지만 사용하는데 전혀 불편함도 없고 오타도 없습니다.
다만, F, J키에 있는 돌기가 작아 적응하는데 조금 시간이 걸립니다.

SA키캡이라 타자기 치는 기분이고, 도각도각 나는 소리가 일품입니다.
체리, 카일 적축을 대신 비슷한 가격으로 게이트론 황축을 구입한건 정말 잘한것 같습니다.
유투브 리뷰에서 5~ 말이 무색하지 않고, 만듬새도 훌륭합니다.",['https://phinf.pstatic.net/checkout/20190910_238/1568125993053nqD1v_JPEG/IMG_20190910_172738.jpg?type=f287']
5,키감 진짜 좋네요. 그리고 따로 윤활을 또 해서 주시는건가 스테빌 소리가 안나네요. 색깔은 보는거와같이 누런색이에요. 개인적인 취향으로는 흰색보단 검은색이 더 이쁜거같아요. 단점으로는 세게치면 통울림이 없진않아요. 전체 알루미늄상품을 제외하곤 통울림은 다 있잖아요. 심하진않아요. 흡음재가 얇아서 한장 더 깔아주면 더 좋을꺼같아요. 그리고 키캡이 약간 흔들려요. 근데 이건 게이트론축의 고질병이라 어쩔수없어요. 나머지는 다 만족입니다. 강추합니다.,[]
5,배송이 하루만에 와서 너무 좋았습니다.그리고 키감은 기존에 청축키보드를 쓰고있었는데 고장나서 키보는 와중에 ck87이 추천이 많았지만 저는 풀 사이즈 키보드를 원했기에 이걸로 구매했습니다.색깔톤은 파스텔이라서 색다른감이 있으며가장중요한 키감은 아주 만족스럽습니다.리니어 방식이라 청축과는다르게 딸각거리는 소리가 없어서 조금 어색하지만 키감자체는 아주 훌륭합니다.무엇보다 집에서 사용하는데 청축의 큰소리때문에 몇번 문제가있었는데 이번에 이걸로 바꾸면서 그러한 소음이 많이 줄어들것같습니다.소리는 청축보다는 적지만 그렇다고 없는편은 아니라서 키보드 치는 느낌이 있어 좋습니다.,['https://shopping-phinf.pstatic.net/20190712_23/014d06d1-5ae9-4e40-b70e-6efdb3a9928d.jpg?type=f287']
3,"키보드를, 자신이 원하는 키감으로 튜닝하는 입장에서...
아쉬운 점 몇가지..
키캡 안쪽의 이중사출 방식에 사용된 불투명한 백색의 플라스틱 중,
"" + "" 부분의 플라스틱이 너무 약하다.
몇 번 뽑았다, 꽂았다 반복하다 보면... 크랙이 발생한다.
조심스럽게 90도 방향의 수직으로 뽑아야 파손이 적다.
키 자체의 (흔들)건들거림이 여타의 키보드 보다 더 흔들거린다.
단지 키캡의 높이만 높은 키에 불과하다.
'키높이 구두' 신겨 놓은 것과 같다.",[]
5,배송빠르고 뾱뾱이 만이감아져와서 배송중 고장은 안났겠두나싶었어요 몇번 받고나니 고장나 반품하고나니 뾱뾱이에 신뢰가 갑니다 ㅠ 황축은 써본적이 없어서 어느정도인질 몰라서 고민하다 이뻐서 결국 골랐어요 키감이 아주 가벼?워서 일할때 손안아픈건 최고예요 근데 가끔 손올려노코 가만잇다가도 눌려서 식겁해요 글서 좀후회하다가도 이뻐서 다시 기분조아지고 약간 오락가락중임니닷 게임할땐 스킬쓰다말고 점프하고 혼자 전진하고난리라 좀울었지만 일단 손이안아파서 일할때도 겜항때도 만족중입니다,['https://phinf.pstatic.net/checkout/20191007_215/1570418600827ilKrz_JPEG/20191001_175452.jpg?type=f287']
