star_point,comment,photo
5,"실제사물은 사진보다 그래이색이 좀 더 밝아 고급스럽습니다. 너무 검정이 강하면 검빨느낌이 강해서 촌스러울것같아 걱정했네요. 제품특성상 노이즈방지가 되어있어서 기존에 쓰던 노이즈가 컸던 청축에 비해서 타건음이 작아 좀 그부분은 제가 예상하지못했으나 적응하다보니 전에랑 또 다른 소리에 익숙해졌네요. 녹축이다보니 확실히 눌러지는 느낌도 좀더 좋습니다..소리가 좀더 큰 청축도 원하는 타입이라 그런거고 개인적으로 쓰다보면 그렇게 소리가 작은편은 또 아닙니다. 저는 RGB느낌이 너무 싫어서 이제품 구매했고 사진에 있는데로 흰색 LED가 은은히 비쳐나오는데 특히 주위조명이 없다면 너무 강하지도 않고 은은해서 좋습니다(약하다는게 아니라 밝기가 적절하게 세팅되어있다는..)

요새 이 브랜드에 108키배열이 별로 없어 좀 아쉽습니다. 색깔이쁜것도 108배열이있었으면하는데 대세가 텐키리스를 찾는사람들이 많아선가.. 텐키리스쪽이 요샌 많더라고요..저는 104키배열을 아직도 선호하고 넘패드도 붙어있어야 좀더 안 번거로워서 저와 같은 생각이시면 한번 구매하셔도 됩니다. 기본에 충실하여서 다른 키보드에 비해 비싸보일순있습니다. 딱히 매크로 키가 있는것도 아니고요. 하지만..그만한 .",[]
5,"기계식 키보드는 처음 써보는데 너무 좋네요
초음에는 익숙지않아서 느낌이 이상했지만 한시간만 써보니까 바로 적응됐네요 ㅋㅋ 입문용으로 아주 좋습니다. 느낌은 도각도각거리구요 일반 멤브레인보다는 시끄럽지만 집에서 사용하기에는 전혀 문제 없을 것 같습니다. 색은 세 번째 사진과 가장 흡사합니다.","['https://phinf.pstatic.net/checkout/20200424_294/1587722930129Uud55_JPEG/20200421_145155.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200424_300/1587722947441OzF0G_JPEG/20200421_145309.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200424_22/1587722956358MNMNI_JPEG/20200421_145510.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200424_148/1587722968879qTLO5_JPEG/20200421_150519.jpg?type=f287']"
5,"우선 아주 만족합니다. 전전에 쓰던 키보드는 약11만원전에 쓰던키보는 3만원정도의 저렴한 키보드 역시 3만원짜리는 통울림도 상당히심하고 키가 몇일 안가서 안눌리고 연속으로 눌리고 난리도 아니였습니다.우연치않게 알게된 cox ck87 저는 옆에 숫자버튼이 있는게 좋아서 108을 삿는데, 디자인도 아주이쁘고 3만원제품과는 비교가안되고, 11만원 고가의 제품과도 견주어도 손색이 없을정도로 이 가격에 이 퀄리티 아주 추천합니다.","['https://phinf.pstatic.net/checkout/20190723_251/1563854253870Ja6yL_JPEG/20190709_175412.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190723_210/1563854254133h001f_JPEG/20190709_175503.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190723_72/15638542545330tuU1_JPEG/20190709_175823_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190723_64/1563854254328j9xSb_JPEG/20190709_175816_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190723_213/1563854254731fDzLL_JPEG/20190717_190302_HDR.jpg?type=f287']"
4,"배송도 빠르고 판매자분 넘나 친절하심
황축이 젤 인기 많아서 입문용으로 구매해봤는데 생각보가 가볍고 시끄러운 타건감?이었어요
전 약간 묵직한 느낌을 좋아하나봐요
색감도 예쁘고 사무실용이라 영상은 없지만 잘사용할듯해요 집에서 쓰는용으로도 장만할듯
무게도 묵직해서 밀리지도 않고 좋습니당
가성비짱
색깔만보고 SA키캡으로 구매하려다가 높이땜에 이걸로 구매했눈데 탁월한 선택인듯","['https://phinf.pstatic.net/checkout/20200703_245/1593703337986z7KMp_JPEG/acca9634edfcbca6163e3ace3dbda0cf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200703_257/1593703337955txo0c_JPEG/e3e451783e6effd5b0bcfce1dae711c4.jpeg?type=f287']"
4,"약간 키압이 있는 것 빼고는 7만원 대 중에서 정말 말도 안 되는 퀄리티인 것 같습니다.

키의 마감이나 키보드의 자체 마감이 정말 고급스럽고

윤활제가 있어서 그런지 기계식 키보드 특유의 텅텅 비는 소리가 없어서 정말 마음에 드네요.

오른쪽 숫자 쪽은 좀 나는 것 같지만, 왼쪽 기본쪽은 아주 마음에 듭니다 굿.","['https://phinf.pstatic.net/checkout/20200705_118/1593876824561xtFJS_JPEG/review-attachment-ce4200ab-823e-4699-bb32-e395c959321c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200705_195/15938768246627FkAR_JPEG/review-attachment-d6577d2e-2ea0-42c8-b225-1fc987e884a3.jpeg?type=f287']"
5,와... 이런 저런 키보드 사용해봤지만 이 게이트론 황축의 키감이 개인적으로 최고입니다. 부드럽고 스피디한 적축느낌에 뭔가 쫀득함까지! 게이트론 갈축을 사용한 키크론 k2는 타건소리가 청량하긴 하지만 뭔가 타이핑을 할 때 글쓰기에 집중하기 어렵네요. (참고로 전 게임을 하지 않습니다. 오로지 타이핑 용!) 그리고 더키 제로 3087 저소음 적축 키보드 나 콕스 엠프리스 무접점 키보드랑 비교해보면 소음이야 이 두 키보드가 적지만 뭔가 글을 쓰는 느낌 자체는 황축이 제일 좋은 것 같습니다. 뭔가 생각하는대로 처지는 갓 같은! 그러고보니 가격은 제일 저렴하네요?@.@,['https://shopping-phinf.pstatic.net/20200415_10/16338c05-ee12-4336-8833-e1ead2ca93c1.jpg?type=f287']
5,"사무실에서 사용하려고 구매했어요.
마감이 참 고급지네요.
색상은 이탈리아 자동차가 연상될만큼 맘에들구요.
갈축은 처음인데 생각했던것보다 타이핑소리가 커서 좀 당황했지만 아마 노뿌무접점을 쓰다 써서 그런거 같아요.
이제 쓰면서 내구도만 좀 좋길 바래야겠죠 ㅎㅎ","['https://phinf.pstatic.net/checkout/20200319_249/1584607162150rc9Wo_JPEG/20200319_173838.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200319_245/1584607169489Lstcc_JPEG/224.jpg?type=f287']"
5,"한달리뷰 적습니다.
색감 질리지 않고요 어릴때부터 멤브레인 키보드만 써서 걱정이였는데 지금 잘 적응했습니다.
다만 자꾸 스페이스바가 눌리는 (정확히는 게임 하다보면 저도 모르게 엄지 손가락에 좀 힘주다보니 막눌리네요 ㅋㅠ)

평점 5점 드리고요 잘쓰겠습니다 ^-^

++ 추가적으로 LED 모드 바꾸고 싶으신 분은 유튜브에 정확히 '[COX]CK 108 게이트론(블랙) LED 영상' 검색해보세요~",['https://phinf.pstatic.net/checkout/20200615_225/1592225603629HWWod_JPEG/KakaoTalk_20200508_182918882.jpg?type=f287']
5,"멤브만 쓰다가 이번에 바꿔봤는데 생각보다 너무 부드럽고 가볍고 편해요 놀랐어요;; 전 것도 절대 나쁜 키보드가 아녔는데 너무 다르네요.. 그리고 옆에 계산기키 아주 좋아요♥..ㅎ
황축이 좋다고들 하셔서 고민하다가 그냥 제가 원하던 갈축 샀는데 전 매우 만족했어요. 다음엔 황축도 사보려구요 ㅎ
그리고 상관없는 얘기지만 살짝 무거울 수 있다고 들었는데 저한텐 많이 무겁네요..ㅋㅋㅋ 다음에도 좋은 제품 부탁드려요 감사합니다~",['https://phinf.pstatic.net/checkout/20200627_195/1593235279697jNQ0T_JPEG/3.jpg?type=f287']
4,"1.디자인
- 색깔이 전체적으로 톤 다운 되어 있어서 이렇게 포인트 있게 투톤 키캡이 더 이뻐 보이네요. 질리지 않을 클래식함

2. 키감
- 게이트론 입문자로 녹축/ 갈축/ 황축 다 구입했습니다.
- 갈축편
키압이 체리에 비해서 상당히 낮습니다. 거의 눌러지지 않는 느낌이 들 정도로 경쾌한 타건이 가능합니다. 체리MX 갈축을 생각하고 사신 분들은 저처럼 깜짝 놀라실 겁니다.
녹축에 비해서 스프링 소리도 거의 들리지 않기에 스테빌라이저 쇳소리가 들려오기 시작합니다. (저건 윤활작업해주면 되니까)


3. 총평
갈축이 정말 가벼워서 놀랐습니다. 빠른 타이핑이 가능한 제품이고, 디자인 역서 이쁜 제품, 가격이 딱 정가인데 세일 내지 할인 이벤트가 있으면 구매 추천 드립니다.
저처럼. 게이트론 입문자 혹은 풀배열만 쓰는 사람이 라면 굉장히 좋은 선택이 될 것 같습니다.",['https://phinf.pstatic.net/checkout/20200115_132/15790720646263sWRi_JPEG/20200115_015634.jpg?type=f287']
