star_point,comment,photo
5,"데스크탑을 사로 맞추면서 구매하게 된 키보드입니다. 게임을 거의 안하고, 라이트한 게임도 할까말까하지만 사무용으로 나온 키보드들 중 마음에 드는 제품이 없어서 게이밍 제품군까지 알아보게 됐습니다.

이 제품의 경우 텐키도 있고, 디자인이 특히 깔끔하여 구매를 결정했습니다. 다른 게이밍 키보드의 경우 RGB가 너무 요란해서 걸러버렸는데, 이 제품은 화이트 LED 단일로 나오는 것을 보니 마음에 들었습니다.

기계식이 처음이라 타건감이 아직 어색합니다. 저소음 모델이 아니라서 소음도 좀 느껴지구요. (이건 제가 이전에 저소음 키보드를 사용해서 그렇게 느껴지는 것 같습니다.)

무튼 좋은 제품 구매한것 같아 좋습니다.","['https://phinf.pstatic.net/checkout/20201024_191/1603518874534mgU7x_JPEG/review-attachment-9ac64e84-90f1-4998-b7e6-6d6d3762a22d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_224/1603518874646RQhW9_JPEG/review-attachment-8c2c3902-c275-482a-8237-dfecbceee327.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_225/1603518874509nf4PC_JPEG/review-attachment-2e3dcf15-b38c-4a1d-9740-c635a493fd11.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_21/1603518874602rDRjN_JPEG/review-attachment-ebd336e7-120a-48e6-b296-9ad20973f828.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_75/1603518874691tOpqz_JPEG/review-attachment-b1083816-f48f-450b-81da-06d76cfd8dd3.jpeg?type=f287']"
5,"기계식키보드는 피시방에서 청축, 광축, 적축만 사용해봤고 갈축은 처음 써봤습니다.
처음 딱 타건했을때는 뭐지? 밋밋한데? 라고 느꼈는데 이게 생각보다 치는 맛이 있고 청축 특유의 걸리는 느낌이 세게 들지는 않지만 약간 걸리는듯 밀리는 느낌이 들어서 이 특유의 갈축 손맛이 너무 좋습니다.

청축, 광축이 맵고 달달한 떡볶이라 자극적이고 확 땡기는 느낌이라면
갈축은 동네 시장떡볶이 느낌? 확 자극적이지는 않지만 적절히 감칠맛도 나고 안질리고 계속 생각나는 그런 타건감이네요. 딱 처음 손댓을때 뭐지? 싱거운데? 하는 느낌만 벗어나면 정말 중독되는 키감입니다.

소음도 딱 적당하게 밤에 사용해도 크게 시끄럽다고 안느껴지고, 그렇다고 아예 아 내가 기계식 쓰고있구나 하는 느낌이 잘 듭니다.

디자인은 블랙 베이스에 키캡은 약간 찐한 회색? 살짝 연한 검은색? 느낌으로 되게 괜찮습니다. 단일 LED는 호불호가 갈리겠지만 경험상 레인보우는 빨리 질리는 감도 있고 별로 예쁘다고 못느껴서 단일LED인게 더 좋네요.

통울림은 정말 조용할때 키 하나하나 눌러보고 쎄게 눌러보면 아예 없다고는 못하겠지만 평소 그냥 사용하듯 타다다닥 치고있으면 통울림 아예 못느끼고, 헤드셋 or 스피커 쓰고있으면 솔직히 통울림 못느꼈네요.

갈축을 처음써봐서 기대반 걱정반으로 산 제품인데 생각보다 너무 취향이라 마음에 드네요. 갈축이 왜 핫한지 잘 알게 되었습니다.

잘 쓰겠습니다~",['https://phinf.pstatic.net/checkout/20200831_233/1598870944314LHyx8_JPEG/review-attachment-5fda6e99-c4db-4a9b-9118-5b61f379575d.jpeg?type=f287']
5,"박스 안에도 스타이렌 폼으로 꼭짓점들이 보호되고 있어 키보드에는 상처가 없이 올 수밖에 없습니다
그런데 추가적으로 겉면에 포장해주시는 뽁뽁이가 되게 빵빵해서 배송 안정감은 그냥 최고라고 할 수 있겠네요

광축을 쓰다가 조용한 새벽에 클릭 소리가 스트레스로 다가와 가성비 갑이라는 ck87의 풀배열 모델인 ck108을 사기로 결정했습니다
제가 적축 청축 이런건 써본 경험이 전무하기 때문에 상대적 키감 이런거는 평가할 수 없을 것 같습니다
근데 영상들을 찾아보고 공부해본 결과
통울림 스프링소리 이런 저가형의 소리는 안나는 걸 알 수 있었습니다
제가 느끼기엔 확실히 소리가 아예 안나는 그런게 아닌 서걱서걱하고 부드러운 키감이 일품입니다
약한 소음이 있기에 키 구분은 잘 되구요
광축의 클릭소리에서 넘어왔지만 적응기간은 따로 필요하지 않았네요 ㅎㅎ
오랫동안 고장나지만 않아줬으면 좋겠습니다

제가 받은 제품은 처음에 스페이스바의 스테빌이 잘 안된 듯 했습니다
왼쪽 누를때는 서걱서걱한데 오른쪽 누를때는 탁탁 팅팅 거렸거든요
절망하려다가 광축 스페이스바를 갖다 껴보니
그래서 장착의 문제구나 하고서 다시 끼면서 꽉 눌러 껴주니 해결이 되었습니다

전체적으로 정말 군더더기 없이 깔끔한 좋은 키보드인 것 같습니다
아, 키보드 덮개는 따로없지만 광축꺼라던가 오래전 쓰던 멤브레인 키보드 덮개로 대충 덮어지니 저는 괜찮네요 ㅎㅎ","['https://phinf.pstatic.net/checkout/20200411_64/1586572430225m8ziY_JPEG/20200409_112746.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200411_22/1586572447581iX7Fj_JPEG/20200409_114958.jpg?type=f287']"
5,"일단 기계식 답게 무게감 있어서 좋구.
원래 저소음갈축 가려다가 황축 소리듣고 반해서 산건데, 저소음갈축 샀으면 큰일날뻔 했네요
왜냐면 이게 생각보다 많이 조용해요 유튭에서 황축 영상 다 찾아봤는데 듣기로는 청축 갈축 중간 같아서 뭔가 청축보다 무거운 경쾌함? 이런거 생각 했는데 생각보다 많이 조용한 편입니다. 게임할 때 키감이 느껴져야 하는 사람들은 안좋은 거 같기도해요
빠른 타이핑을 할 때 진가가 나온다고 해야대나 서걱서걱 소리가 정말 좋네요
조용히 짧은 문장 칠 때는 갠적으론 많이 조용한 거 같구요. 일단 겜할때도 저는만족입니다",['https://phinf.pstatic.net/checkout/20200929_294/1601357548079cemMh_JPEG/review-attachment-9297dd9a-e8c1-4ad4-aca8-cfc03696d043.jpeg?type=f287']
4,"기계식 키보드 처음 써보는데 좋은건지 나쁜건지는 잘모르겠어요
갈축으로 구매했는데 소리는 작다고헀지만 막상써보니 완적 작은느낌은 아니였습니다~ 키보드자체는 조금 무게감이 있었고 전반적인 디자인은 깔끔한 스타일인것 같습니다.
특이한점은 누를떙 스프링 튀기느 팅? 팅? 소리가 약하게 들리는데 원래그런거지 잘못된건지?? 바닥에 뭘안깔아서 그런건지는 모르겠습니다!!","['https://phinf.pstatic.net/checkout/20201023_147/1603422895786AWyaz_JPEG/review-attachment-b8265f08-1c9c-4566-8921-dcb670202809.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201023_108/1603422895517OalSh_JPEG/review-attachment-576013ae-814a-4dc8-be9b-955e2fc93f48.jpeg?type=f287']"
5,"처음으로 기계식 키보드를 써봤습니다.
구매전에 유투브등으로 약간의 정보는 참고했지만
한번도 기계식 키보드를 사용해본적 없기에 어떤 축을
골라야 할지 고민이 많았습니다.
갈축을 선택 했지만 유투브에 유독 황축에 대한
영상이 많아서 아...나도 황축 했어야 했나 하는
결정 장애적 후회가 밀려 오기도 했습니다.
멤브레인 키보드만 20년 이상 사용했습니다.
하지만 오늘 오후 배송 받은 직후.....
콕스 108 갈축 첫 타건...느낌은....
지옥에서 천국을 영접한 느낌....
내가 이때까지...도데체 무슨 쓰레기를 두드린거야....
하는...신세계에 첫발을 내딛은 느낌이였습니다.
갈축의 타건도 무겁지 않고 저한테는 적당했구요...
고급진 느낌이였습니다.
..다음에는 서걱서걱하는 황축도 한번
사용해 보고 싶네요.
많이 파세요...
모나미 오각 볼펜만 사용하다
몽블랑 만년필을 처음 사용한 기분입니다.ㅎ",['https://phinf.pstatic.net/checkout/20200512_55/1589289436301674JI_JPEG/20200512_220221.jpg?type=f287']
5,"배송 엄청 빠르고요 포장도 되게 견고하게해서 옵니다.
기계식 키보드는 처음써보는데 키감이 무겁지않고 소음도 그렇게 크지않은게 적당한것 같네요 스페이스만 따로 조금 키감이 다르긴한데 이부분은 유튜브에서 많이 리뷰로 보아서 미리 알고있던 부분이라 크게 불편한점은 없네요
가성비가 상당히 좋다고 말하던데 듣던데로 좋네요 잘쓸게요","['https://phinf.pstatic.net/checkout/20200520_254/1589973693999pg97j_JPEG/KakaoTalk_20200520_201848513_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200520_85/1589973691404AXmwb_JPEG/KakaoTalk_20200520_201848513.jpg?type=f287']"
5,"이 키보드를 추천 받았을 때는 적축과 흑축의 사이? 라고 들어서 무슨 말인지 몰랐습니다만 써보니까 바로 알겠습니다. 이것은 아주 훌륭한 혼종입니다. 키감이 너무 가볍지도 그렇다고 무겁지도 않습니다 소리는 아주 적당한 거 같습니다. 소리는 대략 삼성컴퓨터 사면 주는 기본 키보드..정도? 매우 조용한 것은 아니지만 사무용으로 사용해도 문제 없을 정도입니다. 디자인,, 특히 마감이 매우 만족스럽습니다.",['https://phinf.pstatic.net/checkout/20201015_33/1602737910631obfbx_JPEG/review-attachment-a061b874-59dd-46da-a751-a22014ea29b3.jpeg?type=f287']
5,"기계식키보드를 처음으로 입문하는거라 6만원 이내 키보드를 찾았고, 이것저것 알아보면서 눈여겨보던 제품인데, 마침 할인을 해서 바로 사버렸습니다. 지방에 사는지라 타건은 못해봤고, 피방에서 보통 청축을 많이 쓰는데, 소리는 둘째치고 키보드를 눌렀을 때 걸릴듯말듯 탁하고 들어가는 느낌이 싫어서 리니어축으로 선택하였고, 결과는 매우 만족스럽습니다.
장점으로는 깔끔한 디자인, 스페이바 윤할로 매우 부드러운점, 숫자키패드 위에 가시적으로 보이는 소리조절과 계산기 사용, 10만원대에 키보드와 같은 하우징으로 튼실할거같은?
단점으로는 스페이스바 통울림과 키보드 보호캡이 없다는 점이겠네요.",['https://phinf.pstatic.net/checkout/20200407_133/1586250340347s2fJ9_JPEG/1.jpg?type=f287']
5,처음으로 기계식 키보드를 사봅니다.동생이 앱코 광축 키보드를 썼었는데 클릭 스위치라 소음이 생각보다 커서 소음 적을걸로 사려고 고민하다가 황축으로 구매를 했습니다.타건해본 결과 타건음도 상당히 좋고 타건감도 상당히 좋았습니다. 다른 키보드를 안써봐서 잘은 모르지만 입문용으로 좋은것 같습니다.소음은 사람들이 기계식은 뭘 어떻게 해도 소음이 난다고 해서 걱정했는데 카일 광축클릭이랑 비교도 않되게 정숙하고 원래 쓰던 오래된 멤브레인 키보드보다 소리가 작아서 깜짝 놀랐습니다. 개인차에 따라서 다르겠지만 소음은 신경쓰지 않으셔도 될 것 같습니다.색깔도 사이트에 나와있는것보다 연한 회색인데 무광이어서 은은하게 빛나는 흰색 led와 함께 고급스럽고 좋은것 같습니다.입문용으로 강추합니다.,[]
