star_point,comment,photo
4,"우선 인터넷에서 가장 저렴한 텐키리스 기계식키보드라는 점에서 좋습니다 디자인도 맘에들도 led 효과도 좋습니다
다만 스프링 소리는 정말 아쉽네요.. 물론 연속 입력중일때는 안들리고 마지막 입력후에 윙~ 소리가 나죠 ㅎ
물론 저처럼 사무용이 아닌 게임전용으로 산것이라면 어차피 게임소리때문에 들리지도 않습니다! ㅎㅎ
그리고 통울림은 푹신한 장패드, 수건, 담요 이런것만 깔아주면 잡히고 소리 가라앉습니다 ㅎ
어쨌든 한번 언제 날잡고 윤활해서 스프링소리 좀 줄여야 겠네요~
그리고 제가 입문자라서 잘은 모르고 갈축이 원래 이정도인지는 몰라도 연속입력시에 걸리는 감을 느끼기가 어렵네요~",['https://phinf.pstatic.net/checkout/20201112_76/1605156221037ldjNL_JPEG/review-attachment-9c32cf2a-8dce-468e-b7be-406c53b18bf3.jpeg?type=f287']
5,"와 스페이스바 소리 진짜 걱정했거든요 텐키리스 키보드로 넘어갔다가 60프로 배열로 넘어가려고 사서 내가 작은걸 좋아하는지 테스트겸 겸사겸사 싼거 샀는데 와우...
스테빌라이저 소리 진짜 안납니다 지금 제가 로지텍 g512 리니어 적축 사용중인에 그거 만큼 잡혀있어요 비교가 가능 할정도의 성능이랄까나.. 여기가 스테빌라이저 윤활을 해서 파는건지 모르겠는데 저 같은경우는 키보드로 따지면 당첨이네요 !! 제가 키덕이라 ㅎㅎㅎ 너무 행복합니다 !!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_29_0/895f3e17-0233-11eb-8b74-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200929_245/1601370643106BSJwI_JPEG/review-attachment-89584e3b-4e18-44cb-9095-2c78a75be4a1.jpeg?type=f287']"
5,가격도 저렴하고 성능도 괜찮은 것 같습니다 ㅎㅎ 기계식 키보드를 처음 써봐서 그런지 모르겠는데 좋네요.. 텐키리스라 책상 공간도 많이 차지 안하네요. 코딩하거나 이럴때도 좋을 것아요. 솔직히 통울림? 이라는 게 조금 있긴 한데 저도 까다롭긴한데 진짜 예민한분 아나면 괜찮아요... 가격대비 성능 좋습니다,"['https://phinf.pstatic.net/checkout/20200403_48/1585877232644r3eQj_JPEG/20200401_175659.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200403_278/1585877246019F9oi0_JPEG/20200401_175735.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200403_145/1585877255205sBsp9_JPEG/20200401_175806.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200403_89/1585877263932xjGUr_JPEG/20200401_175848.jpg?type=f287']"
5,"빠른 배송 감사합니다. 문서작업을 주로 하는지라 해피해킹 Porfessional 2를 써왔는데, 이 제품 처음받고 타건하는 순간, 경쾌한 타건 및 다른 기계식 키보드에 비해 소음이 적어서 마음에 들었습니다. 악세서리도 동봉되어 있고, 먼지제거 붓이 귀엽네요 ^^. 메뉴얼에 펑션키와 조합하여 사용 시 상세히 설명되어 있어서 좋았습니다. 제가 쓰고 있는 키보드 (레이저 블랙위도, 해피해킹) 처럼 고가의 키보드에 견주어도 충분히 타건감을 만끽할 수 있는 제품입니다. 이 가격에 가성비 최고, 제품 마감 만족, 구성에 다시 한번 무릎을 탁 치고 갑니다. 판매자님 이 제품 계속 판매해주세요. ^^","['https://phinf.pstatic.net/checkout/20200312_143/1583978485913PjmkH_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200312_179/1583978489021opxhJ_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200312_228/1583978492231NoujS_JPEG/3.jpg?type=f287']"
1,통울림이 너무 심합니다 컴팩트한 크기라 조용히 사무실에서 쓸 수 있겠지 하며 산다면 모두가 나의 키보드 소리에 주목할 것입니다 그렇다고 게임용으로 산다면 작은 사이즈를 위해 버린 오른쪽 숫자 키패드와 구린 키감 그리고 통울림소리가 발목을 잡습니다 이 값 주고 살건 절대 아닙니다 그나마 튼튼은 한지 아직까지 고장은 안 나네요,['https://phinf.pstatic.net/checkout/20201126_234/1606316894370uXAkm_JPEG/review-attachment-b3e5f77a-51cf-40d9-8f54-d7333ce07b6e.jpeg?type=f287']
5,"진짜 가성비대비 정말 좋아요, 키를 눌렀을때 엄청 무거운것도 아니고 그렇다고 가벼운것도 아니라서 타건감이 좋아요. 재질도 은근 신경쓴게 보여서 만족중입니다. 기계식 키보드 입문할 예정이라면 이 제품으로 시작해보는 것도 좋다고 생각합니다. 키보드 소리는 동영상 첨부 참고하세요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_12_0/a856b5bd-f4ee-11ea-8be1-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_142/1599911640906MxgOX_JPEG/review-attachment-2b774e1f-280e-4cdf-8b64-65c3c5fdc6d6.jpeg?type=f287']"
4,적축 입문용으로 쓰이기 너무 좋은거 같습니다! 다만 통울림이 조금 있지만 격하게 두드리는게 아니라면 들리지 않아요! 구성품도 키캡 리무버 청소솔도 같이 오구요! 한가지 아쉬운건 키보드 더스트 커버가 없어서 직접 구매했습니다 상품자체는 너무 만족스러워요 잘쓰겠습니다!^_^,['https://phinf.pstatic.net/checkout/20201122_256/16060534900665T87S_JPEG/review-attachment-759ea029-f403-46c0-873a-c40db3e2e633.jpeg?type=f287']
5,"유튜브 동영상에 소음이나 타건감에 대한 부정적인 리뷰가 많길래 며칠 고민을 하다가 이만한 가격이 없어서 결국 질렀네요. 우려했던것 보다 타건감이나 소음은 저한테는 나름 합격점이네요. 업무상 출장이 잦아서 서브키보드로 사용하려 구매했는데 만족입니다. 키캡은 LED표시를 위한 각인이 왠지 산만해보여서 측각 키캡으로 교체해줬구요. 화이트에 그레이 키캡이 역시 잘 어울리네요. 입문용으로는 딱인거 같습니다.
번창하세요~^^",['https://phinf.pstatic.net/checkout/20200530_241/1590792489885KlfSw_JPEG/20200529_173949.jpg?type=f287']
4,"맥스틸 게이트론 청축쓰다가 딸칵이는 소리가 시끄러워 적축알아보다 적축은 써본적이 없고 텐키리스가 쓰고 싶어 알아보다 제일 저렴한 가격에 적축구할수 있는 제품이어서 속는 셈 치고 구매했습니다. 워낙 단가절감많이 했다는 말이 많아서 걱정했는데 축교환 텐키리스에 적축으로 괜찮은 제품은 품절이거나 너무 비싸다는걸 감안하면 이해할만한 퀄리티입니다. 구매하자 마자 불량테스트 후에 타건해보니 적축임에도 철심소리 서걱거림 통울림 다 있더군요 그래서 바로 분해해서 슈퍼루브 스프레이윤활하고 5t스펀지 붙였더니 지금은 완전 만족합니다. 따로 윤활이나 통울림잡을 수고하신다고 생각하시면 이 가격에 정말 좋은 제품이라고 생각합니다. 장점 : 저렴한 가격의 축교환 적축 단일 led(무지개 짭rgb보다 나음) 단점 : 하우징마감퀄리티 엉망, 윤활필수, 흡음스펀지없음.",[]
4,"키보드 매니아가 아니라서 몰랐는데 통울림과 스프링 소리가 심하다는 게 무슨 말인지 확실히 알 것 같습니다.
마감상태, 디자인 등은 다 만족합니다. 배송도 빨랐습니다.
애초에 저렴한 키보드 찾아서 구입한거라 이정도면 만족스럽고 소음 잡는 튜닝을 좀 찾아서 해봐야겠네요",['https://phinf.pstatic.net/checkout/20201026_176/16036500354479x7UF_JPEG/review-attachment-dbb00e9c-82b6-4a1f-b956-a3bdb1bc8ba3.jpeg?type=f287']
