star_point,comment,photo
5,"# 제품에 대한 리뷰 (오테뮤(GTMX), 적축)키감이 무거울 줄 알았는데 놀랍게도 가볍습니다. 이전에 사용한 로지텍 K380(멤브레인)이나 삼성 NT900X5T-K716A(시저스위치)보다 가벼운 거 같아요. 키보드 백라이트 패턴이랑 색상 되게 이쁩니다.사기 전에 유튜브에서 후기들을 봤는데, 스테빌라이저 철심에서 소음이 나길래 받기 전엔 좀 걱정했는데 실제로 사용해보니 백스페이스 빼고는 괜찮았어요. 아마 회사에서 그 리뷰 동영상들 보고 피드백한 거 같네요. 백스페이스는 구리스를 좀 더 발라야 할 것 같습니다.그 외에 COX가 ABKO의 자회사이고 인터넷에서 믿거앱이라길래 걱정했습니다. 또 오테뮤도 거르라고... 근데 한번도 사용 안 해본 기계식 키보드에 큰 돈을 투자하기가 좀 그래서(원래 시저스위치 사려 했었음) 그냥 싼 맛에 질렀습니다. 뽑기가 잘 된 건지, 이 제품이 잘 나온 건지, 회사가 정신을 차렸는지는 잘 모르겠습니다.# 기계식 키보드를 처음으로 시도하려는 분들을 위한 리뷰<키감>제게 기계식 키보드는 이 적축이 처음이라 다른 스위치에 대해서는 경험해본 적이 없지만, 각 키의 설명을 토대로 상상해보면 갈축이 멤브레인이나 시저스위치에 가장 가까울 겁니다. 적축은 걸리는 것이 없이 키가 쑥쑥 들어가고, 반 정도만 들어가도 인식되서 키보드에 손가락을 얹혀 놓고 타이핑하는 게 익숙한 사람은 의도치 않게 키를 누르는 경우가 많을 겁니다. 소리도 잘 안 나기 때문에 자신이 키를 눌렀는지 모를 수도 있어요.<키보드 높이>멤브레인이나 시저스위치에 익숙하시다면 손목을 바닥에 붙이고 손가락을 키에 얹혀놓고 타이핑하시는 게 익숙하실 텐데, 기계식 키보드를 사용할 때 손목을 바닥에 붙이면 자연스레 키보드 높이 때문에 손가락이 키에 얹히게 되고 이때 적축인 경우 의도치 않게 키를 누르게 됩니다. 손목을 바닥에서 떼게 되면 앞팔(전완근이 있는)이 경사지게 되며 1) 팔꿈치가 바닥에 닿거나(몸을 책상에 바짝 붙였을 때), 2) 앞팔 중간이 책상 끝에 닿게(몸이 책상에서 조금 떨어졌을 때) 되는데, 두 번째의 경우 팔 뼈가 조낸 아프게 됩니다.결론: 갈축을 사거나 멤브레인이나 시저스위치 키보드를 산다.",[]
5,리뷰에 통울림 심하다고 한 게 뭔 소리인가 했는데 누르자마자 아 이거네 했네유 약간 사소한 소리 신경 쓰는 편이면 비추천입니다! 뭐 그렇게까지 거슬리진 않아요. 그리고 뭐 노래 듣거나 게임하면서 하면 통울림 소리 안 들려요led 밝은 정도도 조절할 수 있어서 아예 끄거나 낮은 단계로 하시면 눈 별로 안 부십니다. 디자인도 심플하고 예뻐요. 통울림만 덜 하면 진짜 완벽할텐데 싼만큼 감수해야겠쥬. 키보드 칠 때 소리도 적어서 좋아요 ㅎ 부드럽게 눌려요,"['https://phinf.pstatic.net/checkout/20200222_291/1582355046839xUtJU_JPEG/20200222_155631.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200222_150/1582355046798aGRbd_JPEG/20200222_155716.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200222_9/1582355044576Xpt80_JPEG/20200222_160108.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200222_166/1582355045578gSbdQ_JPEG/20200222_160059.jpg?type=f287']"
5,기계식 키보드를 처음 구매하는 거라 고민을 많이했네요. 찰칵거리는 청축을 구매할까 하다 적축의 서걱거리는 소리가 너무 좋아서 적축으로 산건데 비교대상이 없어서 그런지 저한테는 너무 좋네요. 가격이 착하고 디자인도 깔끔한 화이트라 잘 쓸것같아요!,"['https://shopping-phinf.pstatic.net/20200603_10/9c6a0a11-fe7e-48fa-b60e-41aac294661b.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200603_21/9ba2ea1b-c046-439e-a0a8-2350da64d148.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200603_17/f458489c-5609-4df9-b5bb-b7057d5cfd8b.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200603_11/5447c3a9-b804-4886-bec1-04fc629ca79a.jpg?type=f287']"
5,"처음 사자마자 연결 시켜서 입력하는데
한영키가 안되서 뭐지... 이것이 텐키리스의 참맛인가라고 생각했습니다
정녕 한글의 아름다움을 마우스로 밖에 표현을 못하는 것인가 당황을 했지만
검색을 해보니까 콕스 홈페이지에 한영키 레지스터가 있더라구요
어차피 오른쪽 컨트롤하고 알트 안써서 저는 바꿨습니다

눌렀을때 튕기는 소리니 뭐니 있다고 하더라고
그럴꺼면 비싼거 사서 안듣는게 나은거 같아요
이 가격에 텐키리스의 참맛을 느낄 수 있는 제품입니다",['https://phinf.pstatic.net/checkout/20200625_43/1593062909165WDJSC_JPEG/KakaoTalk_20200625_142617911.jpg?type=f287']
5,"기계식키보드 입문자 인데 너무 마음에 듭니다
유튜브로 후기를 엄청 많이 찾아보고 구매하게되었는데 기계식키보드입문자라 그런지 다른사람들이 신경썼던 단점들이 저한텐 크게 와닿지는 않네요 ㅎㅎ
다만 높이조절부분을 세우고 타건하면 통통거리는 울림이 좀 있긴 하지만 안세우고 쓸거라 저는 상관없겠네요 ㅎㅎ 타건음도 그렇고 마감도 괜찮고 너무 마음에 듭니다 무엇보다 저렴한 가격이라는게 제일 좋아요
갓성비키보드!!! 굿굿","['https://phinf.pstatic.net/checkout/20200718_103/15950457156242Iryv_JPEG/review-attachment-6837c443-3836-408e-9420-cd5b2da6447a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200718_73/1595045715896yxjAY_JPEG/review-attachment-5148ce47-4878-4994-96b3-c7fe85a540c1.jpeg?type=f287']"
5,"사무실이나 집에서 일반 키보드로 쓰면 자꾸 팔을 좌우로 쭉 벌려서 사용하고, 글씨 쓸때는 왼쪽으로 몸을 이울여서 쓰다보니 텐키리스 키보드를 구매할 생각이 들었습니다. 연습용으로 만원짜리 쓰고, 넘버키만 있는 키보드 써보니까 어깨가 편하더라구요. 그래서 연습용 말고 재대로 쓸려고 CK250 을 구매했습니다. 적축이라 조용하고, 나름 키 누르는 감도 좋습니다. 글씨 빨리쓸때 약간 플라스틱 쓸리는 소리는 있는데 신경쓰일 정도는 아닙니다. LED 색상도 핑크핑크하고, LED 끄면 검정색이라서 글씨도 잘보입니다. 그리고, 처음부터 케이블 정리용 타이도 달려 있네요.",[]
4,"이어폰을 쓰기 때문에 딱히 통울림은 PC 사용하면서 느껴지진 않았고, 그동안 멤브레인방식 키보드만 써왔던 터라 쑥쑥 들어가는 적축 적응은 좀 걸릴 듯 합니다 ㅜ 그래도 타건감이나 소리는 정말 좋습니다. 말 그대로 서걱서걱 소리가 압권이에요. LED도 단순한 게 또다른 매력같고요. 이 가격대에 이정도 퀄리티면 굉장히 만족스러운 제품입니다!",['https://phinf.pstatic.net/checkout/20200508_285/15888705903251iwv6_JPEG/image.jpg?type=f287']
5,"우선 배송이 빨라서 좋았습니다.
기존에 청축 키보드를 사용중이었는데 타건 소리를 줄여보고자 적축키보드를 찾아보다 구입했어요.
가격이 저렴한데도 키감도 괜찮고 마감도 깔끔해보이네요. 확실히 적축이 조용하긴 합니다.
고장없이 오래 사용할 수 있으면 좋겠어요.","['https://phinf.pstatic.net/checkout/20200319_45/1584604351250wIrXg_JPEG/20200319_164348.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200319_44/1584604360364HpTOB_JPEG/20200319_164412.jpg?type=f287']"
4,"기계식 처음 사보는거여서 저렴이로 입문했는데, 생각보다는 별로네요.. 청축사볼걸 그랬나봐요. 스프링소리 거슬린다는 말이 많던데 5000원짜리 다이소 키보드도 안들리길래 설마하고 구매했는데 구조 차이때문인지 스프링소리가 많이 거슬리네요. 그냥 저렴하게 쓰기는 괜찮은것같습니다",['https://phinf.pstatic.net/checkout/20200701_284/1593530346155hKo0w_JPEG/E7B32658-C628-4E85-92D9-F010E5DB7482.jpeg?type=f287']
2,"29일에 주문해서 1일날 받았는데 w키 LED 등이 안들어오는 불량이 있어서 교환조치했고 2월 5일에 제대로 된 상품 받았습니다.
그리고 통울림이 꽤 심각한 편인데 제가 기계식 키보드를 써보는건 처음이지만 받아서 타자를 쳐보니 사람들이 말하는 통울림이라는게 이런거구나 하고 바로 알아들을 수 있는 수준이었습니다.
정말 돈이 이것밖에 없는데 기계식키보드를 써보고싶다 생각되시면 구매하실만하지만 돈 여유가 있다면 다른 제품을 사세요.",['https://phinf.pstatic.net/checkout/20200205_255/1580885440880YN4Cn_JPEG/KakaoTalk_20200201_112928144_02.jpg?type=f287']
