star_point,comment,photo
4,무게감도 있고 LED색감도 이쁘네요. 지금 이 리뷰를 쓰면서 안건데 스페이스바가 가볍기도 하고 누를때 빨리 눌렀다 때면 '팅-'하는 고음인데 작은 소음? 이 발생합니다. 그래도 이정도면 가격대비 성능이 준수에서 좋음사이정도 입니다! 비교적 많이 누르는 컨트롤 알트 텝 엔터같은 키에 조금더 신경을 쓴게 느껴지네요 ''장비에 크게 신경안쓰고 저렴하게 가성비를 찾으신다면 적극 추천합니다!'' 배달속도도 빠르고 좋습니다!,[]
2,월요일에 주문해서 목요일에 받았습니다. 배송은 느렸어요. 동시입력 19키까지 가능하다는데 '특수한 조합'의 키만 19개까지 동시에 누를 수 있습니다. 안티 고스팅 기능은 멤브레인 키보드 중에서 유명한 큐센의 9천원대 키보드보다 안 좋아요. 게임을 여러가지 해보진 않았는데 롤이나 오버워치등 평범한 게임을 하는데엔 큰 지장은 없을 것 같습니다. 좀 키를 많이 누른다 싶은 게임을 하신다면 과감히 거르시고 기계식 키보드 사세요. 100% 키충돌 일어납니다. 키감은 좋게 말하면 부드럽고 나쁘게 말하면 애매해요. 일반 기계식 키보드는 스위치가 내려갈 때 보강판에 닿는 소리와 누르는 느낌이 있어서 확실한 구분감을 주지만 이 키보드는 청축 스위치를 달아도 결국은 멤브레인이라 스위치가 러버돔을 누르고 바닥에 닿는 느낌이 뭉툭해서 어?.. 이거 스위치 끝까지 누른 거 맞지? 라는 생각이 들어요. 키감은 독특하지만 적응하는데에 시간이 필요할 것 같아요. 키압은 55g이라고 명시되어 있지만 . 가지고 있는 게이트론 녹축과 키압이 비슷합니다. 스테빌라이저 키감과 소음은 균등하지만 일체형 러버돔을 사용했음에도 몇몇 키의 타건감이 균일하지 않아요. 거슬려요. 문제점은 더 있는데 여백이 부족해서 여기에 적진 않을게요.저렴한 가격에 청축 느낌을 내보고 싶다면 추천동시입력의 제한으로 특수한 게이밍용으론 부적합(근데 솔직히 그냥 이 가격이면 만원 더 주고 오테뮤축 기계식 사는 게 나은 듯..),['https://phinf.pstatic.net/checkout/20190718_216/1563432868848pDymO_JPEG/1563432785613.jpg?type=f287']
4,"배송 늦음 . 택배 물량 많은듯. 기사님들 고생많은거같음.. 키보드 터치감이나 타자 소음은 괜찮고 좋음. 근데 키보드 약간 작아서 손 크면 불편함.
Led라이트 약해서 호불호 걸릴듯. 라이트 끄면 키보드 니들이 잘 안보임. 키보드 자체 무게감있어 안정감른 있음",['https://phinf.pstatic.net/checkout/20201030_227/1604057233286reatO_JPEG/review-attachment-55a9c32a-1913-4af4-9dae-d4ee39628587.jpeg?type=f287']
4,"워낙 리뷰가 좋은 키보드
가성비는 말할 것 없음
기계식과 멤브레인의 맛을 함께 느낄 수 있다고 할까.
고가 기계식 키보드를 여러 대 쓰고 있지만 가격을 떠나 이 특이한 키감을 맛보고 싶어서 구매.
포장 깔끔. 배송 빠름. 다만 키캡 리무버와 청소솔이 없어서 아쉽다. 물론 저가로 만들다보니 원가절감이 필요했을 것으로 보임. LED도 무난함. 휘황찬란한 RGB보다 단순한 LED가 나을 수 있음. RGB가 있는 얘기도 있던데...",[]
1,"멤브레인 특성상 소리가 작아야 하는데, 아무리 청축을 박아놨다한들 이건 그냥 기계식 청축키보드네요?
멤브레인을 사려고 했던 분은 사지마세요.
이건 그냥 이름만 멤브레인이지 소음은 기계식청축 이상 급입니다.

너무 시끄럽습니다;",[]
5,생각했던 것 보다는 키압이 높운 것 같구요. 키를 누를 때 팅팅 거리는 소리가 좀 납니다. 특히나 스페이스바나 큰 키를 누를 때. 가격을 생각라면 용서 못할 수준은 아니구요. 기계식의 경쾌하면서도 부드러운 키감이 있어서 좋아요. 사세요.,['https://shopping-phinf.pstatic.net/20191118_9/e07e0140-ac90-4432-a6f2-e21728639610.jpg?type=f287']
5,엄청 밝을거라 기대했지만 은은해서 의외로 괜찮은 광고상으로는 거의 혼자서 자체발광하는거처럼 했지만 실제로 보면 은은~하게 빛나는 녀석입니다. 속지마세요.. 다만 은은하게 빛나는것도 의외로 예뻐서 괜찮습니다. 밤에보면 이뻐요. 키보드 타자느낌은 무난무난하고 타자 소리는 중간정도로 엄청 소리나지는 않지만 저소음은 아닌 제품이라서 몰컴을 해야한다던지 여러 상황일때는 피하시는게 좋습니다. 그것말고 상관없다면 좋아요,"['https://phinf.pstatic.net/checkout/20181025_4/1540469884074jtklN_JPEG/KakaoTalk_20181025_183233683.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181025_97/1540469884209OYdSU_JPEG/KakaoTalk_20181025_183239339.jpg?type=f287']"
4,키보드 높이 올리면 바닥과 공간이 생겨서 그런지 통울림 있습니다. 그래서 타이핑 하다보면 시끄럽긴하네요.그리고 불빛이 눈에띄게 약하긴합니다. !그래서 이 가격이면.. 가성비 좋은 키보드인 것 같네요.^^여유되면 윗 단계 키보드로 바꿔야 겠다.. 싶긴 합니다. !ㅋㅋ,['https://phinf.pstatic.net/checkout/20190402_152/1554199168730OI5qV_JPEG/P20190402_182014050_7FA30166-B48D-406C-A06A-11F8C1FF4A08.JPG?type=f287']
5,"키감이 깔끔하고 소리가 예의범절한 영국신사같아요..ㅎㅎ 택배가 엄청 큰 박스로 와서 당황했는데 속에 넣어주신 에어캡과 딴딴한 포장보고 넘나 설렜어요..ㅎㅎ키보드 오자마자 본체에 연결하구 오렌지 LED 켜지는데 여지껏 써왔던 레인보우 LED 와는 고급진 느낌이 퐉오더라구요 ♡♡ 키감도 멤브레인 청축이라 시원시원하면서 쫀득하구 소리도 예의범절하게 시끄러운 청축소리가 아니라 안정감 느껴지는 청축소리라 너무 좋았어요다음에도 기회가 되면 Cox 사 키보드를 애용해야겠어요. 기계식 키보드 처음 사용하시는 분들에게 가격대비, 가성비 상에서 꼭! 추천해드려요.","['https://phinf.pstatic.net/checkout/20180625_43/15299225342429NE1v_JPEG/PRREW_5134883165869306006.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180625_190/1529922684233TyC5l_JPEG/PRREW_6542715471893589344.jpg?type=f287']"
2,배송은 빠르고 괜찮은데 컴퓨터에 연결하니깐 스피커가 씹히는거 같아요 가끔가다가 기계음깥이 삐~~~~~~소리가 나면서 스피커소리가 작아지고 나중에또 괜찮아지고 반복입니다. 컴알못이라 뭐가 먼지 모르겠지만 키보드 바꾸고 나서 이러네요,[]
