star_point,comment,photo
5,"OMGOMG 드디어 와버렸습니다
제 올블랙 책상의 하이라이트 cox ck420!!!
이 친구는 LED를 안켰을때도 웬만한 키보드보다 디자인이 잘빠져서 보기가 좋아요! 진짜 보자마자 소리지름
USB타입이니 교체도 쉽고 무엇보다 불껐을때 LED가 정말 예쁩니다.... 여러장 들고왔는데 다 표현이 될까 모르겠어요..

LED나 단축키 같은 부분은 같이 오는 설명서 참고하면 됩니다! 키보드도 스티로폼에 꽂혀서 오고 청소솔이랑 아직 용도를 모르는 두개의 집게? 같은것도 와요.

타건은 청축보단 작지만 무소음만큼 조용하진 않아요. 문닫고 샷건만 안치면 웬만하게 커버될 정도?
저는 입문용으로 구매했어요. 너무너무 마음에 들어요.
첨부한 사진과 동영상 참고하시면 도움될거에요.

많이파세요^^ 감사합니다","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_04_0/fd8b123d-1e87-11eb-9c37-246e963a49a8_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_04_0/0373379e-1e88-11eb-9c37-246e963a49a8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_58/1604485462952q8D4H_JPEG/review-attachment-66fba326-04eb-4c3a-8adf-8bc01f3a7f0e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_83/1604485462173Scu0M_JPEG/review-attachment-4bea7f46-6648-481e-ab6b-0fb1798ffcd1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_144/1604485462170vpzTq_JPEG/review-attachment-a2b135a6-c085-4b76-bbad-c61fc7eb0051.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_56/16044854628178egF2_JPEG/review-attachment-e2be59a1-7ea7-47c6-8a96-e4a583b1442c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_74/1604485462111GPlxW_JPEG/review-attachment-bba346fd-a044-4182-ac43-1934fc8a322e.jpeg?type=f287']"
5,"일단 간단히 첫 기계식 키보드 입문용으로는 아주 훌륭했습니다. LED도 어떤 느낌이 나한테 맞는지 확인할 수 있었구요 (사기 전 생각과 다르게 저는 RGB가 아니라 레인보우 여도 상관없더군요)

다만 아쉬운건, 스위치 놀이를 하려고 구입하시는 거면 강력하게 비추합니다.

저는 스위치 놀이하려고, COX 오테뮤 교체축 청축, 갈축을 추가 주문했는데요, 원래 꽂혀있는 적축 스위치를 정말 기를쓰고 힘을줘도 안빠지는 겁니다.
진짜 손가락 2개에 피보고 나서야 겨우 다 뽑을 수 있었습니다. 처음엔 제가 요령이 안좋거나, 스위치 풀러가 금속제 싼 거라서 그런줄알고 넘어갔는데 다른 키보드 리뷰영상들을 보고나서야, 이게 제 문제가 아니라는걸 알았습니다.

첨부된 사진에 보이는 것처럼 일부 스위치 + 키보드 상부 하우징에 순간접착제? 같은 것이 발린 자국이 남아있었는데, 아마도 스위치 흔들림 및 유격으로 인한 소음을 줄이기 위해 해놓으신 것 같습니다. 이것 덕분에 정말 스위치 뽑기가 어려워요...거기에 멀쩡한 스위치 하우징 부서지는 건 덤이구요.

그런데 반대로 말하면, 상품설명에 정말 가능한 이야기만 담았다는 말이고 (상품설명의 '자가수리가 가능하다'는 말대로 정말 리얼로 자가 수리가 가능하니까요)
스위치 유격으로 인한 소음을 줄이기 위해 굳이, 흔들리는 스위치들 몇몇에만 접착제를 발라 고정시키기까지 마감에 신경썼다는 점에서는 아주 칭찬합니다ㅎ

기계식 키보드 첫 입문으로 사용하기에는 딱 적당한 제품인 것 같습니다!
(LED 사용, 스위치 키감 확인, 키캡 확인 등등)","['https://phinf.pstatic.net/checkout/20201002_70/160162225053952SEv_JPEG/review-attachment-4e6eabee-dfed-41c9-b5a1-6bd109758161.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201002_141/16016222506476MsCt_JPEG/review-attachment-feefed92-c112-4f84-8def-f0caee61de2a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201002_146/1601622250679hPS7H_JPEG/review-attachment-9352ad27-9678-44f6-a0fe-f6e5ca765a2c.jpeg?type=f287']"
5,"월요일 낮에 주문하고 화요일 오후에 받았네요!
배송은 하루만에 왔네요ㅎ
제꺼 블랙-갈축, 동생꺼 화이트-청축 2개 주문했습니다.
일단 외형적으로 불빛들어오는거며 이뻐보여서 주문했는데 역시나 실물로 보니 너무 이쁘네요ㅎ
이전엔 청축 키보드 썼었는데 너무 시끄러워서 이번엔 갈축 한번 써보자해서 주문해봤는데 조용하니 좋네요ㅎ
대신 조금 뻑뻑한 느낌이 있다랄까?? 누르는데 힘이 조금 들어가는 편이긴하네요ㅎ
그래도 맘에 듭니다! 블랙 색상에 여러색의 조명이 나오니 오묘하게 이쁘네요ㅎ고장 안나고 오래 쓰길 바라며..","['https://phinf.pstatic.net/checkout/20200922_160/16007696021679KQje_JPEG/review-attachment-2c564a83-b8e2-476d-84a2-1f9b88292f13.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_24/1600769602024jLRKr_JPEG/review-attachment-2d61e298-500b-4f53-bb7f-ce256dff7020.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_38/1600769603195rW62z_JPEG/review-attachment-d59daba3-8764-4cc3-a271-bbf86deb2f24.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_213/1600769603695tux47_JPEG/review-attachment-1125dc61-965b-484e-8727-bac463611075.jpeg?type=f287']"
5,"0. 배송이 빨리 옵니다 -> 요건 택배회사의 장점이려나요?
1. 화이트로 구매했는데, 생각외로 딱봤을 때 되게 질감이 좋습니다. 개인적으로 좋아하는 느낌이예요. 두부같달까... 다만 키보드에 관심이 많고 디테일을 보신다면 약간의 저가제품의 어쩔수 없는 마감처리가 눈에 확 들어오실수도 있을 것 같아요!
물론 저는 그런거 신경도 안쓸뿐더러, 그렇게 상세하게 신경쓰고 보지 않아서 단점이 되지 않습니당ㅎ

2. 처음에는 화이트 키캡 + 블루LED인 제품을 찾다가 결국 못찾고 구매한 것이었는데, 예상외로 레인보우도 봐줄만 하네요! PC방처럼 어둡게하고 쓸게 아니면 방 조명 때문에 막 색이 노래방조명마냥 여기저기 흩뿌려지지 않습니다. 딱 키캡만 빛나는 정도? 지저분하지 않아서 괜찮읂 것 같아요

3. 기계식 키보드는 처음이라 키감이 호불호가 갈린다기에, 일부러 교체축 키보드 + 스위치 추가구매했습니다. 결과는 대만족이네요! 스위치를 청축, 갈축, 적축 다 가지고 있다보니, 눌러보고 여기저기 배치해보는 맛도 있어요. 확실히 써보니 키감이 다른걸 알겠더라구요. 스위치도 오테뮤 저가 스위치라 부담도 덜하구요, 아무튼 기계식 키보드 초보 입문자라면 적극 추천드립니다. 이 키보드 잘 쓰다가 기계식 키보드에 조금더 욕심나면 고급 모델로 갈아타려구요! (그래도 꽤 오래쓸 것 같습니다ㅎㅎ)

4. 추가 정보로, 멤브레인키보드나, 로지텍 K380처럼 손가락힘을 주어야 입력이되는 키보드를 쓰신 분들은 약간 통울림? 같은 소리를 듣게 되실겁니다. 막 튀는 정도는 아닌데, 가만히 치고 있다보면 슬금슬금 뜨문뜨문 들립니당. 어차피 업무하거나 게임에 집중하면 안들릴 정도라서 전 완전 괜찮네요.

*. 스위치를 처음 교체해보는데, 손가락에 피봤습니다...제거하는데 꽤 뻑뻑하네요. 원래 스위치 몇개가 제거하다가 파손되었어요ㅠㅠ
어차피 교체할 목적으로 산 저에게는 단점인데, 큰 생각 없으시다면 반대로 튼튼하다는 장점이 되겠네요!","['https://phinf.pstatic.net/checkout/20200901_294/1598966768223W0tPQ_JPEG/review-attachment-d71ec295-4da0-4c2c-91ea-8d56885f9537.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_242/159896677555405IiQ_JPEG/review-attachment-b3143386-40be-4961-a8ac-b4c68ec6f87b.jpeg?type=f287']"
5,"이번에 컴퓨터 새로 맞추면서 키보드도 함께 바꿔봤는데 검색해보니 COX CK420 제품이 베스트 셀러라 고민 않고 주문 했습니다.

적축 주문했는데 사용해보니 키감 좋고 소리도 적당하여 큰 불편함은 없을 것 같고 LED가 많이 밝진 않아도 무난하게 밝혀주어서 맘에 듭니다.

집에서 쓸거라 청축을 주문할걸 그랬나라고 조금은 후회되지만 제품자체는 가성비 정말 좋은 것 같습니다.

검색해보니 청축 스위치도 따로 팔던데 글자부분이 27키 이던데 이 부분만 바꿔바야 겠네요.

저렴한 가격에 기계식 제대로 된 키보드 맛을 보고싶다면 이 제품 적극 추천합니다!","['https://phinf.pstatic.net/checkout/20200612_157/15918998858937fpli_JPEG/2020-06-12-02-28-08-208.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_96/15918999526653wiJe_JPEG/2020-06-11-22-12-40-642.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_191/1591899996060C3OCF_JPEG/2020-06-11-22-16-23-290.jpg?type=f287']"
5,화이트 적축! 일단 키보드 소리가 경쾌해야 타이핑하는 것이 실감나는 분께 최적인 듯해요. 하지만 기계식 키보드라 소음이 걱정되면 살살 치면 살살 치는 대로 어느 정도 커버되는 소음이라 좋습니다. 또 하나.. 손목 터널 있고 타이핑 속도가 빨라 키보드를 터치하듯이 가볍게 스치고 지나는 편인데 특유의 스프링?? 키가 튕기듯이 탄력성 있게 올라와서 살짝 쳐도 타이핑 잘 돼요. 이러한 키보드의 경우 살살 눌러도 타이핑 돼서 오타가 많거나 안 누르고 싶은 게 눌린다고 하던데 일단 저는 그런 건 없어요. 키보드 사기 전에.. 손에 안 맞으면 말짱 꽝이라 구매할 때부터 제품 사용하기 전까지 머리 쪼개가며(?) 엄청 고민했는데 만족 그 이상입니다~,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_29_0/9b37fba3-19be-11eb-a2e1-505dac8c37f3_03.jpg?type=f287']
2,내구성은 그다지 좋지 못하니 싼맛에 쓴다는 기분으로 구매하시길. 첫 사용 때는 키보드도 예쁘고 아주 만족했는데 쓰면 쓸수록 눌리지 않는 키가 많아져 짜증이가 납니다. 7월에 구매했고 10월이 된 지금 자주 사용하는 스페이스바 키와 4번 키가 제대로 눌리지 않아서 스트레스 받고 있습니다. 자판을 뺐다 껴봐도 먼지 청소를 해도 잘 눌리지 않습니다. 고작 3개월 썼을 뿐인데 뭐 이런 잔고장이 있는지. 지금 타 쇼핑몰 후기들을 읽어보니 오래 쓰면 키보드가 잘 눌리지 않는다는 후기가 많던데 왜 그때는 그런 후기들이 눈에 들어오지 않았을까요. 3개월 이상 사용시에 키입력이 되지 않는 문제가 콕스 키보드의 고질적인 문제로 보입니다. 길게 사용 할 생각 가지고 계신 분들은 신중하게 생각해보시길.,['https://phinf.pstatic.net/checkout/20201001_290/1601558964525sfWyA_JPEG/review-attachment-f9a61ec5-d164-479b-b121-5ef1826a0802.jpeg?type=f287']
5,이쁘고 포장 잘되어서 왔습니다. 일단 컴터를 조립을 안해서 아직 사용은 못해봤습니다. 저가 청축만 써봤는데 갈축도 좋은것 같습니다.이 키보드는 저가 사용할게 아니라 형이 사용 하려고 저가 구매했습니다. 나중에 문제 생기거나 키캡눌러도 안먹히면 다시 오겠습니다. 장사 번성하세요!! 8월4일까지 택배 휴무라 8월6일 도착했으니 2일 걸렸네요. 굳 다음에 또 주문하러 오겠습니다.,"['https://phinf.pstatic.net/checkout/20200806_246/1596693261263w7yKv_JPEG/review-attachment-ea126e2f-3e2e-43b0-ad60-8a033f5515eb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_161/1596693269999D2n5S_JPEG/review-attachment-5e540807-35b6-4d89-849e-ef9400f59973.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_183/1596693278784Gq8PM_JPEG/review-attachment-f22c42f8-04aa-4231-95ed-80db67c2f904.jpeg?type=f287']"
5,"기존 키보드는 뻑뻑하고 해서 오타가 많이 나서 스트레스를 받을대로 받았나봐요,
그래서 이번에 처음으로 기계식으로다가 질렀어요.
게다가 소음이 있다고 하나 구분감이 뚜렷하다 하여,청축으로 질렀어요
키가 안먹힌다는 글도 있었지만, 부품도 따로 팔고 있어 고장나면 부품새로 사면 될것 같고, 기존 키보드도 쓰다보면 뻑뻑해지고 그래서,,, 그래도 태어나서 좋은거 쓰고 싶어 질렀어요
매번 아낀다고,,,만원짜리 비싸면 마우스 포함 2마넌짜리 쓰다가....

제가 원래 자판을 잘쳤었거든요,,,이전 키보드 보다 타자 속도가 두배 정도 늘어난 것 같아요,
그래서 이렇게 후기도 길게 적고 있어요, 원래 후기 같은거 잘안적는데...
타자 자꾸 치고 싶어서 글도 길게 적네요..
기분이 매우 좋습니다. 코딩도 잘될것 같네요.
이만 줄일께요
많이 파시고 건승하셔요.",[]
4,"노트북 키보드가 너무 얕아서 키보드를 알아보고 있었어요. 평소에 기계식 키보드는 PC방에서만 써보고 해서 입문용으로 싼 맛에 사려고 했는데 괜찮네요. 저는 약간 막손이라서 잘 모르지만, 청축에 딸깍딸깍 소리랑 느낌이 너무 좋아요. 화이트에 RGB 키니까 진짜 예뻐요. (때는 좀 탈 거 같지만...)괜히 키보드 사니까 타자도 더 많이 치고 싶고 그렇네요. 좋은 상품 잘 산 거같아요. ^^ 근데 생각보다 청축 소리가 크네요 확인 잘 하구 사세욤 전 만족쓰","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_28_0/26a7576d-a0bf-11ea-8ee2-505dac8c3721_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200528_268/1590655260184XBXdz_JPEG/20200528_144424.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200528_43/1590655260250M2eM8_JPEG/20200528_144428.jpg?type=f287']"
