star_point,comment,photo
5,"제가 처음에 멤브레인 키보드를 쓰다가 이젠 나도
그 좋다하는 기계식 좀 써보자는 마음에 걱정 안되는 가격대의 키보드로 사봤습니다.
일단 패키징 잘 되서 왔고요, 저가형 치고는 꼼꼼하게 잘 된거 같습니다. 이에 대한건 만족하구요^^
일단 키보드 디자인은 블랙+하늘색 led조합을 선호하기 때문에 그렇게 주문을 시켰고 와서 보니 led도 대충 만든건 아니더라고요
일단 키보드는 스텝스컬쳐 2 방식을 써서 장시간 타이핑을 해도 손목이 아프지 않았습니다.
그리고 키보드 선줄에는 노이즈 필터가 달려있어
쇼트 같은건 잘 안일어나겠고 usb 끝쪽엔 금도금 처리가 되있어 만족하였습니다^^
근데 키보드의 스프링 소리가 조금....심한게..? 단점이지만(?) 이 30000원이란 가격이 깡패죠,
단점들 다 죽입니다.
스프링, 통울림소리 더 안나는거 사실려면 양배추 2~3장은 더 투자할바에 전 걍 쓰는게 더 낫다고 생각합니다^^

한줄평:굳.","['https://phinf.pstatic.net/checkout/20200328_127/1585327548576sAe9k_JPEG/1585327208562.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200328_205/1585327553038q24M7_JPEG/1585327206003.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200328_246/15853275600755Yjpn_JPEG/1585327202713.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200328_298/1585327566850t6Wdv_JPEG/1585327200135.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200328_188/1585327571716osDMz_JPEG/1585327201428.jpg?type=f287']"
5,"대략 일주일정도 써본후기
일단 게이밍키보드를 처음 사용해봄
처음 받자마자 디자인에 반했고 키감에 반했음
첫날엔 딱히 단점을 찾지 못했으나 하루가 지난뒤 스프링소리가 조금씩 거슬리기 시작함
(전체적으로 나는건 아니지만 특정 키를 누를때만 나는거 같아요 근데 그 특정키가 뭔지 모르겠음....)
조용한 새벽시간대까지 컴퓨터를 사용하는데
가족이 집에 있을때면 첫날에 반했던 키감이 단점으로 느껴지긴함 타닥타닥 아주 아주 잘들림
그리고 일반 키보드보다 돌출? 되있어서 타자 쓰는게 적응이 많이 필요할거 같았음. 오타도 그만큼 많이 났었지만 며칠만에 적응이되서 오히려 지금은 훨씬 편함.
꾹꾹 누르지 않고 살짝만 눌러도 오타 없이 잘써짐
검색시 타자를 칠때 오타가 많이 났던게 돌출되있고 일반 키보드보다 높으니까 꾹꾹 눌러서 쓰니 오타가 날수밖에 없었던거 같음
조용하게 쓰고 싶거나 가족들 눈치가 넘보인다! 하면 일반 키보드가 훨씬 좋을듯. 갈축이라도 소리는 마뉘ㅜ난다규!
구구절절 단점처럼 써놨지만 저는 나름 만족하면서 쓰고 있ㅇ음다^^ 동시입력은 기존에 사용했던 로지텍에도 있던 기능이라 게임할때는 딱히 좋다! 이런건 못느꼈슴다.
결론:적응이 필요했지만 결국 넘모 맘에 들었다. 스프링소리는 처음만 걸리적거리고 쓰다보면 익숙해집니당",['https://phinf.pstatic.net/checkout/20201101_114/1604232395007fc63p_JPEG/review-attachment-5daddcb1-c947-4c66-91ee-7c2ef65fa3ba.jpeg?type=f287']
5,기계식 키보드 입문자에게가 아닌 저렴한 가격으로 4만원 이하 기계식 키보드 중 다섯손가락안에 늘 거론 될 만할 가장 적합한 키보드.이 가격에 박스가 아무 디자인 없는 종이박스 일 줄 알았으나 생각보다 꽤 성의있는 박스 디자인. 물론 가격대비로 생각해야합니다. 그리고 봉인씰이 있다는것 이것또한 매우 칭찬해야할 부분. 한마디로 가격에 비해 박스가 성의가 있다.좌우 고정 만족. 구성품은 키보드 키캡 스위치 pc방스티커 솔 설명서. 가격에 비하면 이것또한 성의가 매우 있다고 볼 수 있다.마감은 아쉬운부분. 사진은 안찍었지만 스위치쪽에 비닐이 끼어져있었고 물론 빼면 그만이지만 살짝 에이뭐야 하는게 생깁니다. 전체적인 마감은 가격에 비하면 오 꽤 괜찮네 할 급. 한글과 영어가 나란히 있는게 인상적임. 많은 10만원 이하대 기계식 키보드는 LED가 영어쪽이 더 밝고 한글이 어두운 밸런스가 맞지않는 현상이 많음. 그래서 그런지 영어쪽만이 아닌 골고루 비추기 위함같으나 확실히 그 밑에줄 한글은 상대적으로 어두움. 그래도 노력은 인정. USB 단자 디자인까지 게이밍을 강조한것 또한 매우 칭찬.급하게 노트북으로 꽂아 LED를 확인해보았고 전체적으로 레인보우 색상이 아닌 단일 스카이블루 색이라 고급지고 깔끔한 느낌이 듬. 사이드LED또한 색과 모드 변경 가능. 이것또한 매우 칭찬할 부분.고질적인 받침대 문제가 많이 거론되었는데 좀 더 보완된 느낌. 툭치면 쓰러진다는데 일부로 밀어도 잘 쓰러지지 않음. 다만 좀 낮음. 그래도 예민보스끝판왕이 아닌 이상 이걸로 찡찡될정도는 절대로 안됨. 가격대가 가격대라 그런지 스프링 소리가 너무 잘들림. 통울림은 없는데 . 이럴거면 사실상 통울림 잡은 의미가 없음. 갈축이 아니아 스(프링)축 이라 해도 무방. 소리에 예민한 편이지만 그렇다고 못쓸정도는 아님. 소리에 예민한 분들은 안쓰시는걸 추천. 별로 신경안쓰거나 평범한 분들은 괜찮습니다. 전체적인 총평 스프링 소리 빼고는 말해도 부족함 없음.,"['https://phinf.pstatic.net/checkout/20190709_269/1562668677888zX3v5_JPEG/ED581C66-445E-4334-A706-46EC7A2D05A2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190709_112/1562668679494rUWXF_JPEG/2B39B39A-AB24-472F-9984-B8A675289588.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190709_57/1562668680229VEv9A_JPEG/9221F011-9C94-4962-8BB5-34AF1AC48F02.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190709_212/1562668683180QfNpw_JPEG/27B69E64-447F-4E2D-B5BC-BE6427EB9134.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190709_210/1562668682722oaN4y_JPEG/14DD947B-319F-410C-B18E-962AEBEA6191.jpeg?type=f287']"
5,"완벽그자체
가격 멋짐 멋짐2 멋짐3 다잡음
올화이트에 킬때 하늘색라이트가 그냥 켜지는게 아니라 모양이란 패턴을 그리면서 하는데 이쁨
정신없는 무지개색 키보드보다는 역시 깔끔한 화이트가 정답이었습니다
키보드 크디로 적당한데 어쩌다보니 스피커랑 같은 길이로 맞춰져서 정갈해졌네요
무겁지 않아서 편해요
키소음도 크게 안나서 딱 제가 찾던 키보드였음
다만 아쉬운건 키보드위에 덮을것도 같이 상자에 있었으면 해요 물론 그 가격에 더 바라는건 사치죠
아그리고 키보드가 잘 안밀리네요
usb 단자 금도금이라
화이트랑 적당한 키감 거 찾으시면 꼭사세요","['https://phinf.pstatic.net/checkout/20200905_111/1599312258219ezxgo_JPEG/review-attachment-080b98bd-2340-4ada-9931-8b53bacfd55a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_75/1599312269783rqBpP_JPEG/review-attachment-307d85f3-ac47-46e3-85b4-02ceb634c03f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_7/15993122834842dmnY_JPEG/review-attachment-3eec0532-d196-4675-b4a0-7a69f4a220d4.jpeg?type=f287']"
3,"갈축과 적축을 구매했었는데 생각보다 소음차이는 많지는 않은 것 같습니다. 적축이 아주 조금 덜나긴 하는데 그래도 비슷하게 들리네요.
수령은 주말포함 약 5일정도 걸렸고, 박스가 좀 찢어져서 오기는 했지만... 내용물만 괜찮으면 되겠다 싶어 일단은 사용해보려합니다. 다만 내구성문제는 많은 분들이 지적해주셔서 좀 지켜봐야하겠네요.","['https://phinf.pstatic.net/checkout/20200902_260/1599043592379bR0PM_JPEG/review-attachment-3346a2cb-a0ef-4625-9987-f7f0c9241d7a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_49/1599043593349VO98P_JPEG/review-attachment-4633b49e-8893-4f63-9777-ce8c9db3b4bb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_203/1599043593463KblMn_JPEG/review-attachment-1200f9de-1619-4250-902a-826581b7afac.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_16/1599043593854aP0gr_JPEG/review-attachment-3a852629-a6ff-4f81-a0a6-f637a9d697b4.jpeg?type=f287']"
5,"퇴근 하고 드디어 택배물 수령
포장 상태 좋고,내용물 스크레치 이상무
본체 usb단자에 콕~~

짜짜잔 키보드 퀄리티 보소 죽이네 LED 심플 멋져부네

설명서 보고 자주 쓰는 키 설정 도전
처음에 어버버 했는데 설명서 천천히 보면서 하니까 쉽고 걸 느낌



, 눈이 호강 넘 심플 멋져
그리고 케이블 정리 하기 좋게 찍찍이 아주 굿!!
마지막으로 친절한 설명서 청소 도구 및 핀셋

추천 각 많이 파시고 좋은 제품 만들어 줘서 감사 합니다","['https://phinf.pstatic.net/checkout/20200527_203/1590571809521vinBt_JPEG/7ACFD706-345D-4AB0-A98A-D07659C35A81.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200527_88/1590571809673ca9mv_JPEG/E28D8D10-ED21-4551-96DA-B5D2F0D85789.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200527_146/1590571809697BYonG_JPEG/4524EE15-D5B2-4E3F-89DC-CF9B457B7E69.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200527_102/1590571809637BeECn_JPEG/D2034454-8BAA-4245-BC97-AA5DA9AD5C3E.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200527_193/1590571812111sXe9z_JPEG/BE1FB757-E380-4C3F-A6E6-EAB793496A0B.jpeg?type=f287']"
5,"배송 빠르구요 . 누르는 타자감,소리 너무좋아요.
LED 색상도 맘에 듭니다. ㅎㅎ
그리고 키보드에 기능이 있어서 계산기도 단축키로 바로 열수 있습니다.
그외 기능 10개 정도 있는거 같아요.
그리고 우측 ART 한영키 입력이 안되서 당황했는데
다행이 키보드 설정 바꾸면 됩니다. 가격 대비 너무 좋은제품입니다.
지금도 후기 적고 있는데 계속 더 적고 싶네요 ㅎㅎㅎ
AS도 1년 보증이라서 좋아요~","['https://phinf.pstatic.net/checkout/20200908_89/1599557552410N6tKb_JPEG/review-attachment-43b34e01-b644-4572-825d-299ab89fbca0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_262/1599557552444DdppS_JPEG/review-attachment-4efc5a48-1893-424f-b4b4-92e4312bf867.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_256/1599557552385EATDB_JPEG/review-attachment-bde837d1-e196-4aa0-981e-05350edc906b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_189/1599557552382olRIk_JPEG/review-attachment-cacbba5d-5d27-47ab-9bfc-aa7719d7eee0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_35/1599557552464Bhfzg_JPEG/review-attachment-884be207-121f-40ec-922a-25329019d63f.jpeg?type=f287']"
4,"집에서 맥북을 사용중인데 키감이 재미가 없어 기계식 키보드에 관심을 가지게 되었습니다. 며칠을 유튜브도 찾아보고 여러 후기들을 보며 가성비 좋은 키보드를 찾았는데요. 같은 가격대의 저가형 기계식 키보드의 성능은 비슷할 것으로 판단되어 최종적으로 디자인이 마음에 드는 제품을 구매하게 되었습니다. 가격에 비해 박스 포장 상태는 아주 준수하다고 생각했습니다. 제품 씰도 있구요. 받아서 가장 먼저 든 생각은 생각보다 무겁다 였습니다. 휴대용으로 선택한 것이 아니라 이 부분은 마음에 들었어요. 제품 자체가 꽤나 묵직하기 때문에 키보드 밀림 현상이 없을 것으로 판단되었고 테스트 해보니 예상대로 밀림 현상은 전혀 없었습니다. 음 마감 상태에 대해 말씀을 드리자면 정면에서 볼 떄는 크게 눈에 띄는 하자는 없었습니다. 다만 문제가 아예 없는 것은 아니었어요. 기스? 라고 하긴 뭐한데 실 같은 게 묻은 형태로 자국이 있어 문질러 봤는데 떨어지지 않았습니다. 그냥 . 문제는 측면인데 측면 마무리감이 좋지 않습니다. 다행이 이건 손으로 뜯어내면 뜯어지더라고요. 이정도로 교환신청을 할 마음은 없어서 그냥 사용하기로 했습니다. 이 제품이 통울림과 스프링 소리가 특징적으로 나타난다고 들었는데 사실입니다. 저는 스프링소리는 오히려 크게 신경쓰이지 않는데 통울림 소리가 좀 신경쓰입니다. 동굴에서 망치로 동굴 때리는 느낌... 엄청 크진 않지만 꽤 소음이 있네요.
결과적으로는 가격대비 꽤 만족스럽다고 말씀드리고 싶습니다. 우선 . 키 소리도 꽤 큰편이긴한데 이건 예상했던 부분이라 신경쓰이지 않습니다. 키감, 통울림, 스프링 소리, 마감 상태 모든 것에 예민하신 분들이라면 구매하셔도 마음에 안 드는 것 투성이실겁니다. 하지만 어느정도 예상을 하고 구매하신 분들에게는 꽤나 만족스럽지 않을까 예상해봅니다. 입문용으로 추천드립니다!","['https://phinf.pstatic.net/checkout/20200324_215/1585042910548AcEvJ_JPEG/KakaoTalk_Photo_2020-03-24-18-41-15.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_92/1585042918344O4rH4_JPEG/KakaoTalk_Photo_2020-03-24-18-41-27.jpeg?type=f287']"
4,"가격대비 괜찮습니다. 배송은 좀 느렸지만, 파손없이 튼튼하게 박스에 잘 도착했습니다.
제품 디자인이나 키감은 괜찮습니다.
다만, 처음 확인시 키높이가 일정하지가 않아서 불량인가 했는데 키를 하나씩 꾹꾹눌러보니 조금씩 눌려서 들어가는 키가있내요. 이게 키교체형이다 보니 정확하게 제대로 삽입이 안되어 있는 키가 있었나 보내요. 그렇게 해놓고 보아도 여전히 키높이가 조금씩 틀린키가 보이내요. ;; 이건 어쩔수 없는 거 같내요.
키높이야 크게 차이나는게 아니라서 사용상에 이질감은 없습니다.
다만. 키보드 자체 높이가 앞부분과 뒷부부높이가 같다보니 전에 사용하던 거에 비해서 좀 불편하내요.
키보드 다리를 펴서 높이을 높일수는 있는데 키보드 다리가 튼튼한 느낌이 없고. 부실해 보입니다.
앞뒤는 움직일시에 다리가 접히는 경우도 생기고요.
그래도 가격대
자인","['https://shopping-phinf.pstatic.net/20190627_24/6523c22c-21de-4149-94f4-3fc1986f50a0.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_26/6c005b69-8cc8-4517-811b-a869f607b0d9.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_28/bfd79d03-f64b-4c62-9c79-fbb09909d9a7.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_9/a8cb5776-6b08-4bf7-a7e7-c40747895461.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_6/5dd1a7a9-5424-41ff-9798-b7fa41390de0.jpg?type=f287']"
5,"일단 콕스 게이밍 마우스 중에 cm50을 사용해왔는데 그때 g102대신 샀는데 후회하지 않을정도로 품질이 무척이나 좋았습니다
이번에도 로지텍 대신 구매를 해봤구요
가격대비 마감이 우수합니다 입문자분들에게 매우 추천합니다
하지만 청축구입했는데 스프링 소리가 약간 납니다 그리고 led 라이트가 조금 약하다는 느낌도 있었습니다
그렇지만 이가격대에 입문용 기계식 키보드로는 딱입니다 믿고 구매하셔도 좋을것 같네요","['https://phinf.pstatic.net/checkout/20200507_73/1588814584653tkkGM_JPEG/4C3499BF-E38E-4ED9-8769-F80ECAD283DF.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_119/1588814584650hjX7o_JPEG/035E3CA0-7968-489B-8832-40478D5646B7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_256/1588814584844bwGSp_JPEG/62E507AA-EA6A-436F-9C85-C81AF666CAD7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_230/1588814585615mCIie_JPEG/908AC534-263E-415F-A3A5-7E9E25E2946C.jpeg?type=f287']"
