star_point,comment,photo
5,"키감 좋구요~
너무 예쁘구요~
컴터앞에서 뭐 먹을때 뚜껑 덮어서 키보드 관리하구요~
물론 컴터안쓸때도 먼지쌓이지말라구 뚜껑닫구요~
새허연것이 일곱빛깔 내면서 내방 불끄고 감상도 하구여~
컴터하기전에 손부터 닦고 쓰게 되었구요~
주신 키캡분리하는거랑 기타등등 한켠에 잘 보관중이구여~
넘 옙버여 ㅠㅠㅠ존예!강추!

일단 구매는 철권하려고 샀어요.
일반 사무용 키보드로했을때 씹히는 커맨드(물론 제 손가락문제가 제일크긴합니다만) 전체적으로 잘나갔어요.
굳굳","['https://phinf.pstatic.net/checkout/20200707_54/1594087167607lOx9g_JPEG/review-attachment-78553007-3717-482a-9273-ada04935f438.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200707_147/15940871838797f0D2_JPEG/review-attachment-b78a47a0-bcb9-41ba-876e-6e236eac5645.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200707_187/15940871994040vgDg_JPEG/review-attachment-7885656d-3b0b-48c6-8a6e-142ec408e2ee.jpeg?type=f287']"
5,3.9만원 특가 가격으로 샀는데 이 가격대에선 아주 가성비가 좋은 제품입니다. 밑판이 스텐으로 된 제품이라 타건하면서 스텐을 치기 때문에 통울림 소리가 거슬려서 흡음재를 깔고 스프링 윤활까지 해주니 이 가격대에선 믿기지 않는 성능입니다. 다만 초기불량(유격) 때문에 한 번 교환을 받았었고 광축이 살짝만 스쳐도 인식 되는 특성 때문에 적응이 힘들어서 고생했습니다. 리듬게임 할 때 광축의 인속속도가 빨라서 마음에 들었지만 옆 키가 간접이 나기 쉬워서 다른 옵션 버튼을 좀 멀리두고 배치 했던건 불편했습니다. FPS게임에선 딱히 불편함을 느끼지 못했고 동시입력도 전혀 문제가 없는 제품이라 격투겜도 걱정 하실 필요가 없을겁니다. RGB색상은 상당히 호불호가 갈리지만 저는 색깔이 마음에 안 들어서 Fn+PrtSc으로 여러가지 바꾸다 보니 키를 누를 때만 불빛이 나오게 하는 모드를 하니 나쁘지 않았습니다.,"['https://phinf.pstatic.net/checkout/20200318_122/15845258057242uwW8_JPEG/KakaoTalk_20200318_190242197.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200318_288/1584525835233LMe80_JPEG/KakaoTalk_20200318_190259889.jpg?type=f287']"
4,"배송도 빠르고, 광축 넌클릭은 처음 써보지만, 손에 감기는 느낌이 좋은것 같습니다. 스페이스바도 입력시 튀지 않는점이 장점인것 같구요. RGB LED도 복잡하게 여러 기능이 있는것 보다는 이렇게 Fix 되어있고 깔끔한 부분도 좋은것 같습니다. 사이드에 은은히 비춰지는 LED도 전등을 끄면 이쁘게 빛나네요. 키보드로 입력하는 즐거움이 생겨서 좋아요. 많이 파세요. ^-^ㅋ","['https://phinf.pstatic.net/checkout.phinf/20200210_167/1581340065111Uvnp7_JPEG/20200203_220158.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200210_66/1581340065370Fxvy6_JPEG/20200203_220150.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200210_171/1581340065474ovEMh_JPEG/20200203_220231.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200210_166/1581340065263WVbT2_JPEG/20200210_220401.jpg?type=f287']"
5,지난 8년동안 쓰던 키보드가 작동이 잘 되지 않아 이번에 바꿔보았습니다. 전체적으로 굉장히 만족스러운 제품입니다만 거슬리는 통울림이 있어 예민한 분들은 다소 불편하게 느껴질 수 있을겁니다. 그렇다고 해도 게임 사운드에 묻힐 정도로 미미한 정도라서 타이핑 같은 경우같은 극히 일부를 제외한 게이밍을 위해 키보드를 구입하려는 분들이 크게 염려하실 부분은 전혀 아니니 마음 편하게 구입하셔도 좋습니다.,"['https://phinf.pstatic.net/checkout/20200528_84/1590625354479ER4ol_JPEG/20200526_184755.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200528_165/1590625362143T4sKp_JPEG/20200526_182625.jpg?type=f287']"
4,배송도 빠르고 이쁘고 다 좋은데...FN 키 하나가 스크래치 나있네요..이것빼곤 최고입니다. 화이트 키보드로 적축계열 아무리 찾아봐도 나오지않는데 콕스제품있길래 구매했어요. 청축만 사용하다가 적축쓰니 소리는 안나서 좋긴한데 뭔가 훨씬 부드럽게 눌리다보니 손가락 힘을 조절하면서 살살 타이핑 중이에요ㅋㅋ불빛도 무지개로 이쁘네요ㅎㅎ,"['https://phinf.pstatic.net/checkout/20200530_281/1590828924483PsyCw_JPEG/KakaoTalk_20200530_175453073.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200530_184/1590828924492kXlyh_JPEG/KakaoTalk_20200530_175452587.jpg?type=f287']"
5,"원래 청축 기계식 키보드 쓰고 있었는데
키보드에 물 쏟아서 망가진김에 완전방수 키보드를 찾아봤습니다.

cox 광축 키보드에 대해 알게 되었고 넌클릭(갈축느낌)이 좋을 것 같다고
판단해서 구매했는데 청축보다 덜 시끄럽고 만족스럽습니다.

자판은 led라 조금 아쉬울것 같았는데 막상 써보니 괜찮네요.","['https://phinf.pstatic.net/checkout/20200517_48/1589717925484vHeuQ_JPEG/KakaoTalk_20200517_211516525.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200517_33/1589717925502bFBkU_JPEG/KakaoTalk_20200517_211516525_01.jpg?type=f287']"
5,확실히 일반 키보드 보다 키감이 좋아요. 키보드에 led불빛 들어와서 좀더 멋있네요.회사에서 작업하다 손가락 좀 아팠는데 부드럽게 들어가는 느낌이 좋아요.배송도 빨라고. 제품 문제도 없어 보이네요. 반응속도와 키 밀림이 없어서 좋아요.,"['https://phinf.pstatic.net/checkout/20190430_166/1556606582146rVRau_GIF/20190430_153900_1.gif?type=f287', 'https://phinf.pstatic.net/checkout/20190430_182/1556606594888yA3tt_JPEG/20190430_151010.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190430_220/1556606606517J5WcS_JPEG/20190430_151021.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190430_277/1556606620776dp2FQ_JPEG/20190430_151350.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190430_80/1556606629210HpSMV_JPEG/20190430_153218.jpg?type=f287']"
4,흠 싼맛에 사는것도잇지만 분해를해보니 이렇게회로가 고정이되어있네요 흡음재작업할려고 따？f는데 역시 안은 텅텅비어있어서 통울림이 들리는거엿군요 v광축 넌클릭 나름 신선하고 광축의 정확한입력을좋아해서 풀윤활해서 써볼예정입니다 만족은합니다 근데 개인적으로 이런제품이랑 흡음재 별도부착 추가제품 가격올리신후에파시면 그런것도나름 사볼것같네요,[]
5,기존의 쓰던 오테뮤 청축 기계식 키보드가 키 씹힘이 있어서 고심끝에 이 제품을 골라서 구매했습니다.청축이 시끄럽고 오테뮤가 내구성이 안좋아서 원래는 체리 갈축을 구매할려고 했는데 진짜 가격이 어마어마하더군요...이것저것 찾던중에 광축에 자체 갈축스위치 이 제품이 있어서 구매했습니다.내구성은 이제 사용한지 얼마 안되서 모르겠지만키감이라던지 RGB감성이라든지 흠잡을 떄 없습니다!첫 입문용으론 정말 맘에 듭니다!만약 주변에 고민하는 사람이 있으면 이 키보드 진짜 추천해주고 싶습니다!,"['https://phinf.pstatic.net/checkout/20190618_41/1560834389775zMvQb_JPEG/KakaoTalk_20190618_140544725.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190618_15/1560834389955iyqkY_JPEG/KakaoTalk_20190618_140546431.jpg?type=f287']"
5,오늘 받았는데 일단이뻐요 마음에듭니다. 엘이디 변경도 되고 키감도 나쁘지않아요 처음 쓰는 키보드인데 좋은것 같아요. 오래도록 같이 잘쓰고 싶어요 키보드 선부분에 묶을수있는 거? 있어서 좋구 투명케이스도 좋아요 안쓸 때 덮어놓기딱임,"['https://phinf.pstatic.net/checkout/20190630_38/1561828314572a43GA_JPEG/111.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190630_195/1561828314912oG2Fp_JPEG/111111111111111.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190630_229/1561828315183IxG11_JPEG/11.jpg?type=f287']"
