star_point,comment,photo
5,배송은 다음날 바로받았구요 크리스탈 키캡이 너무이뻐서 구매했는데 키보드도 이쁘고 키감도 마음에들고 다좋네요. 다만좀 아쉬운게 열어봤는데 키보드 루프가 박살나있네요.. 별의미없이 케이스로 생각하시는 분들도있으시겟지만. 키보드 여러게놓고 돌려쓰는 입장에서 안쓰는 키보드들은 항상 루프씌워서 보관하는데 루프때문에 교환신청할수도없고. 이부분은 좀아쉽네요 ㅠ.ㅠ.,[]
5,광축은 처음써보는데 아주 만족스럽네요. 느낌은 청축이랑 비슷하고 키캡때문인지 키감도 아주 좋습니다. 통울림은 아주 약간 있는거같긴한데 제가 별로 그런거에 신경을 안써서 이가격에 이정도 퀄리티면 아주 만족스럽습니다.,[]
4,"전체적으로는 맘에듭니다
led도 맘에 들어요ㅎㅎ
하지만 양쪽에 달린 led는 약간 색이 고르지 못하다는게
아쉽네요 특히 단색모드일 때","['https://phinf.pstatic.net/checkout/20200807_117/1596800002154Efci0_JPEG/review-attachment-52d505c9-5d4b-4098-ac98-dcc1325e3c4c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200807_170/1596800002486nohyL_JPEG/review-attachment-d120776f-a4f3-4c31-aaaf-cdd68a906cfb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200807_58/1596800002907FNS15_JPEG/review-attachment-27b67a4e-2073-4ac5-bbe9-2aaaf7fd729e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200807_197/1596800002458UsgnQ_JPEG/review-attachment-95c174aa-cd03-479d-a56c-b2b9be657b0c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200807_115/1596800002544xUxjk_JPEG/review-attachment-d2f44b08-191a-477d-a352-b3f5e4eb3950.jpeg?type=f287']"
5,포장도 잘돼서왔고 이런키보드는 처음사봤는데 좋아요ㅋㅋ 입문용으로도 추천해요ㅋㅋ 빛나는게 간지쓰..ㅋㅋㅋ,"['https://phinf.pstatic.net/checkout/20200829_21/1598670626959Sd1AD_JPEG/review-attachment-d948e633-8e28-4191-8947-9951527d6ab7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200829_33/1598670639407XTSfe_JPEG/review-attachment-a7e46f58-2a58-48d4-ac68-795d42e7fd71.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200829_69/1598670647978PmnJP_JPEG/review-attachment-a025f934-840e-40c5-944a-44fd0f6244a7.jpeg?type=f287']"
5,"자판 타격감좋고 불빛도 멋집니다.
아이가 정말 좋아하네요. 너무 만족합니다.","['https://phinf.pstatic.net/checkout/20200911_274/15997757218790M5Lc_JPEG/review-attachment-d8971c08-d812-4bed-bcee-a9ed53d8e924.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_183/1599775722273n2N9J_JPEG/review-attachment-5f4f1864-1d20-49d7-b2f0-b7e494ac57ba.jpeg?type=f287']"
4,"태풍영향인지 예상보다 늦게 받게 되었지만
튼튼한 포장이 맘에들었어요 아직 길게 사용안해봤지만
이쁘고 맘에 듭니다","['https://phinf.pstatic.net/checkout/20200828_50/1598612365160wF9y7_JPEG/review-attachment-ed8ea838-76e3-479e-b188-3c70e57b5edf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_157/1598612365302aYVf0_JPEG/review-attachment-82fed92b-6a87-43a1-969c-42823ebd3b13.jpeg?type=f287']"
5,정말 좋네요 기계식은 내구성이 문제라 들었는데 광축이다보니 걱정도 덜고 디자인도 맘에 들고 타격감도 좋네요,"['https://phinf.pstatic.net/checkout/20200825_132/15983584651206oY1R_JPEG/review-attachment-97abd922-8ba3-465e-b32b-ea80c6c232c0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_4/1598358465378RH3o5_JPEG/review-attachment-2691a422-145a-4793-9a9d-4583695f1585.jpeg?type=f287']"
4,"청축이여서 소리도 좋고 led예쁩니다
근데 스프링소리가 조금 나서 예민하신분들은 거슬리실듯. 전 그냥 쓸려합니다",['https://phinf.pstatic.net/checkout/20201104_45/1604486616325mqTKS_JPEG/review-attachment-e6696c1a-320e-4ab1-8186-c74722110500.jpeg?type=f287']
5,예쁘고 좋은거같아요 ㅎㅎ,['https://phinf.pstatic.net/checkout/20201103_100/1604394371876Hf3ob_JPEG/review-attachment-fe25a6d5-e461-4488-93ec-5a1864a0e7f2.jpeg?type=f287']
5,조아요오!!ㅎㅎ 만족,['https://phinf.pstatic.net/checkout/20201108_116/1604763311020j9TPO_JPEG/review-attachment-ba198037-07ff-4c38-b140-9be6c050fdee.jpeg?type=f287']
