star_point,comment,photo
5,"프로그래밍 공부중인데, 이번 학기에도 계속 집에서 싸강을 들어야해서 집 공부할 때 소소한 즐거움을 느끼고 싶어 기계식 키보드를 처음으로 주문했어요. 저는 책상 위에 선이 많은 게 지저분해 보여서 블루투스 제품을 원했고, 기왕이면 소음이 크지 않고 키캡이 예뻤으면 좋겠다고 생각했어요. 그래서 V사의 특정 키보드를 구입할까 고민하던 중이었는데, 입문자인 저에게 조금 비싸기도 하고 키캡을 바꾸는 재미를 느껴보고 싶어서 차라리 좋은 블루투스 제품에 취향에 맞는 키캡을 구입하기로 했습니다. 그러던 중 그 유명한 ck87 블루투스 버전이 최근에 출시되었다는 걸 알게되었고 구입했어요! 첫 기계식 키보드라서 타 제품과 비교는 못하겠지만, 일단 제가 느끼기에 매우 완성도가 높다고 생각해요. 스페이스 가운에 부분에서 비어있는 소리가 나긴 하는데 정말 미미한 수준이고, . 키보드 누르고 싶어서 프로그래밍 공부를 더 하게 됩니다..(?) 아무튼 블루투스 키보드 중에 디자인적으로도 좋은 제품 찾으신다면 . 아 아마 ios는 연결 안되는 걸로 알고 있는데 그 부분은 좀 아쉬워요!","['https://phinf.pstatic.net/checkout/20200905_267/1599280389000WwmFO_JPEG/review-attachment-6509c29a-cca0-41b5-8fec-5226a866a5d1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_213/1599280389191eoJJK_JPEG/review-attachment-cb1ddccc-acb1-4300-8d82-4427d5a5aa8f.jpeg?type=f287']"
5,"디자인도 깔끔하고 휴대성이 아주 좋아요
무선으로 쓰기에 유선과 차이를 많이 느끼지 못했고 타건감도 나쁘지 않습니다
백라이트가 없다는 건 아쉽지만 이 가격에 값어치합니다 좁은 책상에 무선으로 쓰고 안쓸 때 충전하니 세상 편합니다","['https://phinf.pstatic.net/checkout/20200908_34/15995019692923mjz0_JPEG/review-attachment-5b96b284-2f41-4fad-a2b5-94787ae7873f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_225/1599501996726cmUgg_JPEG/review-attachment-a08b5459-95f7-4e05-a04d-370b41f4a3df.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_25/159950199693094wN7_JPEG/review-attachment-bbf8297a-260a-40c5-b5a9-11338bd62190.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_290/1599501997275kBEh1_JPEG/review-attachment-98398d02-28c3-4f08-b520-872b83a0fd09.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_210/15995019973450v5Gk_JPEG/review-attachment-cf6ffe1b-1bcc-4df9-852f-8c798e3f99ab.jpeg?type=f287']"
5,"+ C타입 케이블이면서 길이는 2m로 짧지 않아 유선으로도 사용할 수 있어서 좋았습니다.
+ 키 누르는 힘도 생각보다 작아 손목에 부담이 거의 없는 편입니다.
+ 디자인이 꽤 예뻐서 마음에 듭니다.
+ 블루투스 기능은 기기 페어링 전환이 정확하고 빠른편입니다.
+ 배터리 다 쓸 때까지 내버려둔 적이 없어서 잘 모르겠지만 적어도 하루정도는 배터리 다 소진할 일이 없습니다.
- 조금 아쉬운건 fn키 조합이 키보드에 표시되지 않아 따로 표시하거나 외워둬야 할 거 같네요.
따라서 생각이 됩니다.","['https://phinf.pstatic.net/checkout/20200908_177/1599535631164tIbTq_JPEG/review-attachment-c0519016-41ac-41b5-ae32-7c3b398083a9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_125/1599535631716Qr4aM_JPEG/review-attachment-8cf045c5-02ec-460e-a594-50a8b4aa463a.jpeg?type=f287']"
4,"노트북(윈도우)에 블루투스 연결 잘 되고, 입력 속도도 좋습니다.
그런데 제 키보드에만 문제가 있는 건지 아이패드에는 블루투스 연결은 잘 되는데, 입력 속도가 좋지 않아요. 제가 타자가 빠른 편이긴 하지만 워드에 입력하면 거의 3줄 정도가 늦게 입력되더라고요 ㅠㅠ
점검받으려고 AS 물어봤는데, 본사 보내주면 점검 후 처리해준다고 해서 일단은 안심입니다. 키보드 타건 좋네요~! 무게는 조금 나갑니다. 이건 개인에 따라 느끼는 바가 다를 수 있으니 제품 상세 정보 확인해보세요.",['https://phinf.pstatic.net/checkout/20201127_212/1606439402028QIhs9_JPEG/review-attachment-1475a051-26d8-48a6-a66c-220baaf5f6a0.jpeg?type=f287']
4,"핫스왑에 블루투스 지원하는 점이 매우 좋아요
게이트론 황축 처음 써보는데 순정상태에선 스프링 소리가 많이 나서 풀 윤활했습니다.
통울림이 조금 심한편이라 나중에 흡음 작업도 하려고요.
키캡은 따로 구매해서 교체했어요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_21_0/729df556-2b4e-11eb-beee-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201121_217/1605890000204pDVBB_JPEG/review-attachment-b6f83999-dd02-4640-8997-8d37c9de9152.jpeg?type=f287']"
5,"유무선 키보드 / 블루투스 5.0 / 3대 동시 페어링 / 이중사출 PBT키캡 / 퀵스왑 지원 / 블루투스 모드시 무한동시입력 지원(테스트 해 봄) / 블루투스시 폴링레이트 측정값 최대 250Hz / 스위치 정방향 체결 / 스테빌라이저 기본 윤활(좀 떡칠된 느낌은 있음)

이래저래 어마어마한 가성비를 보여주는 키보드라고 생각합니다. 몇가지 개인적인 단점들을 나열해 보고자 합니다.

1. 키캡의 배열이 고르지는 못합니다. 몇몇개의 키캡들의 간격이 한쪽으로 쏠려있는 부분들이 있습니다. 다만 현재는 이미 축 교환을 한 상태이므로, 축 교환 이전의 키캡 간격이 어땠을 지는 정확하게는 모르겠네요.
2. 다른 리뷰어도 말씀하신 분이 있지만 인디케이터를 보기 위해서는 따로 공부가 필요합니다. 인디케이터가 직관적이지 못하다는 단점이 있었습니다.
3. 키캡의 글자 부분이 조금 빛 반사가 잘 되는 재질로 보입니다. 지금 사용하면서는 느끼지 못하고 있지만, 처음에 개봉 할때 빛에 비춰진 것은 생각보다 밝았어요.
4. 다른 스테빌의 경우는 유격이 없다고 해도 될 정도였지만, 스페이스바의 경우 왼쪽의 스테빌만 조금 유격이 있는 편이더군요. 그래서 기본 윤활에 되어 있음에도 불구하고 스페이스바 오른쪽과 왼쪽의 스테빌 소리가 조금 다르게 느껴집니다.
5. F키와 J키의 형태가 다른 키캡과는 다르게 살짝 안쪽으로 파여 있는 형태입니다. 정석적인 타건법을 익히는데에는 좋을 지 모르지만 개인적으로 시각적으로는 약간 거슬리는 느낌입니다.
6. LED가 없습니다.
7. 기능키에 대한 부분이 키캡에 각인 되어 있지 않습니다.

몇 가지의 단점을 적기는 했지만, 그래도 생각됩니다. 에 속합니다. 시인성도 충분히 밝은 편이라고 생각하고요. 무엇보다 퀵스왑을 지원해서 커스텀이 가능한 무선 기계식 키보드라 생각하니 너무 좋네요. LED는 있으면 무선 키보드의 특성상 배터리를 많이 먹으니 뺀 것 같기도 합니다만, 있으면서 안쓰는 것과 없는 것의 차이는 있다보니, 조금은 아쉬움이 남습니다. 키캡도 깔끔한 느낌은 들지만, 기능키에 대한 부분이 키캡에 아무런 표시도 없다보니, 좀 직관적이지 못하다는 생각을 하기는 했습니다.

개인적으로 리뷰어들에게 숙제를 주면서 광고를 좀 하면 좋겠다는 생각을 좀 하게 되네요~ 몇가지 단점들을 적기는 했지만 그래도 상당히 좋은 제품이라는 데에는 반대를 할 사람은 적을 것 같아요.",[]
5,일단 가격이 만족입니다. 무선 게이밍 키보드들이 생각보다 너무 비싸더라구요. 포기하고 유선사려는 상황이였는데 좋다고 소문난 CK87사려다가 우연히 본 무선 버전이 10만원 이내에 들어오길래 바로 질러버렸네요ㅋㅋ 기계식 키보드는 처음 구매해봐서 타건감 느껴볼라고 타자연습 해봤는데 어떤게 좋은 키보드인지는 잘 모르지만 제 느낌은 맘에듭니다ㅎㅎ 게임은 일단 오버워치랑 카트라이더만 해봤는데 반응이 느리다거나 불편한 점이 없었어요. 굉장히 만족합니다. 단점은 처음 샀을때만 느낀거긴 한데 저같이 첨써보는 사람한텐 설명서 내용이 너무 빈약하다는 느낌이 들었습니다. 특히 키보드 상태 표시해주는 인디케이터가 2개뿐인데 뭔말인지 이해를 못하겠어서 인터넷 검색해보고 알았어요..ㅜ 배송은 오전에 주문하고 이틀뒤 아침 10시반쯤 받았어요.(부산) 중간에 다른 회사지만 택배회사 직원 사망하는 뉴스도 보고 해서 더 늦을줄 알았는데 이정도면 빨랐다고 생각합니다.,[]
5,"위에서부터 로지텍게이밍,체리mxboard,게이트론청축 그리고 이번에산 ck87 bt 황축 제품입니다.
다른 브랜드에는 없는 황축이 궁금해서 블투 버전겸 샀는데,
확실히 황축의 느낌이 적축의 연장선으로 느껴집니다.
일반적인 부드러운 적축 보다는 좀더 도각도각 거리는 느낌인데, 제가 생각했던 느낌이라 매우 좋습니다.
BT/유선 전환속도도 1초 미만으로 매우 빠르고 끊김이 없습니다.
아쉬운 점은 유선으로 연결해도 키보드 LED 라이트가 없는 점은 아쉽습니다.
이외에는 기존의 CK87 명성대로 좋은 제품입니다.",['https://phinf.pstatic.net/checkout/20200928_189/1601256247401PD31A_JPEG/review-attachment-b99b8f1b-5246-4cd5-b3f7-026ba565fb11.jpeg?type=f287']
5,배송이 용산애 2일이상 마물러서 당황하긴 했는데 2일째 밤에 욺직어서 담날 바로 도착했어요. 료즘 물량이 많아서 그러려니하고 상품을 받았는데 상자 밖에 뽁뽁이 감겨서 비닐에 와서 조금 당황스럽긴했지만 키보드 잘되고 말쩡해요. 카보드도 이쁘고 블투 페어링도 잘되고 5.0이라서 그런지 입력하자마자 글씨가 쭉쭉 써지면서 입력 잘 됩니다. :),['https://shopping-phinf.pstatic.net/20201104_7/d7ae7d19-ee35-4494-9635-f70dc09a060b.jpg?type=f287']
4,기존 적축사용자 입니다 키감이 적축과 비슷하긴 한데 조금더 소리가 납니다 ㅠㅠ 청축같은 즐거움은좀덜하지만 사무실용으로 괜찮습니다 단점은 한영전환키가 표시가 안돼있어 처음에조금 당황했습니다 그리고 c타입충전잭인데 자체 코드가 아니면 충전이 안되는점도 조금은 불편합니다,['https://phinf.pstatic.net/checkout/20201127_76/1606442417107JdWSO_JPEG/review-attachment-782f330e-cad8-40ad-b350-7c63a1e135e4.jpeg?type=f287']
