star_point,comment,photo
5,"처음 기계식 키보드를 사용하였는데 이게 기계식 키보드가 맞나싶을정도로 소음정도로 시끄럽지 않았고 반응속도도 빨라 이래서 기계식키보드쓰는구나 싶었어요 그리고 화려한 LED효과와 자신만의 커스텀 마이징도 맘에 들었습니다. 기계식 키보드 입문자라면 한번쯤 써보셔도 좋을것같아요
판매자의 지원을 받아 객관적으로 작성한 체험기입니다","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_12_0/d99cb347-ac14-11ea-8867-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_12_0/095690dd-ac15-11ea-b3f4-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_277/1591901385642XMyVG_JPEG/20200602_192955.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_257/1591901385748kh8TP_JPEG/20200602_193354.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_130/15919013858578rWYb_JPEG/20200602_193553.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_121/1591901385823pqsle_JPEG/20200602_194009.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_86/1591901385920w92nI_JPEG/20200602_194023.jpg?type=f287']"
5,"게이트론 스위치 기계식키보드로 워낙 유명해서 한번 써봤는데요. 확실히 다른 축에 비해 안정감이 느껴지고 취향차이를 떠나서 황축을 한번 써보면 타건감이 제법 괜찮다는게 느껴집니다. 소음도 생각했던 것보다는 적었고 통울림이 없었던 건 아니지만 흡음재로 어느정도 억제되어 있기 때문에 5만원대 가성비 제품으로 이만한게 또 있을가 싶네요~! 잘쓰겠습니다. ^^

*판매자의 지원을 받아 객관적으로 작성한 체험기입니다. :)","['https://phinf.pstatic.net/checkout.phinf/20200604_116/1591273431455kzgVL_JPEG/E__%282%29.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200604_108/1591273431414Ffuxh_JPEG/%287%29.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200604_95/1591273431308OlYN1_JPEG/%283%29.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200604_209/1591273431407kbDlr_JPEG/E__%281%29.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200604_278/1591273431564VqWei_JPEG/mw_%282%29.jpg?type=f287']"
5,"적당한 타건감이 전해져 입문용으로 사용하기에 적당하다는 느낌입니다. 키감이 부드러우면서 전달되는 소리가 게임의 현장감을 높여주고 빠르고 정확하게 키가 눌리는 느낌이 인상적입니다. 성능과 내구성을 고려하면 합리적인 가격에 기계식 키보드의 매력을 알아갈수 있는 적당한 포지션이라는 생각입니다.

판매자의 지원을 받아 객관적으로 작성한 체험기입니다.","['https://phinf.pstatic.net/checkout/20200611_257/1591881726554y6Dg1_JPEG/0044.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_28/1591881726029ykUjY_JPEG/0036.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_69/1591881725426ahFhM_JPEG/0025.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_135/1591881721808WkI1O_JPEG/0010.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_2/1591881722516UklRG_JPEG/0013.jpg?type=f287']"
4,"일단 친오빠가 쓰는거 보고 좋아서 샀어요 ! 원래 쓰던게 게이밍용 청축이라 소리가 굉장히 커서, 게임을 끊고 나니 공부할때 타이핑 많이치면서 하기엔 너무 시끄러워서 이거 샀습니다. 조용한편이구 이쁘구 좋네요 ㅎ 다만 키스킨은 컴퓨터 끄고서 먼지안쌓이게하는용도로만 쓸듯... 저거 덮고는 타자 치기 힘드네요 ㅠ 무튼 전체적으로 만족스럽습니다
별 하나 뺀이유는 배송이 맘에 안들어요 ㅠ 비닐에 박스만 달랑 보내서 박스에 구멍이 나서 왔어요.어디 부딪힌듯... 뽁뽁이로 한번 싸서 포장해주시면 좋을듯하네요!","['https://phinf.pstatic.net/checkout/20201126_269/1606376895473qRPhj_JPEG/review-attachment-287dac40-cee6-4b01-8f6e-458111150b57.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201126_242/1606376895867j2Ibo_JPEG/review-attachment-387b96ab-d5e7-4b4e-84e4-d492ec2ce928.jpeg?type=f287']"
5,"5만원 정도 하는 키보드인데도 통울림이 없고, 품질이 좋습니다.

게이트론 황축은 키압하고 키감 모두 괜찮은 좋은 스위치였습니다.

카트라이더 즐겨하는 제 동생에게 줘 보니까 상당히 마음에 들어 하네요...

덕분에 좋은 제품 쓰게 되었습니다.

판매자의 지원을 받아 객관적으로 작성한 체험기입니다.","['https://phinf.pstatic.net/checkout.phinf/20200604_47/1591269168440XkoM6_JPEG/SAM_0001.JPG?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200604_109/1591269168334QYK0P_JPEG/SAM_0007.JPG?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200604_102/1591269167962odEV9_JPEG/SAM_0008.JPG?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200604_300/1591269167980CJcDy_JPEG/SAM_0005.JPG?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200604_99/1591269168402lY6YR_JPEG/SAM_0006.JPG?type=f287']"
5,"키감이 매우 우수한 게이밍 키보드입니다. Num패드를 없앤 87키 키보드는 처음이였는데 확실히 마우스를 움직일 때 방해를 받지 않아서 좋았습니다. 키감과 다양한 LED패턴까지 만족감이 높은 키보드였습니다.

본 리뷰는 판매자의 지원을 받아 객관적으로 작성한 체험기입니다.","['https://phinf.pstatic.net/checkout/20200611_122/1591843214575GaYew_JPEG/1_%283%29.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_4/1591843214596sV6G3_JPEG/1_%289%29.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_179/1591843214800v721k_JPEG/1_%2818%29.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_124/1591843214668eV9a5_JPEG/1_%2816%29.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_82/15918432147551o8HM_JPEG/1_%2817%29.jpg?type=f287']"
5,"블랙 색상이 품절이어서 레드 그레이로 주문했는데 색감이 가볍지 않아 괜찮네요. 키보드 품질은 가격대비 좋습니다. 묵직한 무게와 미끄럼 방지 패드 덕에 흔들림 없이 고정되구요, 흡음재가 있어서 인지 보통 스페이스바를 쳤을 때 울리는 텅~ 하는 소리가 없어 좋았습니다. Fn키 조합으로 키잠금, 볼륨, 멀티미디어 컨트롤 등 가능한 점, 다양한 LED 세팅도 장점이 되겠고, 단점이라면 백라이트가 가운데 집중되어 CapsLock키 같이 넓은 키는 사진처럼 일부만 불이 들어온다는 점 정도. (CapsLock, Enter, 한/영, 한자 키) 내구성은 더 사용해 봐야 알겠지만 디자인이나 마감이 상당히 깔끔하다는 느낌을 받았고, 타건감이 생각보다 괜찮아서 가격대비 만족도 높습니다. 이 가격대에서는 경쟁 상품 찾기 힘들 듯. 축별 타건감이나 소음은 취향을 많이 타니 매장이나 유툽 찾아보시고 결정하세요. :)",[]
4,잘받았습니다. 한가지 아쉬운점은 겉박스에도 뽁뽁이 조금 둘러주시고 포장해주셨으면 더 좋았을거 같습니다. 다행히 문제는 없는거 같습니다. 저소음 갈축을 처음써보았고 유튜브를 통해 알아보다가 구입하였는데 만족합니다. 다만 스페이스 키는 다른 키에 비해 소리가 조금 크게 느껴지는편입니다. 뽑기운인지 이게 정상인지는 판단을 해보려 여러 참고 해봤지만 자료가 많이 없고 타건영상이 있어도 키별로 체크해준것이 명확하지 않아 판단하기 어렵네요. 그래도 타이핑을 해본결과 만족스럽습니다. 게이밍 타이핑 용으로 구입하기에 괜찮은 제품이라고 생각합니다. 잘쓸게요!,"['https://phinf.pstatic.net/checkout/20200712_66/1594484499299VrIQF_JPEG/review-attachment-45bdb5bd-25d2-4685-ae70-f46573fa21c2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200712_209/1594484765008R9sWv_JPEG/review-attachment-f2a294a6-2166-4030-9f2b-0747bef3d648.jpeg?type=f287']"
3,"주문하고 이틀만에 받았습니다!
일단 매우 아쉬운점은 제품박스 봉인 테이프가 구겨져있었고, 제품박스 또한 여기저기 찌그러져 있었습니다. 처음 받았을때 새 상품이 맞는건가 의심이 들정도였습니다.
일단 그려러니 하고 제품 뜯고 하자 없는지 확인하고 약 1주일 정도 사용중입니다.
사용하면서 느낀점입니다.
제가 처음 기계식 키보드를 사용해서인지 생각보다 키보드 높이가 높게느겨졌습니다. 텐키리스 제품이라 평소 일반 제품 사용했다면 조금은 불편(?) 어색해서 적응을 해야될거같습니다. 그리고 스페이스를 누를때 통통 튀는 느낌(?)과 소리가 있습니다. 공간 절약되며 타건감과 소리때문에 계속 사용하고싶은 생각이 듭니다.

더 비싼 키보드도 많지만 입문용으로 만족하며 사용할 예정입니다. 다만 포장부분을 더 신경 써 주신다면 3점이 아니라 4~5점 정도 줬을거 같습니다. 제품 자체는 가격대비 좋다고 생각됩니다.",[]
4,"전에 키보드를 갈축 황축 으로 써서
청축을 찾아보던차에 녹축이라는게 있더라구요
비슷한 느낌이라고 해서 구매를 했는데
되게 타격감이 좋네요 옆에 숫자판을 자주쓰긴하는데
미니멀한 감성으로 쓰기에 숫자판이 없는것도
한번 써보고 싶어서 구매를 하였는데
음 rgb불빛도 추가하면 되게 이쁠거같은데
화이트 단일로 해서 약간 아쉬운 부분이네요
그래도 타격감및 디자인을 보면 그것도
감안해서 넘어갈수있는거같네요
앞으로 더 써봐야알겠지만
지금 디자인에 빠져서 아마 좋게 쓸거같아요
*장패드이벤트 참여해볼랍니다~","['https://phinf.pstatic.net/checkout/20200719_51/1595092145019zCzul_JPEG/review-attachment-99b29778-94fb-4021-a8a3-48759c4d9e25.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200719_171/1595092198322MDl1m_JPEG/review-attachment-58e8d181-47a8-45f4-bf1b-4525bfa12082.jpeg?type=f287']"
