star_point,comment,photo
4,"인기 상품인만큼 믿고 산 부분이 없지않습니다. 기대를 저버리지 않네요. 사진과 동영상으로 참고 될만한 정보를 후기로 남깁니다.

마감이나 외관부터 보면 들뜸, 인쇄불량, 날카로운부분 하나 없이 만듬새가 아주 좋습니다.
1. 높낮이는 큰 차이는 없지만 0, 1, 2 단계로 분리되어있습니다.
2. 화이트 LED 단색이며, 개인적으로 RGB도 아니면서 조잡한 레인보우는 싫어해서 빠른 구매결정에 한 몫 했습니다.
3. F1~F12번의 Fn키 조합 기능은 반드시 설명서 보시고 숙지하셔야 합니다.(키보드에 F키 별 기능 아이콘이 새겨져 있지 않음. 깔끔함)

* 타건 동영상은 휴대폰 동영상이므로 소리가 과장된것이 눈이띄게 느껴지네요. 동영상보다 타건소리는 영상보다 다소 작다고 생각하시면 됩니다. 실제로 받아서 써보니 유튜브에서 타건영상들 본 것 보다도 다소 작은 것 같네요.
* 유튜브나 타 후기에서 설명을 봤다시피 적축과 갈축 그 사이쯤 된다는 말이 맞다고 봅니다.
*텍스트로 타건감을 표현하기에는 다소 힘들지만 써본 키보드들을 토대로 비교하면,
CK87(게이트론 황축)
키압) 체리적축보다 살짝 더 키압이 있고 오테뮤 갈축 보다는 덜함.
타건음) 체리적축보다 살짝 크고 오테뮤 갈축보다는 훨씬 덜함.
* 별점 4점인 이유는 인쇄양이 많은 자판에서는 LED의 빛이 부분적으로 채워지지않는 아쉬움때문에 1점 깎았습니다.

FPS게임할 때 87키입문용으로 써보기로 했는데, 게이트론 축이 생각보다 잘 맞을거같고, 예상보다 오랫동안 쓸 것 같네요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_08_0/9d1214f4-d945-11ea-a472-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_33/15968702447156rMFS_JPEG/review-attachment-fb2dcadc-eeb1-4d05-b18f-68669ded5c6a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_107/159687023046383Av3_JPEG/review-attachment-22177afe-fd56-41c6-a1ec-47eca8214ee8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_69/1596870324772TaAoN_JPEG/review-attachment-7977d7a9-b387-403d-b2f6-5e2f656c8e81.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_262/1596870275671ML8HX_JPEG/review-attachment-f8f9fb52-3c24-4aca-a664-9b46a7ded6e6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_127/1596870296166NzLUA_JPEG/review-attachment-56545c74-fdd7-49fc-9dfa-40eae846e5f2.jpeg?type=f287']"
5,배송은 3일정도 걸린거 같아요^^ 기계식 키보드 게임방 말고는 참 써보는데 잘 모르지만 타격감이면 소리며 다 맘에 들어요ㅋㅋ 저는 led라이트가 너무 밝지 않아서 좋더라구요. 색깔도 생각했던거보다 고급스럽고 이쁘네요 ㅋㅋ 매우 만족합니다.,"['https://phinf.pstatic.net/checkout/20200828_145/1598626509821HrAb9_JPEG/review-attachment-05d732f5-885e-4e1b-b1c6-1af48b8daf25.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_241/1598626510547aO8Bs_JPEG/review-attachment-4008c602-9b4b-4007-a55a-825fb88d67ce.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_267/1598626511700nDugX_JPEG/review-attachment-580a5a4a-ea2c-4dda-b9c6-d6021f10061c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_249/1598626512881gnyK0_JPEG/review-attachment-b591594a-1578-4df7-a99e-8c11febd2334.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_128/1598626513184CJGXD_JPEG/review-attachment-b2fadb89-652b-45b6-9e54-ac0bdc8bb1c9.jpeg?type=f287']"
5,"다들 가격에 비해 품질이 좋다고 해서 구매했습니다.
저는 황축을 구입했는데 '이걸 왜 이제야 샀나?'라는 생각이 들 정도로 만족하고 있습니다.
다른 스위치는 모르겠지만 황축의 타건감과 소리는 정말 매력적입니다.
윤활이 잘 되어 있어서인지 잡소리가 거의 없습니다.
오른쪽 쉬프트 키가 조금 반항(?)을 하지만 대체적으로 아주 만족한 제품입니다.
황축 사실 분들은 적극 추천드립니다.","['https://phinf.pstatic.net/checkout/20201028_34/1603874525339rLnv3_JPEG/review-attachment-de8b2f10-c1b5-4e54-988e-432973398ae8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_187/16038745352236JqUq_JPEG/review-attachment-246cd243-f97e-474f-8a24-15de6df3b631.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_18/1603874544118phHjx_JPEG/review-attachment-941e7567-113b-475c-bc1c-4feacc178988.jpeg?type=f287']"
5,"후기를 많이 보고 제일 걱정했던 점은 포장이 빈약하다보니 파손된 물건이나 불량이 오지 않을까 였습니다. 그래서 긴장하고 여기저기 둘러봤는데 다행히 문제삼을만한 곳은 없었네요!
일단 기대했던대로 디자인은 너무 제스타일이고요. 텐키가 없어서 가끔 손이 허공을 떠돌때가 있지만 그래도 짤막해진만큼 디자인이 더 깔끔해서 만족도는 높습니다.
키감은 사실 처음에 예민하게 이곳저곳 만져본 결과, 여기저기 균일한 키감이라는 느낌은 안들고 부위마다 차이가 은근 심한것 같더라고요. 근데 이건 처음에 만져볼때나 느껴지지 막상 게임하거나 일상 사용하면서는 체감이 안되서 크게 문제되진 않습니다. 아무튼 이런 제품 5만원에 구매할 수 있어서 ~ 잘 쓰겠습니다.","['https://phinf.pstatic.net/checkout/20200522_164/1590123959952aqhxj_JPEG/58FEB99D-61F1-45C9-8309-F8C8034A96F0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200522_44/1590123959043tjyUL_JPEG/2CE2E0F0-1D98-4198-A94E-30B2EE2C4951.jpeg?type=f287']"
5,"기존에 타사의 체리갈축 모델을 사용하고 있었습니다. 스테빌이나 통울림이 좋다고하여 사용했는데, 기대이하여서 실망했던 기억이 있습니다. 반면 콕스 제품은 기대이상이었습니다. 키압이 제가 원하는 것 보다는 약간 더 강한 느낌은 있으나 황축이 전해주는 느낌은 정말 좋습니다. 디자인도 깔끔하고 키캡 폰트에도 보기싫은 기교가 없어 깔끔하고 너무 이쁩니다. 특히 스페이스바 스테빌이 잘잡혀있는게 너무 인상적입니다. 한가지 아쉬운 점이 있다면 멀티미디어키에 각인이라도 돼있었다면 어땠을까 하네요. 설명서를 보지않으면 활용에 어려움이 있을듯 합니다.","['https://phinf.pstatic.net/checkout/20200529_205/1590739738416ogRvd_JPEG/20200529_162401.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200529_112/1590739742273Xvhf4_JPEG/20200529_162353.jpg?type=f287']"
5,"갈축을 구매하였는데 황축이 도착했습니다
이미 개봉하고 키를 눌러본후 잘못온걸 확인해서
그냥 쓸 생각이었는데
잘못 보냈다고 문의 한번 한것만으로 맞교환 형식으로
주말인 바로 다음날 토요일 오전에 키보드가 도착해서
생각지도 못했는데 오히려 깜짝 놀랐습니다
맞교환 제품과 교환하지는 않았지만 배송및 일처리는 매우 만족스러웠습니다
키보드의 경우 일단 이쁘네요
검은색 바디에 짙은 회색키와 짙은 빨간색키가
색상이 잘 뽑혀서
led도 단색이지만 오히려 것보다
더 보기 좋습니다
사용감은 황축이라 걸리는거 없이 스무스하게 들어갑니다
청축이나 갈축을 사용했던 사람이라면 조금 이질감을 느낄수도 있지만 오히려 적당한 키압과 부드러운 키감에
새로운 맛을 느껴볼 좋은 키보드라 생각합니다
소음도 아 기계식 키보드를 쓰고있구나 정도로 좋은 편입니다
그외에 통울림이 아예 없는건 아니지만 이정도면 거의 없다고 봐도 될정도로 좋은편이고
몇몇키의 경우 소리가 고르지는 않지만 대체적으로 만족스러운 키보드입니다
오히려 가격대비 매우 좋은 마감과 성능이라
원래 사려했던 갈축을 하나 더 살까 고민이 들 정도입니다
구입처의 대응방식과 키보드 만족감까지
간만에 물건 잘 샀다고 생각이 드네요~",[]
5,기계식 보급화가 되었다고 해도 아직까지는 비쌉니다. 그 중에서도 가성비는 끝내줍니다... 두드리는 맛은 충분히 만족시켜주나 레터링이나 led 위치나 갯수가 아쉽긴합니다. 블투모델은 결국 배터리 때문에 포기했는데요. 다음에 도전해볼께요.,"['https://shopping-phinf.pstatic.net/20201104_7/b2f07e96-bb9f-4d9a-a417-896be57622bc.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201104_4/3e9f1fba-82c3-431f-bf86-f6ceabf52f5d.jpg?type=f287']"
3,배송을 박스에 2중으로 해주실줄 알았는데 그냥 비닐 포장이네요 뽁뽁이 옵션이 있길래 이건 뭐지? 했는데 그냥 비닐에 주실줄은 몰랐네요 택배기사님들이 택배를 하나하나 못챙겨서 던지는 경우가 많은데 혹여나 파손되거나 불량일까봐 맘졸이면서 열었는데 사용은 안해봤지망 외관은 일단 멀쩡하네요 그래도 포장박스에 비닐하나 걸쳐서 택배가 올거라곤 상상도 못했네요,"['https://phinf.pstatic.net/checkout/20200709_105/1594260970308oaecm_JPEG/review-attachment-f4423d5b-7832-4078-91ec-cef111f437eb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200709_58/1594260970495GJkU5_JPEG/review-attachment-86f00f6e-19b5-46a5-be7e-00d5a2e05157.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200709_17/1594260970962KsXkM_JPEG/review-attachment-3e8e9e07-3e5e-47b8-be2a-70c9715d4949.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200709_294/1594260970895ntnpd_JPEG/review-attachment-e0b4a0f4-74be-4ec9-a5a9-63b2ebfc6bbb.jpeg?type=f287']"
5,"남치니 생일 선물로 사줬는데 너무 좋아하네요~
한마디로 : 오만원대 이 퀄리티면 미.쳤.따!
가성비가 너무 좋고 색도 너무 이쁘고 타건감도 좋으며 텐키리스라 부피감도 적고 키갭도 베리베리굿!!
종합적으로 이 가격에 이 퀄리티 진짜 말도 안된다!

라고 하네요 ㅋㅋㅋ
마지막까지 키보드 색상에서 엄청 고민을 했어요~ 흰파가 너무 예뻐보이지만 때가 탈까봐ㅜ 빨검으로 했는데 실물이 더 이뿌다고 합니당~

여기저기 엄청 알아보고, 마트에 가서도 많이 알아보고 골랐는데
전혀 선택 잘 했다고 합니당!
후기가 도움이 많이 되길 바라네요 ^^",['https://phinf.pstatic.net/checkout/20200813_195/1597286242411D9pEi_JPEG/review-attachment-fe71e514-823a-49cb-aa5d-60aaa83d5667.jpeg?type=f287']
5,노트북에 쓰려고 키보드 하나 장만하려다 예전부터 보고 있다가 특가 하길래 바로 질렀습니다. 진짜 특가로 사면 이만한 갓성비가 따로 없습니다. 키 캡은 ABS 지만 그래도 나름 괜찮은 편이라 생각하고 무엇보다 이 가격대에서는 느껴보기 힘든 훌륭한 키감이라 생각합니다. 황축 제품을 구입했는데 키 압도 너무 낮지 않고 적당해서 개인적으로 나쁘진 않네요. 키보드 자체는 가성비 제품이라 자잘한 문제들이 있습니다. 근데 가성비에 완벽을 바라는 건 좀 무리가 있지만 그걸 감안해서도 추천합니다. 저도 사서 1주일쯤 썼는데 스위치에서 철심 소리 조금씩 나는 게 몇 개 있고(심하진 않음) 스테빌 윤활도 돼있긴 한데 조금 균일하게 안 돼있고 사소한 문제들이야 어쩔 수 없이 있지만 디자인+키감에 전 무조건 추천할만합니다. 왜 하필 특가 시작 1주일 뒤에 나왔는지 모르겠지만 크림 블루 모델은 키 캡을 바꿔서 몇몇 문제를 개선했다 하니 무조건 질러도 무방하다고 생각합니다. 진짜 키감 때문에 요새 아주 행복합니다.,[]
