star_point,comment,photo
4,"일단 키보드가 이쁘니까 볼때마다 기분이 좋습니다.
더 예쁜 키보드도 있지만 동일한 가격대 키보드에서는
얘가 제일 이쁘네요. 충분히 만족할만한 키보드입니다.
키캡이 크림색상인것에 반해서 키보드판(?)은 흰색이라서
제눈에는 괴리감이 조금 있긴합니다.
보다보면 익숙해지길 바라고 있습니다..

상품배송은 이틀 정도 걸렸습니다.
뽁뽁이같은건 없이 그냥 본품을 비닐보장해서 왔습니다.
이부분은 좀 아쉽지만 본품박스가 크게 상하지 않은걸로보아
제품에는 이상이 없을것 같다고 믿고 싶네요...
박스 봉인라벨씰 같은건 없었고요 그냥 테이프로 고정 되어있었습니다.
참고하시길 바랍니다.

.
리니어타입은 별로였어서 황축이 아닌 갈축으로 구매했는데
게이트론 축은 갈축이 별로라는 이야기를 많이 들어서 걱정했는데 기우였습니다.
윤활 좀 해주니까 일반인인 저한테는 갈축도 엄청 좋게 느껴지네요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_16_0/6427d1c9-27bf-11eb-beee-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_16_0/6e222468-27bf-11eb-9342-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201116_138/1605498826618GvxXd_JPEG/review-attachment-96b8f6c2-8750-4d52-ba44-8f89978d3602.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201116_122/1605498886191rHkv6_JPEG/review-attachment-b0223999-ea94-4b00-bac4-5478eafe6954.jpeg?type=f287']"
5,청축 기계식키보드 처음써봅니다...너무 마음에 들어서 어찌할바를 모르겠네요.. 솔직히 처음 배송온 상태를 보고서는 너무 걱정되었습니다 첨부한 사진 보시면 아시겠지만 상자가 조금 찌그러졌어요.. 그것도 중간이 접히는 느낌으로 찌그러져서 걱정이 먼저 앞섰습니다 혹시나 키보드 중간이 접혔을까봐... 근데 막상 뜯어보니 너무나 영롱하고 아름다운 자태가 고스란히 잘 배송되어왔더라구요! 너무 마음에 듭니다 지금 타건소리 너무 청아하고 맑고 아름다워요 꿈에서도 듣고싶네요 밤에 키보드소리 많이 클까봐 걱정했는데 걱정하는만큼 크지도 않고 사무실에서도 쓰고싶을정도로 마음에 듭니다 이 타건감....LED와 디자인도 깔끔해서 마음에 듭니다 텐키리스가 아닌 일반 키보드는 책상 공간을 너무 많이 잡아먹었는데 텐키리스가 왜 인기있는 키보드인지 이유를 알겠네요!! 유튜버중에 잇X님의 추천보고 샀는데 정말 마음에 듭니다 감사해요 X섭님...! 그리고 콕스..!,"['https://phinf.pstatic.net/checkout/20200916_171/1600182666083x6MIL_JPEG/review-attachment-7e1d2df1-d1dc-4f23-a2fc-05bbcb0cc83a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_197/1600182666046Nsc4A_JPEG/review-attachment-e743f90d-12f3-47c0-ae26-bfd2cc2ae81f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_31/16001826660300NG4r_JPEG/review-attachment-5624b044-92c6-45ea-88ea-8612e201e88f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_109/1600182666178yvGHL_JPEG/review-attachment-5b643fb9-7f2c-4365-b9db-418acf729bdc.jpeg?type=f287']"
5,"가성비 키보드로 들었는데 그 이상 입니다.
키보드에 앞서 문의사항이 있어 연락을 드렸는데 너무 친절히 답해주셔서 감사했습니다!
저는 키보드를 취미로 수집하는 사람인데
이 가격대 나올 수 없는 제품입니다...
타건감, 스태빌라이져, 마감 모든게 뛰어납니다
10만원대 제품과 견주어도 크게 떨어지지 않는 부분입니다.
봉인씰이 있는 점도 좋았으며 한 가지 아쉬운점은 커버가 없다는것 그 외 모든게 장점입니다!
특히 ...
고민하시는 분들은 배송을 늦출 뿐 입니다.
어서 주문하세요!!","['https://phinf.pstatic.net/checkout/20200822_88/1598067284470RFE4W_JPEG/review-attachment-306dd413-0edb-488d-91ed-16a919d763e7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_242/1598067284747pmkRS_JPEG/review-attachment-4cefb45f-d771-4ddd-b0a3-1e10caf9869b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_130/1598067284884dq3RN_JPEG/review-attachment-6f7e4618-aaa6-444e-b0ba-fee1c23e76d2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_188/1598067284869DFIlR_JPEG/review-attachment-88d4e06e-0df6-43ac-a522-4afe2d7d1d3f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_166/1598067285768zFM0p_JPEG/review-attachment-56ab76b9-8d88-4198-b361-3fceecdc5fa0.jpeg?type=f287']"
5,"텐키리스+기계식 키보드 처음 써보는거라 많이 알아봤어요!ㅎㅎ 우선 키보드 너무 너!!!!!!!!!!무 예쁘고 귀여워요! 집에서 사용하려고 샀는데, 한밤 중에는 문 닫고 써야겠어요! 황축이더라도 소리는 많이 나네요ㅎㅎ 그래도 저한텐 듣기 좋은 맑은 키보드 소리에요! 원래 쓰던건 비프렌트 분홍+하얀색 섞인 팬타그램 키보드 사용했는데, 본체 무게는 비슷하고 키감은 콕스가 더 가볍습니다! 완전 만족스럽습니당^.^","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_29_0/47b482d5-0230-11eb-be01-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_29_0/5b631d9c-0230-11eb-bb08-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_29_0/991a37eb-0230-11eb-8b74-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200929_14/1601369128425vWUwX_JPEG/review-attachment-bb7f3d10-48a6-4b17-9700-d2ca51c9c235.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200929_297/1601369160222DylIh_JPEG/review-attachment-16a3b135-5fff-4e2f-b35e-c94593fda38e.jpeg?type=f287']"
4,"예전에 사용했던 키보드는 청축 키보드였는데 너무 시끄러워서 바꿔야겠다고 생각했다..황축 키보드중에서 화이트를 살까 고민했지만 크림블루를 구매했는데 잘샀다는 생각이 든다..키감이 부드럽고 소리가 조용해서 좋다
디자인이 예쁘다 색감도 이쁘다..
울아들이 부르는대로 적었어요..게임용으로 딱좋대요..ㅜㅜ이런....^^","['https://phinf.pstatic.net/checkout/20200805_241/159662229427525nAB_JPEG/review-attachment-171f6da3-0d76-4f34-b750-0477d23b854c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_224/1596622303199f1R5z_JPEG/review-attachment-f308a91c-9d05-43cc-9d51-6a9b8f6208c3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_50/15966223151647OmuL_JPEG/review-attachment-88369e08-2be9-4aa1-bb16-2901221e83bd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_281/1596622324412iBOsI_JPEG/review-attachment-fc7332b4-ee6a-4ded-8295-5b7b6ecae541.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_184/1596622334439t0Np3_JPEG/review-attachment-36900768-3e74-4d21-bcfe-77e985187f30.jpeg?type=f287']"
4,우선 저소움이랑 키패드가 이번에는 없는 중저가 게이밍 키보드를 찾다가 ck87이 눈이 제일 깔끔하고 평도좋아서 주문을 바로 해버렀는데 역시 제품은 좋았어요 근데 포장이 알아본거와 달리 스티커는 일반스티커구 한번만 포장되어 여기저기 찌그러져있는 상태여서 열기전 불안감이 ㄷㄷㄷ 열고나서는 제품의 깔끔함과 성능에 만족합니다 많이 파세요.,"['https://phinf.pstatic.net/checkout/20200820_38/1597900627663zTweu_JPEG/review-attachment-199973cf-f89c-46ff-be39-a482c181da96.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_263/15979006277799rqrU_JPEG/review-attachment-25227896-5cbd-4c1f-838f-c1960df401a1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_11/1597900627488WbLyX_JPEG/review-attachment-52a311d7-c2bb-4599-a836-6d190a8cb96c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_156/1597900628095vaUbt_JPEG/review-attachment-d9881adc-3210-47cf-b0c9-9535097334df.jpeg?type=f287']"
5,역시 갈축이여서 사각사각소리도 작고 너무 좋아요 LED 도 이쁘게 들어와서 좋아요~~~ 진짜 가성비 갑!!! 텐키리슨는 첨이라 어색 할줄알았는데 오히려 더편하고 좋네요~ 아 그리고 배송진짜 빨라요 ㅎㄷㄷ 전 이렇게 빨리 올줄 몰랐는데 하루만에 와서 놀랐습니다. 사장님 많이 파세요~~~~,"['https://phinf.pstatic.net/checkout/20200826_20/1598447036327BqTiK_JPEG/review-attachment-fca5db2f-46e8-489a-8feb-933074cb914d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200826_110/1598447036368F41kF_JPEG/review-attachment-88c13834-8ff5-4855-bca2-f7a99503992f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200826_300/1598447036472M2BRg_JPEG/review-attachment-dc8e4301-e794-4515-b960-c8c86e551fff.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200826_250/1598447036431Mv5jF_JPEG/review-attachment-f26f67b7-75cf-4d81-bf78-6ab6dc86577d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200826_145/1598447036596f87zM_JPEG/review-attachment-24b06ea4-1795-4e50-9d69-d5e7fe6a8a33.jpeg?type=f287']"
5,"레오폴드 산지 10년이 다되어 LED 없는 제품이에요 ㅠ 고장이라도 났으면 새로샀을텐데 고장도 안남 ㅠ어차피 컴퓨터 할때 등 불을 키고 하는 습관이 있어서 딱히 불편하다는 생각은 안했는데 작은방에 컴퓨터 한대 더 놓을생각으로 키보드 보던 찰나에 콕스 제품이 눈에 들어왔네요 일전에 유명유투버가 극찬한 제품이란건 알고 있었고 세일기간이라 질러봤습니다 청축,적축만 써봤었는데황축은 처음이라 어떤 느낌일지 기대하면서 물건을 받았는데 주문하고 하루 만에 와서 깜짝 놀랐습니다 요세 물량도 많아 힘드실텐데 각설하고 처음 받았을때 밀봉 테이프가 약간 부자연스럽게 붙여져있어 누가 썼다가 재포장 한건 아닌지 쫌 찜찜하더군요(사진참조)어제 처음 테이핑도 하고 게임도 하고 그랬는데 결과는 대만족 조용하면서 키압이 낮아 부드럽게 타이핑이 가능했습니다 그리고 저렴한 키보드중에 단점이 쉬프트키나 스페이스바 엔터키등 스프링이 달려있는 키들은 타건감이 틀리게 되어있는데 요 제품은 그런면이 없더군요 스프링 설계가 잘되어 있나봐요^^ 찾아봐도 이만한 제품 고르기 쉽지 않을껍니다 제가 좀 워낙 깐깐한 스타일이라 ^^;;;;",[]
5,예전에는 시끄러워서 싫어했던 청축 키보드 소리가 갑자기 너무 경쾌하게 들리고 좋아서 구매했습니다. 마침 디자인까지 너무 마음에 드는 크림블루 버전이 있어서 입고확인 하자마자 구매한 것 같습니다. 더스트 커버가 없는 점은 좀 아쉽습니다. 따로 키보드 루프를 구매해야겠네요.,"['https://phinf.pstatic.net/checkout/20200701_257/1593599329194vnX2m_JPEG/%C5%B0%BA%B8%B5%E5%B0%F8%C5%EB.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200701_263/1593599333267oxVrx_JPEG/%C3%BB%C3%E01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200701_22/1593599333365OKtOs_JPEG/%C3%BB%C3%E02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200701_13/1593599333415aPmon_JPEG/%C3%BB%C3%E03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200701_299/159359933353164LBT_JPEG/%C3%BB%C3%E04.jpg?type=f287']"
5,"기존에 레오폴드 갈축을 쓰고 있었는데 디자인과 타건음(유튜브)에 반해서 구입했습니다. 실물 너무 예쁘고요, 타건감은 기대에 못미치기는 한데 익숙해지니까 괜찮네요. 조금 뻑뻑? 묵직? 한 느낌이에요. 조용하게 사용한다면 사무실에서도 쓸 수 있을 것 같아요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_16_0/5d2e1593-df8f-11ea-b562-a0369ff968b0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200816_125/1597561777759zS71D_JPEG/review-attachment-fecde016-932d-407d-a6c0-6e0ad6081895.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200816_266/1597561776542MavUm_JPEG/review-attachment-7959607b-a0c2-4b74-a6df-e9d9a6241e19.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200816_163/1597561778659dEpiP_JPEG/review-attachment-ae2f1af6-1ee8-47da-ac84-1e3bc748981a.jpeg?type=f287']"
