star_point,comment,photo
5,"여러 기계식 키보드를 알아보다가 콕스사 가성비로 유명한 CK87로 정하였고,

색상이나 축을 결정하는 데 너무 고심을 많이 했는데요~

원래는 화이트바디 녹축을 구매하려고 했으나, 단종제품이라고 하고,

크림블루 청축을 구매하자니 입문할 때 청축은 써봐서 재미가 없을 것 같고

그래서 결정한 게 화이트 바디에 게이트론 스위치중 인기가 가장 많은 황축을 구매했습니다.



역시나 색상 및 LED 타건감 모두 너무 좋네요.

타건감이 딱 원하던 정도의 키압과 소리에요.





색상을 고민하시는 분들 중에서 네이비나 블랙 계열보다는 밝은색을 선호하시는 분들에게 너무

이쁜 색입니다.



다음에 구매하게 된다면 백축이나 적축쪽으로 구매하려고 합니다^^","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_28_0/c71487d3-e8fe-11ea-ae26-505dac8c385b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_48/1598599144726sVtwy_JPEG/review-attachment-dbb43e2e-b474-49b3-9492-1e678b4b8c21.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_46/1598599144484uUhxB_JPEG/review-attachment-de09b573-f3e8-48b1-aad2-9d85ca3d460e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_208/1598599144538pBzKm_JPEG/review-attachment-38d88662-0887-4133-b3ba-45e52728a45f.jpeg?type=f287']"
5,"가성비 좋다그래서 구매했는데 리얼 진짜네요
높이조절 되는건 당연한데 3단계로 조절되어서 좀더 세심하게 맞출 수 있어서 좋은것 같아요.

단색LED지만 반짝반짝 불빛나는 쓸데없는 조건 대신 훨씬 견고한게 느껴집니다.

게이트론 황축인데 키감은 체리축으로 비교하자면 적축과 갈축 중간느낌으로 누를때 구분감이 덜하고 .

그리고 키 뺄 수 있는거 주시는건 물론 청소붓까지 같이 주셔서 진짜감사합니다. 청소붓은 있으면 더 깨끗하게 사용할 수 있어서 좋은거 아시죠?

아 이정도면 진짜 사세요. 뭘 망설이시나요","['https://phinf.pstatic.net/checkout/20200828_243/1598598400118cBTeq_JPEG/review-attachment-3edf6270-1bcf-4053-8c5c-6bb683512055.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_236/1598598400618xPXUH_JPEG/review-attachment-faea1557-bbd9-4913-952c-a5e82de358bc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_106/1598598401219xnXDH_JPEG/review-attachment-3f78346e-3eed-4c0b-a17e-824214e9b110.jpeg?type=f287']"
5,"배송은 보통이었습니다.(주문하고 2일만에 수령) 포장은 꼼꼼하고 좋았습니다. 어찌나 뽁뽁이를 많이 돌려주셨는지 쓰레기가 엄청 나왔습니다. 키보드는 기존에 앱코 해커965(풀사이즈)를 사용했었는데 주로 FPS게임을 많이 하다보니 불편한 점이 있어서 텐키리스를 알아보는 중에 CK87이 가성비가 좋다는 여러 영상이나 글들을 보고 구매하게 됬구요. 저 같은 경우 청축의 키감은 좋으나 좀 시끄러운 것 같고 그렇다고 적축은 너무 심심한 것 같아 청축의 키감에서 소음이 다소 적다고 하는 갈축을 선택하게 됬습니다. 키보드 수령 후 몇차례 타자연습으로 타건을 해보았을 때 상대적으로 다소 밋밋했던 무접점 키보드에 비해 크지는 않지만 적당한 타건음 등 타건하는 재미가 있었습니다. 키보드 높이조절은 2단까지 가능한 데 저는 2단 전부 올려서 사용하고 있고 타건하는 데 통울림 같은 것은 듣지 못했습니다. 기존 풀사이즈 키보드에서 텐키리스 키보드로 바꾸고나서 마우스를 좀 더 넓게 사용할 수 있고 게임 중 글자를 입력할 때에도 좀 더 편해져서 좋았지만, 지금까지 풀사이즈를 사용할 때에는 그다지 텐키쪽을 잘 사용하거나 신경쓰지 않았다고 생각했는데 오랜시간동안 풀사이즈 키보드를 사용하던 버릇이 있어서 저 같이 오랫동안 풀사이즈 키보드를 사용하다가 텐키리스로 바꿔 사용하는 경우에는 약간의 적응기간이 필요할 것 같습니다.",['https://phinf.pstatic.net/checkout/20200918_62/1600392745508C8Onm_JPEG/review-attachment-4fd400cd-ccf5-464d-96bf-e318d5b53c46.jpeg?type=f287']
5,집 근처 피시방에서 사용해보고 황축 키보드의 타건감이 너무 좋아서 같은 모델의 화이트 색상 제품을 구매했습니다. 집에 있는 키보드는 죄다 블랙이라서 이번에는 화이트를 구매해봤습니다. 키감 말할 것도 없이 좋구요. 더스트 커버가 없는 점이 아쉽지만 키보드 자체로는 아주 만족스럽습니다.,"['https://phinf.pstatic.net/checkout/20200701_24/1593599174045xf2fs_JPEG/%C5%B0%BA%B8%B5%E5%B0%F8%C5%EB.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200701_199/1593599180276OJrHu_JPEG/%C8%B2%C3%E01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200701_137/1593599180391lIGtL_JPEG/%C8%B2%C3%E02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200701_103/15935991804335Qpzi_JPEG/%C8%B2%C3%E03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200701_80/1593599180506kyHwO_JPEG/%C8%B2%C3%E04.jpg?type=f287']"
5,"키가 씹히는 현상이 없고 쓰기 괜찮네요. 또 화이트라서 때가 묻어있지 않을까 걱정했는데 그 부분에 대해서는 문제가 없어서 다행입니다.
다만 키캡이 크게 티는 안나지만 전체적으로 아주 약간 삐뚤빼뚤합니다. 이부분이 좀 개선되면 더 좋을 것 같네요.","['https://phinf.pstatic.net/checkout/20201115_140/1605439263738LGdi5_JPEG/review-attachment-6eae890b-3d53-4117-a220-d709d46e4bfb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201115_210/16054392640122OkVc_JPEG/review-attachment-b5b4355d-136b-4332-8aa8-b01ddf416845.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201115_98/1605439264120Emyxa_JPEG/review-attachment-d206f940-99c5-46cd-9c88-dc95c50e2f92.jpeg?type=f287']"
5,"금욜밤에 주문해서 화욜아침에 받았네여 주말이껴있어서 기다리느라 힘들었지만ㅋㅋ
잘받았습니다. 디자인은 기대이상이네요 깔끔하고 좋습니다. 화이트라 이쁘긴한데.. 생각보다 깔끔하고 맘에 들어서 더 오래오래쓰고 싶은 맘이 커지다보니 때탈까봐 걱정입니다. 색깔도 싼티나는 흰색일까 걱정했는데 전반적으로 5만원이라고 안보이는 퀄리티고, 기계식 처음써보서 타건음에대해선 잘모르지만 기대했던것보다는 소리가 좀 납니다? (울림같은소린데 이걸 통울림이라 하는건지) 개인차가있겠지만 크게 거슬리진않을듯해요.","['https://phinf.pstatic.net/checkout/20200211_236/1581388573750omujl_JPEG/20200211_113313.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200211_119/1581388583992oozti_JPEG/20200211_113321.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200211_34/1581388636514Ou3K7_JPEG/15813886027301974480069156973999.jpg?type=f287']"
5,"결론: 제가 원하던 완전 깔끔한 화이트 키보드였습니다.

<키감>
황축 처음 써보는데 부드럽고 사각이는 키감 너무 좋아요.
이전에 쓰던 게 청축이랑 사무용 멤브레인 키보드라 황축 키보드 처음 눌러보고 너무 부드러운 게 느낌이 이상해서ㅋㅋ 조금 버벅이긴 했는데 반나절 쓰니까 언제 어색했는지 모르겠네요. 타자 잘 쳐지고 좋아요! 이거보다 가벼운 적축 샀으면 키감이 너무 안 느껴져서 난감했겠다 싶었습니다.

<외관>
제가 생각한 색감보다 군더더기 없이 깔끔한 화이트 톤 입니다. LED마저 깔끔한 화이트 톤이었구요. 텐키리스라 책상 위 공간이 널널해져서 분위기가 살아나네요. 기본 화이트톤이라 다른 색상의 키캡 주문해서 바꿔보는 재미도 있을 것 같아요. 깔끔함이 너무 마음에 들어서 쓰다가 결함이 조금 나온다고 해도 크게 문제될 것 같지 않습니다ㅋㅋ

배송도 주문 바로 다음날 왔네요. 덕분에 재택근무 보는 데 택배 일찍 받아서 기분도 넘 좋습니다. 잘 쓰겠습니다~!",['https://phinf.pstatic.net/checkout/20201020_250/1603174289825FShLC_JPEG/review-attachment-0074d862-b8a7-4efa-a59a-2f0210e81fd6.jpeg?type=f287']
5,"멤브레인 쓰다가 첫 기계식으로 ck87 갈축 구매해봤는데
적당한 시끄러움과 타건감이 만족스럽네요.(몰컴은 힘들 듯)
그리고 생각했던거보다 가볍게? 눌러져서 타자 치는데 부담도 적을 거 같음
led도 화이트라 깔끔하고 은은한 느낌! 잘쓰겠습니다 !!","['https://phinf.pstatic.net/checkout/20200526_96/15904951985182thTy_JPEG/KakaoTalk_20200526_210517715.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200526_188/1590495198537IhwMS_JPEG/KakaoTalk_20200526_210517715_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200526_272/1590495198595hi6dt_JPEG/KakaoTalk_20200526_210517715_03.jpg?type=f287']"
5,기존에 무접점 풀사이즈 키보드 사용하다가 FPS게임을 주로 하다보니 불편해서 텐키리스가 필요해서 바꿔봤는데 우선 텐키리스 제품으로 바꾸고 난 뒤에 숫자키가 없어서 약간 어색하긴 하지만 확실히 마우스 움직일 때 편리합니다. 그리고 무접점 키보는 조용하긴 하지만 약간 밋밋한 타건감이 있는 반면에 본 제품(갈축)은 어느 정도 딸깍거리는 타건음도 크지 않고 키압도 무겁지 않아 사용하기 좋습니다. 다른 기계식 키보드는 많이 써보지 않았지만 입문용 기계식 키보드로는 최고입니다.,['https://phinf.pstatic.net/checkout/20201027_278/1603781310062bkTlO_JPEG/review-attachment-9cbf28e9-9252-4c00-b82e-c1130ed0c771.jpeg?type=f287']
5,"갈축 키보드를 처음 구매해보는데 매우매우 만족중입니다.
메인컴에서는 무접점 키보드를 사용하고 있는데요, 가격이 두배나 차이가 나서 갈축은 괜찮을까 걱정했는데 둘 다 아주 잘 사용하고 있습니다.

* 갈축이 조용한 편이라고는 하지만 그래도 달그락 거리는 정도는 납니다.
카페에서 쓰기는 부담이 있는 소음입니다. 강판을 두들기는 소리가 나서 키가 걸리는 소리보다 강판을 치는 소리가 더 큰 것 같아요.
* 키압이 높은 걸 좋아해서 키압이 좀 있는 걸 구매했는데 치는 맛이 있어요:)

깔끔한 느낌이라 마음에 쏙 듭니다. 나중에 친구 선물용으로도 나쁘지 않을 것 같아요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_13_0/3e6453bd-64fc-11ea-8992-505dac8c381b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200313_81/1584084504103Ve8gG_JPEG/566D6B21-3D68-4478-9F9B-3DFDB91C1062.jpeg?type=f287']"
5,"배송이 매우빠르고 포장상태 좋았습니다.
특히 가격대비 상품의 질은 좋은거 같아요.
할인된 가격에 살 수 있어 좋네요
또한 이 제품은 LED가 영롱하게 잘 비워지는게 키보드 글씨에 선명하면서 은은하게 잘나와요.
자세해 보면 키캡 사출은 마감이 살짝 아쉬운게 느껴지긴하네요.
축은 제가 원하는 느낌인데 키압이 생각보단 가벼워요 그리고 스프링소리가 조금씩 차이나게 들이고요 통울림은 많이 없는편이네요.

그래도 이 가격에 이만한 제품은 없는거 같아요.","['https://phinf.pstatic.net/checkout/20200221_130/1582230862918oFdYq_JPEG/5CBBAE02-4475-443F-9BC2-1C688BAAD30A.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200221_285/15822308787921hqQR_JPEG/AD941893-CA22-4293-9388-6C59AD1C919F.jpeg?type=f287']"
5,정말 맘에 들어요! 화면으로 보는 것보다 더 예쁘고 키보드가 고장나서 알아보던 중 청축 갈축 황축 이런 것도 알게 되었는데 솔직히 청축 사고 싶었는데 소리가 너무 클까봐 갈축 했는데 너무 좋네요. 사각사각거리는 게 재밌음 ㅎㅎ. 청축도 사보고 싶어요ㅠ 그리고 LED나오는 것도 예쁘고 흰색에 흰색 빛이라 잘 안 보이진 않을까 싶었는데 완전 잘 보임!근데 빨리 때 탈까봐 걱정이긴 한데 아껴서 잘 사용해야겠어요 ㅠㅠ 그리고 텐키리스도 첨인데 짤막하니 귀엽고 좋아요~타건감도 좋구요! 물론 제 기준입니다! 하도 가성비 대비 좋다고 해서 산 거라 가성비 대비는 진짜 좋은 것 같아요!! 고장만 안 나고 오래 갔으면 좋겠어요ㅎㅎ,['https://phinf.pstatic.net/checkout/20200825_16/15983554438656kfpk_JPEG/review-attachment-e095baea-f6f1-4f56-a0be-763c15e5f75a.jpeg?type=f287']
5,옵치할라구 샀음 키보드랑 마우스랑 같이 샀어영 키보드 짱이뿌고 키 누를때 나무굽 바닥에 따각ㄱㅓ리는 소리 같아서 조음 새벽에 몰컴하기에는 부적절.. 마우스도 이쁘고 조아영 제일 싼 건 아니지만 다른데서 배송비 더해 사느니 여기서 같이 주문하는게 나아서 걍 같이 시킴,['https://phinf.pstatic.net/checkout/20201118_192/1605625253409joeM7_JPEG/review-attachment-e071ef3e-7873-4525-9d6f-76ca79c73b1b.jpeg?type=f287']
4,덱 청축쓰다 손가락아파서 커세 적축쓰다 esc키 무한 눌림으로 황축써보자해서 산건데.. 꽤 좋음 타건소리도 매력있고..하지만 엠병할 rpg게임이 다 그렇듯 qwer 버튼 마니 쓰는데 이 4개 키캡이 위아래로 유격이 있음.정확히 말하면 숫자키 밑에 키 가로줄이 다 그럼.. 게임 스킬쓰면 순간 움찔해짐.. 이게 좀 아쉽고 ..개인적으로 키보드가 좀 높은거같아서 손목 받침대 사용하며 장점은 깔끔하며 타건소리가 귀에 거슬리는게 아닌 정말 매력있는 소리임 ㅎ,['https://phinf.pstatic.net/checkout/20200624_78/1592969658421hI45X_JPEG/1592969620401.jpg?type=f287']
5,"배송이 2일 걸렸지만, 그거 외에 만족 합니다~
물량이 많이 있어서 밀렸나봐요
타건감 좋고, 갈축이라 사무실에서 그렇게 시끄럽지는 않을 듯 하네요
더 사용해봐야 알겠지만~
입문용으로는 정말 좋은듯 합니다.
진작 살껄,,괜한 기계식 같은 키보드 사며 중복투자 하느니
이 제품 구매 하는게 더 이득!
고민은 배송만 늦춥니다.",['https://phinf.pstatic.net/checkout/20201127_9/1606468963701XxbVm_JPEG/review-attachment-a99b478e-dfec-4dd1-8dc2-2bb6d2a05e0a.jpeg?type=f287']
5,"구매한 이후로 제일 많이 사용한 키보드인 것 같습니다. 동네 PC방에서 황축키보드라고 해서 호기심으로 타건해봤는데, 그 키감을 잊지 못해서 구매했습니다. 만약에 목재 키보드가 있다면 이런 느낌이지 않을까 싶습니다. 따닥거리며 구분감 있는 소리가 정말 마음에 듭니다. 타건할때 약간의 반발력으로 쫀득쫀득한 느낌도 납니다. 그리고 클릭한 키에서만 불빛이 반짝하고 나오는 LED 모드가 너무 좋습니다. 저에게 딱 취향저격한 키보드인 것 같습니다.",['https://phinf.pstatic.net/checkout/20200809_109/1596941808145Me6zg_JPEG/review-attachment-a24bd512-9351-4712-92de-b85899897ea4.jpeg?type=f287']
5,급하게 키보드를 바꿀 일이 있어서 많이 알아보지도 못하고 구매했는데 생각보다 너무 좋아요. 청축을 오래 쓰다가 황축을 써보니 엄청 조용하게 느껴지네요. 키감이 쫀득하다는 말도 뭔지 알 것 같아요. 살짝 어색하긴 한데 금방 적응하겠죠. 어제 샀는데 오늘 배송와서 더 좋아요^-^b,['https://phinf.pstatic.net/checkout/20201022_223/1603344492691H4HOY_JPEG/review-attachment-0ee645b5-b46d-41ff-a69f-ea029efe1e4d.jpeg?type=f287']
5,방에서 늦게까지 게임하려면 시끄럽지 않아야 해서 갈축을 원했는데 품절이라 황축으로 구매했어요!! 원래 pc방을 자주다녀서 많은 키보드를 접했기때문에 아무거나 잘쓰리라 생각했는데 조오금 안맞긴 하네요ㅠㅡㅠ 역시 청축이 최고에요.. 그래도 금방 적응할것 같고 깔끔하고 저렴하게 쓸수있겠어요~!! 감사합니당!!,"['https://phinf.pstatic.net/checkout/20200419_215/1587269871824msvlP_JPEG/13BD1AC8-245B-4801-AC69-1CD2B71FA9B7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200419_240/1587269894683HlT5G_JPEG/B2751401-FF99-48B8-BBD2-F0BE291BC97E.jpeg?type=f287']"
4,"전반적으로 마음에 듭니다. 소리나 타건감이나 다 괜찮음. 약간 흐물흐물거리는 것 같긴 함. 백라이트도 심플하니 좋음.
근데 다른 사람도 다 그런지 모르겠는데 키보드에 작고 까만 먼지 같은 것들이 곳곳에 끼어있고 케이블에는 군데 군데 갈색 얼룩이 져 있었음. 이게 좀 맘에 안드는데 키보드 자체는 괜찮음.",['https://phinf.pstatic.net/checkout/20200921_238/1600672260112Tr8T4_JPEG/20200921_065837057_iOS.jpg?type=f287']
