star_point,comment,photo
3,"배송 깔끔하게 잘 받았어요
추석이후 물량때문인지 발송은 제때 된것같은데 배송은 좀 늦게 왔어요

기계식 처음 입문하면서 구입했는데 기대보다 나름 마감등의 퀄리티가 괜찮은것 같아요
싸구려처럼 보이지 않고 무게감도 있고 좋네요
다만 키캡색은 보는 사람에 따라 조금 칙칙해 보일수도 있고 점잖은? 느낌의 무게감있는 색으로 볼수도 있을것 같다는 생각이 드네요

리니어로 샀는데 손가락 얹어 놓고만 있어도 키가 눌려져 이게 상당히 거슬리네요
넌클릭이나 샀어야 했는지.. ㅜㅜ
예민해도 너무 예민한것 같아 이건 제품 자체의 문제로 보입니다 그래서 별3점 입니다

다른사이트 상품 리뷰를 보니 주문옵션이 틀리게 배송되는 경우도 종종 있는것 같던데
역시 컴퓨존이라 정확하게 왔네요
생각지 않은 장패드도 보내주셔서 기분 좋았습니다","['https://phinf.pstatic.net/checkout/20201011_256/1602395313863dNmpL_JPEG/review-attachment-765e25ca-1e9f-42c3-8f24-468f55acecda.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201011_193/1602395314711jDuVT_JPEG/review-attachment-ffa9b435-35fb-46d2-9ecb-79f8db4d1b76.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201011_255/1602395315015uJFYj_JPEG/review-attachment-3aef4c3c-baed-4edf-b782-b18b81dd3679.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201011_292/1602395315466ILzWH_JPEG/review-attachment-686af630-fdae-461d-b515-b00fad1ff172.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201011_191/1602395315786Nrc02_JPEG/review-attachment-43e62d3e-3d78-437b-8cd3-505d59340184.jpeg?type=f287']"
5,"제품 잘 도착했고, 포장도 만족스럽게 잘 해주셨습니다.
처음 포장박스에 클릭 스위치라고 적혀 순간 놀랐는데 옆면과 키캡 뜯어보니 적축 리니어 타입 맞네요.

반응속도와 인식감도도 확실히 광축이라 좋네요.
적축- 리니어 타입이라 그런지 몰라도 인식감도도 좋다보니,
많은 힘을 안주고 적당히 얹어서 밀듯이 힘을 주는 것만으로도 버튼 인식이 되서 손가락 아프거나 소음이 신경쓰일 때는 힘 덜들이고, 상대적으로 굉장히 조용하게 칠 수도 있을 것 같습니다.
다만 당연히 키캡이 원상태로 돌아가면서 나는 특유의 플라스틱 부딪히는 소리는 어쩔 수 없어서 조용하다고해도 일정량의 소음은 발생합니다.
키보드는 자주 사진 않아서 정확하진 않지만 스테빌라이저도 소리가 특별하게 더 나는 것 같지는 않습니다. 굉장히 만족스럽습니다.

LED는 별로 좋아하는 편이 아닌데 은은해서 괜찮구요.
다만 LED가 은은한거 치고는 각도에 따라 Num, Caps lock , scrlk 표시등이 좀 강하지 않나 싶은건 아쉽긴 하네요.
흔한 일은 아니긴 한데 어쩌다가 각도가 딱 직선으로 보게 되면 작아서 심하진 않지만 약간 눈뽕수준느낌까지 납니다",[]
5,"넌클릭 주문했는데 박스에 클릭이라고 적혀있어서 당황했습니다.

그런데 바코드에는 넌클릭이라고 되어 았었어요

전화 문의하니 너무 친절하게 뜯어서 확인해 보면 좋을거 같다고 다른 제품이면 바꿔주시겠다고 ㅎㅎ

확인해보니 넌클릭 맞았고 너무 친절한 응대에 감동받고 갑니다 ㅎㅎ...","['https://phinf.pstatic.net/checkout/20201006_112/1601975612969W13OR_JPEG/review-attachment-8edef926-a22d-4f8e-8e25-1d0196765507.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201006_187/1601975638707rMI5E_JPEG/review-attachment-6a4cc976-6032-412c-86e2-38446ca51258.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201006_267/1601975639579Lzels_JPEG/review-attachment-e54bdbcf-d076-4e76-8b50-ee3cc3a161a2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201006_276/1601975639437e3lAB_JPEG/review-attachment-a8bc3489-b3a9-4dc1-a5f9-1332c30f057d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201006_264/1601975639677UDSQX_JPEG/review-attachment-4f43c827-089c-415f-a9c3-a808c1fb75bd.jpeg?type=f287']"
5,"1. 배송9월 9일(새벽) 결재, 9월 10일 수령말이 필요 없이 빠릅니다.2. 포장겉포장을 뜯어보니 뽁뽁이에 둘둘 말려왔습니다. 충격으로 인한 손상은 걱정이 되지 않았습니다. 그리고 포장박스 옆면을 꼭 확인하세요. 윗면에는 클릭이라고 프린트 되어 있지만 옆면에 유성 매직으로 체크하는 부분이 따로 있습니다.3. 키감부드럽게 눌리며 클릭감이 없는 조용한 느낌입니다. 쎄게 누르면 플라스틱 캡과 바닥이 부딪히는 소리가 선명히 들리지만 조절하면서 쓰면 무소음에 가깝습니다.4. 기타사진에는 없지만 COX사의 검정 단색 장패드도 같이 받았습니다. 마우스까지 올릴 수 있을 정도로 깁니다.멤브레인 키보드 쓰다가 고장나서 싼 맛에 샀는데 좋은걸 산거 같아 만족스럽습니다.",[]
5,리니어를 처음써봐서 오타가 좀 자주 나긴 하는데 적응하게되면 힘안들고 칠 수 있어서 좋을 것 같아요! 그리구 키캡이 자세히 안보면 까만색으로 보이는데 약간 다크브라운인게 너무 맘에 들었어요 아예 다 까만거보다 더 새련되보여가지고 ㅎㅎ 전 핑크키캡이랑 섞어서 꼈는데 너무 잘어울리고 좋아요,['https://phinf.pstatic.net/checkout/20200628_67/1593319571015YYDyO_JPEG/image.jpg?type=f287']
5,리니어를 처음 써봐서 오타도 많이 나고 솔직히 한달 넘게 썼는데도 비밀번호칠때 아직도 두세번은 틀리고 들어가요..ㅎㅎ 이건 뭐 쫌 더 쓰면 적응 될꺼니까! 심플하니 예쁘고 키캡도 제가 사서 바꾸니까 딱 제가 원하던 키보드라 아주 만족입니다 아 그리고 키캡 바꾸기 전에도 키캡이 약간 다크브라운? 같은 색이라서 키캡 바꾸기 고민할 정도로 예뻤어요!,[]
4,배송은 빠름니다. 처음에 불량품이 와서 전화 했었는데 바로 교체를 해 주시고 친철한 상담이 되서 좋았습니다. 키감도 매우 좋습니다. 7년동안 노트북 키보드만 사용하다가 처음 키보드를 샀는데 만족 스럽습니다. 전 리니어로 구매 했는데 소음도 카폐에서 사용해도 될 만큼 크지 않았습니다.,"['https://phinf.pstatic.net/checkout/20200713_15/1594620633090pSKc3_JPEG/review-attachment-c288ce5f-5931-497f-9465-b874487fb65f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_9/1594620642594rjJoV_JPEG/review-attachment-84e3c36f-0505-4288-9f5a-0e5a8ed009e4.jpeg?type=f287']"
5,"제품 배송 정말 빨리 와서 좋았습니다.클릭 제품으로 잘못 왔다고 문의 남겼었는데, 포장에 온통 클릭 스위치라고 써있어서 당연히 잘못 왔다고 생각했어요.근데 한쪽 면에 작게 리니어 제품이라고 체크표시가 되어 있었네요.이런 문의를 자주 받으시는지 화가 잔뜩 나셨던데 ㅠㅠ 제대로 살펴보지 못해서 미안해요......ㅜㅜ혹시라도 저처럼 실수하시는 분들 없도록 사진 올립니다.cox 제품은 워낙 좋아해서 품질은 논할 필요가 없네요. ^^",[]
5,"밑에 잘못온 리뷰도 있지만 제가는 정확하게 넌클릭 제품이 왔네요.
일단 광축 넌클릭은 처음 써보는데, 키감은 뭔가 오테뮤 청축에 비해 쫀쫀하고 소리는 굵은 소리가 납니다.
오른쪽 엔터 쉬프트 이 라인에서 통울림이 있지만 감안하고 사용해도 되는 수준입니다.",[]
4,"제일 처음 느낀게 트라이앵글마냥 키를 탄력있게 팅구면 팅팅 소리가 나더라고요.
이게 통울림인가 싶습니다.
외엔 다 맘에들어요. 쓰면서 그닥 신경쓰진 않는편이라서요.
색상 잘보고 구매하세요.
받고보니 키는 다크브라운? 색상이네요.
바디만 블랙입니다. LED도 살짝 노란빛 돌아요.",['https://phinf.pstatic.net/checkout/20191228_45/1577538408835NEwQX_JPEG/20191228_220304.jpg?type=f287']
