star_point,comment,photo
3,"키캡의 승화상태도 좋고 색상도 마음에 듭니다.
다만 가격대에 비해 사출 흔적들이 눈에 보이고 키캡의 모양이
홀쭉하고 고르지 못한것은 매우 아쉽습니다.
또 패키지 구성은 나쁘지 않으나 키보드 커버가 따로 없는건
사용시 다소 불편한 부분입니다.",[]
5,사실 나도 앱코 케이스에 데여본 사람이라 그렇게 신뢰는 안갔는데워낙 ar87이니 무접점이니 요즘 칭찬이 자자해서ar87 사고 싶었는데 아버지도 사용하시니 한글 각인되있는 블랙펄로삼일단 대만족이고 돈되면 ar87도 써보고싶내연,"['https://shopping-phinf.pstatic.net/20190627_17/94969911-1160-4581-9ae6-4934cd142ca1.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_6/bf34a36f-4168-4133-b755-c55c56085fb8.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_6/6d4e3339-11c6-4653-acd6-a8c450a9df74.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_3/a0c64aa2-fb87-4022-93ef-ae55db734034.jpg?type=f287']"
5,"키보드 자체 부분적으로 윤활?이 되어있는 제품인것 같습니다. 키보드 개봉후 첫 타건시 손에 살짝 기름성분이 묻어나네요. 블록그나 유튜브에서 광고 하던만큼 엄청 우와 하는 느낌까진 아니고, 본체가 탄탄해서 타건 소리만큼은 지금껏 써온 기계식들 중에 최고인듯 합니다.",[]
4,"우선 압도적인 고급스러움, 깔끔함, 묵직한 무게감으로 흔들리지 않는 점이 좋구요. 보강판 때리는 맛으로 리니어 적축으로 구매했는데 계속 두드리고 싶은 타건감 아주 좋습니다. 스테빌라이저도 잘 잡혀있습니다. 키캡 두께도 좋고 각인도 2색으로 고급지네요. 뽁뽁이로 잘 감싸서 박스 상처없이 빠른 배송 좋습니다. 하지만 봉인스티커 부분이 이미 개봉한 듯 지저분해보입니다. 혹시해서 28일 개봉전 찍어 둔 사진입니다. 여기까지는 그냥 의심만 했었는데 자세히 보니 스페이스바 아래쪽 부분에 흠집이 있네요. 이부분 AS센터로 연락해서 말씀드려야 하나요?",[]
5,"기대하고 구매했던거라 역시 괜찮습니다 키캡도 굉장히 잘 뽑았고 하우징도 아주 멋지며, 하우징 아노다이징도 경질로 스크래치에 강합니다. 살짝 통울림이 있는듯 하고, 좀 치명적 문제가 하나 있네요. 하단 바닥의 하우징 나사가 연질로 야마나기 딱 좋습니다 나사 아주 작으며 처음에 꽤 강하게 체결되어 있습니다.풀르실때 힘조절 제대로 하지 않으면 바로 야마납니다 총 8개 중에 7개는 야마내며 어찌 풀어냈지만 한개가 완전히 갈려 빼내기 매우 어려운 상황이 되었네요. 블랙펄 정도의 비싼 키보드를 구매하는 사람이라면 어느정도의 튜닝을 시도하는 매니아층일텐데, 분해에 대한 배려가 아쉽습니다. 차기 생산분에선 저 망할 나사 개선좀 되면 좋겠습니다.",[]
4,만족스러웠습니다! 택배상자를 열어 케이스를 확인하자마자 역시 비싼값을 하는구나라고 느꼇습니다. 안에 구성도 리무버와 청소용브러쉬가 들어있어 딱 필요한게 다들어가있구나라고 느꼈습니다. 직접 키보드를 눌러보니 키감이 너무 좋아 놀랐습니다. 키캡의표면도 하나도거칠하지않아 완전 굿입니다^^ 원래 비싼걸사면 사고 금방후회하는 성격이지만 요번꺼는 타자를치면 스트레스가 풀리는느낌이라 후회가 안들어요ㅎㅎ 좋은상품 팔아주셔서 감사합니다!!,[]
5,처음 박스를 받을 때의 무게가 상당해서 놀랐습니다.기계식을 처음 쓰는게 아니데도 풀알루미늄이라 그런지엄청 무겁더군요.박스를 열어보았을 때 전용 케이스에 담겨 있는 모습이 좋았습니다.키캡도 깔끔하고 키감도 딱 제가 원하던 느낌이었습니다.,[]
5,"좋은 제품 좋은 가격에 잘 구매했다고 생각합니다. 제가 기대한 대로의 품질이네요. 지금도 구매한 키보드로 작성중입니다. 저는 마음에 들면 오래 쓰고 제기준에 안맞으면 바로 방출합니다만, 이키보드는 매우 오래 쓸것 같네요. 앞으로 저의 주력 키보드가 될것 같습니다.",[]
5,"키보드를 굳이 왜 알루미늄으로 만드는지 궁금했는데, 이 키보드 실물을 보면 그 궁금증은 순식간에 해소됩니다. 키보드는 그냥 컴퓨터 주변기기가 아니라 예술이라고나 할까? 이거 만지다가 다른 키보드 보면 싸구려 플라스틱 장난감 같아요.",[]
5,무겁고 귀여워요 최고,['https://phinf.pstatic.net/checkout/20201106_7/1604648649010IGWCL_JPEG/review-attachment-53cf9c38-46df-455b-8b18-483b991a5a81.jpeg?type=f287']
5,디자인이 매우 마음에 들어 기분 좋게 쓰고 있어요.,['https://phinf.pstatic.net/checkout/20201021_208/1603284814633p2A9X_JPEG/review-attachment-2146863d-adad-498c-ad63-44c5e98a2409.jpeg?type=f287']
5,"소리와 터치감, 디자인 모두 좋아요. 무거운 거 알고 샀지만 생각보다 더 무거운 느낌이에요. 본체는 제품 사진보다 좀 더 푸른 빛이 나는 색입니다.",['https://phinf.pstatic.net/checkout/20200822_40/1598079128089xjEhO_JPEG/review-attachment-fa71cd60-574e-4173-ad60-86f62344b1c0.jpeg?type=f287']
5,너무만족이었어요화이팅,[]
5,키 감이 쫀득한게 타이핑 할 때마다 기분이 좋습니다.무게는 꽤 무겁습니다.,[]
4,"무게가 무거워서 안정감이 있습니다. 대신 들고다니기에는 너무 무겁죠 ㅎ
예상대로 잘 쓰고 있습니다~ ^^
자세한 사항은 아래 포스팅을 참고해 주세요~~
https://blog.naver.com/ambidext/221642360764","['https://phinf.pstatic.net/checkout.phinf/20190907_81/1567857705144I6kJV_JPEG/20190730_195629.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20190907_83/1567857722385zyNhM_JPEG/20190730_200920.jpg?type=f287']"
5,저소음적축에 1ms의 응답속도. 최고에요,['https://phinf.pstatic.net/checkout/20191120_20/1574250477384nA3rR_JPEG/20191120_204719.jpg?type=f287']
5,받으신분이 아주 만족하신다고 하네요,[]
4,"가격만큼 키감이 좋네요~
케이블이 USB C타입인것도 마음에 듭니다.
무거워서 안정감은 있는데 들고다니기는 어려울 것 깉아요 ^^;
https://blog.naver.com/ambidext/221642360764",['https://phinf.pstatic.net/checkout.phinf/20190805_29/1564972842089tirgE_JPEG/20190730_195629.jpg?type=f287']
5,클레식한 디자인과 색배열이 마음에 들었습니다.그리고 체리갈축과 알류미늄의 강판재질이 휼륭하네요.,['https://shopping-phinf.pstatic.net/20190627_20/6ed25860-1011-4cd8-878c-0c6786d9a237.jpg?type=f287']
5,아콘dx쓰다가 주문했는데 키캡 타건감 디자인 모두 이쁩니다,[]
5,키보드 고민하다가 샀는데 너무 좋네요!! 추천합니다,['https://phinf.pstatic.net/checkout/20190403_164/1554291764088JNHJ8_JPEG/2019-04-03-20-09-01.jpg?type=f287']
5,소음없는건 확실한데 타감은 실망임,[]
5,배송과 제품 모두 만족스럽습니다. 알루키보드 블랙펄로 처음 입문하였는데 신세계네요. 당분간은 다른 키보드 눈에 안들어올 것 같아요!,[]
5,배송도 빠르고 친절하고 너무 좋습니다 제품도 좋아요~ 굿굿,[]
4,원하다 사일런트 적축의 키감과 사운드라서만족합니다. 심플하고 깔끔한 디자인이라 더 마음에 드네요,[]
4,F9 키캡이 살짝 틀어진거빼고는 전체적인마감이나 키감은 좋네요.,[]
5,2달정도 사용해 본 상태입니다. 매우 만족스러운 제품입니다. 커스텀 제작자 분께서 디자인한 내부구조를 기반으로 만든 키보드라 그런지 기성품 중에서는 단단한 타건감과 함께 개인적으로는 탑티어급 키보드라고 생각하비낟,[]
5,스페이스바 소리가 어느정도 있는것 빼곤 완벽에 가까운 키보드입니다,[]
4,다 좋았는데요... 로젠택배 심하게 느리게 온 거랑... 케이스 아래 부분이 직경 3cm 가량 찢어져서 왔네요... 다시 보내주시면 감사하겠습니다...,[]
4,키보드는 마음에 드네요.스테빌도 잘 잡혀있고..그런데 스페이스바에 기름이 묻어있네요.윤활한게 흐른건지.. 닦아주긴했는데 찝찝합니다,[]
5,알루미늄 몸체가 무겁고 단단합니다. 아주 좋은 제품이라고 생각합니다. 사은품 포인트 키캡도 정교하고 멋집니다. 고민하는 분들 특가 끝나기전에 지르세요.,[]
5,잘 받았습니다. 타건감도 묵직하고 통울림도 없고 정말 만족스럽습니다 ㅎㅎ 다음에는 퀵스왑에 RPG도 지원해서 나올 예정이라는데 정말 기대되네요,[]
5,하우징 좋고 키캡도 좋아요.갈축인데 누르는 느낌도 맘에 들어요.,[]
5,잘 받았습니다. 월요일에 배송시작이라 늦게올줄 알았는데.. 다음날 바로 왔네요. 가격대가 가격대다보니 퀼 자체는 정말 좋네요.,[]
5,ar87이랑 동일하다고 보면 될거같습니다. 제품 퀄리티는 아주 만족스럽습니다.,[]
