star_point,comment,photo
5,"굉장한 만족감을 주었던 키보드이다.
리니어 타입을 좋아해서 그런가 기대가 많았음.
그리고 이 키보드는 기대를 충족시켜주었다.
장단점 바로 보자.

장점
1. 타건감과 소리
이 무접점 키보드를 선택하게 하는 가장 큰 부분이라고 할 수 있다.
보글보글 사각사각 정갈한 타건감은 손을 즐겁게한다. 타건감을 아주 잘 살려준 제품이 아닌가 싶다.
2. 생각보다 괜찮은 키캡품질
이중사출 pbt.. 사실 이중사출이 뽑아내기 어려운 키캡이니 품질이 의심스러웠다. 하지만 생각보다 멀쩡했다. pbt치고는 맨들맨들한 느낌이라 색다르기도 했고. 촉감 나쁘지 않다.
3. 윈도우락버튼의 독립
이거 꽤나 중요한 부분. esc키 옆에 콩알만한 버튼이 따로있다.
게임할때 윈도우키 방해를 간편하게 막아준다. 다른키보드에서는 찾아보기 힘들기도 하고 여튼 이부분도 좋다.
4. led
이부분은 정말 전혀 기대를 하지 않았다.
그런데.. 상상 이상으로 led 효과가 아주 예쁘더라. 광량도 충분하고.
모드가 굉장히 많아서 다채롭게 기분따라 골라서 쓸 수 있는 부분이
마음에 든다.

단점
1. 부실한 메뉴얼
메뉴얼에서는 광원효과 컨트롤과 보증서 항목 빼고는 뭐.. 없다.
기본적으로 미디어 기능키가 지정되어 있지 않은데 이부분에 대한 설명이 전혀 없다. 전혀.

2, 기본 멀티미디어 키의 부재
위에서 기술하긴 했으나.. 게이밍키보드로서 표방하고자 했다면.. 아니 보통은 이정도는 기본으로 설정을 해주지 않던가.

아쉬운점은 확실히 차후 개선 되었으면 싶다.
하지만 장점들이 정말로 빛나는 물건. 10만원 남짓에 무접점을 써볼 수 있다..? 엄청나지 않은가!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_25_0/049ba82f-2f24-11eb-85cb-a0369ff968b0_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_25_0/1b7543b8-2f24-11eb-94f5-a0369ff95678_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201125_203/1606311721896CcTDg_JPEG/review-attachment-5cfc337c-d8a7-4e37-a341-8ca6e73dbfc3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201125_127/1606311796685tClXP_JPEG/review-attachment-ea0f212e-e017-4155-b1a3-1fc18116bce9.jpeg?type=f287']"
5,저의 첫 고가의 키보드이자 무접점 키보드입니다. 키보드순정상태에서 놀랐던게 원래 쓰던 키보드에 스테빌이 찰찰거리는 소리때문에 엄청 싫었는데 이 키보드는 원래부터 윤활이 되있어 스테빌소리가 아닌 스페이스 본연의 소리를 들을 수 있어 통울림소리도 안나고 너무 좋네요. 근데 이 제품을 오늘 뜯어 사용해서 그런지 모르지만 전 받침대를 안써서 괜찮긴 한데 키보드 받침대에 붙어있는 고무패드가 너무 잘 움직여져요 좀만 힘주면 시원하게 미끄러집니다. 그리고 RGB가 엄청 이쁘네요 하지만 불을 컷을때는 전부 예쁘게 나오는데모르겠지만 불이 켜저있을때에 한정적인 곳에 RGB가 좀 약하게 나오네요. 그리고 전 원래 기계식 키보드를 쓰는 사람이여서 50g를 샀습니다 저에게는 50g가 키감도 좋고 잘 맞네요 근데 펜타그래픽이나 노트북키보드같은 낮은 키보드를 쓰시던 분들이나 컴퓨터 앞에 장시간 키보드를 쓰시는 분들에게는 손에 무리가 갈 수 있어 35g를 추천 드려요. 무접점 키보드 처음사용해보는데 ㅎㅎ 사면 후회안합니다. 진짜 강추해요!!,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_02_0/f8c016ca-ed0c-11ea-b703-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_198/1599041134283pDA08_JPEG/review-attachment-66fe592f-32c8-4ee9-a97d-1e40140191d5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_7/1599041141693pVIPV_JPEG/review-attachment-3bb0a299-e424-453e-abcb-f6cdb8c473f2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_109/1599041147427q4rwK_JPEG/review-attachment-7b7d7b6a-0e61-4eaa-b853-8ce9b739a706.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_258/1599041193229gBElw_JPEG/review-attachment-641394c9-d35c-4b5b-b7ca-ab14cbcc73a2.jpeg?type=f287']"
5,"우선 배송이 매우 빨랐습니다. 키보드가 고장나 빨리 새제품을 받고 싶었는데 주문 다음날 받았습니다.
그리고 무접점 키보드 특유의 국끓는 소리가 너무 크지않고 거슬리지 않을정도로 딱 좋게 들려서 좋네요.
텐키리스는 처음인데 집에선 숫자를 많이 안써서 구매했는데 자리도 크게 차지 하지 않고 예뻐서 좋습니다.
올 흰색보단 아날로그느낌의 짙은 회색이 들어가서 심심하지 않고 질리지 않을 디자인이라 굉장히 맘에 듭니다.
컴퓨터 하면서 과자도 종종 먹고 커피도 마시는데 생활 방수가 되기땜에 청소문제는 걱정 없을거 같네요! 콕스 제품은 처음인데 첫제품부터 정말 맘에 듭니다 :)","['https://phinf.pstatic.net/checkout/20200916_23/1600259088194frkjd_JPEG/review-attachment-9fc3dc39-2e08-4093-8091-c566c8339495.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_161/160025909300604mel_JPEG/review-attachment-88e7af93-03df-463c-9322-f4be80fedeee.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_282/1600259093873XIgfI_JPEG/review-attachment-9a615995-160e-4a8f-90f0-cfb42abfa8a9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_122/16002590943149zBNG_JPEG/review-attachment-cefeac6e-00ce-47af-a42b-661440df315e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_246/1600259096268tQVlQ_JPEG/review-attachment-2a39930c-7c85-4b79-8052-633c601ad491.jpeg?type=f287']"
5,"[조건] 윤활(키압스프링10g), 통울림방지 흡음재, 키캡 고무오링(러버돔은 하지 않음) 이렇게 튜닝을 한 상태의 후기입니다.

[총평] 기본적으로 앱코에 비해서 스테빌라이저 소리가 매우 적고 무접점에 99% 근접한 키감을 자랑하는 것 같습니다. 기존에 사용했던 앱코 제품은 스테빌라이저 소리가 너무 심해서 멤브레인 키보드를 사용하는 느낌이었고 뭐랄까.. 무접점 특유의 서걱임이 생각 보다 적었습니다.

근데 엔데버는 조금 더 완성된 모습을 보여주고 있는 것 같다는 생각이 듭니다. 생각 외로 마음에 들고 튜닝을 하니 더더욱 쫀득거림, 타건이 훌륭합니다.

다만 단점이 있습니다. 제가 보기엔 디자인측면에서 ESC 옆에 있는 윈도우 잠금키가 매우 거슬립니다. 이 부분만 개선이 된다면 좋을 것 같고 키보드 펌웨어가 부실하다는 게 아쉽습니다. 그리고 익숙해지기에는 시간이 조금 필요해보입니다. 이런 부분을 제외하곤 동급대비 무접점에서는 최고입니다.","['https://phinf.pstatic.net/checkout/20200423_154/158763208388342RcE_JPEG/KakaoTalk_20200423_175225005_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200423_297/1587632243856ODirG_JPEG/KakaoTalk_20200423_175225005_04.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200423_127/1587632292070jNFvA_JPEG/KakaoTalk_20200423_175225005_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200423_218/1587632314480OqsLQ_JPEG/KakaoTalk_20200423_175225005_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200423_135/1587632388745OPwsB_JPEG/KakaoTalk_20200423_175225005_01.jpg?type=f287']"
5,"역시 수많은 리뷰에서 본 호평에 걸맞는 제품인 것 같습니다. 키감이 정말 마음에 듭니다. 사각사각하면서 보글보글한 느낌이 정말 좋습니다. 키보드를 깨끗하게 사용하는 편이라서 키스킨을 꼭 사용하는데, 키스킨은 잘못 구매한 것 같습니다. 엔데버 전용 키스킨은 없더군요. 그래도 키감이 워낙 좋으니 키스킨 없이 한번 사용해보려고 합니다. 케이블이 탈부착 방식이 아니라서 구매를 미뤄두고 gk893b를 사용하고 있었는데, 키감은 개인적으로 엔데버 쪽이 훨씬 좋습니다. 키보드를 타건하는 재미가 쏠쏠합니다. LED 같은 경우에는 빛샘현상이 있다고 하는데, 무슨 말인지 이해는 가지만 저는 크게 신경쓰이지 않는 부분이네요. LED 효과도 정말 마음에 듭니다. 스테빌도 상당히 잘 잡혀있구요. 키캡 같은 경우에는 엄청 뛰어나지도 엄청 구리지도 않습니다. 처음 제품을 개봉했을때, 키캡 하나에 약간 거스러미 같은 것이 있었는데, 그냥 간단하게 떼어냈습니다. 하는 김에 키캡도 하나 뜯어봤는데, 방진처리라고 해야하나요? 축 사이로 먼지가 들어갈 일이 없고 . 더스트 커버가 첨부되어 있는 점도 만족스럽습니다. . 배송 정말 빨랐습니다. 주문하고 24시간 정도 걸린 것 같네요.","['https://phinf.pstatic.net/checkout.phinf/20200212_243/1581492624788cwPYn_JPEG/%BF%A3%B5%A5%B9%F66.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200212_173/1581492624885258w9_JPEG/%BF%A3%B5%A5%B9%F67.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200212_296/1581492624687icfFO_JPEG/%BF%A3%B5%A5%B9%F65.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200212_292/15814926245910Flng_JPEG/%BF%A3%B5%A5%B9%F63.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200212_89/1581492624645N1jp5_JPEG/%BF%A3%B5%A5%B9%F64.jpg?type=f287']"
5,"기계식키보드는 과하다고 신경 1도안쓴 저이지만 일렉트로마트에서 우연히 만져보다가 짤깍하고 걸리지도 않는 것이 탄탄하고도 부드럽게 수욱 들어가던 그 느낌을 잊지못해 가격때문에 중고물건조회나 아이쇼핑만하다 이번에 할인행사 하는 것을 보고 구매했네요.
일단 콕스 무접점은 키압이 두 가지가 있어서 고민이 되었는데 그냥 50g으로 선택했고 잘 결정했다고 생각하는데 이유는 키 반응을 빠른 것과 지연되는 것 두 가지로 선택할 수 있기 때문입니다. 빠른 것으로 하면 압력에 대한 부담없이 사용할 수 있네요. 그리고 50g인 이유는 부드러우면서도 탄탄한 특성을 제대로 느끼기 위해서 입니다. 처음에 이 제품에 매력을 느낀 이유죠. 또 색상이 화이트와 블랙 두 가지인데 화이트는 286때 원조 기계식키보드를 보는 것 같은 레트로느낌이 나갈래 조금이라도 세련된 느낌을 받고자 제 PC인테리어 통일을 위해블랙으로 했네요. 그런데 두툼하고 투박한듯 네모반듯한 기교없는 디자인이지만 실제로 보면 간지남니다. 마치 미국 머슬카 같은 느낌인 것이 두툼한레이아웃이지만 매끈하고 디테일은 단조로운 단순한 점, 그러나 그 존재감이 상당하고 묵직한 무게를 지난 것이 led까지 빛나기 시작하면 매우 고급스럽네요.","['https://phinf.pstatic.net/checkout/20200421_211/1587472271302h3q53_JPEG/A13BF200-F5DF-4EB3-B4D8-190E9483DF03.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200421_97/1587472271831XLXjb_JPEG/7146ECBC-9B33-4837-BA10-E6BFA01470DC.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200421_291/1587472271955V5t8X_JPEG/04EA30CD-5949-492E-AFBA-6245A49ED86E.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200421_74/1587472271988K8ee2_JPEG/45888262-8BFE-44E8-ABF7-FC79D916BF9A.jpeg?type=f287']"
5,"만족합니다. 유튜브를 보다가 키보드에 대한 알고리즘이 들어왔는데, 겨기서부터 이 키보드의 구입이 시작되었네요ㅠㅠ./ 원래는 cox c k87
과 체리 3.0 중에 고민을 하다가 결국 엔데버로 장착하였습니다. 멤브레인만 쓰다가 처음 무접점 키보드를 써봤는데, 소리가 보글보글거리는 느낌이 재밌어서 초반에는 계속 키보드를 치게 되더라구요. 50g으로 구입하였는데, 멤브레인보다는 좀 더 압력을 넣고 쳐야하다보니 소리는 좋지만 타자를 칠 일이 많으신 분들은 손에 피로를 느낄 수도 있을 것 같습니다. 일단 디자인은 화이트인데, 너무 예쁘고 타건감도 만족합니다, 멤브레인도 쓰면서 불편하다는 생각은 못했는데 사람들이 왜 키보드를 바꾸는지 소리를 들으니 이해가 됩니다. 음.. 무접점도 쳐봤으니 다음에 기계식 키보드도 한 번 쳐보고 싶은 욕심이 생기긴 합니다. ㅎㅎ 어떤 타건감인지 한 번 비교해보고 싶어서요. 그리고
뒤에 고무가 붙어있어서 쉽게 밀리지 않고 저기 하얀 받침대의 경우는 약간 끼이는 느낌이 있어 부드럽게 움직이진 않습니다만 사용하는 데 별 불편함은 없습니다. 원래는 만원 이내 키보드 쓰다가 처음으로 키보드 사치품 구입해봅니다. 당분간 돈 아껴야 겠어요ㅠㅠ","['https://phinf.pstatic.net/checkout/20200623_187/1592875132097ANJCD_JPEG/KakaoTalk_20200623_101340259.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200623_65/1592875132016Kxj44_JPEG/KakaoTalk_20200623_101339896.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200623_209/15928751321346L3rz_JPEG/KakaoTalk_20200623_101340425.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200623_197/1592875132071rMnb0_JPEG/KakaoTalk_20200623_101340100.jpg?type=f287']"
5,게임도 즐기고 키보드 타이핑도 좋아하는 사람입니당 :) 앞전에 앱코 k8700 카일 광축 키보드를 사용했었어용 제가 제품을 잘 아는 건 아니어서 사용해본 기계식 키보드가 체리랑 앱코밖에 없어요! 요즘 들어 시끄러운 타건감이 질려서 적축이랑 무접점 고민하다가 콕스 엔데버 텐키리스가 나름 유명해서 구매해봤는데 보글보글 소리가 꽤 부드럽게 괜찮게 나요! 35g이라서 무겁지도 너무 가볍지도 않고 적당히 사뿐사뿐한 정도에요 진챠루... 디자인도 예쁘고 손도 편하고 타건감 좋아요 ㅎㅎ 키보드에 관심이 많으신 분들은 워낙 잘 아셔서 알아서 잘 구매하시겠지만 나는 키보드를 잘 모른다! 그치만 조용하고 부드럽고 타건감 좋은 걸 찾으시는 분들은 덜컥 구매하셔도 평균치로 만족은 하실 것 같아요. 그리고 평소 키보드 타이핑을 세게 턱턱 치시는 분들이 아니라면 거예요. 너무 비싼 것 부담이 되는데 이건 금액도 괜찮고 :) + 동영상 타건감 소리보다는 실제로 들으시는 게 더 좋답니당,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_02_23_0/b9276d4c-5607-11ea-9f51-505dac8c3607_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200223_112/1582440190369QbEkG_JPEG/8F77B5E7-1CF1-4AF2-A545-1F459676355E.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200223_35/1582440190203mIAiF_JPEG/FAB0F610-3413-4390-9A9C-741B68F08910.jpeg?type=f287']"
4,"완벽한 뽁뽁이 포장에저정도 포장하려면
여간 귀찮은 일이 아닐 텐데 판매자분의 장사마인드를
알수 있습니다.
검색해보시면 알수 있듯이 뽁뽁이 포장값이라고 3천원씩
추가로 받는곳도 있는걸 생각해보면
무조건 여기서 구매하는걸 추천합니다.

청축쓰다가 너무 시끄러워서
체리 적축 알아보다가 무접점으로 왔습니다.

누르는 느낌는 청축보다 훨씬 부드럽고 좋지만
오타가 확실하게 많이 나네요.
키감은 청축처럼 딱딱 누르는 맛은 없지만
진짜 보글보글 거리고 재미있는것같습니다.
다만 소음은 생각보다 적진 않은것같습니다.

청축이 탁탁탁 이렇게 확실하게 큰소리라면
보글보글 소리의 느낌이 확실하게 큰 소리는 아니지만
작게 저소음으로 둥둥둥 울리는 느낌이라
.
오히려 이런 작은 소음을 싫어하는 분들은
청축보다 더 거슬리게 받아 드릴수도 있을것같고요.

그래도 이것저것 알아본 결과 무접점이고
PBT 이중사출에 이가격이면 저렴한편이고
청축처럼 탁타 귀때리는 느낌 싫어 하고
부드러운 느낌 원하시면 가격대비 좋은상품같습니다.

다만 이게 콕스사 특징인지
헤드폰 마우스 키보드 3개 샀는데
전부다 LED빛이 너무 약해서 이건 개인취향차가 있을수있지만
저는 맛이좀 안사는것같네요.

일반 키보드만 쓰다가 텐키리스 처음 써봤는데
이게 생각보다 적응이 쉽지 않네요.
한 일주일쓰다가 그냥 106키로 돌아 갈것도 같네요.","['https://phinf.pstatic.net/checkout/20200526_166/1590496846533bjNoE_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200526_93/1590496846530tAv7X_JPEG/1.jpg?type=f287']"
5,"기계식 키보드를 직접 구매해서 써보는 건 처음이긴 하지만 솔직히 적어보자면, 원래 키보드 타건할 때 제가 손에 힘을 그리 많이 쓰지 않는다는 걸 느꼈습니다... 데탑 키보드보다 노트북 멤브레인에 키스킨 껴서 살살 치는게 익숙하신 분들은 처음부터 걍 35g 삽시다 저는 50g로 샀는데 처음엔 오히려 좀 딥하게 눌러야 한다고 해야하나 그래서 당황했답니다..
그런데 또 그런 것치곤 적응 빨리 했다는 거시 함정
외관 정말 고급지면서 깔끔하고요 LED기능 정말 예뻐요.
계속 펑션키 눌러가며 옵션 바꿔서 보고 혼자 오오 ㅎㅎㅎ 하는 중입니다.
현재 상품평도 해당 구매한 키보드로 작성 중인데요 정말 정말 제 개인적으로는 좋네요. 소리는 약간 있어요. 다각다각 부글부글 사이의 중간 느낌이 나네요.
여하간 많이 파시옵소서",['https://phinf.pstatic.net/checkout/20201121_264/1605946762155h9pLA_JPEG/review-attachment-19826518-7c83-43b3-a0a2-059e398db84d.jpeg?type=f287']
