star_point,comment,photo
5,"검정색이랑 흰색 고민을 진짜 많이 했는데
흰색을 더 좋아해서 그냥 흰색으로 골랐습니다 ㅎㅎ
도착하기 전까지 너무 무난한 느낌이기도 하고 라이트 끄면 옛날 사무실 키보드 느낌일 거 같아서 좀 걱정했는데 받아보니 깔끔하고 뽀얗고 예쁘네요!
스페이스바 누를 때 좀 덜그럭거리는 소리가 나기는 하는데...
이정도면 소음 잘 잡았다고 생각되다가 좀 나나 싶기도 하다가...
막귀라서 잘 모르겠어요
보글거리는 소리에 꽂혀서 무접점 구매했는데 생각보다 많이 보글거리진 않아요!
동영상 소리 참고하세요 (배속 X)","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_19_0/7f887712-2a42-11eb-9207-505dac8c3639_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201119_196/1605773260854zxCed_JPEG/review-attachment-a333547e-79cc-44c7-8780-287c0d7126e9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201119_115/16057732607776Wu3q_JPEG/review-attachment-cd38916f-9694-4e5a-834d-39cf2c8363c8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201119_264/1605773260975j7jdh_JPEG/review-attachment-6ef610fd-99eb-445a-8382-f922f3199882.jpeg?type=f287']"
5,"무접점 키보드 35짜리를 구매해봤습니다..

콕스 키보드 상당히 좋은 것 같습니다.
물론 무선형 제품과 고민이 되긴했지만요

LED불이 들어오는게 유선을 선택하게 되는 것 같습니다.

검은색보다는 흰색을 선택했습니다.

..

가격만 좀 더 싸다면 참 좋을 텐데요..
그러면 마감에 떨어지겠죠??

아무튼 괜찮은 제품 같습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_20_0/5827e031-b299-11ea-a86e-a0369ff9545c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_254/1592618056809Ds5rd_JPEG/20200620_000548.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_128/1592618091770ww1y0_JPEG/20200620_000709.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_264/1592618110970OaKul_JPEG/20200620_000744_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_251/1592618152126TVUYj_JPEG/20200620_000920.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_194/1592618182162HGH65_JPEG/20200620_000928.jpg?type=f287']"
5,"크...r..g..b 뽕맛에 취한다는게 이런건가봐요
너무 예뻐요 ㅋㅋㅋ 그리구 보글보글 사각사각 누르는 소리가 부드럽고 좋아요 제 키보드 소리 좋다고 소리 듣는사람마다 어떤거냐고 물어보네요 조용하고 좋아요 텐키리스는 다른제품 쓰는데 동일모델 엔데버인가? 그걸로 텐키리스 하나 또 지르고싶어요 ㅠㅠ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_23_0/5ed4fca1-2d42-11eb-88f0-a0369ff9545c_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_23_0/6d342f01-2d42-11eb-94f5-a0369ff95678_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201123_172/1606105031275O57tC_JPEG/review-attachment-aa446d58-00b4-4ace-9942-63513cae1950.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201123_68/1606105031338GUodU_JPEG/review-attachment-5adc74b4-b5c9-4159-a26e-263eb1f769be.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201123_70/1606105031321KdAdP_JPEG/review-attachment-ef96a1ee-1266-4407-a374-75d690c80831.jpeg?type=f287']"
5,"생각보다 정말 조용하고 보글보글 거리네요 정말 맘에들어요. 제가 구매한 키압 50g 제품은 제가 기존에 쓰던 45g 제품과 크게 차이가 없어서 익숙하다고 생각하고 결정하였습니다. 45g 도 충분히 가벼웠고 35g 제품은 너무 가벼울것같아서 오타율이 적지않게 있을거라 생각하고 결정하였습니다.
저같은 경우엔 코딩을 하루에 4,5시간씩하는데 이때 매번 쓰던 흑축 제품은 통울림,철심소리가 심해서 꾸역꾸역 써왔었습니다. 하지만 엠프리스는 풀배열에 스테빌라이저 어느하나도 통울림이나 철심소리가 나지않네요 . 저는 그것만으로도 이미 만족입니다.
LED밝기는 정말 딱 적당한 수준입니다. 컴퓨터앞에 오래 앉아계신분들은 알겠지만 사실 LED잘 안봅니다. 너무 밝으면 밝은대로 불편하고 적으면 안이쁘고 근데 엠프리스는 딱 선을 지켰네요.
제가 뽑기를 잘한거일수도있지만 어디하나 흠집, 먼지도 없고 심지어 박스도 손상없이 왔습니다.
엠프리스와 엔데버 제품에서 가끔 하우징 크랙 현상이나 키캡 갈라짐 현상이 생길수도있다고 리뷰를 몇개 보았는데 장시간 상당한 파워로 타이핑하지않는 이상 별문제없을정도의 내구성입니다. 3~10만원여러 키보드를 구매하고 써보았지만 이정도로 키캡이 흔들리지않고 딱 위,아래 로만 움직이는 이런 견고함또한 맘에들었습니다.

이제 단점을 말씀드리자면
1. 단점은 아니지만 주의사항으로 구매전에 알아야할것은 팜레스트 무조건 권장합니다. 상당히 높습니다. 키보드와 지면, 키캡 모두 높아서 기존에 쓰던 제품의 약 2배의 높이입니다. 기존제품이 낮긴함...

2.스테빌라이저 전체중에 일반타건시에는 문제가없지만 조금 힘있게 칠경우 키보드 젤오른쪽 밑에있는 엔터에서 보글거림이 덜하네요 약간 그냥 저소음적축느낌? 다른키는 이상없습니다. 오직 단 한키에서만

3. num, capslock등의 인디케이터의 부재
키보드 자체가 크지않기때문에 공간활용성이 좋아진부분은 있지만 인디케이터의 활성화 여부를 키 led로 구현했습니다. 쉽게말해 전체 키를 단색으로 흰색으로 설정했다면 capslock이 켜져있을경우 capslock버튼만 다른색의 LED가 나옵니다.

전체적으로 정말 맘에듭니다.
물론 고가형 제품이나 하이엔드 급에서는 더좋은 제품도 많습니다. 하지만 키보드 사용량이 많은 분들에게 정말 가성비제품으로 추천드리고싶은 제품입니다.","['https://phinf.pstatic.net/checkout/20200227_173/1582780494252vqiQJ_JPEG/20200227_141103.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200227_44/1582780504973vTFEf_JPEG/20200227_141012.jpg?type=f287']"
5,"마감 : 흠잡을 곳이 없음. 무조건 까려고 찾으면 찾겠지만 눈에 띄지않음.
미관 : RGB 너무 아름다움 색 표현 정확하고 균일함. RGB중에 WHITE 색이 엉뚱한 색이 나오는 경우가 있는데 이 제품은 WHITE까지 정확한 색이 나타남. 다만 회색 등 어두운 키캡에서 RGB 빛의 투과가 흐릿함. 신경쓰이면 밝은 컬러로 키캡교체 ㄱㄱ
윤활 : 아주 잘 되어있음. 스테빌 어느 쪽도 소음이 없고 모든 키가 부드럽게 잘 눌림. 더 완벽해지려면 분해해서 슬라이더 윤활을 한다면 좋겠지만 그정도 공을 들일 정도로 서걱임이 있지 않음.
소음 : 보글거리는 소리 이외에 아주 적당한 플라스틱 마찰음 밖에 없음. 완벽.
키감 : 주관적인 부분. 나는 적축처럼 판 때리는 소리를 극혐하는데 슷바 파워타건해도 충격이 적음. 구분감도 괜찮고 무접점 중에서 가장 가격도 훌륭함.

강한 구분감을 원하면 적축, 무접점 다 못씀 그냥 청축가세요.
토프레가 20년도 초에 라이센스가 끝났으니 이제 동일 가격대 토프레 제품이 나오기 전까지는 가장 합리적인 제품입니다. 어느 키캡 색상에도 어울리는 화이트50G 빡 추천!","['https://phinf.pstatic.net/checkout/20200420_291/1587359476951gnIQF_JPEG/20200420_114248_674.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200420_264/1587359754008WIm5B_JPEG/20200420_113920.jpg?type=f287']"
5,"무접점 키보드를 사기로 마음먹고 오랫동안 여러 무접점 키보드 비교 리뷰들을 보고 골랐습니다. 역시 토프레같은 고가를 제외하고 노뿌 무접점 중에선 콕무가 최고가 아닌가 싶네요. 토프레보다 이쪽이 취향에 더 맞다면 더더욱이요.
엔데버를 사시는 분들이 엠프리스 구매자보다 많은데, 그냥 풀키를 원해서 이쪽으로 골랐습니다.
리뷰를 봤을 때 가끔 나타난다던 뒷판 부풀어오름도 없었고요.
단지 사진에 첨부한 것처럼 스위치 쪽에서 흰색 플라스틱이 하나 튀어나와있고, 조각도 보였는데 이건 마감 문제가 아닌가 싶네요. 키보드 사용에는 문제가 없을거라 생각해서 문의는 하지 않았습니다.","['https://phinf.pstatic.net/checkout/20191112_25/1573522400244Ex7TX_JPEG/IMG_1422.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191112_256/1573522400243raoot_JPEG/IMG_1425.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191112_246/1573522400104QmrN7_JPEG/IMG_1429.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191112_278/15735224001801byNJ_JPEG/IMG_1430.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191112_90/1573522400158HJMkV_JPEG/IMG_1434.JPG?type=f287']"
5,어제까지 같은 콕스의 캐러반108키 저소음적축 나름 만족하면서 쓰고있었는데 오늘 35g 만져보니 키압 적어서 손 부담 덜하고 흰색 키캡에 파스텔 톤으로 살짝 비치는 rgb효과도 맘에 듭니다 아쉬운건 회색 키캡 색상 특성인지 회색 조색이 타 색상보다 난이도가 있는 것인지 모르겠으나 투과 부분 경계 부분에 색 들뜸? 같은게 있어 키캡 품질이 떨어져보입니다.,"['https://shopping-phinf.pstatic.net/20200221_14/3ef30799-3dd1-4c69-b166-1808c0b4b1da.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200221_26/37fe1fac-edb1-41e5-864e-2cd484f0cbd9.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200221_20/3ae1b35f-733f-4fe3-ac7c-a1f482cdf0f4.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200221_6/4fc87a60-db04-4c32-abc5-69d3e8f0f4d1.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200221_11/ea6bd64a-bfa1-4af6-bd13-905b90e199e6.jpg?type=f287']"
3,인생 첫 키보드 구매인데 콕스 무접점을 선택하였습니다. 이것저것 알아보다가 후기가 좋아 선택하게 되었고 무엇보다 행사덕분에 좋은 가격으로 구매할 수 있어 더 좋았습니다. 디자인 맘에 들고 타건감도 괜찮아요. 다만 뽑기 운이 안좋은지 처음 박스열때 스페이스바랑 엔터키가 빠져있었는데 끼우고 사용하니 기능에 문제는 없지만 뒤집으면 또 저절로 빠지더라구요. 이게 불량인지는 잘 모르겠습니다. 나중에 스페이스바가 안눌리는건 아닌지 걱정되긴하네요.. 그리고 스프링 소리가 심하게 들리는게 2개정도 있긴한데 잘 안쓰는 키들이라 그냥 쓰려구요 그 외 배송이나 문의 답변은 빠르고 좋았습니다,"['https://phinf.pstatic.net/checkout/20200226_111/15827291057592YAKB_JPEG/20200225_194855.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200226_285/1582729112453kUGEm_JPEG/20200225_195020.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200226_25/1582729113459YCPq7_JPEG/20200225_195104.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200226_154/15827291144980cwpM_JPEG/20200225_195639.jpg?type=f287']"
5,"무사히 수령받았습니다. 이상없이 정상 제품으로 왔습니다.
일하는 곳에서 사용할 거라 소음이 적으면서도 손에 맞는 키보드를 알아보다가 선택했는데, 확실히 소음도 적고 누를때 키감이 좋네요. 뭔가 제손에 착 감기는 느낌이랄까요. 키압도 50g으로 선택했는데 누를때 딱 좋았습니다.
영상 첨부는 그냥 한손으로 막 아무거나 쳤을때 입니다. 보글보글 소리? 맘에 드네요.
LED 생각보다 괜찮았습니다. 이것저것 눌러봤을 때 키보드 흰색 라이트 고정에 유성우가 제일 맘에 드네요!
전반적으로 만족스럽습니다. 다음에 또 구매하러 올게요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_30_0/eebaab40-a247-11ea-b5c3-48df379cca40_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200530_27/1590823765264I6Uq3_JPEG/D9E96996-619B-4E0C-95C0-B71E6C190249.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200530_119/1590823781392jhwuL_JPEG/558B8882-E93E-4340-BDE0-9CA354AACE42.jpeg?type=f287']"
5,"보글보글 소리가 회사에서 사용해도 될 정도입니다.

다만 35g라는 키압은 SA프로필 키캡을 장착하기에는 불편한 감이 있습니다.(키캡이 무거워서 키감이 더 낮아지거든요)

무접점 측면에서
리얼포스와 비슷한 키압이지만 다른 느낌이니
양자 모두 각각의 개성이 있습니다.

키보드 꾸미기에 관심이 많다면
콕스제품을 사용하시고(키캡 등등)
조용하고 차분한 키보드를 원한다면
리얼포스 차등을 추천 합니다.
(경쾌한 스포츠카는 콕스, 정숙한 세단은 리얼포스)


사진은
윗쪽 키보드가 콕스(키캡은 염료승화 체리프로필, 알리발)
아랫쪽은 리얼포스 R2 차등(키캡은 POM키캡, 알리발)

리얼포스 R2의 경우 하단열이 바뀌게 되어
기존 스페이스는 맞지 않습니다(표준형으로 돌아왔네요).
(기존의 스페이스 6u에서 6.25u로, Alt 등 키도 변함)
표준형으로 키캡이 바뀌었지만, 기존에 나왔던 키캡 하단열이
비표준형?? 사이즈라 스페이스를 포함한 하단열에 맞는 키캡이
현재는 없습니다.

이런 면에서는 콕스 제품이 확실히 우위에 있지만, 단점도 있습니다.

1. 콕스 등에서 사용하는 스테빌라이져는 어떤 장점이 있는지 모르겠는데,
키캡교체시 불편합니다. 한성 제품을 포함해 현존 무접점 키보드의
스테빌라이져는 체리식도 아니고 리얼포스식도 아닙니다.
이 스테빌라이져는 지지대(철심)에서 키캡 연결 부품과
분리되도록 되어 있어, 키캡 분리시 일부 부품이 딸려 나오고....
그 부품에는 구리스가 발라져 있어 교체시 손에 구리스가 묻고..
노안이 있는 경우 철심에 스테빌라이져 부품을 연결하기 많이 힘듭니다.

2. .


그러나 이 모든 단점이 키보드를 사용하는데
큰 문제가 되지 않는 미세한 단점에 불과합니다.
풀윤활하면 좋다는데, 똥손인 저는
어디 맡기기도 그렇고 순정이 좋습니다.",['https://phinf.pstatic.net/checkout/20200608_285/1591600793606YFJWz_JPEG/A771E7B8-C01E-4FF6-A973-C0CC067D4787.jpeg?type=f287']
