star_point,comment,photo
5,"키보드에서 가장 중요한 키감부터 얘기를 하겠습니다 제가 많은(?) 키보드를 사용해보았지만
체리 적축의 서걱서걱 거리는 느낌과 약간 갈축느낌도 나는것 같습니다 이건 개인적인 느낌이라 참고만 해주세요키압은 위에서 얘기했듯이 체리적축보다는 살작 무거운 느낌입니다
게이트론 스위치 게이~밍을 즐겨하는 분들께 추천드리고 싶습니다
타이핑은 많이 하시는 분들이라면 키압이 미미하게 높아서 호불호가 갈리는 부분일것 같습니다
스테빌 부분은 기본적으로 윤활이 되어있지 않은것 같습니다 정확하지는 않은데 스테빌에서 약간의 찌그덩거리는 소음이 난다는것 사용자가 구리스 칠을 해주면 없어지는 부분이긴 합니다만 조금 아쉬운 부분입니다 민감하지 않다면 그렇게 신경쓰이지 않을 정도이긴 합니다 통울림 부분은 키캡이 하우징을 때릴때 나는 잔향이 있습니다 이것도 흡읍재를 넣으면 되는 것이긴 하지만 사용자가 튜닝을 해야하는 만큼 조금 귀찮기는 합니다
이 모든것이 RGB 뽕맛으로 해결되는 부분입니다 밤에 보든 낮에 보든지간에 역대급으로 멋있습니다
정말 이쁩니다 RGB 뽕맛을 느끼고 싶다면 정말 추천하고 싶은키보드가 아닐까 싶습니다
이 글도 피네스로 작성하고 있지만 게이~밍 뿐만 아니라 타이밍할때에도 만족스럽습니다
다만 타이핑할때 아쉬운점은 ESC키에 물결이 같이 있는데 물결을 사용하려면 Shift+물결이 아닌 Fn+Shift+물결키를 눌러야 입력이 되는점은 조금 아쉽습니다 키캡은 ABS을 사용중인데 맨들맨들한 느낌이 나쁘지만은 않습니다
RGB뽕맛을 좋아하고 게이트론 스위치를 한번도 사용해보지 않은 분들에게 추천드릴만한 제품인것 같습니다
저는 RGB 때문이라도 메인키보드로 사용할 예정입니다 키보드를 보면 아크릴을 가공한 흔적들이 보입니다
그에따라 스위치도 흔들림 없이 딱 결합이 되는 모습이구요 가격은 10만원대까지 받아야하나 라는 생각이 가끔 들기도 합니다 지금 공구가 85,000원이 이 키보드의 적정가 인것 같은 느낌이 듭니다","['https://phinf.pstatic.net/checkout/20200314_270/1584153092578Kea6T_JPEG/IMG_0951.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200314_93/15841530920693ijDW_JPEG/IMG_0948.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200314_224/1584153092963XSD5d_JPEG/IMG_0949.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200314_242/1584153095298OmaL5_JPEG/IMG_0952.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200314_167/1584153096879iYxdv_JPEG/IMG_0950.JPG?type=f287']"
5,"콕스사 피네스 제품 수령 하였습니다.

콕스 블랙펄, 콕스 무접점, 콕스 피네스 이렇게 콕스 3총사를 보유하게 되었네요 :)

우선 가장 크게 눈에 띄는 장점은... 아크릴 하우징과 키캡에서 둘다 RGB를 쏘니 정말 화려하네요.

저녁에 집에서 불끄고 사용하면 정말 화려할 것 같아요

황축은 이번에 처음 사용하는데 느낌은 적축과 굉장히 유사하네요
혹자는 갈축과 적축의 중간정도라도 하는데 갈축보다는 적축에 굉장히 가까운느낌입니다. 게이트론 자체가 체리스위치 모방한 제품이라 체리적축과도 굉장히 유사한 키감이네요

CNC 아크릴 가공한 흔적도 보이네요. 스위치의 안정된 체결에 많은 공을 들인 모습인데...비용이 장난 아닐것 같다는 생각이 듭니다.

단점도 몇가지 보입니다.

우선 하우징을 아크릴로 적층하여 만들다 보니 단차가 조금 있습니다.
한겹 한겹 쌓아 올리는 방식인데다가 아크릴 가공이 굉장히 어렵다 보니 이런 단차가 발생하는것 같네요. 오히려 이런것도 매력포인트가 될 수 있을 것 같습니다.

두번째는 역시 불편한 키감...
하지만 기본적으로 심한 정도의 스테빌은 아닙니다.
조금만 손봐주면 개선이 많이 될 것 같네요

세번쨰는 키캡....기존 abs 키캡과는 약간 차이가 있네요.
.
가공시에 그런건지 모르겠지만...먼지나 눈물 흐른것 같은 오염이 키캡마다 조금씩 있네요.

마지막으로 하우징 하판을 볼트만 풀면 바로 오픈 되는 구조로 되어 있습니다. PCB가 바로 보이는 구조라 이 사이에 흡읍재 2~3T 정도는 깔아줄 수 있을 것 같네요.

흡읍재를 깔면 아크릴 특유의 통통 거림이 사라질 지 모르겠지만 한번 도전해 봐야 겠습니다","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_11_0/6fd89c1d-62e9-11ea-b8c9-00000000464c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200311_296/1583856479056y1b9H_JPEG/00BE71A3-7292-4E96-A066-D9263BE6B9B9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200311_299/1583856479613J0vuX_JPEG/27958CF1-19C4-4704-9837-AA2CF3E0D62B.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200311_248/1583856479588kpXgk_JPEG/1890E56C-58F1-427E-8E6E-DDB5C56C1FF1.jpeg?type=f287']"
5,콕스 피네스 황축 제품 특가 이벤트를 진행하는것을 보자마자 구매를 하였습니다 여태까지 체리축하고 무접점만 써왔던 저에게 약간 어색함이 있었습니다 그런데 막상 써보니 괜찮았어요 적축의 키입과 흑축의 키감을 모두 잡은 느낌이더군요 LED도 정말 화려했습니다 밤에 쓰면 아주 좋을것 같다고 생각해요 약간 아쉬운점은 스테빌 소리가 완전히 잡혀있지 않아서 아쉬웠지만 그부분은 윤활로 어느정도 커버가 가능하다고 생각해요 그리고 아크릴키보드 특유의 통통함의 키감도 어느정도 매력있다고 생각해요 정말 구매 잘했다고 생각해요,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_24_0/b916b543-6d91-11ea-891d-505dac8c3639_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_104/1585028295663mI1VB_JPEG/9FF3D838-E224-4CE0-BF02-C7B2AF57BC98.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_88/15850282960221bF5F_JPEG/98A6FED3-39FF-4AAF-90E9-8B9326D980A9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_218/1585028296230g5ArU_JPEG/566379E2-1C89-4A33-84D1-6D03E24FE174.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_238/1585028296292eTQp4_JPEG/C56E9B85-C22B-44A0-8B1D-636E8C8A06F3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_271/15850282966706tDxV_JPEG/F99D8C83-ED2A-437C-8541-B3F052C843CF.jpeg?type=f287']"
5,"이번에 특가할인 이라는 좋은기회로 사고싶었던 피네스 제품을 구매하게 되었습니다. 친한 동생과 함께 따로 따로 구매하였습니다. 처음 뜯어보고 눌러봤을 떄 생각보다 황축이 나쁘지 않았습니다. 스테빌은 어느정도 손만 바주면 잡힐 것 같아서, 그렇게 신경쓰지 않고 흡음재와 윤활유 등등 으로 소리를 잡아주니
정말 커스텀키보드 못지않은 그러한 키보드가 되었습니다.
그래서 개인적인 생각으로는 충분히 투자할 만한 가치가 있다고 봅니다.
특가할인 이라는 좋은 기회를 주셔서 진심으로 감사드립니다","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_12_0/381601fe-63b8-11ea-8773-505dacfba98a_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200312_122/1583945315171xKLX4_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200312_185/1583945315176iU04a_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200312_190/15839453154218pftS_JPEG/3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200312_285/1583945315664jrFAQ_JPEG/4.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200312_204/1583945315684iF9CX_JPEG/8.jpg?type=f287']"
5,"HHKB, FC660C 성애자 입니다. 회사에서 저소음 토프레 무접점을 하루에 12시간 이상 사용해서 미니배열이 무척 편합니다. 집에서 게이밍용으론 텐키리스 커스텀 키보드 쓰는데 미니배열 고파서 FC660M을 사자니 뭔가 축 교환에 대한 욕망 때문에 고사하고 이걸 구매했습니다. 철심소리 때문에 불만인 사람들 많던데 제가 양품인지 스페이스바 철심 살짝 들리고 괜찮네요. 뭐 철심소리는 다양한 방법으로 없앨수 있으니 패스할게요. 일단 제품 퀄리티사 생각보다 좋습니다. 처음받고 좀 놀랬어요.세미비키도 나쁘지 않네요. 이런저런축 다 쓰고 저소음 스피드 갈축이라는 괴랄한 커스텀 축을 커스텀 키보드에 쓰고 있는데 처음 써보는 황축 생각보다 느낌 괜찮네요 적축은 가볍고 흑축은 손가락 아프다 하시는 분들이 쓰기 좋은듯! 개인적으로 바밀로 저소음 적축급(반발력이 좀 높은 편)키압에 통울림없는 타닥타닥 ㅎ 당분간 순정으로 쓰다가 질리면 저스갈로 다시 갈아탈 생각입니다. 잘 쓸게요! !",['https://phinf.pstatic.net/checkout/20200327_248/15853020958508G6QT_JPEG/66B5F9B4-4FAD-4799-B72B-6C6493A4EAA7.jpeg?type=f287']
4,"평소 구매할까말까 고민 많이했는데 XX카페 할인쿠폰으로 구매했습니다

장점
1. 아크릴 하우징
2. 화려한 RGB
3. 필요한 키만 있는 미니배열
4. 스위치 교체 가능

단점
1. 스테빌 유격 심함
2. 제한적인 키캡놀이
3. 높이조절 불가능

크게 나눠서 이정도이고
아크릴의 특성상 하우징의 단차가 많이 어긋난다는 얘기가 있는데 생각보다 심하진 않습니다

황축으로 했는데 키압이 생각보다 가볍습니다 게이트론 스위치가 전체적으로 키압이 다 낮게 나오나봅니다 키감은 체리 적축과 유사하지만 소음이 조금 있는편입니다 스위치는 가지고있는 체리 흑축으로 바꿔줘야겠네요

키캡은 ABS OEM 프로파일인데 체리 프로파일이면 더 좋았을것 같습니다 정방향 스위치라 간섭없이 사용 가능합니다

굉장히 실험적인 제품이고 스위치 체결력을 위해 CNC 가공으로 홈을 파둔것 등.. 신경을 많이 쓴게 보입니다
기성품 퀵스왑 미니배열 키보드라곤 이 제품과 몬XX기X 제품이고 완성도나 만족도는 피네스가 훨씬 높습니다
스테빌만 개선해서 나오면 추천할만한 키보드입니다",['https://phinf.pstatic.net/checkout/20200429_234/1588132425635A7Bgy_JPEG/20200429_125252.jpg?type=f287']
5,"키감이 일단 굉장히 만족스럽습니다. 적축과같은 리니어에 키압은 원래사용중이던 갈축과 비슷해서 너무 좋습니다. 무엇보다 너무 이뻐요....리뷰에서봤던 우려했던 스테빌 소리도 생각보다 심하지 않아서 저는 실사용가능한 수준이라 판단해서 일단 한동안 윤활없이 사용해볼 계획입니다.


하나 오류가 있다면 설명서에 음 량조절하는부분이 서로 반대로 되어있습니다. )","['https://phinf.pstatic.net/checkout/20200321_176/1584773489041QRXwj_JPEG/8011.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200321_134/1584773489038xdP6D_JPEG/8013.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200321_44/1584773489337TgT6q_JPEG/20200321_131630.jpg?type=f287']"
5,어제 제품수령 해서 처음 사용해봤습니다 일단 rgb좋아 하시는 분들한테는 최고입니다 디자인 이쁘고 앙증맞아요 아크릴특유의 통통 거림도 재미 있고요 황축키감은 기대 이상이었습니다 딱 적축의 심심한 부분을 잘 채워준거 같습니다 아쉬운 부분은 가격이 저렴한 키보드 라인이 아님에도 불구하고 노이즈필터 가 없으며 흔한 아크릴루프 조차 없어요 ㅠ 하지만 디자인으로 이 모든게 용서 됩니다 ㅎㅎ 아크릴하우징 특성상 통울림 있으나 사용하면서 크게 거슬리지는 않았습니다 스테빌쪽은 꼭 윤활을 해서 사용하셔야 할거 같아요 아주 만족스러우실겁니다 전반적으로 만족하는 제품이었습니나 메인키보드가 있어서 콕스피네스 서브로 소장각 이네요 좋은제품 감사합니다 :),['https://phinf.pstatic.net/checkout/20200317_234/1584406045162GMbg5_JPEG/15844060182916371728472812134040.jpg?type=f287']
4,"아주 만족스러운 키보드 입니다.
게이트론 저소음갈축로 바꾸었는데, 키캡 궁합이 잘 맞는지, 축 특유의 찌걱거리는 소리가 잘 들리지 않게 되었습니다.

별 한 개를 깎은 이유는 스테빌 철심소리가 굉장합니다.
다행히 테이프로 잡혔습니다만,
스페이스바는 테이프와 구리스로 무슨짓을 해도 안잡히더군요.",['https://phinf.pstatic.net/checkout/20200912_220/1599898537360nozsA_JPEG/review-attachment-60cf3e9a-8854-45a5-8bfa-8c75e30a6635.jpeg?type=f287']
5,예전부터 구매각을 보고 있었는데 마침 특가가 떠서 좋은 가격으로 구매했습니다. 가장 먼저 RGB가 기대 이상으로 예쁩니다. 조만간 LED가 돋보일 수 있는 키캡 하나 장만해서 끼워줘야겠습니다. 두번째로는 키감입니다. 게이트론 황축은 처음 써보는데 적축과 갈축 사이라는 말이 적절한 것 같습니다. 키감은 적축인데 소리는 갈축에 가까운 것 같습니다. 스테빌에 대해서는 안좋은 평이 많아서 걱정했는데 생각보다 소음이 심하지 않아서 기대 이상으로 만족스럽습니다. 미니배열은 처음 써봐서 우측 쉬프트가 아직 적응이 안되는데 이것만 적응하면 가격 대비 정말 만족도 높은 구매였다고 생각합니다.,['https://phinf.pstatic.net/checkout/20200320_293/1584633118140D0Xwg_JPEG/KakaoTalk_20200320_004749129.jpg?type=f287']
