star_point,comment,photo
5,덱헤슘을 몇 년전에 사서 쓰고 있었는데 이번에 또 키보드 살 기회가 있어서 다시 구매합니다. AS도 굉장히 좋고 제품도 너무 좋아서 산지 꽤 됐는데 지금도 새거처럼 잘쓰고 있네요 ㅎㅎ 앞으로도 키보드는 덱헤슘만 살 것 같습니다,['https://phinf.pstatic.net/checkout/20200930_8/1601452614057fwxPF_JPEG/review-attachment-61f30ed2-8053-415f-92eb-e634f07fc2b5.jpeg?type=f287']
2,"키 간 사이가 좁고 눌러지는 유격이 커서 오타가 자주 남 잔뜩 달려 있는 평가처럼, 이 값비싼 키보드의 키감을 즐기면서, 내 손가락을 보호하고 싶어서, 고민끝에 '덱 헤슘프로' 갈축을 구매해2만원 짜리 키보드와 대체해 쓰고 있다. 약 1달째 쓰고 있는 입장에서, 나는 재구매를 전혀 고려하지도주변에 이 키보를 선물할 생각도 없다. 사람마다 체형이나 사용환경은 다르겠지만, 이 키보드의 문제는... 자기 혼자 튼튼하고 키감이 좋을뿐,사람의 사용환경과는 그닥 상호 작용을 못하는 키보드이다.다시 말해, 키감은 좋으니, 키가 눌려지는 깊이 대비, 키 사이 폭은 좁고키가 좌우로 흔들리기 때문에, 타이핑시 픽사리가 많이 난다. 기계식 키보드라 키 높이 자체도 높은데, 팔꿈치를 들어 올려 타자 치듯 들어 타이핑 하는 경우가 아니라 책상위에 팔꿈치를 지지하고 작업을 할때는, 매우 자주 오타가 난다.팔 전체를 들고 쳐야 타이핑이 정확해진다. 다시 말해 그냥 타자기 같달까? 사용자의 팔꿈치 높이를 고려한 보조 장치가 같은 것도 없고,오직 팔을 들어 사용할 때 타이핑만 하는 직업일 경우엔,그마나 사용할 가치가 있겠지만, 마우스와 번갈아 사용하는 업무를 하거나, 손이 볼펜과 마우스와 키보드를 오가는 다양한 업무나디자인 업무를 병행하거나, 영상 편집 업무까지 병행하려 하면,이 키는 조작시 계속 오타를 발생 시킨다. 그런 연유로 거금 19만원을 들여서, 지금 나는 사서 고생을 하고 있다. 옆 테이블에 마제스터치를 쓰시는 분은, 적어도 키가 좌우로 흔들리지는 않는데이 덱 헤슘은 키 폭이 좁으면서 왜 좌우로 흔들리는 지 이해를 못하겠다. 정확히 팔꿈치를 들어, 타자기 처럼 위에서 아래를 찍어 누를 때만 가치가 있는즉 타이핑 외에는 별 쓸모가 없는 키보드 이다. 여러분은 팔꿈치를 책상위에 지지 않고서 얼마나 오래 타이핑을 할 수 있는가? 그리고 마지막으로, 키보드에 LED가 보이도록 한 것이, 주간에는 오히려 키 알파벳이나 기호가 잘 보이지 않아, 기호 키를 찾는데 비효율적으로 작용을 해 버린다.무슨 말이냐 하면, 키보드 LED가 들어와 있는게 낮에는 불편하기 때문에 꺼두는데그 글자 표기된 부분이 LED가 들어오는 빛이 새어나오는 표면이라, 끄면 회색처럼 흐리게 된다. 검은색 키에 글짜가 회색처럼 되어 버리다 보니, 다중 업무시 정확한 기호들이 바로 눈에 들어오지 않아 찾아 헤매는 비효율까지 겸하고 있다. 나는 비추한다.",[]
5,잘받았습니다. 역시 소문으로 듣던 만큼 괜찮네요. 다만 처음 입문하시는 분들은 청축을 권합니다. 갈축은 조용하기는 하지만 조금 심심하네요. 그리고 제일 마음에 드는건 프로그래밍 하는것인데 사이트 로그인 할때 매우 편리합니다.,[]
5,배송이 빠릅니다. 어제 저녁에 입금했는데 오늘 낮에 도착했네요 지금 구매평을 키보드로 쓰고 있는데 집에 청축보다 역시 소리가 작고 누르는 느낌은 사각사각이라고 해야하나 청축보다는 클릭감이 덜하네요 사시는 분들 참조 바랍니다.,[]
5,강추합니다~ 기존에 더키 옐로우 갈축을 사용했는데 덱헤슘도 써보고 싶어서 구매했네요.. 둘다 좋은 키보드인거 같네요~ 가격만 보면 더키가 가성비가 좋다고 해서 샀었는데 덱헤슘이 더 손에 잘 맞는거 같습니다~ 사업 번창하시고 고민하시는 분이 있으시면 하지마시고 사셔도 후회없을거 같습니다~,[]
5,키보드 하면 덱 가성비는 모르겠지만 돈이많고 좋은키보드 쓰고 as걱정없고 싶다구요? 닥덱쓰시면 됩니다. 갈축 생각보다 정갈하고 좋아요 청축에비해 정갈해서 처음에 처볼때는 별로라고 생각했는대 심심하다 이런느낌 계속 치다보니까 좋네요 계속치고 싶게 만드는 키보드인거 같아요!,[]
5,"손에서 키보드를 떼놓을 수가 없어요 일반 키보드를 사용하다가 기계식 키보드를 사고 싶어서 고민 하던 중 덱 헤슘프로 기계식 키보드가 소리도 적고 키감도 좋다는 소문을 듣고 당장 구매를 했는데 역시나 소문처럼 키감, 소리 굉장했습니다. 아주 아껴쓰고있어요 : )",[]
5,만족합니다. 손 크고 두꺼운데 불편함 못느낍니다. 가끔 키보드가 높다고 하시는분 있는데 많이 높은 느낌은 아닙니다. 처음 써보는 갈축이고 생각보다 소리가 주는 즐거움은 부족한 느낌이지만 타이핑할때는 즐겁습니다. 가격이 좀 쌔도 가격값은 하는듯 합니다. 추천!! 다음엔 키패드 없는 제품으로 구매해야겠어요 ㅎㅎㅎ,[]
5,"빠른배송, 퀄리티 있는 제품 딱히 기계식 키보드에 지식이 많은 편이 아니라 키보드에 관심이 많은 주변 사람들에게 추천 받아서 구매하게되었습니다. 사람들이 좋은 말만에서 기대가 좀 높았었는데, 지방임에도 배송이 하루만에 왔습니다. 바로 키압 체크랑 키캡 손상유무, 외관을 살펴보는데 재가 운이 좋은건지 전체적으로 키압이 균일해서 우선 너무 만족스러웠고, 키캡, 외관의 마감이 생각한 것보다 훨씬 퀄리티가 높아 또한 감탄했습니다. 싼 가격은 아니지만, 이 가격대에서도 좋은 제품임에는 틀림이 없어보이네요. 주변분들이 추천한 이유를 알겠습니다. 좋은 제품 감사합니다. 간단한 시감 사진 올립니다.",['https://phinf.pstatic.net/checkout/20170310_17/1489145759902QiTh1_JPEG/%ED%82%A4%EB%B3%B4%EB%93%9C.jpg?type=f287']
5,덱 키보드 정말 좋네요~ 갈축과 청축 두 축중에서 가장 많이 고민했습니다. 두 축다 좋은 축인 것은 분명합니다. 두 축 중 갈축을 구입해보니 갈축은 가장 무난하고 오래 쓸 수 있는 축이 아닌가 생각해 봅니다. 키감은 쫀득쫀득한 것 같고 키를 누눌때 마다 나는 사각사각 거리는 소리가 너무 좋습니다. 전체적인 타건감은 정말 좋은 것 같습니다. 그리고 덱키보드 마감부분이나 전체적인 퀄리티가 정말 좋네요. 비싸서 부담스럽지만 그만한 값을 하는 것 같습니다. 디자인도 심플한 것이 저는 오히려 더 보면 볼 수록 다른 화려한 기계식 키보드보다 더 멋진 것 같습니다. 흰색 LED도 너무 예쁜 것 같습니다. 왜 사람들이 다 온라인으로 덱키보드가 좋다고 하는지 알 것 같습니다. 나중에 기회가 된다면 가격은 비싸지만 똑같은 청축의 덱키보드 또한 구입해서 사용해보고 싶습니다 ㅎㅎ~ 아무튼 갈축은 제가 생각하기에 소리도 적고 타건감도 있는 가장 무난하고 오래 쓸 수 있는 축이 아닌가 생각해 봅니다.,[]
