star_point,comment,photo
5,"얼마전에 같은 제품으로 청축을 샀었는데 갈축도 구매하고 싶어서 구매후 오늘 받았습니다. 훨씬 손이 편하네요 배송여부도 문의했었는데 친절하시고, 배송이 정말 빨라서 놀랐습니다. 아주 만족이구요.
키보드 방황시기였어서 크게 기대를 안했었는데
잠깐 테스트해보니 정말 좋습니다.
잘 쓰겠습니다 감사하고, 번창하세요!",['https://phinf.pstatic.net/checkout/20200327_62/1585293466467URRFp_JPEG/20200327_154508.jpg?type=f287']
5,"오전주문하고 다음날 바로 받았어요 배송짱빠름
선물한건데 엄청 마음에 들어해요 전에쓰던키보드 쓰레기통에버렸다고하네요 청축도 다같은청축이아니라고
A/s 후기도 몇개 읽어보니까 더 만족스럽네요 좋은제품과 서비스 감사합니다 번창하세요",['https://phinf.pstatic.net/checkout/20191213_259/1576218828656affeF_JPEG/20191213_153323.jpg?type=f287']
5,덱키보드 청축구매했는데 짱짱맨입니다 덱키보드 청축 역시 명불허전입니다. 사실 레오폴드랑 고민많이 했는데 집근처 피방에 덱키보드라서사용해보니 너무 찰지고 소리도 딸깍딸깍 좋습니다....단! 소리는 청축이라는거 감안하고 구매하시고처음샀을때 한영키레지를 공식홈피에 다운받아야 하는거 유념하세요~,[]
2,배송상태가 아주 심각합니다. 택배사에서 택배 험하게 다루는거 뻔히 다 알면서도 이렇게 건성으로 포장해서 보냈는지 모르겠네요. 안에 키보드 박스보시면 아시겠지만 너무 과대 포장입니다. 또 속에 완충제는 없어서 안에 얼마나 부딪히고 흔들렸는지 상상이 안가네요. 택배박스 안에 키보드박스도 찢어지고 찌그러져있습니다. 뽁뽁이 얼마한다고 안하는지 모르겠는데 다음부터는 옵션에 뽁뽁이도 넣어두던지 해서 판매하세요 한두푼짜리도 아니고 매우 불쾌하네요,['https://phinf.pstatic.net/checkout/20180315_195/15211031976317zpWQ_JPEG/KakaoTalk_20180315_173558108.jpg?type=f287']
5,적극 추천합니다! 갈축 사용하다가 청축은 처음 써보는데요~ 청축은 덱 헤슘이라고들 해서 구입하게 되었는데 정말 후회없는 선택이었어요 쫀쫀한 키감... 채고야.. 파란 라이트가 처음엔 맘에 안들었는데 보다보니 고급스럽고 괜찮은 것 같아요 ㅋㅋㅋ 딱 한가지 단점은 키보드에 각인된 폰트가 영문이고 한글이고 할거없이 정말 촌스럽네요 ㅠㅠㅋㅋㅋㅋ 하지만 전체적으로 만족합니다 꼭 사세요 후회없어여,[]
5,고가의 제품은 배신하지않는다. 작동도 잘돼고 디자인도 맘에들고 제가 생각햇던거랑 너무 잘맞아서 적극 추천합니다 ㅎ써보신분들은 아시겠지만 적축이 소음도 그리크지않고 좋습니다.그리고 덱 키보드 브랜드값하네요 적극 추천!,[]
5,아 짜증나네요 그냥 세컨드로 쓸 키보드 주문했는데 이거 뭐 굴러온 돌이 박힌 돌 빼가네요 하 빡쵸 진작 이거 살껄이거보다 고가인 커세어 제품을 조용히 보관함에 넣어놓게 되는너무 좋자나요 왜 덱덱 덱무새들 시끄럽나 했는데 저도 덱덱거리게되네요,[]
5,ㅎㅎ 진짜깔끔하고 포장도잘해서왓구!! 잘쓰겟습니다 감사합니다. ㅎ너무좋내요 진짜 축감두좋구 그냥 덱키보드는 오래가서 삿느대 진짜좋내요 가격값을재대로합니다 사실분들은꼭추천드려요 진짜추천드립니다 고민하지마시고구매하십시용,[]
5,"사고싶었던 건데 만족합니다. 프로랑 넌프로중에서 고민하다가 블루LED라서 넌프로로 구매했는데 너무 마음에 듭니다. 키캡이랑도 잘 어울리고 키감도 좋고 매크로키는 아직 사용 안해봤지만, 나중에 필요할때 유용할꺼 같아서 좋아요",[]
4,"덱 vs 필코 혹시 마제2와 덱 헤슘을 고민하는 사람이 있다면, 적축 갈축에 상관없이 비슷한 가격대면 마제가 압승.led가 필요하신분이면 덱헤슘을 고민하지말고 사시고, led는 아무래도 상관없다면 마제를 추천.배송 매우 빠르고 아직까지 고장은 없음. 백라이트 최대밝기가 생각보다 밝음.",[]
