star_point,comment,photo
3,"그저 그래요 일단 한영키 사용할려면 설정 해야하고요
중고인지 아닌지는 모르겠지만 지문이 묻어 있는게 좀 보입니다.
기계식을 처음 써보는데 키압이 제일 낮다는 저축을 구매하였는데 생각보다 키압이 높은 것 같고 소리도 좀 크네요",[]
4,"전에 삼성 기계식키보드사용하다가 led가없는관계로
Led 기계식키보드로 바꾸었는데 키감이 좋지는 않네요
뭔가 저렴한 만큼의 키감이구요 밝기는 좋습니다 키보드 불빛이 더 밝았으면 좋았을텐데라는 생각이 듭니다
가격대비 쓸만합니다",[]
5,키감도 좋구 소리도 적어서 만족해요!!,['https://phinf.pstatic.net/checkout/20201109_43/1604905705246wHpSK_JPEG/review-attachment-5be11b08-c856-47a4-937f-e41a33b05481.jpeg?type=f287']
5,소리도 적당하고 좋아요!,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_03_0/df12218b-ed52-11ea-a987-48df379cc9e4_03.jpg?type=f287']
5,ibgcddybczahhnk,[]
5,배송 빠르고 키보드도 누르는 키감이 좋네요,[]
5,"느낌.완전 피시방 키보드느낌
회사서쓸라고 삿는데 일 능률이 늘어날거같아요
키보드 불들어오는것도 넘이뻐요!",['https://phinf.pstatic.net/checkout/20200624_154/1592984194752SNvtX_JPEG/D405EFE0-5948-411B-86C1-C46A5DC134AB.jpeg?type=f287']
5,Led가 밝고 색이 다채로우며 청축 키감도 좋고 led켜지는 방식 설정이 다양해서 강추합니다,[]
4,방수가 안 되는 건 나름 아쉽네요. 타건감은 좋습니다. 보급형 기계식 키보드로 쓸만합니다.,[]
5,가격이 싼편이고 가성비 최고인 키보드입니다 ㅎㅎ,[]
5,가격도 더렴하고 배송도 빨라서 좋아요,"['https://phinf.pstatic.net/checkout/20200227_141/1582807165820Ok3Xe_JPEG/20200227_204603.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200227_267/1582807192994zNbNm_JPEG/1582807173482.jpg?type=f287']"
5,자판의 폭감이 좋다. 색상이 화려하다. 가까이 하고 싶다.,[]
5,아들이 원했던 건데 너무 맘에 들어합니다.,[]
5,포장 상태와 키보드 상태 좋습니다.,[]
5,가성비가 역시 믿고쓰는 한성임,[]
4,라이트 이쁘고 키감도 맘에 들어요,[]
5,아들이 골랐고 만족해합니다.,[]
5,"청축보다야 소음은 훨씬 적지만
적축도 만만치 않네용
상품은 가성비 좋은 제품 같습니다",['https://phinf.pstatic.net/checkout/20200331_136/158563333831665nkL_JPEG/20200331_144152.jpg?type=f287']
5,이쁘고 소음도 적습니다,[]
5,아이가 터치감을 엄청 좋아해요!,[]
5,너무좋아서 깜짝놀랬어요주위에 추천 해도 될꺼 같네요,[]
4,배송이 정확하고 빨리와서 좋았어요,[]
5,타자감도 좋고 맘에 듭니다!,[]
5,"아이들 주려고 구매했는데, 가격대비 대만족입니다~~",[]
5,타이핑ㄹ감이좋다추천,[]
4,사용하기. 편하고 불빛이 나서 애들이 사용하기 좋네요,[]
5,싼가격이라 걱정했었는데 쓰기편하고 잘사용됨,[]
5,사용감도 좋고 색상도 칼러풀 합니다,[]
5,키보드가 불이 들어오니 좋아요,[]
4,"시 사용품의 고장이나서, 바꾸어 주었는데 만족히 사용하고 있습니다.",[]
5,빠른배송과 만족하는 제품 입니다,[]
5,"배송도빠르고
넘맘에들어요",[]
4,제 개인적으론 키가 너무 깊게 눌려서 조금 힘든감이 있습니다. 다른 부분은 전반적으로 다 만족합니다,['https://phinf.pstatic.net/checkout/20191104_53/1572857382543UOAza_JPEG/Screenshot_20191101-113613_Samsung_Internet.jpg?type=f287']
5,가성비 좋습니다. 청축 입문용으로 추천입니다.,[]
5,적축이라 키 누르는 것이 살짝 가볍지만 불빛도 이쁘고 만족합니다,['https://shopping-phinf.pstatic.net/20191010_29/b966a5b5-d3ab-4ba9-9381-f4c6b3b7ab2d.jpg?type=f287']
4,제품 잘 받았습니다. 배송도 빠르고제품도 좋아 보이네요.,[]
5,너무 예뻐요 진짜 넘 만족스럽습니다 !,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_09_19_0/4ffd2a4c-dae8-11e9-820a-28b4484d5a96_03.jpg?type=f287']
5,아주 맘이 듭니다..키보그 Led가 이쁘네요..ㅎㅎ..,['https://phinf.pstatic.net/checkout/20190912_78/1568250304305foTa1_JPEG/20190910_210403.jpg?type=f287']
3,부드럽고 괜찮은 정도 입니다,['https://phinf.pstatic.net/checkout/20190902_135/1567382783564vPV7C_JPEG/C9958088-963E-4E83-9451-B9E8E4A81652.jpeg?type=f287']
3,"손님이 이제품으로 구매해달라서 구매는 했지만..
제가 쓰는거면 이가격에 이제품 안쓰죠..
지난번 컴퓨존 할인할때 23,000원인가? 구매했었는데..
이제품은 그가격이 딱 맞음..",[]
5,빠른 배송 감사드립니다.,[]
5,너무너무 좋아요....,[]
5,나쁘지않네요.....,[]
4,키보드 가격이 정말맘에드렁요,[]
5,깔끔하고 빠른 배송이 너무좋았어요,[]
5,빠른배송 감사합니다,['https://shopping-phinf.pstatic.net/20190531_15/9dc58903-9348-40be-bdcf-d9902eb08696.jpg?type=f287']
4,"한자 입력이 안되네요
몰라서 그런지",[]
5,빠른배송 마음에 듭니다.,[]
3,딱 가격대비인듯하고 청축이 생각보다 크지는 않네요,[]
5,배송빠르고 좋아용ㅋ,[]
5,이쁘고 맘에 드네요 사무용으로 샀긴 했지만 ㅋㅋㅋ,[]
4,상품 배송 만족 합니다.,[]
5,타자치는 느낌최고에요 소리좋구 터치 하는기분좋아요강추합니다,[]
5,딸아이가 원하던건데 불빛때문인지 엄청 즣아하네요,[]
5,ㅋㅋ색상도 이쁘고 좋네용,[]
5,알록달록 이쁘네요ㅕ,[]
5,번쩍번쩍 터치감도 너무 좋네요,[]
