star_point,comment,photo
5,현란한색상이 눈을 어지럽힐것같지만 예쁩니다. 눈도 아프지 않습니다. 타자소리 좋고 터치감 예술임다. 조용한 사무실에서 쓰는데 거슬릴만한 소리가 아니라 아... 일좀하시는구나~ 느낄정도라 만족합니다. 아주 흡족해요ㅋㅋ 써봐야 알겠지만 전 항상 스페이스키랑 오른쪽 숫자판이 고장나 바꾸는경우가 많은데 제발 오래 버텨주길 바라고 너무 일찍 고장나는경우 아니라면 재구매의사 확실히 있습니다,"['https://phinf.pstatic.net/checkout/20200713_136/1594612590861xlbaj_JPEG/review-attachment-4225ef01-9ed5-43a3-bbe0-ced2e8474fa1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_288/1594612625127VzKV9_JPEG/review-attachment-5feb56f8-e1a1-49d6-b629-e26a0cd6b41d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_282/1594612658758wtT0p_JPEG/review-attachment-b1a1c3e4-e227-4fe8-acda-2f395b660b2c.jpeg?type=f287']"
5,"목요일 주문, 금요일 도착했습니다. 배송은 진짜 빨라요 bb

많은 리뷰에서도 그렇고 실제로도 그렇고 통울림이 좀 지적이 되는데 뭐 저는 침대에서 한 번 쳐봤을 땐 텅텅 울렸지만 책상이 나무 재질이라 그런지 책상에서 칠 때는 별로 그렇게 통울림이 심하게 느껴지지는 않는 것 같네요.

그것보다는 개인적으로 스페이스바는 괜찮은데 백스페이스랑 엔터, 양쪽 시프트가 적축답지 않은 경쾌한 소리가 나는 게 더 거슬리더군요. 저는 이어폰을 끼고 컴퓨터를 하다보니 대부분 가려지긴 하지만 조용히 타자칠 때는 조금 거슬리는 정도입니다. 근데 이게 그냥 뽑기운인지 아니면 원래 다 이런건지는 모르겠네요.

그 외 한 칸짜리 키들(숫자, 자음, 모음 등 일반적인 키들)은 정말... 저가·보급형에서도 이 정도인데 제대로 된 비싼 거 사면 적축은 얼마나 조용하고, 치는 맛이 있을까 싶습니다. 키를 누르는 감도 갈축의 타각타각보다는 서걱서걱 하는 느낌인데, 저는 오히려 이게 갈축보다 훨씬 누르는 맛이 나는 것 같았습니다. 이건 취향 차이일 것 같네요.

타자칠 때 소리는 직접 마이크로 녹음해서 파형을 살펴봤는데 전에 쓰던 갈축이랑 비교했을 때 소리 크기가 확연히 줄어들더군요.

마감은 저는 보는 눈이 없어서 크게 신경 안 쓰는 부분이라 엔간하면 다 좋다고 보는데 이것도 마찬가지입니다. 다만 페이지업키 상단에 플라스틱 자르다 만 것 마냥 좀 튀어나와있긴 하던데... 쓰는 입장에서 안 보이니까 놔두고 씁니다.

종합적으로 봤을 때 저는 대만족이고, 이정도면 최강 가성비라고 생각합니다. 25,900원 제품이라 진짜 그렇게 크게 기대는 안 했었는데 직접 받아서 써보니까 제가 예상했던 것보다는 훨~씬 괜찮은 것 같습니다. 조용한 공간에서도 솔직히 쓸만한 키보드인 것 같아요. (단, 제 경우에 자주 쓰는 백스페이스, 엔터, 양쪽 시프트가 좀 경박한 소리를 내서 좀 눈치는 보일 것 같습니다.)

첫인상은 이렇지만 한 달쯤 써보면 또 어떻게 바뀔지 모르니 일단 계속 써봐야겠습니다.",['https://phinf.pstatic.net/checkout/20200417_298/1587123079705yP94O_JPEG/20200417_125126.jpg?type=f287']
4,"선물받은 체리 갈축 키보드를 4년 넘게 쓰다가 며칠 전부터 키 몇개가 안 먹히는 바람에 급하게 구매한 키보드입니다. 택배기사님들 휴무가 끼어서 늦게 오기는 했지만요.

소음은 이전에 쓰던 키보드보다 작고요, 키압은 살짝 높은 편인 것 같네요. 그리고 긴 키와 작은 키가 누르는 느낌이 차이가 좀 나는 편입니다. 긴 키는 뭐랄까 사각거림이 좀 덜한 편인 것 같습니다.

하지만 저는 게임은 거의 안 하고 직업상 문서작성을 많이 해야 해서 산 키보드라 만족합니다. 며칠동안 어쩔 수 없이 집에 있는 펜타그래프 키보드를 썼는데 예전에는 그렇게 키압이 높은 줄 몰랐네요. 글쓸 일이 많으신 분들에게도 부담없는 기계식 입문용으로 .",[]
5,"기계식 키보드 적축인데 멤브레인보다 소음은 있네요. 청축보다는 조용한데 몰컴할려면 멤브레인이 좋습니다.
장점
1. 적축이지만 기계식 키보드 특유의 딸각거리는 소음과 손맛이 있다.
2. LED 조명이 간지난다.
3. 멤브레인 보다 키보드 반응이 좋다.
4. 금도금 단자와 노이즈 필터가 있다.
단점
1. 적축이라도 멤브레인보다 시끄러워서 몰컴이 힘들수도 있다.
2. 키보드 사이에 간격이 커서 먼지, 이물질, 이어폰 케이블이 잘 끼여서 사용할때 주의 해야한다.
3. 팔 받침대가 없어서 오래하면 손목이 아프다.
4. 케이블이 일반 고무케이블 이라서 패브릭 케이블 보다 .
5. 키보드 케이블을 찍찍이로 묶여 졌는데 잔털이 많이 날려서 신경 거슬리고 쇼트의 우려가 있으므로 그냥 일반적인 철사 끈으로 해주면 좋겠다.
6. 키배열이 특이해서 적응하는데 시간이 걸린다.
종합평가
기계식 키보드 중에 가장 저렴해서 가성비가 좋지만 여러 부분이 다소 아쉽다.",[]
1,키보드 쉬프트 한쪽이 들려있길래 뭔가하고 키캡 열었음 결함이더라고요. 그래도 다행이 잘안쓰는 오른쪽 쉬프트라 눈감고 넘어가야지 했는데 키캡을 끼려는순간 쉬프트 키 플라스틱에 눌린 자국이 있음 뭐예요 반품된걸 돌려서 물건파세요 ?? 박스 부터 느낌있었긴했음 누가 한번 고치려고 했던걸 나한테 새거라 치고 보낸거 생각하니깐 열이 받아서 리뷰달러왔음 고객상대로 사기친거자나;;아오 진짜.. 저렴한 제품샀지만 돈주고 사기가 싫어짐 반품할게요,[]
5,"음.. 일단 입문용으로 쓰기엔 무리가 없어보입니다. 굉장히 키감이 가볍고 손에도 그 어떤 무리가 오지 않습니다! 다만 백스페이스나 스페이스바들의 경우 스프링 소리가 나서 이런거 싫으신 분들은 참고 하시면 좋겠구요. 저는 그냥 그러려니 하고 사용중입니다.
라이트의 경우 각 키마다 빛이 다 새어 나오는 구조입니다. 저는 색들이 조화롭게 잘 섞이는것도 나쁘진 않다고 생각되어서 잘 쓰고 있는데 오로지 키보드에만 빛이 나길 바라시는 분들은 다른거 알아보셔야 될 것 같습니다..

그외에는 큰 문제점이나 하자가 있는 부분은 없어 잘 쓰고 있습니다^^",['https://phinf.pstatic.net/checkout/20200424_38/15876850955850Sp5y_JPEG/KakaoTalk_20200424_083421671.jpg?type=f287']
5,색갈 이쁘네요. 갈축을 구매했는데 타자치는 느낌도 괜찮습니다. 우선 제가 사용할게 아니라서 제품 확인만 하고 다시 포장했습니다. 딸이 좋아하겠는데요. 무엇보다 가격이 너무 착합니다. 기계식 키보드 가격대 검색해보시면 아실꺼에요. 이 가격에 이정도 품질이면 뭐 말 다했죠. 무조건 추천요~,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_11_0/94b10147-f3c0-11ea-9b5a-505dac8c38f5_03.jpg?type=f287']
3,"[1. 배송관련]
- 당일 출고 익일 수령 good!!

[2. 기존제품과 비교]
- 기존 사용제품 : 제닉스 SCORPIUSM 10G 체리 (갈축)
키 압은 갈축보다는 가볍지만 소음관련하여 여전히 비슷함.. 크게
나아진것이 없다고 느껴짐.

[3. 총평]
- 스페이스 바의 스테빌라이저 부분의 소음이 매우 심함...
그리고 그 부위가 매우 조악하기 그지없음...
이 가격대 뭘 바라냐 는 식이면 다른제품 가고 싶음.
- ""사무실에서도 사용이 가능한 조용한 적축!!""
광고 카피 지워라 ㅎㅎ .. 충분히 옆사람 신경 건드릴 수 있는 물건임
- 장점 : 세련된 디자인. 마음에 드는 배송 끝.

사무실에서 사용 불가능한 적축입니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_06_0/03e0b1a4-5f79-11ea-a077-505dac8c3607_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200306_7/15834782761094t9V7_JPEG/KakaoTalk_20200306_155913748.jpg?type=f287']"
5,"배송빠르고 포장 견고하고 제품 이상없고 키캡교체툴, 선정리 밸크로식 타이까지 세심한 배려와 센스! 이 가격에 게이밍 기계식 키보드라니 놀랍네요. 연결하고서 LED 불 들어오는 걸 보고 다들 오~하며 감탄사 연발 예쁘네요. 흑출식이라 다소 키 압력감이 있지만 따닥따닥 누르는 맛이 있네요. 잘 쓰겠습니다. 많이 파세요~♡",['https://phinf.pstatic.net/checkout/20200922_7/16007470298401t62r_JPEG/review-attachment-00860a66-53ad-49ac-8018-22409607c2e6.jpeg?type=f287']
5,"두개 샀는데 한대에서 a버튼 불량나왔어요.
정품 스티커도 안붙어있어 이상하다 했는데 열심히 연결해보니 불량... ㅎㅎ
다행히 문의 남기고 바로 교체해주셨는데, 상품회수에 발송은 주말이 끼어서 하나는 일주일만에 겨우 받았네요.

그래도 키감이나 소리 좋고, 불량에 바로 대처 해주셔서 만족했습니다.",['https://phinf.pstatic.net/checkout.phinf/20200713_133/1594627197708upagh_JPEG/review-attachment-1a696af5-f522-4b3e-8f45-ae4d5b0024d4.jpeg?type=f287']
5,너무 예뻐요~ 기계식키보드 처음이라 어색하긴 한데 기능이 아니라 led키보드 쓰고싶었던 거라 만족해요. 키보드 고장난데도 없이 왔구요. 근데 적축 사무실용으로 적합하다고 했는데 소음이 그래도 커요..사무실용이 아니었으면 만족 100%였을것 같습니다,['https://phinf.pstatic.net/checkout/20201021_208/1603284085800YI2G8_JPEG/review-attachment-b8690b98-c578-41c0-9308-49fe51d57b7d.jpeg?type=f287']
5,"저가 기계식 키보드들은 대부분 한달정도 사용하면
키 입력에서 이상이 많이 발생하곤 합니다. (이중눌림이라던가, 접촉불량으로 인한 무반응)
하지만 이번에 사서 쓴 HP 기계식 키보드는 아직까지 별 이상없이 잘 사용하고 있으며, 이정도 성능이 이 가격이라면 다음에도 의심의 여지 없이 사용할 것 같습니다.",['https://phinf.pstatic.net/checkout/20200901_171/1598950395351uKsEJ_JPEG/review-attachment-7d4debb8-7675-4ead-bf2b-5654217b6e3e.jpeg?type=f287']
