star_point,comment,photo
1,절대 구매하지마세요 안좋은 리뷰는 다 차단한건지 몰라도 저도 리뷰보고 샀다가 배신감 오지게 느낍니다 겉모습은 멀쩡한데 키보드 누르는 순간 알게됩니다 살짝만 눌러도 세번씩 입력된다는걸...단순히 키감이 안좋다던가 빡빡하다던가 이런 문제가 아니라 가볍게 한번눌러도 세번씩 중복되서 입력되버립니다 문서작업은 커녕 로그인 하는데만 오분걸리다 빡쳐서 폰으로 쓰네요 신생아 전용 키보드인가요?,['https://phinf.pstatic.net/checkout/20200309_125/1583691063026XxyRQ_JPEG/image.jpg?type=f287']
4,쓸만해요 가성비가 좋고 튼튼해요. 색이 까맣다보니 때 타도 잘 티 안나서 좋네요. 은은하게 LED가 키판 속을 채워주는것도 좋아요. 다만 예전에 쓰던 4만원대 키보드랑 비교해서 반속이 좀 느리네요. 원래같았으면 쉽게 반응하는건데 예전 키보드에 비해 즉각적으로 키입력이 안되는 기분입니다. FPS같이 순간적인 게임을 하시는 경우엔 좀 더 고가의 키보드를 구매하시는것도 추천합니다.,[]
4,다른 것은 다 그럭저럭 괜찮은 데여 한영 변환이 되지 않아요 레지스트리를 수정해야 된다고 하니 번거로움이 발생하네요 컴퓨터마다 수정해야 되는 번거로움 있네요 왜 그러는 지 다른 좋은 방법이 있으면 좋겠어요 윈도우 옵션에서 수정하는 방법이 있으면 좋겠네요 (찾아보니 이런말이 있네요 윈도우 설정 옵션에서 하드웨어 키보드 레이아웃 변경에서 한글 키보드(101키) 종류1로 변경하면 될거라고요 한번 해보세요),[]
4,"사용한지 한달 됩니다.
저렴한 값에 살짝 걱정했지만 가격에 비해 키보드 타격감도 시끄럽지 않고 게임할때도 무난하게 괜찮습니다
다만 먼지가 끼거나 그럴때 청소하기 조금 힘들고 키보드 자판키는 불이 안들어오기 때문에 한밤중에 사용할땐 스탠드 키고 하거나 불을 키고 사용해야합니다 그거 빼고는 좋습니다",['https://phinf.pstatic.net/checkout/20190824_240/1566578277257niBDl_JPEG/image.jpg?type=f287']
4,"키보드 자체만 본다면, 매우 좋은상품인것같습니다.
키감 좋구요. 소음 적습니다 ㅎㅎ
이정도가격에 이정도면 가성비 좋네요,
다만 다좋은데, 포장이 ㅜㅜ 그냥 키보드박스위에 뽁뽁이 한번 둘러서 보내는건 좀 아니지않나요 ㅜㅜ
비도 오는 날이었는데...
양옆은 뽁뽁이가 감싸지도 않은채로와서 조금 그랬어요ㅜㅜ
다행이도 키보드는 정상적으로 작동합니다!",['https://phinf.pstatic.net/checkout/20191008_253/1570522299068UpCHo_JPEG/%C5%B0%BA%B8%B5%E5.jpg?type=f287']
4,가격 대비 나쁘지 않습니다. 불빛이 들어와서 밤에 사용하기에 무리없을거라 생각했지만 키부분에 불빛이 투과가 되지 않는 타입이라 자판을 알아볼수는 없더군요... 그리고 설명서에는 FN 키와 + 를 같이 누르면 라이트가 꺼진다고 되어 있는데 작동을 하지 않는군요...원래 없는 기능인지 제 상품이 문제가 있는건지...뭐 그래도 FN 과 page down 버튼을 3번 누르면 백라이트를 끌수는 있습니다,"['https://phinf.pstatic.net/checkout/20181223_219/1545552361660YD072_JPEG/KakaoTalk_20181223_170457702.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181223_194/1545552361983mxH64_JPEG/KakaoTalk_20181223_170458626.jpg?type=f287']"
5,가성비 좋음 키보드 입니다!!LED나오면서 이정도 키캄에 이정도 가격이여서 정말 완전 좋습니다. 단점을 찾는다면 앤터키가 작은거? 그리고 Alt키와 한영 키가 있어서 한영타가 안되서 처음에는 좀 당황했는데;; 열심히 찾아보니어떤 프로그램을 설치해야 되드라고 저도 설치해봐야 갰네요 ㅎㅎ 설치는 초보자들도 참고하세용~~,['https://phinf.pstatic.net/checkout/20190227_123/1551272754435YT0HD_JPEG/1551272727455.jpg?type=f287']
3,"배송은 명불허전 상당히 빠릅니다. (사실 서울지역 거주자는 엥간해선 하루안에 오니까요...) 제가 생각했던 대로 키감은 가볍고 부드럽네요. (키압이 꽤 낮은 편입니다.) 그리고 사실 멤브는 기계식보다 조용해서 야간에 사용하려고 저렴한 제품 찾던 중에 산건데, 소음부분은 확실히 그간 봤던 멤브중에선 가장 조용한듯 합니다. 다만, 상품 상세 페이지랑 다른부분이 하나 있어 지적합니다. 상품 안내페이지엔 USB단자 선에 노이즈 필터가 있다고 명시되어있었는데, 받은 제품엔 노이즈 필터가 장착되있진 않았습니다. (아마 후속 생산분 부터 노이즈 필터를 제외한듯...) 사실 1만원짜리 키보드치곤 LED도 있고 소음도 적절한데다 나름 나쁘지 않은 구매를 한 것 같네요. (아참, LED 때문인지 키보드 좌우측 모서리 부분에 약간의 발열이 있습니다.)",[]
4,생활방수가 가능하다는 설명이 있었습니다만키보드 위에 음료를 쏟은 이후로 버튼 작동이 되지 않는군요...왕복 택배비용이랑 유상as 비용 생각하면 새로 사는게 낫겠더군요...헌데 침수로 인한 수리도 안해주면서 생활방수 가능하다는광고를 왜 하는지 의문이네요,['https://phinf.pstatic.net/checkout/20190306_293/1551864204947YTP23_JPEG/KakaoTalk_20181223_170457702.jpg?type=f287']
5,진짜 마음에 드는 키보드가 없어서 찾아보다가 딱 제스타일인 키보드를 찾았네요 전 이런키감을 아주 좋아해서 샀는데 상상 이상입니다 문서 작업 게임용 둘다 다 편하고 좋습니다!!비싼 키보드 보다 이런키보드가 저는더 마음에 드네요 강추합니다!!,"['https://shopping-phinf.pstatic.net/20190627_6/6844a85d-a4b7-411b-b92d-2f54a37f8862.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_7/28b597cc-14f3-41bb-a041-7e34c6e2a470.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_23/2a798853-ddf0-44e4-8380-b8b690229abc.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_16/0975567e-0386-433d-8a7a-c6523a2765c1.jpg?type=f287']"
