star_point,comment,photo
5,"일단 무슨 로켓배송도 아닌데 하루만에 왔다는거에 경악했습니다
역시 배달의 민족...배송 엄청나게빠르네요

키감이 굉장히 부드럽습니다.
그런데 키스킨은 쪼끔 이상하다면 이상해요
키를 완전히 덮는 형식이 아니라 키 끝부분만 조금 덮는 그런 형태?

고장만 나지 않는다면 만족도 별5에서 떨어질 일은 없을 거 같습니다.","['https://phinf.pstatic.net/checkout/20200531_296/1590919915750MbRVn_JPEG/KakaoTalk_20200531_191009156_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200531_242/1590919916517FI03F_JPEG/KakaoTalk_20200531_191047616_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200531_63/1590919916326eoSll_JPEG/KakaoTalk_20200531_191009156_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200531_290/1590919916753ebBNf_JPEG/KakaoTalk_20200531_191047616_02.jpg?type=f287']"
5,"""LG GK-3000"" 유선키보드 강력추천 드리겠습니다!! 제품 구입후 익일 빠른배송으로 잘 받았습니다. 기존 로지텍 키보드 사용하다 글자판이 지워져서 알아보다 GK-3000 제품을 구입했는데, 로지텍 못지않게 터치감 부드럽고 소음도 거의없고 디자인도 예쁜것 같네요~^^ 다음에도 이 제품 구입할것 같습니다! 좋은제품 감사히 잘 사용하겠습니다♡","['https://phinf.pstatic.net/checkout/20200602_2/15911063037860NQcy_JPEG/20200602_222912.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_164/1591106316659yyPYk_JPEG/20200602_223043.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_174/1591106335247QV74x_JPEG/20200602_224237.jpg?type=f287']"
4,전에쓰던 키보드자판이 키배열이불편해사 타자작업 하기에는 적절치 않아서 바꾸게 되었습니다! 기본적인구성 좋구여 전에쓰던자판키보드에익숙해져서인지 초반적응이 좀애맥엇엇는데 지금은갠찮아요 소리도 좀 덜나구 쫀득쫀득한 키스킨까지잇어서 좋습니다,[]
5,"집에있는 키보드가 튼튼하기는하나 타닥타닥 소음이 커서 신랑이 시끄럽다고 머라 해가지고 무소음 키보드 검색해보다 구매했어요. 비싼건 사기 아깝고 .. LG브랜드고 다른곳에서보니 평도 좋더라구요 가격도 저렴하고 그래서 구매했어욪품질은 괜찮은것 같고, 소음은 제가 사용하던거보다는 작긴하더라구요. 근데 커버 씌워야 확실히 소음이 적긴 하더라구요. 그래도 버튼 눌림도 부드러운것같고 소음도 사용하던것 보다 적고 매우 만족 입니다. 가성비 굿굿",[]
4,"만족합니다. 일단 저렴하게 잘 샀구요! 판매자님께서 빠른 배송 해 주셔서 빨리 받을 수 있었어요,. 감사해요! 키스킨도 덮여진 상태로 와서 더 좋네요. 다만, 우측 시프트키 눌렀을 때 소리가.. 팔락팔락거려요.
그렇지만 그 점 외엔 다 좋아요! 너무 만족합니다! 굿굿!",['https://phinf.pstatic.net/checkout/20200214_6/1581676853989ep3lQ_JPEG/IMG_1175.JPG?type=f287']
5,"배송 빠르고, 가격대비 성능 만족이에요! 아직 하루밖에 안써봤지만 제가 바라던 면은 다 충족해서 별 다섯개 줬어요!! 기존에 쓰던 기계식 키보드가 본가 내려오게 되면서 가족 다같이 있는 시간대에는 너무 시끄럽다고 느껴져서 조용한 키보드 찾다가 구매하게 됐는데, 진짜 조용하고, 쓰고 있는데도 소리가 하나도 안나서 신기해요. 키스킨도 같이 딸려와서 오래 깨끗하게 쓸 수 있을 것 같아요! 높이도 적당하고..다만 높이 조절하는 접이식 받침이 조금 부실한 느낌이 있어요! 그래도 막 내려치면서 쓰는거 아니면 오래 쓸 수 있을듯!","['https://phinf.pstatic.net/checkout/20190310_42/1552146025977TzduU_JPEG/KakaoTalk_20190310_003522343.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190310_4/1552146026279w3wvY_JPEG/KakaoTalk_20190310_003522538.jpg?type=f287']"
4,제가 타사 제품을 구입 후 스페이스 바 결함으로 취소하고 다시 구매한 게 이 제품인데 두 제품 경험 후 확실히 이 제품이 우수하다는 걸 경험했네요. 가격이 만원도 안되는 가격이라 거기서 거기겠지 했는데 기능상으로는 90점 이상 줄 수 있는 제품이라고 평하고 싶습니다. 사용하는데 거의 문제가 없이 좋네요.일단 타격감이 부드럽습니다. 전에 싸구려 제품을 썼을 때는 탄성이 너무 강해서 작업 후 손가락이나 손목이 많이 불편했는데 이 제품은 적당히 부드러워서 손가락에 거의 무리가 없습니다. 이 점이 가장 만족스러운 점 같습니다. 또 엔터키가 역 니은자라 넓어서 이 점도 좋습니다.소음은 실리콘 덮개가 있어 작은 편이지만 아주 소리가 없거나 하는 정도는 아닙니다. 이건 제가 처음 저소음 자판으로 구매한 후 반품한 제품도 마찬가지였는데 근본적으로 무소음에 가까운 제품이 가능할지 의문이 생기더군요. 생활 소음이 있는 곳에서는 거의 느끼지 못할 정도겠지만 아주 조용한 곳에서는 느낄 수 있는 정도의 소음이라고 봅니다.처음 구매한 제품은 색상이 다양해서 판매량이 많았는데 이 제품은 그런 면에서는 선택의 여지가 없고 디자인도 평범한 편이지만 저처럼 기능에 초점을 둔다면 이 제품은 가격 대비를 넘어 절대적인 기준에서 말 그대로 표준 이상으로 기능면에서는 만족스러운 제품이라 평가하고 싶네요. 가성비에 따른 상대적인 기준이 아니라 그냥 절대적인 면에서 표준 이상이 될 정도로 무난한 제품이라고 봅니다. 싸면서도 잘 만든 것 같습니다. 이 정도는 돼야 컴퓨터 자판이라고 할 수 있는 거 아닐까 그런 생각이...,[]
5,"가성비 쩌는 보급형 키보드 배송비 포함해서 만 원 조금 넘는 가격으로 쓰기에 가성비 좋은 키보드입니다.무난하게 타이핑하기 좋은 멤브레인 방식이고, 키 배치도 매우 정석적입니다. 엔터키 큼직하고 방향키 넘버패드 모두 일반적인 구성입니다.제일 상단의 ESC 키와 펑션키들은 사이즈가 조금 작지만 그 덕분에 좀 더 슬림해보이는 효과가 있네요.무엇보다도 키스킨이 포함돼있다는 면에서 가성비가 확 올라가는 느낌입니다.","['https://phinf.pstatic.net/checkout/20180824_91/sorang226_1535103457499mNcX2_JPEG/photo_2018-08-24_15-59-24.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180824_193/sorang226_1535103457691mCMUO_JPEG/photo_2018-08-24_15-59-26.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180824_134/sorang226_1535103457855jEO3S_JPEG/photo_2018-08-24_15-59-27.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180824_86/sorang226_1535103458020pnERC_JPEG/photo_2018-08-24_15-59-27_(2).jpg?type=f287']"
2,보호필름 떼자마자 찍은 사진입니다 테두리부분 플라스틱이 오래되서 변색된것처럼 이유 모를 자국이 좀 넓게 있네요 뭔가 묻은것도 아니라 지워지는게 아니고 보호 비닐까지 붙어있던거라 기스도 아니고요제품 자체 파손이나 기기 불량은 안보입니다.제품 사용은 만족합니다만 공장 검수가 별로인듯합니다,"['https://phinf.pstatic.net/checkout/20190305_53/1551782425391QTIHi_JPEG/KakaoTalk_20190305_192712470.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190305_202/1551782425533mqwoT_JPEG/KakaoTalk_20190305_192713034.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190305_221/1551782425827ixnTU_JPEG/KakaoTalk_20190305_192711953.jpg?type=f287']"
5,가성비 부분에서 5점 드립니다. 보기에도 세련되고 타이핑 치는 느낌도 좋아요. 키스킨도 제공해주어서 좀더 위생적으로 오래 사용이 가능할 것 같습니다. 타이핑을 칠 때 좀 깊이 눌러야 하는 감이 있고 키스킨을 입히면 왠지 손가락이 가끔 키스킨에 걸리거나 누를 때마다 깊숙히 빠지는 느낌이 드는데 익숙해지면 괜찮을 것 같아요. 손가락이 짧은 편이라 미끄러지듯 타이핑을 치시는 분들은 키스킨을 제거하거나 노트북 형식의 얇은 키보드 구매를 추천합니다. 디자인 성능 여러 면에서 아주 만족!! 특히 가격!!,['https://phinf.pstatic.net/checkout/20190305_257/1551794242828ufwSv_JPEG/2.jpg?type=f287']
