star_point,comment,photo
4,"저는 개인적으로 기존에쓰고있는 비싼 키보드보다
더 좋은 타건감인거같아서 너무 만족하고있습니다.
소음도 진짜 적고 부드럽고 너무좋아요
키캡이랑 디자인이 촌스러운거빼고 가성비 갑인듯합니다. 키캡이랑 다 바꿀예정임 이거하고 롤실력 늘었어요 욕도 안하고",['https://phinf.pstatic.net/checkout/20200816_279/1597550271596wGl9h_JPEG/review-attachment-56cb9ff0-777d-427e-a0c2-374a1759a483.jpeg?type=f287']
5,"키보드 위치때문에 그림 그릴때 손목이 아파서 샀습니다!
타블렛 좌측에 두고 사용중인데 키도 적당히 필요한 만큼 있어서 단축키 사용에도 지장이없네요.
덕분에 작업속도도 빨라지고 환경도 좋아진 것 같습니다 ^^
다만 usb 꽂는 부분이 사이즈가 다소 큰지 타 기기(다른 키보드나 헤드셋 등)들에 비해서 많이 뻑뻑하네요..",[]
4,잘 쓰고 있습니다. 스페이스바가 아주 가끔 십히는 경우가 있는데 몇번 눌러보면 다시 잘 됩니다. 게임기에 컨버터를 통해 입력되는 신호라서 그럴수도 있어서 키보드 자체 문제는 아닌것 같은데... 잘 모르겟습니다. 키감이라던지 인터페이스 등 전체적인 부분은 만족스럽게 사용중입니다.,[]
4,"한손 키보드 사용은 보통 FPS 장르에서 많이 쓰이는데 저는액션 RPG 게임용으로 사용하려고 구매하였습니다 장르 특성상 단축키 사용도 불편하지 않고, 키감도 원래 청축 기계식을 좋아해서 매우 좋았습니다 다만 좀 아쉬웠던건 3가지 모드(오피스, 게이밍, 계산기)를 실사용해보니 있으나마나한 기능인 경우가 많고, 게임 중에 매크로 채팅 기능으로 F1~F4를 자주 사용하는데, ESC와 F1 사이에 빈공간이 없다보니 키 위치가 어색한 부분이 있었고, 스페이스바 길이도 조금 더 길었으면 하는 아쉬움이 있었습니다",[]
3,"가격대비 가성비는 좋으나..확실히 키감이 기존키보드랑 틀리구요 가벼운 느낌이구요
소리가 가볍네요 적응중인데..밑 바닥부분 고무쪽에
녹같은 먼지가 묻어있었네요..사용하던걸 주신건지..
그리고 위쪽이 조금만 높았으면 손목이 좀 더 편했을텐데..아쉽네요..반응속도는 그닥..",[]
4,"저에게는 게임용으론 텐키레스면 충분해서 단축키 용도로 구매했습니다. 솔직히 무선으로는 싼가격의 한손키보드가 없어서 대체한 거였는데, 키보드가 원래 그렇지만 유선이라도 선 길이가 충분하니까 괜찮네요. 감이나 소리도 괜찮고 기대했던대로 만족스럽게 쓸 수 있었습니다.",[]
5,"강추합니다 빠른 배송부터 포장상태, 제품 상태까지 완벽하네요 제품 세부 특징은 키배열이 기존 키보드와 거의 흡사해서 제가 원하던대로 키보드에 적응하는 시간은 필요 없었습니다. 팜레스트는 고정형이었고 우려했던 일체형 케이블 단자 부분이나 케이블이 직조로 되어있어 굉장히 견고합니다. 그리고 따로 케이블 타이도 포함되있어 선 정리도 깔끔하더군요 USB 연결 부위도 허접하지않고 튼튼합니다.(사진으로 보여드리면 좋은데 사진이 안올라가네요) 갈축 스위치 답게 비록 최상급 체리 스위치는 아니지만 기계식의 입력 느낌을 그대로 가져가면서 소음이 적은 그런 느낌 역시나 제가 예상하고 원하던 대로여서 너무 좋았습니다. 참고로 저는 오버워치 유저인데 마우스가 저감도라서 왼쪽으로 플리킹 에임을 하거나 트래킹을 할때 마우스가 키보드에 자주 부딪혀서 걱정을 하던 찰나에 이 제품을 구입하였습니다. 이 키보드를 구입함으로써 제 걱정은 완벽히 해소가 되었고 왼쪽으로의 플리킹과 트래킹이 자유롭다는 인식을 하고 플레이를 하다보니 자연스레 에임도 훨씬 잘맞고 작은 키보드 사이즈로 왼손도 최대한 편안하게 세팅해서 즐길수 있더군요 LED는 불빛이 좀 약한것 같지만 저는 애초에 LED키보드를 사도 꺼두고 플레이를 많이 하는 편이라서 가격에 비해 참 마음에 드네요! 많이 파세요!!",[]
5,"왼팔에 깁스를 하게 되면서 기존키보드로는 자세가 안나와서 급하게 한손 키보드를 찾아 보다가 기계식 키보드에 갈축, 거기다 LED 까지 지원한다고 해서 고민안하고 바로 샀습니다. 다른 풀사이즈 갈축 키보드에 비해서 가격은 반도 안하네요.키감도 좋고 게이밍 모드로 바꿀수 있는 핫키 베그 할때도 편하네요.왼팔 깁스 하고서도 겜도하고 일도 했네요ㅋㅋㅋ",['https://phinf.pstatic.net/checkout/20190629_169/1561801301605il8RV_JPEG/KakaoTalk_20190629_182436393.jpg?type=f287']
4,그림용으로 샀는데 사용하는 웬만한 단축키 다 되구요 키보드가 잘려서 못쓰는 단축키는 프로그램 내에서 다른 키로 설정해두었더니 편해요. 일반 키보드랑 똑같은 배열이라 따로 적응 할 필요도 없었구요. 핫키를 설정할 수 있었다면 더 좋았겠지만 이 가격에 이 성능 만족합니다. 오버워치 등 게임도 해봤는데 채팅 못하는거 빼면 게임할 때도 좋아요 아쉬운점은 전선 위치가 애매해서 조금 걸리적거리는거?,['https://phinf.pstatic.net/checkout/20190220_129/gmlwn3178_1550663596395avMhb_JPEG/KakaoTalk_20190220_205124827.jpg?type=f287']
5,"배송도 빠르고 깔끔하고 안전한 포장에 매우 만족합니다.
크기는 손목받침 때문인지 생각보다 조금 커서 자리잡는데 조금 애매한 감이 있었지만 그만큼 손목이 편한 것 같습니다. 갈축 모델로 구매했는데 키감은 메인 키보드로 사용중인 레오폴드 갈축에 비하면 별로 좋지는 않지만 그래도 기계식 느낌은 확실히 나는 것 같습니다. 모든 숫자를 치려면 모드 변경을 해가면서 처야해서 아직 익숙치 않지만 익숙해지면 이것도 나름 편해질 것 같습니다. 좋은 제품 감사합니다.",[]
5,"갈축 시타용으로 구매하였습니다.
배그를 할 땐 M키위치에 적응하는 것이 필요했고,
롤을 할 때는 Y,P,H 키를 사용해서 그 키를 다른 키에 변환해서 두어야했다는 점 외에는 편했습니다.
팔목 거치대도 분리가 안되는 것도 아쉬웠구요,
그 외에는 만족했습니다.
.",[]
1,손목 거치대는 무슨 생각으로 만들었는지 손목을 올리면 키보드 앞 부분이 들썩거립니다 그렇다고 손목을 들어서 쓰자니 손목 거치대가 걸립니다. 그리고 미끄럼 방지 패드는 왜 있는건지 엄청 미끌거려서 중심이 안 잡히네요 그냥 가격수준 딱 적당하네요 ;;,['https://shopping-phinf.pstatic.net/20190627_15/c19b0ce5-5203-401e-9ecc-b20dfd7fa173.jpg?type=f287']
5,쳬리 키보드만 써서 그런지 같은 갈축이지만 확실히 오테뮤 스위치가 체리보다 느낌이 안 좋긴하네요.느낌을 적어 보면 체리는 손가락에 붙는 느낌에 기분 좋은 낮은 키압으로 살짝 걸리는 느낌이라면.. 이 키보드는 키압도 조금 높고 걸릴때 느낌은 둔한 느낌이 듭니다.가격 대비 생각하면 괜찮다 봅니다.,['https://shopping-phinf.pstatic.net/20190627_11/ca474772-6604-45ca-9914-c17f171960f4.jpg?type=f287']
5,쓸수록 너무 편하고 좋아요!!꼭 게임용이아니더라도 인터넷강의볼때 스페이스바를 자주 눌러서 작은 키보드를 구매해서 가까이 놓고싶었는데 딱 이 용도로 정말 좋아요! 키감느낌도 짱이구요!! 거기다가 이 가격이면 진짜 너무 감사합니다><,[]
1,어디서 이런 그지같은 제품을 파는지 usb단자가 얼마나 뻑뻑한지 조이트론 Q1 usb 단자 꽂고 뺄때 안에Q1제품 usb단자 부셔졌어요 겜좀 해볼려고 샀는데 써보지도 못하고 Q1 제품 박살이 났어요 내38000원 날라갔네 그냥 내가 가지고 있는 키보드로 할걸 이제품 절대 사지 마세요 usb단자 얼마나 뻑뻑한지 다른기계 단자 다 부셔저요,[]
3,2프로씩 아쉬움에 정말 아쉽네요 키감좋습니다. 대신에 반복키나 여러키에 대한 능력이 다소 떨어집니다. 그리고 키보드 배열또한 직접 게임하시면 아시겠지만 편하지 못합니다. 정말 이부분 이런 사소한것들만 고치면 완벽할껀데요 아쉬운 키보드네요,[]
4,제일 초기 모델을 사려고 했지만 역시 청축이나 적축이 좋을 거 같아서 청축 적축 중 청축은 너무 시끄러울 거 같아서 청축 대비 조용한 적축을 질렀고 역시 적축 타감이 좋더군요 굳굳굳,"['https://phinf.pstatic.net/checkout/20201023_57/1603441120796viVP1_JPEG/review-attachment-6a564224-f9b3-47b4-81ea-e28d0bb2ec34.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201023_7/1603441121329UrJRG_JPEG/review-attachment-50336351-e965-4c26-895b-e097aa92073f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201023_116/1603441121640gUU7p_JPEG/review-attachment-d61a9b21-0279-4784-afa6-8bf1069bc19c.jpeg?type=f287']"
5,"배송엄청 빠르네요

노트북으로 게임할때 불편했는데 이 키보드 쓰니깐 편해요","['https://phinf.pstatic.net/checkout/20201104_169/1604487138317jmzfN_JPEG/review-attachment-498c8efb-3ce3-4b67-bdd9-f3ec9dd9bb1a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_46/1604487151601cFd2l_JPEG/review-attachment-6a21ec21-f623-4703-85d6-f45f41cf614b.jpeg?type=f287']"
1,재품 자체는 전혀 문제가 없어요.. 단지 광고가 애매함..모바일배그 될 줄알고 샀으나 모바일배그는 불가 하다는 문규가 없네요 주의깊게 광고를 봤어야 했는데....피씨배그만 가능한 재품,"['https://phinf.pstatic.net/checkout/20200802_199/1596336279754uqEI6_JPEG/review-attachment-761c4859-3870-4ec8-8335-51ca6b4f266d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200802_64/1596336335609O8D0b_JPEG/review-attachment-7779a97d-d5f5-49db-b08f-0917d48d79e4.jpeg?type=f287']"
4,엑셀 매크로 사용으로 구매했지만 현재는 아들네미 게임 키보드로 사용중이네요...,['https://phinf.pstatic.net/checkout/20201114_270/1605344711547z2CSb_JPEG/review-attachment-95aa428b-4357-43f2-9036-0399529fb192.jpeg?type=f287']
5,게임만 할 때 편하고 좋아요 자리도 얼마 안차지해서 서브로 사용하기 좋습니다.,['https://phinf.pstatic.net/checkout/20201104_295/1604501422720BjMDz_JPEG/review-attachment-74d26052-c1b8-4805-8711-d863672c44f5.jpeg?type=f287']
5,작업할려고 샀는데 겜할때도 좋네용 갈축 부드럽고 소음도 적어요,['https://phinf.pstatic.net/checkout/20201026_240/16036776227089zhnU_JPEG/review-attachment-45b4c923-680e-4c00-aec1-80b1a046e3e5.jpeg?type=f287']
