star_point,comment,photo
1,"밑에 다른분 리뷰 진작읽어볼껄 ㅡㅡ
저도 led3가지 타입중 하나가안되서 교환신청했건만 똑같이 하나가 안되는걸로 받아서 화나서 전화했더니 뽑기라면서 3가지중에 한가지 안되는거 알고있으면서도 그냥 세재품으로 검수도안하고 그냥 보냈다네요 그래서 리콜 신청했고 한두달뒤에 리콜 들어오면 무상으로 보내준다는데 제가 직접 10월말쯤 연락하라길래 우선 알았다고 끊었어요.

만원짜리 걍 내다버리고 딴거 살려했는데 그걸 이용해서 증상 알면서도 걍 검수안하고 보내는게 괘씸하네요;; 이미 한번교환신청해서 네이버페이 환불하기가 불가한걸 악용하는거같고 소비자들 귀찮아서 다들 걍 쓰거나 버리면 그만이라고 생각하나본데, 제품에 문제가 있으면 팔지를말더가 상세페이지에 그냥 하자제품이라고 증상을 써놓던가 하세요

지금 그냥 네이버페이 환불 불가한거 그쪽이 알면서도 문제있는제품 잘못보낸거니까 그쪽사유인거고, 환불 알아서 입금을따로 해주시던 해주시겠다고하면 착불로 제품 보내버리면되니까 리뷰 보면 연락을 주던가 하세요. 계속 저같은꼴난거 똑바로 처리안하시고 그렇게 판매하시면 이 리뷰보고 싼맛에 사려다가 저처럼될까봐 아무도 안살겁니다^^",['https://phinf.pstatic.net/checkout/20200915_156/1600148025270R7hkY_JPEG/review-attachment-65369dad-df27-4094-93d9-7131cb83b837.jpeg?type=f287']
5,"포장 상태 굳, 제품 상태 굳ㅎㅎ
...다만 숫자 led 부분에 칼 자국 처럼 약간 흠이 있네요ㅠ 사용에 별반 지장 안줘서 괜찮습니다^^
타자 칠 때 되게 부드러워서 저는 좋은데, 하드 스타일인 분들은 참고하세요!
좋은 가성비 제품 고마워요~","['https://phinf.pstatic.net/checkout/20200514_193/1589464519146Sedgm_JPEG/20200514_225242.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200514_227/1589464527239tDfs4_JPEG/20200514_224805.jpg?type=f287']"
1,"LED 모드가 3개 있는걸로 아는데 하나가 안나와서 교환해서 받았는데 또 똑같은 증상.
전화해서 문의했었지만 물량이 없다고 들어오면 교환을 해준다고 했는데계속해서 교환해준다는 날짜는 밀렸고 내가 잘못한것도 아닌데 계속 내쪽에서 전화해서 물어봐야 하는게 이상해서 교환 가능할때 연락을 달라고 했음.
5월안에 된다고 하더니 연락이 오지 않고 벌써 6월이 됨. 겨우 만원대 짜리라서 이런식으로 신경을 안쓰는건지 모르겠지만 정말 실망이고 다시는 구매할 일이 없을것임",[]
5,"가격이 저렴하기도 하고 소음이 적다 하여 구입해 본 거예요. 일단 불 들어오는 게 예뻐요. 타이핑 할 때 손맛도 마음에 듭니다. 소음이 없지는 않지만 일반 기계식 키보드에 비한다면 확실히 덜 시끄럽습니다.다만 키를 두 번 눌러야 먹히는 경우가 종종 있습니다.전 일반 타이핑용으로 산 거라 크게 불편하지 않았지만 게임을 할 때 이런 오류가 생기면 좀 그럴 것 같네요.개인적으로는 배송 속도, 제품 가성비 모두 만족합니다.",['https://shopping-phinf.pstatic.net/20200615_4/39e28fb4-b61f-4e44-988d-22e8b928a040.jpg?type=f287']
4,배송은 하루 걸렸고 LED가 물결치는 약간 그런 그림을 기대했는데 그냥 불빛만 들어와서 살짝 실망스러웠습니다. 타자 소리는 거의 들리지 않아서 조용하게 치기 좋고 그렇게 쌔게 누르지 않아도 타자가 입력되는 부드러운 느낌이 나서 타자를 많이 치는 사람들이 쓰기 좋은 키보드 인듯해요.,[]
5,예전에 큐센 gp-k5000 을 쓰다가 실수로 고장냈었습니다. 그 후 다른 키보드 쓰다가 옛날의 좋은 기억이 떠올라서 새로 하나 장만했는데요. 예전 버전이랑 지금 led 버전이랑 키감이 똑같은지는 기존 걸 버려버려서 비교가 되지는 않습니다. 다만 지금 led 버전 키감도 되게 부드럽고 저소음이라 만족스럽고요. led 색깔도 다양해서 맘에 듭니다. 주변에도 추천할만하고 다음번에도 재구매 의사 있습니다.,['https://phinf.pstatic.net/checkout/20191101_235/1572571802769HRk53_JPEG/KakaoTalk_20191101_102917911.jpg?type=f287']
4,"다들 사무용으로 많이 추천한다고 해서 너무 많이 기대를 했는지기대한것보다는 소음이 있습니다.(기계식과 달리 천천히 누르면 당연히 소리가 안나지만 그렇다고 독수리 타법처럼 천천히 칠 수는 없고..)키스킨을 같이 사용하면은 확실히 조용하지만 대신 기계식 키보드 쓸때보다는 확실히 무거운 느낌이 있고, 기계식 키보드처럼 가볍게 치려고 하면은 타자가 안 쳐질때가 있네요.그래도 기계식 키보드를 쓰면 어쩔수 없는 청축소리(좋게 말하면 가벼운 타격감, 나쁘게 말하면 방정맞은 소리)는 없어서 좋아요.LED도 기계식 보다 화려하지는 않지만 오히려 저는 이게 은은해서 이쁘네요.(키스킨 벗기면 사진보다 밝게 나옵니다.)",['https://phinf.pstatic.net/checkout/20190419_111/1555666874706j2Nvs_JPEG/20190409_195201.jpg?type=f287']
5,"배송도빠르고 몹시만족합니다그런데 몇일전 같은걸주문했는데,버튼을한번만눌러도 2번씩인식되는 현상때문에 1개 더 주문했는데.. 처음꺼보단 훨씬 괜찮은데.. 이것도 한번씩 그러네요.. 이부분만 괜찮아지면 최고..일단 하나더 주문해보고 또 문제있으면 세개다 as보내야할듯..",['https://phinf.pstatic.net/checkout/20190601_279/1559394969980XbT1w_JPEG/1559394956233.jpg?type=f287']
5,이전 키보드도 k5000 10년넘게 사용한 사람입니다 usb포트 키보드가 필요해서 다시 이제품으로 골랐습니다 덤으로 led되는 제품으로요ㅎㅎ 같은 k5000인데 전에 쓰던게 구형이라 그런지 키감이 조금달라요이번께 훨씬 부드럽고 조용하네요 키보드에 기능도 많아지고 만족합니다.,['https://phinf.pstatic.net/checkout/20190411_150/1554994035963U7931_JPEG/20190411_220228.jpg?type=f287']
5,"별로 기대 안했었는데 배송받고 타이핑 해보니까 소리도 거의 안나고 부드럽게 눌려서 정말 마음에 들어서 리뷰까지 남깁니다! 유투브에서 다른 저소음 키보드 타건 영상들 찾아봤는데 그런 제품들보다 더 조용하게 타이핑 되던데요? 제 마음에 꼭 들어요. 게이밍 키보드 한 번도 안써봐서 가격대도 적당한 이 제품으로 구매해본건데, LED 끄면 사무용으로도 딱인 것 같아요! 추천합니당",[]
