star_point,comment,photo
5,dt35->체리청축->레오폴드 흑축 순으로 쓰고있는 사람인데 손가락뼈마디가 가끔씩 아프고그래서 기계식 포기하고 멤브레인검색중에 예전에 만족하면서 썻던 dt35를 구매했는데 옛날 랭커찍던 느낌의 dt35가 아니였습니다. 그래서 비슷한 k5000을 구매 확실히 dt35보단 부드럽네요 게임은 아직안해봤는데 레오폴드의 비해 반응은 살짝 뭔가 미세하게 느린것같으면서 비슷하다고 해야되나요 구름타법에 익숙해져서 그런가 딱딱 눌러줘야되는 그런게 좀있네요 레오폴드 흑축에비해 키가 다행이 가벼워서 손가락 무리도 안가고 지금 99프로 만족중입니다. 그래도 10만원중반대의 키보드보단 확실히 뭔가 눌러보면 뭔진 모르겠지만 기능이 떨어지는게 살짝 느껴지는데 불편한정도는 아니고요 게임은 뇌지컬 손가락피지컬로 결정되는거지 절대로 비싼 키보드로 결정되는것이 아닌걸 잘 알기에 다시 멤브레인으로 와서 손가락 보호도 하면서 즐겜하려고 구매했습니다. 아그리고 컴퓨존에서 파는 k5000 키스킨도 같이구매했는데 먼지도 보호되고 저는 원래 키스킨을 좋아했던사람이라 거부감이없어 완전 만족!,['https://phinf.pstatic.net/checkout/20200205_245/15808569474651dxAE_JPEG/a69f4c91e4cab7c04cf4d0b542be05fe.jpg?type=f287']
5,기존에 쓰던게 터치감도 좋고 불편한것도 없고 진짜 오래써서 같은재품 찾다가 구매 했습니다. 이름은 같은데 약간 다르네요. 윈도우 키잠금이 있네요...기존껀 없어서 뽑아 놀려니 먼지드갈거 같아서...분해해서 실리콘 그 부분만 잘라서 사용했었는데...뭐 암튼 지금 꼽고 사용하고 있는데 버튼은 잘 작동 하네요...아쉬운건...터치감이 많이 다르네요...소음은 엄청줄었는데...전에 쓰던거 보단 터치감이 좀 별로네요...,"['https://phinf.pstatic.net/checkout/20200411_39/1586578768061cvr5Y_JPEG/KakaoTalk_20200411_131712926.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200411_25/1586578768024AUDTQ_JPEG/KakaoTalk_20200411_131712121.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200411_178/1586578768033POmY8_JPEG/KakaoTalk_20200411_131712361.jpg?type=f287']"
5,"전에 쓰던 모델이 수명이 다해서 이걸로 구매했는데, 이게 정말 훨씬 낫네요. 전 모델은 타자소리가 가볍고 시끄러웠다면 이번건 좀 더 차분하고 묵직하네요. 호불호가 갈릴 수도 있겠지만, 저는 개인적으로 이게 더 좋았어요. 누르는 느낌도 더 쫀득해서 좋습니다. 게임할 땐 살짝 엉키는 느낌이 들긴 하는데 가성비가 너무 괜찮으니 앞으로 잘 사용할 것 같아요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_15_0/9a4143bb-96a5-11ea-8867-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200515_126/1589544836891lqTN4_JPEG/7B311EC1-112E-4A43-B21D-A85B456FD581.jpeg?type=f287']"
5,"리듬게임 10년동안 뚜드린 망자 리뷰
저가형 기계식 키보드 사용하다가 인풋렉을 때문에 고생하다가
우연히 추천글 보고 구매했습니다
배송올때 뽁뽁이 오지게 깔아주셔서 좋았습니다
리듬게임 잠깐 해봤는데 소음 적고 잘눌리고 좋네요 사무용으로도 괜찮을듯
다만 디제이맥스같은 특수한 배치로 여러 키를 사용하는 게임은 키충돌 타협이 조금 필요합니다

-이런 사람에게 추천합니다-
1. 멤브레인 좋아하는 사람
2. 키감 안따지는 사람
3. 만원으로 리듬게임 키보드 찾는사람
4. 소음 적은 키보드를 원하는 사람

-이런 사람에게 비추합니다-
1. 멤브레인 특유의 키감이 싫은 사람
2. 많은 동시키를 누르는 사람

그럼 이만",['https://phinf.pstatic.net/checkout/20200411_100/1586583434672VeKXS_JPEG/20200411_141124.jpg?type=f287']
5,"멤브레인 중에서는 가장 무난하면서도 다용도로 쓰기 편한 키보드 이전 제품인 GP-K4500을 약 6년 넘게 쓰다가 이번에 GP-K5000으로 바꿨습니다.사실 K4500도 어디 고장나서 바꾼게 아니라... 너무 오래 쓴 탓에 지저분해져서 바꾼겁니다.오랫동안 회사에서는 코딩용으로, 집에서는 게임용으로 잘 쓰고 있었지요. 이 시리즈의 장점은 무난함과 신뢰성이 아닐까 싶습니다.익숙한 레이아웃과 각도, 키감, 몇년을 써도 고장날 일이 없는 구조 등등...그리고 무엇보다 가격이 저렴하죠. 한번에 두 개씩 사서 회사에 하나 집에 하나씩 두고 쓰면 늘 같은 작업환경이라 좋습니다. 주변에선 요즘 유행인 기계식 키보드로 바꾸는게 좋지 않겠냐고 난리지만 뭐 멤브레인 키보드, 특히 큐센 멤브레인 키보드도 충분히 좋은걸요.코딩하고 문서 만들고 게임하는데 아무 불편 없습니다. 특히 큐센에서 요 시리즈는 계속 나와줬으면 좋겠어요~","['https://phinf.pstatic.net/checkout/20180604_175/1528072937293MUXQS_JPEG/IMG_20180604_093755.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180604_47/1528072937473UzUpO_JPEG/IMG_20180604_093806.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180604_77/1528072937629ICkPh_JPEG/IMG_20180604_093817.jpg?type=f287']"
3,"음 타자치는 소리도 안크고 기본적인 키보드 싸게샀네요

다만 오른쪽 알트하고 컨트롤키가 안됨 ㅠ
인터넷 찾아서 설정바꾸고 레지스트리 수정해봐도 안되는걸 보면 키보드문제 같은데 그냥 쓰렵니다

어차피 오른쪽알트 컨트롤키는 거의 안쓰니 뭐...",['https://phinf.pstatic.net/checkout/20191210_70/1575937150349sQd8I_JPEG/20191210_000838.jpg?type=f287']
5,"큐센 키보드만 10년 넘게썼는데..
같은 모델인데 개선되어나왔나보군요..
다른 키보드 대비 이전모델도 자판 치는 소음이 작았는데
더 부드러워지고 소리도 조용합니다.
안그래도 집에 색시가 소리때문에 스트레스받았는데
아주 매우 쌉 만족 하고 갑니다.",['https://phinf.pstatic.net/checkout/20191204_139/15754255018724q3fO_JPEG/%C5%B0%BA%B8%B5%E5.jpg?type=f287']
3,사무실에서 7년동안 만족스럽게 사용한 키보드라 구매했습니다.키감이 달라져 아쉽지만 크게 불만족스러운 부분은 아닙니다.좀 쫀득한 맛이 약해졌네요.키스킨은 별도니까 필요하신 분은 추가해서 구매하시고중요한 부분은 연 열 은 같이 안눌리는 키들이 조금 있어 별 두개 뺍니다.불량인지 제품 특성인지 모르겠네요.,['https://phinf.pstatic.net/checkout/20190402_111/1554176257918FTBsR_JPEG/KakaoTalk_20190402_123406515.jpg?type=f287']
5,예전 지피전자 시절 키보드 생각으로 구매했는데 회사가 바뀌어서 그런지 영 별로네요. 비밀번호를 입력하다가 자꾸 오류나서 확인했더니 숫자키가 동시입력이 안되네요 진짜 충격... 키감도 예전보다 별로고 배송이랑 포장은 빠르고 좋네요,[]
4,원래 큐센 키보드 쓰다가 망가져서 이제품 다시 골랐는데 예전에 비해 키감은 좀 아쉽긴 하네요ㅠㅠㅠ(그리고 뭐가 묻은 것처럼 자국이....)그래도 가격 대비 이만한 키보드 없다고 봅니다 소음 적게 나는 가성비 좋은 키보드 찾고 있으면 이거 사세요!,[]
5,큐센사의 DT-35를 쓰다가 이 키보드로 체감을 해보니 변화가 없더라고요. 무슨 변화가 없냐면 튼튼한 내구성과(오만가지의 샷건을 쳐도 끄떡없는 큐센키보드) 멤브레인 키보드의 특유 촉감과 키압이 말이죠. 진짜 기계식 키보드 저리가라 할 정도로...,[]
5,NEW버전 나오면서 더 좋아졌네요 멤브레인 키보드중 가성비는 예전부터 유명했고키감이나 키압 여러면에서 웬만한 기계식 키보드들압도했습니다만 유일한 하자가 동시입력이었는데그 마저도 NEW 버전으로 커버가 됐네요싸구려 기계식 쓰지마시고 이거 쓰세요후회 안하십니다,[]
5,"대만족입니다. 청축 키보드 사용 도중에 소음이 너무 심한 것 같아 예전에 피시방에서 써보았던 것이 기억이 나서 서브 키보드로 쓰려고 찾아보고 구매를 했는데 소음이 거의 없고 특유의 타건감이 굉장히 마음에 들어서 원래 쓰던 청축 키보드 대신 메인 키보드로 쓰고 있네요.가격이 저렴한 키보드인데도, 오렌지 키캡과 마우스 패드까지 주셔서 감사합니다.K5000 제품 구매하실거면 여기서 사시는 걸 추천드립니다.",[]
4,"키보드 소리 안 나고 좋아요 키보드 이전에 쓰던 키보드보다 소리가 안 나고 좋아요.예전에 큐센으로 기계식 하나 샀었는데 청축이였나ㅜ__ㅜ 그거 밤에 쓰려고 하니 부모님이 키보드 소리 넘넘 시끄럽다고 하셔서 창고에 처박아두고 컴터 살 때 같이 온 키보드 썼었는데그것보다 소리 안 나고 좋아요 ㅎㅎ저는 키보드 소리를 좋아하는데 칠 때마다 소리도 듣기 좋아서 계속 치게 됩니당..다만 "" ㄱ "" 자 외에 몇 개는 칠 때마다 약간 틱틱 거리는 소리가 나는데거슬릴 정도는 아니여서 괜찮아요!가성비 최고 bb",[]
3,배송은 하루만에 와서 굉장히 만족했으나 (컴퓨존에서 구매)배송을 받자마자 열었는데 엔터키가 분리 되어있어서 놀랐네요.. 그리고 키감은 좋은데 키보드가 수평이 안맞아서 달그락달그락 거리긴 합니다. 워낙 저렴한 키보드라 그런 지 마감이 싼 티가 좀 나네요;; 가성비 평가가 좋아서 맘먹고 구매 했는데 실망을 좀 했구요. 딱히 반품할정도는 아니지만 재구매 의사는 심히 고려해봐야할 듯 합니다. 그럼 수고하세요^^,[]
5,"다좋은데 택배회사때문에 맘에 안드네요. 롯데택배가 물건을 받은적이 없는데 발송완료 되있어서 토,일 동안 물건 찾다가 주말이라 롯데택배 연락도 안받고 배송기사님 연락처도 안남겨져 있어서 한참 찾다가 슈퍼가보니 택배가 있더라구요. 슈퍼에다가 택배 맡기고 가시고서 문자한통도 없으셔서 물건을 몇일간 못찾았습니다..",[]
3,요즘 게이밍 키보드와 일부 배열이 틀려 어색하네요 기존에 사용하던 저렴이 키보드가 망가져 샀네요.. 도착 후 바로 사용해봤는데 키감은 좋아요. 반응도 좋구요.. 단 배열이 익숙하지 않아 손에 익을려면 좀 걸리겠네요.. 그것빼곤 단점은 없는거 같아요. 많이파세요. ㅎㅎㅎ,[]
2,추천하지 않습니다. 제목에 오렌지키캡+마우스패드 증정 이라고 써있는데 떡하니 키보드만 옵니다.다 찾아보았지만 어디에도 보이지 않았네요. 별로 추천드리고 싶지 않습니다. 확인도 똑바로 안하는듯 하네요. 귀찮아서 환불은 하지 않습니다. 선물하려고 산거라서 환불은 패스~ 암튼 똑바로 하십시요~,[]
5,잘받았습니다. 주문한 제품을 잘 받았습니다.판매페이지에 설명 되어 있는 그대로의 상품이며판매자님이 빠르게 발송해주셔서 더빨리 받아볼수 있었습니다.상품자체에 아무런 문제도 없었으며 불량이나 사용상의 불편함이없어서 만족합니다.원하던 상품을 저렴하고 빠르게 받아볼수 있어 만족하며다음에도 비슷한 상품을 구매한다면 판매자님께 구매할 생각입니다.덕분에 좋은상품 빠르게 받아 감사합니다.,[]
5,키감 정말 부드럽고 완전 조용합니다 키압 약하고 키감 부드럽고 소리 완전 조용해서 스타하기 정말 좋네요.워낙 조용해서 회사에서 쓰기도 좋을 거 같습니다.학생들 몰컴하기도 정말 좋을 거 같구요. 암튼 강추!dt-35 안 사고 이거 사길 정말 잘한 듯,['https://phinf.pstatic.net/checkout/20171128_253/1511826570315K9UOi_JPEG/20171127_114438.jpg?type=f287']
5,좋습니당 ㅋㅋ 요즘 엔터키가 빙시같이 얇게 되어 있고 기계식 머시기 유행이라서몇년전에 산 기계식 소리 너무 크고 빡쳐서 바꿨어용 귀에서 피날기세소리도 작고 엔터키 크니까 넘 좋습니다 ㅋㅋ다들 납작하고 엔터키 작은거 쓰는데 전 절대 못쓸거 같네요벌써 옛날꺼 찾는거 보니 늙은건가 ㅠㅠ 잘쓰고 있습니당 ㅋㅋ,[]
4,러브비트하려고 구매햇어요 러브비트하려고 구매햇구요1시간정도 사용한 후기는스페이스바가 뻑뻑해서 쌔게쳐야 100뜨네요그덕분에 1시간만에 손목에무리가..원래 워낙 쌔게치는데 더 쌔게치니까 잘되네요자유가서 놀면 가끔 키씹히는게 좀 잇어요..3판중 1판정도..기계식보단 스페가 잘맞는것같아서만족합니다,[]
5,최고 회사에서 써보고 집에서도 쓰려고 구매했습니다. 회사에서 사무용으로 쓰는데 자판 느낌이 정말 좋더라구요. 집에서 다른 키보드 쓰다가 워드 칠 일이 많아져서 도저히 못 쓰겠어서 똑같은 것으로 샀어요. 정말 느낌 좋습니다.,[]
5,저렴하면서 쓸만하고 좋아요~ 예전 비슷한 가격대 키보드 산적있는데 그거보다 키감좋구 쓰기도 좋네요^^~ 상품평 젤 많은거 읽고읽어서 골라산건데 만족합니다. 여기서 사길 잘한거 같아요~ 배송도 진짜 빠르고 ^^~여러모로 좋습니다~~,[]
1,일단 저렴한 가격치고 조용하고 부드러운 키감은 맘에 드는데요 FPS 게임 지원강화라느니 그런 헛소리 거짓말은 빼주셨으면 하는 키보드입니다. 그냥 10년전 윈xp 쓰던 시절 동시 키입력 3개 안되던 싸구려 키보드랑 똑같습니다. 앱코 5천원 짜리 키보드 쓰다가 때타서 이걸로 새로샀는데 같은 가격대 키보드인데 이건 왜 안되는지 의문 그냥 사무용으로만 쓰세요. FPS 게임 지원강화요..? 욕나오네 진짜,[]
3,배송은 빠릅니다. 지피전자 K5000만 쓰다가 하나를 더 구입할요량으로 NEW로 주문해봤는데 실망...판매자님 잘못은 아닙니다.(제품문제임)이곳 배송은 빨랐어요 그점 좋아요^^ K5000만 구하려고 사논 키보드가 현재 NEW만 3개있음 ㅠㅠ (낚여서..)용산에서 산것 여기서 산것 다 똑같음 많이 실망했어요 ㅋㅋ 말로 표현할수없는 기술적인면 ?겉만 똑같이 만든다고 똑같은게아니에요 ㅋㅋ 키보드가 붕떠 손에감기는 맛이없고 나는 리듬게임하는 유저로써 키노트를 빨리입력해야는데 키노트를 누르다보면 어느샌가 초기화가 되버려 ㅋㅋ당황스러운 키보드임 3개다 그러함 하지만 내가 사용하던 구버전 지피전자것은 안그랬음 현재 하나 사용중임필로텍인지 필라텍인지 그냥 엿드삼 이건 그냥 쓰레기임 사실분은 키보드 뒷면을 확인하세요,[]
