star_point,comment,photo
5,"닌텐도 스위치 용으로 샀는데 괜찮네요
크기도 적당하고 블루투스 인식안하는 스위치때문에 독에 USB로 연결해서 사용하면 딱이에요
다만 바닥쪽이 플라스틱?같이 딱딱한거라 유리위에서 타자치면 흔들리고 소리가 나서 뭐 좀 깔고 써야할거같아요. 키스킨도 있고 키감도 좋네요 추천","['https://phinf.pstatic.net/checkout/20200417_1/1587127726518NPSev_PNG/d.png?type=f287', 'https://phinf.pstatic.net/checkout/20200417_103/1587127726569pEQ49_PNG/wr.png?type=f287', 'https://phinf.pstatic.net/checkout/20200417_210/1587127726542WB50d_JPEG/KakaoTalk_20200417_214740669.jpg?type=f287']"
5,"가성비는 좋습니다 일단 디자인은 100%만족하구요 처음에는 잘안눌리는키가 있어서 분해했더니 러버돔이 정확하게 고정되어 있는 구조가 아니더라구요 그래서 러버돔 위치를 조정했더니 훨씬 나아졌습니다 생김새는 펜타그래프인데 구조는 멤브레인입니다 독특한 키감이니 경험해 보시고 싶은 분들은 구매해보셔도 좋을듯 합니다
일단 버튼 잘안 눌리는게 있으신분은 잘안눌리는 부분 뒷면의 나사를 조금 헐겁게 해주시면 나아질수도 있으니 참고하시기 바랍니다",[]
5,"소음이 적은 사무용 텐키리스 키보드 찾다가 구매했습니다.
상품평 보고 좀 걱정했는데 다행히 양품이 왔네요.
스위치가 살짝 걸리듯이 눌리는데, 이 가격대 생각하면 제대로 작동하기만 하면 다행인 듯 싶습니다.
소음은 생각보다 커서 키스킨 꼭 씌우고 사용해야겠네요.
크기는 확실하게 컴팩트해서 좋습니다.",[]
3,"디자인은 나쁘지 않습니다.
그런데 키감이 딱 가격만큼인 듯합니다.
키가 너무 크고 살짝 뻣뻣한 감이 있습니다.

타이핑을 자주 하시는 분들은 좀더 고급 모델을 구입하세요.
그냥 키보드만 필요하다고 생각되신다면 나쁘지 않습니다.",['https://phinf.pstatic.net/checkout/20200618_168/1592475122239T3Aeh_JPEG/15924750872086908375178013211483.jpg?type=f287']
5,배송빠르고 작고 가볍고 좋아요 조용하고 싸https://shopping.naver.com/reviews/form?orderNo=2020102361518971&productOrderNos=2020102381732521&returnUrl=https://order.pay.naver.com/review/formCallback#고 굿입니다 단지 키가 무거운 편이라서 누를 때 힘이 들어가요,['https://phinf.pstatic.net/checkout/20201025_215/1603635161077Oxtx1_JPEG/review-attachment-37e1db7c-7e99-4d52-ba4f-a5e03fe231d7.jpeg?type=f287']
5,구매를 했는데 처음에 불량을 받았습니다. 큐센 코객센터에서 교환을 해줬습니다. 완전히 저가라서 타건감이 좋지 않습니다. 다만 매우 가볍기 때문에 가지고 다니시면서 사용하실 분이라면 추천합니다. 일상적인 업무환경에서 쓰기에는 좀 무리가 있는 제품이니 업무상 사용하신다면 멤브레인 키보드로 구매하시면 가격도 저렴하고 타건감도 무리 없을 것으로 생각합니다.,['https://phinf.pstatic.net/checkout/20190419_246/1555681957428qk4yv_PNG/%C4%B8%C3%B3.PNG?type=f287']
1,QSENN이 사업이 안되나 봅니다.이제 망할 때가 되었는지 이런 키보드를 만들고 ...그래도 브랜드가 있지 아무리 싸구려라도 어떻게 이런 키보드를 만드는지 ...사무실에서 10여년 QSENN 제품만 사용했는 데 ..이래서 오래 알면 안되나 봅니다. 이번 기회에 다 가져다 버리고 다른 데로 갈아 타야지 ... 정말 실망 x 무한대 ...,['https://phinf.pstatic.net/checkout/20190522_157/1558462605091iVl11_JPEG/43906695297508880_1672385855.jpg?type=f287']
1,키보드는 단축키 용도로만 사용하는지라 싸고 작은 거 하나 사자 하고 샀더니 키가 마감이 안 좋은지 구멍 크기에 딱 맞아아서 무지하게 뻑뻑하고 몇몇 키는 잘 안눌릴 지경입니다. 쓰다 보면 부드러워지겠지 하고는 있는데 이런 키보드는 난생 처음 만져봅니다. 같이 딸려오는 키스킨도 영 상태가 좋지 못합니다. 키스킨 모서리 부분이 딱딱해서 잘 눌리지가 않고 누르는 감이 꽤나 불쾌합니다. 싼 맛에 그냥 쓸렵니다. 그리고 제 거는 '[' 이 키 단축키로 자주 쓰는데 무지하게 안 눌리네요.,[]
5,아직 사용전이긴 하지만... 이상 없을거란 믿음으로 구매 결정합니다... 워낙 컴맹이라... 노트북에다 키보드를 연결해서 사용 가능하다고 해서 구매했는데... 잘 되겠죠... ㅋㅋㅋ 아무쪼록 잘 사용해보도록 하겠습니다... 감사합니다... 수고하세요... ^^*,[]
5,"저렴하게 잘 구입했어요~
작고 앙증맞음~","['https://phinf.pstatic.net/checkout/20201111_92/16050292919687IC6j_JPEG/review-attachment-10c57bd1-1297-4dbc-aaab-f9751ab97293.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201111_284/1605029303373n8YGG_JPEG/review-attachment-a5d85731-6a60-4061-8a32-52c7da6eb3c1.jpeg?type=f287']"
5,"우선 가격이 착하네요. 그리고 가볍고 사진과 같이
작아서 휴대용으로 최고입니다. 디자인도 깔끔하구요.","['https://phinf.pstatic.net/checkout/20200923_165/1600837188815q3aPH_JPEG/review-attachment-2fe0f790-b365-4ed7-a321-5e47d729ae06.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_124/1600837213155NpG6z_JPEG/review-attachment-499d633c-928a-4848-aff7-5233a268a139.jpeg?type=f287']"
5,케이블 길이가 긴 미니 키보드가 필요해 샀는데 가격이 저렴하고 깔끔합니다. 키보드 스킨은 조금 더 테두리가 길었으면 좋을 것 같습니다.,"['https://phinf.pstatic.net/checkout/20201007_92/160205280632032VnC_JPEG/review-attachment-e6a3a699-a831-4bb9-bd9d-2805e1c4d7e5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201007_280/1602052820012GSQk8_JPEG/review-attachment-7fdd06f8-6899-44da-9cde-b64dbd613679.jpeg?type=f287']"
5,"배송 빠르고 가격 저렴합니다. 싸고 가성비 좋은것 같아요 가볍고, 노트북키보드용으로 구매합니다.","['https://shopping-phinf.pstatic.net/20200907_7/cad1e7d6-7313-4c2d-be17-79359bca0da3.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200907_28/d235f270-5852-4b5a-a6c7-458d2506106d.jpg?type=f287']"
5,"키보드가 미니하니까 책상도 넓게쓰고 좋습니다. 키감도 가성비 짱이네요, 프러스해서 스킨까지^^",['https://phinf.pstatic.net/checkout/20201117_109/1605587576860KIDdj_JPEG/review-attachment-01a2d22c-735a-452f-b359-cedbc1dafb0b.jpeg?type=f287']
5,사이즈 좋고 아주 만족합니다.,['https://phinf.pstatic.net/checkout/20201128_61/16065501934660U7kI_JPEG/review-attachment-691e474b-de18-4ce6-a5ed-906980bfc69c.jpeg?type=f287']
5,가격도 괜찮고 키보드가 공간대비 효율 좋아요,['https://phinf.pstatic.net/checkout/20201123_258/1606090961959jBDID_JPEG/review-attachment-39e25c33-585a-47b3-9bfb-c50cf8373bff.jpeg?type=f287']
5,잘사용하고 잇습니다 좋네용 ♡,['https://phinf.pstatic.net/checkout/20201128_245/1606527552536S3o6T_JPEG/review-attachment-adb1efed-e317-4c7f-80db-6fbd4e0fc9e0.jpeg?type=f287']
5,깔끔하고좋았습니다 굳,['https://phinf.pstatic.net/checkout/20201112_194/1605179754859rGlO1_JPEG/review-attachment-0957b833-d536-4ad5-a08a-447126962427.jpeg?type=f287']
5,키감 좋고 아주 작은 크기 책상에 부피 안 차지해서 좋아요 굿 굿 추천,['https://phinf.pstatic.net/checkout/20201031_228/1604079381115uIsCd_JPEG/review-attachment-12b91f2f-1ae1-4720-93cc-f2ac7bb80031.jpeg?type=f287']
5,이가격에 불평하면안되겠죠 ㅠ쓸만합니다.,['https://phinf.pstatic.net/checkout/20201112_231/1605183232607V3UX6_JPEG/review-attachment-0f89a00d-aa97-4441-9914-58f5f6ee1bdd.jpeg?type=f287']
3,배송 엄청 빨랐어요 짱짱 ㅋㅋㅋ,['https://phinf.pstatic.net/checkout/20201125_248/1606268413180nLU8K_JPEG/review-attachment-a01653ad-2f67-4b60-b24e-65d6df955f05.jpeg?type=f287']
5,배송도 아주빠르고 상품도만족합니다~배송도꼼꼼!,['https://phinf.pstatic.net/checkout/20201102_225/160428957822116dAM_JPEG/review-attachment-81e463ec-96ef-4fce-98c3-200df0d2bb39.jpeg?type=f287']
