star_point,comment,photo
5,"일단 종합적인 평가는 '작업용으로 가성비가 훌륭하다.' 입니다.

일단 키보드 자체는 저렴하고 튼튼하고 좋습니다.
제가 이걸 산 이유는,
1. 모니터가 타블렛 윗 공간을 차지해서 키보드를 타블렛 위에 둘 수 없음.
2. 그래서 왼쪽에 두고 씀.
3. 그런데 실행취소 같은 주로 쓰는 단축키는 거의 키보드 왼쪽이라 거리가 멀어서 팔 아픔.
입니다.

길이가 짧기 때문에 타블렛 바로 옆에 두고 쓰기 좋습니다.
더 이상 팔이 안 아프군요.
단축키 쓰기는 좋지만, 반쪽 키보드이기 때문에 저 같은 경우는 레이어 이름 정할 용도로 키보드 하나 더 두고 씁니다.
아니면 타블렛으로 터치식 키보드를 쓰거나요.

멤브레인 방식의 키보드이기 때문에 상당히 정숙하고 좋습니다.
기계식 키보드의 딸깍이는 소음이 거슬리는 분들은 이걸로 사셔도 좋겠습니다.

키보드 자판 라이트는 있지만 상당히 방해가 돼서 아예 꺼뒀습니다.
방에 불을 끄고 그리기 때문에 굉장히 거슬리더군요.
의외로 밝습니다.
다행히 끄는 기능도 있기 때문에 좋았습니다.

팜 레스트는 딱히 편하지도 불편하지도 않지만 분리가 안 됩니다.
그리고 그냥 생 플라스틱이라 좀 딱딱해서 느낌이 그냥 그렇습니다.
수건이나 천쪼가리 같은 걸 위에 두고 쓰시거나
아예 저처럼 쿠션 마우스패드를 뒤에 두고 써서 팜레스트에서 손목을 띄우고 쓰시는 걸 추천합니다.
(사진의 패드가 그겁니다. 말랑말랑허니 편-안 합니다.)

키보드 문제가 아니라 클튜 문제이긴 한데 언어가 한글일 때는 한 글자로 된 단축키가 안 먹힙니다.
실행취소를 ctrl + z가 아니라 빠르게 누르려고 그냥 z로 했는데 안 먹히더군요.
이건 긴 키보드도 마찬가지입니다.
문제라고 한다면 한영키가 없다는 겁니다.
작업표시줄에서 직접 누르거나 다른 키보드를 쓰면 그걸로 바꾸면 됩니다.
그래도 딱히 불편하다고 느끼진 않습니다.

게임(레식 시즈)할 때 써보긴 했는데 확실히 '자판을 누르는 느낌'은 별로 재미 없습니다.
기계식 키보드 (청축 썼습니다.)는 중간에 '딸깍' 하고 걸리는 느낌과 소리가 있는데
이 키보드는 그냥 '툭' 하고 들어갑니다.
미끄러져 들어가는 건 아니지만 아무래도 딸깍딸깍이 없으면 그렇게 흥겹지는 않더군요.
그래서 게임용으로는 '싸고 튼튼한' 키보드로는 추천합니다만,
'게임할 맛 나는' 키보드는 아니라고 생각합니다.",['https://phinf.pstatic.net/checkout/20200317_190/1584408748681V5yWk_JPEG/1584408735159.jpg?type=f287']
4,"그림 작업중 단축키 누르는 용도로 샀습니다! 적당히 필요한 키들이 한 손에 다 들어오고, 타블렛과 키보드를 동시에 쓰기 위해 팔 한쪽을 앞으로 뺀 상태로 있지 않아도 되니 훨씬 편안하네요. 저 아랫쪽에 손 받침대? 는 다른분들 의견처럼 불편하긴 합니다 자리도 생각보다 많이 잡아먹고.. 본래 기계식 갈축쓰던 사람이라 키보드를 힘 많이 풀고 쳐서 키를 눌렀다고 생각해도 인식이 안되는 경우가 자주 있는데 이건 좀 더 쓰다보면 괜찮아질 것 같습니다. 소음은 기계식과 다른 의미로 생각보다 큽니다. 딱 가성비로 만족합니다.","['https://phinf.pstatic.net/checkout/20200627_93/1593226097366ggdyl_JPEG/1593226014030.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200627_230/1593226123859aktJl_JPEG/1593226101643.jpg?type=f287']"
3,생각보다 크기는 컸는데 사용하기 편한 크기였어요.받침빼고는 일반 키보드랑 비슷한 크기랑 비슷한 느낌이에요. 단점이 아래 미끄럼 방지 고무부분에서 검정색 뭔가가 계속 책상에 묻어나와요 닦아도 닦아도 소용없으니 ㅋㅋ구매할 분들은 참고하시길..;;물론 가성비때문에 괜찮고 저는 급해서 그냥 써요,"['https://phinf.pstatic.net/checkout/20200612_290/1591893857748I01YW_JPEG/KakaoTalk_20200612_014040208_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_291/1591893857399WQm8H_JPEG/KakaoTalk_20200612_014040208.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_261/1591893857494uKrT1_JPEG/KakaoTalk_20200612_014040208_03.jpg?type=f287']"
5,"아~~~~주~~~~~좋아요
장점 단점 말씀 드릴께요
장점
1. 가볍다
2. 저소음 키보드를 생각할때 가격이싸다(레오폴드 갈축 16만원임 키패드 없는데)
3. 공간 확보가 매우매우 좋다
4.
단점
1. 한손키보드라서 단점임
이유: 로그인할때부터가 문제임ㅋㅋㅋ 이건뭐 복붙 쓰면 되니깐 그렇다치는데 그다음이 더큰 문제임 요즘 게임에 otp없는게 없음 ㅋㅋㅋ otp로 k,7만 들어가도 못침ㅋㅋㅋ
2. 채팅을 못쳐서 부모님을 못지킴

고로 이제품 하나로만으로 원래 키보드를 사용이 불가능함 기존키보드와 한손 키보드 둘다 있어야함
그럼 둘다 사용시 문제가또있음 공간이 더줄어듬
근데 본인은 저소음키보드 비싸고 평소에 키보드 두개씩 쓰거나 책상위 공간이 많이 남으면 추천드림 진짜좋음 저소음이라 .
끝.
빠용^^
아 그리고 7월초나 6월 말쯤에 이제품 리뷰영상 올릴예정이니 관심있으신분들은 유튜브 찐무륵치시면 나오니 참고하지메마시떼",['https://phinf.pstatic.net/checkout/20200624_128/1592941017947Ka1dm_JPEG/20200624_041643.jpg?type=f287']
5,"정말 만족합니다~

FPS게임을 하는데 책상이 좁아서 마우스를 움직일 공간이 부족했는데 한손키보드 덕에 넓어졌네요ㅎ

키보드 타건 소리도 적고 디자인도 멋있고 좋습니다~

근데 처음 써서 그런지 키가 헷갈리네요
많이 쓰면 괜찮아 지겠죠:)

감사합니다 잘 쓸게요~",[]
5,그림 그릴 때 일반 키보드가 너무 길어서 단축키 쓰려고 샀는데 아주아주 편합니다. 길이가 짧아서 타블렛 옆에 두고 쓰기 편해요. 멤브레인이라 조용하고. 불만족인점은... 쿠션을 놓고 쓰고 싶은데 팜레스트가 고정이라 떼낼 수가 없다는 점? 근데 이건 대부분의 한손키보드 공통인 거 같으니 어쩔 수 없죠. 그리고 한손키보드라 레이어 이름(게임이라면 채팅)을 정할 때 불편하긴 하지만 이걸 생각하는 사람이라면 한손키보드를 안 쓰겠죠. 어쨌든 저는 단축키의 편리함만 보고 샀기 때문에 굉장히 굉장하게 만족합니다.,['https://phinf.pstatic.net/checkout/20200102_63/1577929817925Df1Uo_JPEG/1577929745074.jpg?type=f287']
5,"일러스트 작업할 때 쓰려고 샀고, 작업환경이 한층 더 좋아졌습니다. 키감은 그럭저럭 나쁘지 않고 작업하는데 큰 불편함 없이 쓰고 있습니다. 게임할 때도 써봤는데 캡스락 버튼이 M 으로 호환되는게 엄청 편리하네요. 가성비 갑입니다 굿굿.",[]
3,"손목받침대가 플라스틱이지만 가격대비 쓸 만한 좋은제품입니다. 필요한건 다있어요. 매크로, 라이트 조잘 및 여러종류, 손목받침대, 긴 usb선 근데 기보드 타건감이나 받침대가 플라스틱인 점이 아쉬워요. 손목 받침대야 가격이 가격인만큼 그렇다처도 타건감은 의아하네요",[]
5,"신티크를 놓으니 책상 면적이 부족해져서 구입했어요. 빠른배송 감사합니다. 받자마자 클립 스튜디오 단축키들을 조금씩 재설정하고 적응하기 위해 손풀이중입니다. 이제 작업할때 딴짓(SNS, 댓글달기 등) 하기 힘들어지겠네요. ㅋㅋ 자판이 부족하니.","['https://phinf.pstatic.net/checkout/20200318_185/1584524111234P08z1_JPEG/20200318_162008%280%29.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200318_172/1584524111254j3vqd_JPEG/20200318_162314.jpg?type=f287']"
3,우선 기회 된다면 한손키보드 청축 2만원대 구매해보고 싶어요 이게 누를때 괜찮긴한데 생각보다 너무 부드럽고 소리도 작고 저는 살짝 키눌릴때 게임하는사람들의 그 탁탁탁 소리나는정도의 키감을 원했던것 같아요 청축이 제가 원하는것같아서 다음에 구매하고 비교해볼게요~~~~,[]
