star_point,comment,photo
3,"키감-적당한 구분감+서먹거림+키압은 높지는 않음+ㄴ자 엔터키 튀어 나온 부분(Enter 글자 인쇄 부분)이 다른 키에 비에 높이가 높아 그 부분 타건 시 다른 키 누를 때보다 더 큰 힘이 필요해 이질감이 느껴짐

소음-대체로 작은편+엔터키, 우쉬프트 타건 시 스테빌 소리+스페이스바 타건 시 찌걱이는 소리

키배열-사진 참고","['https://phinf.pstatic.net/checkout/20201008_244/160213455572783asp_JPEG/review-attachment-0cacefe8-e1f8-43af-88d2-cfe488c0b119.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_25/1602134556895eGHhP_JPEG/review-attachment-b4649e9d-76eb-4e14-9951-244683bc8fe8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_57/1602134557054LWaBU_JPEG/review-attachment-f81a388c-8685-43ab-88f4-dfa4dc6c19c0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_273/1602134557242p4BHA_JPEG/review-attachment-8d85eaa4-9a66-4c3f-a189-bde6f8170c6e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_295/1602134557245X1Ad7_JPEG/review-attachment-73385df9-9198-4768-b4ae-2db2577b5b45.jpeg?type=f287']"
5,"한 3일 기계식이랑 광축이랑 이것저것 찾아봤는데, 본인이나 유튜버 블로거 모두의 결론은 사무용이든 뭐든 조용하고 부담없이 쓰는 건 멤브레인이 갑이라는 것. 실제로 가격이나 소음, 잔고장 등 편리성 면에서 압도적인 장점이 있다. 그래서 요즘 트렌드인 LED가 있고, 허리와 어깨에 부담을 덜 주는 텐키리스 제품을 찾아보니 나오는 건 딱 두개. 이거랑 복불복이라는 모 회사의 제품이었다. 고민하다가 과거 피시방을 주름잡았다는 점에서 1점, 어차피 잔고장 적고 수명 길고 비교적 저렴한 가격이 장점인 멤브레인이니 복불복 뽑기는 교환도 귀찮다는 부분에서 1점, 해서 요거로 샀다.
키감 : 그냥 새로산 멤브레인 키보드 그 느낌이다. 비유하자면 많이들 찾는 로지텍 무선 콤보 k345키보드정도? 나쁘진 않다.
LED : 나름 다양한 라인업(설정)을 갖추고 있다. 불 켜도 꺼도 눈에 잘 들어오는 밝기로 무난무난. 개인적으로 LED는 켜져있구나 싶기만 하면 합격.
종합: 텐키리스 써본 사람이라면 누구나 공감할 허리와 어깨의 편안함. 멤브레인 특유의 든든함(잔고장x, 막써도ok), 심심하지 않은 LED.",[]
4,키캡의 감촉이 스카이디지탈 멤브 키보드보다 좋습니다. 더 써봐야 알겠지만 미끄러운 느낌이 없어요. 엔터키가 커서 좋은데 어떻게 누르면 안나올때가있습니다.ㅋㅋ 그리고 키캡을 위에서 자세히보면 프라모델 조각처럼 작은 플라스틱 점이 달려있는게 많습니다. 전체적으로 무게나 디자인 led 는 아주 마음에 듭니다.,['https://phinf.pstatic.net/checkout/20200922_114/1600761848419SuFKw_JPEG/review-attachment-7bcf43c5-522c-47c2-83e3-0581a900cbba.jpeg?type=f287']
3,"배송빨랐는데
그 흔한 키패드도 없고 청소도구 키빼는 플라스틱 하나 안들어있네요
4개 구입했는데 소리는 덜나는데 버튼 오지게 뻑뻑하네요 약간 손가락 근육 생성을 위한 키보드일수도 어차피 깔아두고 한번씩 누를때 쓰려고 산건데 너무 큰 기대하시는건 비추천 소리는 저소음 확실하고 디자인인은 괜찮 구성은 딱 키보드하나고 키가 뻑뻑하다 알고 구입하면 좋을듯 하네요",[]
5,"제품자체는 정말 좋앗어요
별 5개 드리려 했는데 웹페이지에서 한/영키가 안먹혀서 홈페이지에서 레지스트를 다운받아서 적용했네요
그런 내용을 설명서나 판매 페이지에 적어놔주셨으면 더 좋았을거 같아요
맥스틸 홈페이지에서 레지스트 받아사용했습니다",['https://phinf.pstatic.net/checkout/20201028_123/1603876766980wT5kK_JPEG/review-attachment-7419f4d1-d041-4fb0-89f5-0c4dc1003c93.jpeg?type=f287']
4,"키감 괜찮고 조용하고 좋습니다. 특히 오른쪽에 볼륨조절 휠이 정말 편합니다. 이걸 보고 사기도 했구요. 하지만 키캡이..너무 잘 지워지네요 한달?도 아직 안된거같은데 벌써 꽤 많이 지워집니다 ㅠㅠ치명적인 단점이네요

ps.그리고 사진 첨부할려하는데 왜 첨부가 안되는지 모르겠네요... 확인 눌러도 자꾸 적용이 안됩니다.",[]
1,"상품 왔는데 외형은 굉장히 맘에 듭니다. 근데 상품에 눈에 보이는 큰 기스가 나있습니다. 컴퓨터존에서 5만원 상당의 가방도 사고 그래서 믿고 구매했는데, 굉장히 실망스럽습니다. 다시는 컴퓨터존에서 구매안할거같네요. 구매하시는 분들 참고하세요.",['https://phinf.pstatic.net/checkout/20201006_293/1601978409864RgA7h_JPEG/review-attachment-b45556f2-a094-4c83-b0ea-5c0cbcb01842.jpeg?type=f287']
5,예전 큐센 텐키리스 제품이랑 가격은 같지만 더 보완해서 나온거 같아요 키감도 좋아지고 달그락 거리는 느낌도 덜하네요 추천,['https://phinf.pstatic.net/checkout/20201129_195/1606630203210Y6rFW_JPEG/review-attachment-9a45711a-f3b9-4c37-a59c-9ed622903800.jpeg?type=f287']
5,가성비 좋아요...키감도 좋아요,['https://phinf.pstatic.net/checkout/20201129_104/16066227947841p70j_JPEG/review-attachment-aeee0a1d-fe69-4dc9-b9ef-deceaab8e79a.jpeg?type=f287']
5,"조명색부터 넘나 이쁩니다.
배송빠르구요 터치감도 좋습니다. 조용하지도 그렇다고 시끄럽지도 않은 아주 알맞은 정도이네요",['https://phinf.pstatic.net/checkout/20201122_113/1606023722180dt6yN_JPEG/review-attachment-f79ee7f2-eb6e-4eab-8c1b-f59d51bd3088.jpeg?type=f287']
