star_point,comment,photo
4,"보시다시피 벌크는 전혀 아니고 새상품 맞는거같은데, 아무래도 주류 인기 상품이 아니라서 창고에 둬서 생긴 얼룩같아요! 이런 하자는 있지만 그래도 가성비 좋고 키감이랑 느낌은 부드럽고 좋아요 불량도 없고..! 저는 컴퓨터 공부때문에 하루라도 빨리 써야해서 그냥 알콜솜으로 닦고 사용했는데 웬만하면 닦여요! 좀 그러신 분들은 한번 세척하고 사용하시는게 날 것 같아요.","['https://phinf.pstatic.net/checkout/20200813_261/1597295258805rrzN0_JPEG/review-attachment-5e085d28-3d95-4d1c-9427-7a48a3d2d641.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200813_84/1597295258598GYWwb_JPEG/review-attachment-c123e638-ae64-4fb8-8605-e85ff49dbaef.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200813_123/1597295259289EWdeh_JPEG/review-attachment-16650eab-bc25-48c8-a668-6cbb2993fa8d.jpeg?type=f287']"
3,"1. 소리
기계식키보드들이 째각,짤그락,딸깍딸깍 소리가 난다면 이 키보드는 도각도각 소리가 나요. 소리가 생각보다 큽니다. 사람들이 조용하다는건 기계식키보드 청축보다는 조용하다 라는 뜻인것 같아요. 소음이 적은 키보드를 찾으시는 분들은 차라리 펜타그래프 키보드를 쓰시는걸 추천합니다.

2. 키 배열 디자인
확실히 나온지 오래된 제품이라 그런지 요즘에는 잘 사용하지않는 윈도우 잠금키 라던지, 키열을 감싸고있는 키보드의 '틀'이 생각보다 꽤 큽니다.
기존의 유행타고있는 기계식키보다, 사무용 키보드보다 사이즈가 커요.

3. 키
키보드 키 한개씩 좌우, 상하로 흔들어봤을때 흔들흔들 거리지만, 키보드를 타건했을때는 의외로 흔들린다는 느낌이 적습니다. 키감이 좋아서 그게 완화된것 같아요. 오히려 키는 확실히 7만원~10만원 이상대의 기계식 키보드들이 흔들림이 적고, 키감은 개인취향이라 뭐라 더 할말이 없습니다.

4. 게이밍
확실히 게이밍 키보드라 그런지 키가 씹히는 현상이 적어서 좋아요
요즘은 웬만하면 키들이 전부다 무한동시입력이라 자유롭지만...이 제품은 16키 동시입력이 가능합니다. 사실상 게임하면서 누르는 키들은 한정되어 있어서 큰 불편함은 없습니다.

한달정도 사용해봤는데
가성비로 그때그때 고장날때마다 교체해서 쓰는용으로는 괜찮습니다.
만약 구매하시게 된다면 키보드 단품만 있는 제품말고,
키보드 받침대가 함께 있는 제품 구매하는걸 추천합니다.

기계식키보드가 손목꺾임이 심해서 구매해봤는데
이제품도 생각보다 턱이 높아서 키보드 받침대 같이 있는 제품으로
구매하는걸 추천해요",[]
5,"10만원대 무접점

기계식키보드등 5가지를 써봤지만

그 가격대를 지불하면서 만족감이 따라오지 못하고

결과적으로 구조가 멤브레인보다 복잡하다보니

잔고장이 잦습니다

그래서 구관이 명관이라 하던가요?

과거의 명작 DT35를 찾게되었습니다

키감만큼은 10만원대 무접점을 때리는 키감입니다


물론

대신 가격이 비교도 안되죠

가성비짱","['https://phinf.pstatic.net/checkout/20201031_127/1604150517177YP9LM_JPEG/review-attachment-c0de21e2-0216-4dd8-9773-30be2983250b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_264/1604150517600zKudW_JPEG/review-attachment-b0f3ffa2-67b1-4941-8549-f3211f3bf67e.jpeg?type=f287']"
5,"굿... 안그래도 5년 넘게 쓰던 키보드에 음료수 쏟아서 잘 안되는지라 찾아보다가 이걸 아직도 팔길래 사봤음.

기계식 키보드를 사려다가, 저렴한건 너무 안좋다하고 대충 5-6만원부터 시작하는지라 그냥 게임도 크게 안하는 타입이라 적당한거 찾다가 구입함.

타이핑감 쥑이고, 딱 내가 원하는 스타일. 근데 사람들이 너무 좀 기대하고 사는 사람들도 있는 것 같은데, 멤브레인에 익숙한 사람들한테는 좋다고 말할 수 있지만서도, 기계식에 익숙한 사람들이라면 모르겠음.

돈값하는 제품. 근데 유명한 멤브레인 제품들도 이곳저곳에서 다시 출시한다는 이야기들이 있던데... 한번 잘 찾아보고 사시길~",['https://phinf.pstatic.net/checkout/20200923_184/1600848683889pHD00_JPEG/review-attachment-2a20ba75-ccde-46de-9d6e-2b2dc4119774.jpeg?type=f287']
2,"대체적으로 다 마음에 듭니다.
정말 많은 키보드를 사용해봣는데요 개인적으로 저는 valmilo
키보드가 저에게 맞아 기계식을 사용많이 했구요
맴브레인은 이게 처음인데 굉장히 g이 낮은 무접점의 느낌과 비슷합니다. 저에게는 보글보글 소리처럼 들리기도 하고
정말 마음에 듭니다. 다만, 첨주가 2점인 이유는 왼쪽 싀프트 키의 문제 입니다. 동영상에서 보시다 싶이 윤활의 문제인지 어떤문제인지는 모르겠으나 싀프트를 여러번 사용했을 시에 끼이?이는 현상이 있어요..한번 끼이면 안나옵니다....
이거 불량인듯 싶은데 교환또는 as진행 하려면 어케 해야하는지
알 수 있을까요?판매자님",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_07_0/7f1eeef6-d823-11ea-ae35-a0369ff963bc_03.jpg?type=f287']
4,"멤브키보드중에 명성이 높아서 꼭 써보고싶던 키보드입니다.
노뿌 무접점 주력으로 쓰고 있는데 같은 러버돔 계열이라 그런지 느낌은 러버돔 특유의 맛이 비슷하네요.

실제로 쳐보니 타건영상들로 듣는 경쾌한 느낌보단 좀 더 정숙하고 조용하네요. DT45을 사용해본적 있긴한데 DT45보단 키압이 낮고 잘 눌리는 기분입니다. 색상은 화이트보단 아이보리색에 가까워요. 키캡 한두개에 이물질이 묻어있는데 저가 키보드니 뭐 그러려니 합니다.",['https://phinf.pstatic.net/checkout/20201126_40/1606373669444I6qYj_JPEG/review-attachment-7aea38d2-6678-4d7b-b4c7-3cd2b91f1420.jpeg?type=f287']
4,밤늦게 사용하려고 멤브레인키보드 찾다가 이게 그렇게 좋다고해서 구입했습니다. 키압이 적당히 묵직하면서도 부드러워서 개인적으로 너무 만족스럽네요. 배송도 하루만에 도착했습니다. 딱 한가지 아무리 화이트라도 신품인데 군데군데 오염이 있어서 별하나 뺄게요. 민감하신분은 블랙으로 구입하세요.,"['https://phinf.pstatic.net/checkout/20200910_8/15997096918163Y2wg_JPEG/review-attachment-6492933e-7b31-44ce-8b79-7cf06e0063fd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200910_180/15997096918967RWf2_JPEG/review-attachment-4115809d-f263-4032-b3e6-dace0284202b.jpeg?type=f287']"
5,"키감도 이전에 쓰던 키보드랑 비슷해서 좋았으며, 무게감도 있어 사용 중 키보드가 밀리는 경험은 없었습니다. 키보드 소음도 적은 편입니다. 만족합니다.

대신, 추가로 구매한 만능키보드스킨은 키보드 키 위에 딱 맞게 올라가며, 너무 딱 맞게 올라간 나머지 키스킨이 잘 고정되지 않으며, 키보드 키에 맞게 성형된 것이 아니라 노트북용 키스킨이라 해도 무방할 정도인 플랫한 키스킨입니다. 다만 실제로 노트북에 사용하기엔 텐키까지 포함한 길이이기에 유의하세요. 뒤에 고정 스트랩이나 묶을 만한 끈도 없으니 키스킨은 .","['https://phinf.pstatic.net/checkout/20200101_208/1577809210775HdIbP_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200101_199/1577809210797pVVS4_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200101_272/1577809210789EV1Cj_JPEG/3.jpg?type=f287']"
5,"역시 dt35입니다..
다만 아쉬운점은 화이트 제품이라 그런지
검은 얼룩들이 좀 많더라고요 그부분은 살짝 아쉬웠습니다

얼룩들 지우다보니 옅은 검은색 얼룩은 지워졌지만 진한 검은색 얼룩은 아예지워지지 않더라고요 ㅠ

그리고 오른쪽 상단에 led등이 상판위로 퍼지듯이?? 보이더라고요 검은색은 안그러던데 뭐 이거 나름대로 이쁘긴해서 ㅎㅎ

키감은 검은색상에 비해 부드럽습니다!
검은색이랑 그냥 색상만 다른줄 알았는데
어떤분 리뷰에 화이트가 더 부드럽다는 글을 봤었는데
정말 화이트가 블랙색상에비해 좀 부드럽습니다
하지만 키보드 타건감이 블랙색상에 비해 좀 떨어지는 편이라 사람마다 선호하는게 다를것같습니다

디자인 안보고 타건만 본다면
블랙은 게임용으로 괜찮을것같고
화이트는 사무용 타자칠때 좀 편할것 같네요
저는 화이트로 게임해봤는데
일단 5키 이상 동시입력은 되고 타건감도 부드러운 키감이라 손에 무리없이 편하게 타건할 수 있을것 같습니다.",['https://phinf.pstatic.net/checkout/20200328_53/1585389647629XD8OU_JPEG/20200328_190001.jpg?type=f287']
4,"저렴하게 살 샀는데요..
컴퓨터에 연결하려고 보니..
꽂는 방법이 기존식..제 컴퓨터는 usb꽂는것 같은데..😣😱저처럼 컴퓨터 잘 모르시는분은 특히..잘 알아보고 사세요~~ㅡ.ㅡ
검색해보니 젠더를 또 구매해서..
근데 또 안될수도 있다는 ㅠ.ㅠ","['https://phinf.pstatic.net/checkout/20201006_91/1601985711307PnvKB_JPEG/review-attachment-09b52930-949f-47c0-8aeb-ed1f43cb548a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201006_168/1601985737331mQHR3_JPEG/review-attachment-5c80ed51-7d8e-4c46-8cc6-96d8ed6b69c4.jpeg?type=f287']"
5,"usb로 선택한줄 알았는데 ps2로 잘못 선택했네요ㅜㅜ 그래도 다행히 ps2포트가 있어서 연결 문제는 없었습니다. 저는 적축이난 청축처럼 딸각 거리는 소리보다는 맴브레인이나 무접점을 선호하는데 이제품이 맴브레인 키보드중에서 가장 평이 좋고, 가격도 저렴해서 구매했는데, 타건감이 너무 좋네요. 스킨 쓰면 소음도 적어 사무실이나 일상용으로 쓰기에도 좋아요! 디자인은 90년대 감성 그대로에요. 나중에 키캡도 교체해서써봐야 겠어요! 너무 만족합니다.",[]
5,요즘 게이밍 키보드들은 너무 시끄럽고 가격도 만만찮아서 걱정이었는데 큐센 키보드를 발견했지 뭡니까ㅠㅠ 클래식하면서 예전에 힘들었던 동시입력을 해결해서 사용하기 진짜 좋네요.. 저소음 키보드들은 7-8만원 하는데 1만원으로 그에 버금가는 저소음 생활을 누릴 수 있다니.. 아주 만족합니다.,['https://phinf.pstatic.net/checkout/20201119_174/1605737638816rSzhp_JPEG/review-attachment-0b448843-4bde-4701-ae70-ccadcb666008.jpeg?type=f287']
1,"예전 신디티 기대하고 사시는분들은 비추함 구디티나 옛날 신디티에 비해서 너무 키감이 구리고 특히 방향키쓰는 게임 하는 용도로 쓸꺼임 무조건 키 바꿔서 해야함 아래키 키감이 진짜 너무 구림;;

키보드커버도 같이 주문했더니 일반적으로 키 하나하나 감싸서 키보드 전체를 덮어주는 커버가아니고 그냥 담요 덮듯이 덮는거 하나 왔음

USB포트인줄 알고 샀는데 ps/2였음 동시키는 앵간 다 먹는데
키감이 너무 구려고 아래키는 심하게 뻑뻑함
솔직히 키보드는 그렇다치겠는데 커버는 4000원 받아놓고 웬 하자있는 커버 온게 어이가없었음 ㅋㅋ 커버가 어케생겼는지 미리 보여주기라도 했으면 보고 주문 안했을텐데 그없",[]
5,배송이 진짜 너무 느려 터져서 그것때문에 속터져서 화났었는데 만져보고 뭔 멤브레인키보드 키감이 이래좋나 하면서 쌓였던 화가 싹풀렸습니다. 진짜 가성비는 최고입니다. 게이밍으로는 살짝 부족한부분이 있지만 단순한 사무용 타이핑 용으로는 정말 최고입니다. 소음도적고 손에 피로도 적으며 무엇보다 치는맛이 정말 쫄깃쫄깃하니 끝내줍니다. 지금도 너무 길게쓴것같은데 키보드 키감이 너무 좋아서 더 쓰고싶어서 뇌절을 하고있네요. 아무튼 좋습니다. 역시 명불허전 큐센의 DT-35!!! 강력 추천합니다,[]
5,옛감성 키보드 쓰고파서 주문했어요 가격도 엄청싸고 ㅋㅋ 소리도 맘에 들고 키감도 저는 만족스러워요 자취방으로 컴퓨터 가져올때 까먹고 키보드를 안가져와서 다이소에서 급하게 샀었는데 진짜 맘에안들고 자꾸 오타나서 짜증났는데 ㅜ 이거사니까 한결 맘이 편해요 ㅋㅋㅋ 가격이 싸서 그런지 인쇄된 글자부분은 먼가 선명하지 못하고 좀 흐리다해야하나 쳐다보고있으면 눈나빠지는 기분..? 싼티는 나지만 가격도 싸고 가성비 좋은거같아요,"['https://phinf.pstatic.net/checkout/20200411_273/15866083823755RxYj_JPEG/KakaoTalk_20200411_211559163.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200411_259/1586608384611I9Hrs_JPEG/KakaoTalk_20200411_211559163_01.jpg?type=f287']"
4,좋아요 너무 예쁘고 옛날 초딩때 컴터실에서 타이핑 하던 그때 생각이 나요 ㅋㅋㅋ 저는 사서 여백에다가 스티커도 붙이고 좀 꾸몄네요 ㅠㅠ 꾸미니까 더 예쁘고 레트로스러워서 넘 좋네요ㅠㅠㅠ 제가 fps 겜도 많이 하고 알피지 겜도 많이 하는데 딱히 불편하다? 느낌은 못 받았어요! 다만 전에 쓰던 키보드에 비해 키 위치가 약간 가까워서 그게 적응이 좀 필요하네요! 또 배송 왔을때 아무래도 하얀색ㅇ다 보니까 오염이 좀 있더라구요 때탄듯한? 그래도 크게 신경은 안쓰여서 소독제로 닦아서 잘 사용중입니다,['https://phinf.pstatic.net/checkout/20200908_282/15995352630525CWmd_JPEG/review-attachment-9752ffef-8cda-4ed9-92a1-effbdeda7e76.jpeg?type=f287']
3,"키보드 자체는 역시 가성비 최고의 키보드네요!
근데 포장상태가 왠지 반품된상품을 받은듯한 찢어진 상자... 아쉽네요. 저렴하더라도 새상품을 구매하는만큼 포장에 유의해주셨음 좋겠네요.
그래도 제품에는 이상이 없으니 잘 쓰겠습니다^^",['https://phinf.pstatic.net/checkout/20201010_115/1602291161612FRYuz_JPEG/review-attachment-d693f179-088c-4a71-8d21-f01b8f646072.jpeg?type=f287']
5,"받자마자 사용해봐서 그럴수도 있지만 처음으로 제 스타일인 키감이라서 좋아요.
누를 때마다 무겁고 세게 눌러지는 느낌이 들고 그래서인지 소리는 타닥타닥 크게 나지도 않아서 더 좋기도 하고 키도 다 잘 눌러지며 디자인도 뭔가 깨끗하다(?) 라는 느낌이 들고 위쪽에 있는 키들도 누르기 편하게 조금씩 높게 배치되어 지금은 매우 만족하고 잘산 것 같아요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_02_05_0/53eedd67-4809-11ea-a7e1-48df3726a06a_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200205_250/1580901540453iTMQ9_JPEG/20200205_200603.jpg?type=f287']"
5,"기계식 청축 적축.... 헤매다가 ... 그것도 이제 질리고 흰색인데 내 맘에 들면서... 레트로느낌나는기계식 찾는것도 지쳐서 포기직전에 . 그냥 멤브레인으로 흰색 없나?? 하고 그냥 찾아보다가 그냥 이거 산건데.... 평이 대박이네..? 받아서 써보니 더 대박 넘나 좋아여 . 소리도 어쩜 내가 딱 원하던 그소리 ,느낌도 고 느낌인지. 헝 넘 좋아여 체고야 . 오른쪽 위쪽에 총모양 무늬만 없었으면... 껄껄 ㅎㅎ",[]
5,포장영상도 엄청 빨리 보내주고 배송도 빠르네요 제품은 뭐 가성비가 워낙 좋아서 말할것도 없는듯 검은게 군데군데 조그맣게 묻어있는데 안닦이지만 키씹힘도 없고 스페이스바 좀 뻑뻑한거 외엔 다 괜찮은듯 소리는 생각보다 있는편 게임은 아직 안해봤지만 잘될거같아요,['https://phinf.pstatic.net/checkout/20200912_199/1599887258679wsgid_JPEG/review-attachment-0a00d299-e380-42dd-944f-be9ecd717ab8.jpeg?type=f287']
3,"멤브레인계의 좋은 키보드라고 하길래 1만원 밖에 안하니 궁금해서 구매 해봤습니다. 기존에 레오폴드 갈축을 쓰는데 체리 갈축에 비해서 조금 키압이 무거운느낌을 지울수가없네요... 그리고 요즘 나오는 키보드 들이랑 구조나 길이가 조금달라(백스페이스길이나, ㄱ자 엔터)등등 이런건 아직 적응이 안되네요.... 키감은 싸구려 멤브레인보다는 좋다고 생각하지만 ""와! 정말 키감 좋구나!""하기에는 조금 애매한거 같습니다. 물론 1만원대비로 생각하면 좋은 키감입니다만. 좋은 키보드 쓰시다가 써보면 조금 불호가 갈릴수 있습니다. 타건음은 생각보다 좋습니다. 도각도각하는 소리라고 해야하나? 저는 타건음도 키보드의 만족감 중에 하나라고 생각합니다. 그러한 방면으로 봤을때 타검음 하나만큼은 개인적으로 만족합니다. 결론적으로 괜찮다고 생각합니다. 그렇게 비싼 키보드도 아니니 궁금하신 분은 한번 구매해보시는것도 괜찮다고 생각합니다.",[]
3,유튜브에서도 그렇고 리뷰가 다들 좋아서 엄청 기대를 한 거에 비해서는 기대를 못미쳐서 3점을 주었습니다. 제 타자 속도를 잘 인식하지 못하는 것 같아요. 더군다나 배달해주시는 로젠택배를 쓰시는 것 같은데 반말하신건 좀 충격적이었어요.,[]
5,"너무예뻐요
다른곳에서도 여기서도 평이 안좋은 글들도 있고
좋다는 글도있고해서 저렴한 가격이니 그냥 사버렸는데
너무 예쁘고 누르는 키감도 좋구여
사무실에서 쓰려고 산건데 윈도우 10 구동잘되고
소리 클까 걱정했는데 절대로 안커요 ㅋ
동료도 따라 산다네요",[]
5,"노트북용 키보드로 구매하였습니다.
옛날 멤브레인과는 다른것 같습니다.
많은분들이 사무용으로 기계식보다
Dt35 추천 하였습니다.
무접점과 비슷한 느낌이라고 합니다.
키보드 윤활? 까지하면 더 좋다고 하니
구매시 참고하세요.
구매시 포인트 1개더
Usb와 ps2가 따로있고 가격도
다르니 확인 후 구매하세요","['https://phinf.pstatic.net/checkout/20191212_236/15761530734712qqpi_JPEG/20191212_150655.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191212_192/1576153087841i4vcQ_JPEG/20191212_150649.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191212_212/15761530945818HYgx_JPEG/20191212_150713.jpg?type=f287']"
1,"배송 받아서 스테빌 철사소리가 너무 심하길래 철사형 키캡리무버 2개로 조심스럽게 분리했더니 이미 윤활이 되어있더군요? 그래서 다시 장착하고 타건해봐도 철심소리가 안사라지길래 이유 찾아보니 스테빌 고정하는 플라스틱 부분이 파손되어 있더군요. 이미 덜렁덜렁해서 고정이 안되니 유격이 생겨서 철심소리가 나던 거더군요.
멤브레인은 접촉면적이 넓어서 스테빌 없이도 어느정도 사용은 가능하지만 매우 불만족 스럽네요..",[]
5,"어제 주문했는데 완전 칼배송.. 방금 잘 받았습니다. 포장도 뽁뽁이 꽁꽁 ㅎㅎ
키보드에 대한 소문이 혹시나 했는데 옛날느낌에 투박한듯한 느낌의 키감. 소리도 무접점 느낌에 너무 대만족이네요 ㅎㅎ 고장나면 재구매의사 100% 입니다 ㅎㅎ 품절되지 않았으면 제품 중 하나 됬네요","['https://phinf.pstatic.net/checkout/20200313_9/15840758338222SSOe_JPEG/20200313_131648.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200313_130/1584075842517RE612_JPEG/20200313_131532.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200313_39/1584075851719enF84_JPEG/20200313_131427.jpg?type=f287']"
1,"실망입니다. 1.흰색키보드인데 T옆에 지우개, 물티슈로 아무리닦아도 지워지지않는 검은색 점같은 이물질 박혀서옴 2.Alt키와 window옆에 인쇄표시에는 또 지워지지않는 이상한 검은색 줄로 오염되있는 상태 3. 키보드 뒷쪽 키보드 높이 조절해주는 거치대 왼쪽만 뻑뻑하고 키보드 부셔지는 소리나면서 올라옴 4.키보드 선있는 왼쪽부분 검은색으로 오염되서옴 운송장 주의사항에 ""상품 개봉시 반품 불가""라고 써놓으시고 불량시에만 제조사 판정후 교환반품가능이라 적어놓으셨던데 불량으로 교환해줄것같지도않고 그냥 쓸렵니다 흰색 깔끔한 디자인 생각하고 시켰는데 엉망이네요 ㅋㅋ",[]
5,진짜 디자인 클래식 해요 ㅋㅋㅋ 사무실에서 쓰려고 샀는데 저희 회사는 이정도 소음까진 괜찮을 것 같아요(무접점이랑 비슷한 소리 나요..!!) 그리고 키감도 괜찮고 엔터키 말고는 스테빌 소음도 어느정도 잘 잡혀 있고 가성비가 내려오네요 ㅎㅎ... 잘 쓰겠습니다!!,['https://phinf.pstatic.net/checkout/20200724_191/1595592536923XC2gF_JPEG/review-attachment-865c357d-4b07-4eb3-a22e-2609fd5b57f7.jpeg?type=f287']
