star_point,comment,photo
5,"원래 큐센 사용하던중에 바꿨는데 키감도 무난하고, LED는 3가지 색상으로 변경 가능하고 끄는것도 가능해서 좋네요.","['https://phinf.pstatic.net/checkout/20201012_52/1602477967594E7PAD_JPEG/review-attachment-e3ec10bf-54f6-434c-9515-2235da5472c6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201012_181/1602477970947xAfVx_JPEG/review-attachment-042dc75f-d7fa-4a81-8dc8-9e441398d3cf.jpeg?type=f287']"
5,배송이 정말 빨랐습니다,['https://phinf.pstatic.net/checkout/20201112_39/1605151365098K4eCt_JPEG/review-attachment-1b4d7c0c-ce9c-4ff3-bd11-9afedcb6c4c5.jpeg?type=f287']
5,잘 사용하고 있는 제품이에요.,['https://phinf.pstatic.net/checkout/20201010_60/1602270961328vk1FC_JPEG/review-attachment-0d8b5e52-dbad-402b-a592-897e89c993c2.jpeg?type=f287']
5,"의외로 두껍고 묵직하고 키감 괜찮고 나쁘지 않습니다
LED 조절 가능함

대신 로지텍 K120보다는 뭔가 오타 잘 나고 공간 부족한 느낌",['https://phinf.pstatic.net/checkout/20200919_226/1600513530375JPuge_JPEG/review-attachment-70b5d2ca-e287-4727-8c55-fa835e263b7d.jpeg?type=f287']
5,좋네요! 소리도 안나고,['https://phinf.pstatic.net/checkout/20200926_266/1601102485367d4P1O_JPEG/review-attachment-43450a07-d174-4305-affb-d1a5db49c40c.jpeg?type=f287']
5,저렴하고사용하기 편하네요. 예전에도 같은회사제품 사용할때 잘 이용했어서 다른제품으로 구매해봤는데 좋네요.,['https://phinf.pstatic.net/checkout/20200914_254/1600062571139hPPaz_JPEG/review-attachment-753dca99-4748-4516-9fcb-aae27ac4c1bb.jpeg?type=f287']
5,배송및 상품 굿굿입니다,['https://phinf.pstatic.net/checkout/20200829_48/15986813423991lxgy_JPEG/review-attachment-9a83e5e3-0eca-416a-b50c-656401a1004d.jpeg?type=f287']
5,너무 좋아요 키감도 좋고요,[]
5,가성비 최고입니다.,[]
4,가격대비 좋습니다.,[]
4,led 색깔이 좀 안어울리는거 말고는 괜찮네요,[]
1,오른족 쉬프트키 고장난거 보내서 특수문자 또는 쌍모음 안됨 왼쪽 쉬프트만 써야되서 열받네,[]
5,배송 늦었지만 잘쓸게요,[]
