star_point,comment,photo
5,"무게감이 있어서 밀리지않고 정숙한편이에요. 키스킨씌우면 정말 정숙합니다. 하지만 키스킨씌우면 우측에 한자버튼이 좀 뻑뻑한 느낌드네요 키스킨 간섭때문인지.

동시입력을 테스트 해보았는데 답변대로 6키가 되긴되는데 불완전한 6키에요. 주로 게임할때 많이쓰는 wasd와 방향키중 4키는 어떤키조합도 잘 입력되지만 5키는 되는게 있고 안되는게 있네요.

~",['https://phinf.pstatic.net/checkout/20201014_73/1602664478483oxa2i_JPEG/review-attachment-d7dbd1ac-0202-4508-a953-65f57ac0ecc0.jpeg?type=f287']
3,"이전에도 샀고, 팀원들도 바꾼다길래 같이 주문해줬는데,
비닐 포장은 아닌 것 같아요.
에어캡이 안에 있긴했는데 내부 3개박스가 다 찌그러지고 일부가 다 찢겨있습니다. 처음 샀을 때도 그랬고 물건이 멀쩡한지 일일히 확인해야 했어요.",[]
1,"제가 아는게 맞다면 키보드는 키를 눌러서 해당 위치에 있는 무언가들을 닿게 만들어 입력신호가 갑니다. 당연하지만 이 키보드도 그렇게 작동을 하겠죠.근데 이 키보드는 큰 문제가 있습니다.일부 키들은 살짝 누르기만 해도 입력이 되는데, 일부 키는 살짝 누른거로는 입력이 되지 않아 힘을 더 줘야합니다.손에 피로함을 덜기위해 열마다 키감이 다르게 되있는거 아닌가? 싶을수도 있겠지만 아닙니다. 같은 열에 있음에도 힘을 다르게 주어야하는 문제가 발생합니다.아직 모든 키를 테스트해보진 않았지만 약 5개정도의 키가 입력하는데 문제가 있는 상태이며 이미 이게 동일증상으로 한번 교환을 받았다는게 더 큰 문제입니다.다른 키보드를 구매하시길 추천드립니다.",['https://shopping-phinf.pstatic.net/20191022_14/c9fc94ca-2665-4b15-9f27-352f8621cd08.jpg?type=f287']
4,dt 35와는 다르군요 dt 35는 구매해서 뜯어보았을 때 이미 윤활이 되어있었던걸로 기억합니다. 저가 멤브레인 키보드에 윤활까지 너무 감동이었죠. 이건 dt 35보다 더 저가인 키보드입니다. 45면 더 좋을 거라 생각하는 게 인지상정일꺼라 생각합니다만.. 받고 나서 키캡들 다 분리해놓고 보니 본체(하우징(?))도 저려미 플라스틱으로.. 엄청 원가절감에 치중한 키보드라는 생각이 드네요. 스테빌은 우 쉬프트와 스페이스 키에만 있고 나머지는 체결부위를 크게 만들어서 흔들리지 않게 했더군요. 요새 추세인지는 모르겠습니다. 멤브레인도 키캡 스템이라고 해야되는지 모르겠으나 어쨌든 서로 마찰이 생기는 부분이 있을테니 그 부분 위주로 남아도는 슈퍼루브 윤활제로 윤활했습니다. 하고나니 키감이 훨씬 좋아졌어요. 저렴하게 전투용으로 막 쓸 키보드면 괜찮겠지만 dt 35와는 다른 맛이라는 것.. 가성비는 최강이네요.,[]
5,8천원짜리 키보드라고는 도저히 믿을수가 없는 만듬새와 표면질감.키감도 멤브레인 키보드로서는 나쁘지않으며 내구성이 좋다면 1-2년 뒤 완전히 길들여진 뒤에는 명작으로 남을수도 있을만한 키보드라고 보인다.단점-자 엔터키 극혐(개인취향)다잘만들어 놓고 재뿌리는 거처럼 가운데 큐센 로고는 왜 큼지막하게 박아놓으신건지...회사로고를 좀 다시 디자인하시던가 해야할듯..방향커서 프린트가 한쪽으로 쏠려 있는데 아무리 생각해도 의도한건 아닌걸로 보인다*결론적으로 가성비로 따진다면 적수가 없을정도며공들여 만든 흔적이 느껴진 좋은 키보드입니다,[]
5,낮은 가격임에도 키감이나 외관이 나쁘지않네요. 빨리 배송해 주셔서 감사합니다,"['https://phinf.pstatic.net/checkout/20201028_199/1603839614791TtYjo_JPEG/review-attachment-8491b75f-21d8-43f1-9462-2e4f866dba33.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_199/1603839615195Yig2v_JPEG/review-attachment-0ad2a105-e7d5-4a17-93ce-124a7d2f052c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_106/1603839614892vSG9J_JPEG/review-attachment-d8572087-2a68-40bb-9d59-820e9db23997.jpeg?type=f287']"
5,가격대비 부드럽고 좋습니다. 만족합니다.,['https://phinf.pstatic.net/checkout/20201124_212/1606208886991BYNXO_JPEG/review-attachment-5abefdc1-a70c-416c-b85c-d2a860c71b3d.jpeg?type=f287']
5,"빠른 배송과 꼼꼼한 포장 그리고
가격에 비해 맘에 들었구요 같이 동봉된 키스킨도 좋습니다",['https://phinf.pstatic.net/checkout/20201121_180/1605926604742IDckj_JPEG/review-attachment-78053f26-478f-4374-8a81-f5ce945efd9b.jpeg?type=f287']
5,키감이 가격대비 짱짱하네요,['https://phinf.pstatic.net/checkout/20201108_89/1604813217349KmTyj_JPEG/review-attachment-92e713aa-c4f1-4cff-a263-8aca6cd0a0f9.jpeg?type=f287']
5,키감이 나쁘지 않네요 굿,['https://phinf.pstatic.net/checkout/20201030_45/1604044521093hvsfb_JPEG/review-attachment-8561b446-cf74-45f6-b532-728142a3bed5.jpeg?type=f287']
