star_point,comment,photo
1,키보드 각 사이에 마감처리가 안되어서 키보드를 누를때 겹쳐서 눌러졌습니다. 그래서 직접 커터칼로 잘라냈습니다. 키스킨은 먼지 가득한 상태로 왔고 숫자키 위의 확인 불빛을 씌운 커버가 벗겨진 채로 왔습니다. 이 점 참고하고 구매하시기 바랍니다.,"['https://phinf.pstatic.net/checkout/20200901_168/1598962848486KlYUQ_JPEG/review-attachment-50eead56-4ec2-4095-9e26-c3f797340833.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_155/1598962862814jnagU_JPEG/review-attachment-ee7c7cd6-40f4-4ee3-881d-4f34a6c08aee.jpeg?type=f287']"
5,전에 쓰던 삼보 키보드가 저세상으로 가고 어떤제품을 살까 고민하다가 큐센이 좋다는 얘기에 이걸로 구매했어요기계식 키보드도 고민 많이했는데 슝슝 소리가 아무래도 저랑은 안맞아 멤브레인키보드로 구매했어요~잘쓰겠습니다,[]
4,"멤브레인 키보드로 가격에 비하면 정말 좋은 완성도이지 않나 싶습니다. 다만 스페이스키/엔터키 철심 소리 때문에 윤활을 따로 해야 할 거 같아서 5점 주기는 어려울 거 같습니다.
저렴하고 괜찮은 키보드로 매우 추천!!",['https://phinf.pstatic.net/checkout/20201129_105/16066302014037ElKx_JPEG/review-attachment-f0b18e15-1513-4421-8e31-63fc5c8b9edf.jpeg?type=f287']
5,빠른 배송 감사해요,['https://phinf.pstatic.net/checkout/20201120_188/16058778686577lvYM_JPEG/review-attachment-f2c1bd6e-607b-4763-aa54-0aeda2bbd906.jpeg?type=f287']
5,가성비 최고네요 ㅎㅎ,['https://phinf.pstatic.net/checkout/20200904_218/159918741894784HH2_JPEG/review-attachment-1c2c2f2d-b2e5-4b31-9ebc-6630aa3cf382.jpeg?type=f287']
5,"배송도 빠르고 저렴하고 좋아요
키스킨도 포함되있고, 터치감도 나쁘지 않네요~",['https://phinf.pstatic.net/checkout/20200903_156/1599100796902TVLCQ_JPEG/review-attachment-abdd827d-d676-4350-a5ff-ddc65e60c286.jpeg?type=f287']
5,"가성비가 아주 좋은 키보드에요 ㅎㅎㅎ
소음도 작도 쓸만해요",['https://phinf.pstatic.net/checkout/20200908_160/1599540373560VGeEa_JPEG/review-attachment-9d19b8d9-dfe7-49b6-b842-202c0604bf9f.jpeg?type=f287']
5,"가성비가 매우 좋고, 와이프가 좋아합니다 ㅎ",[]
5,"에러나는 키도 없고 멤브레인 오랜만에 쓰니 조용하네요
키스킨까지 같이하면 아예 안들림ㅋ 잘 받았습니다",[]
5,저렴한데 튼튼하게생겼음 쓸만합니다,[]
3,상품 배송 조아요,[]
5,친절 신속 답변 감사합니다.딱 제가 원하는 거네요. 키스킨에 엔터키 큰거.조용하고 묵직하네요 딱 좋아요,[]
1,초기버전은 조앗는데 뉴버전은 다리가 부실하네여,[]
5,사무용으로 아주 준수함!!!,[]
3,가격대비 괜찮습니다.,[]
1,키보드는 맘에드는데 7키가 들어갓다 안나옴,[]
5,잘받았습니다 감사합니다.,[]
2,다리 지지대가 부러진걸 배송해좀 다리만 정상적이였다면 괜찮은 키감으로 쭉 사용했을 것.,[]
4,빠른배송 감사합니다~^,[]
