star_point,comment,photo
3,한 3~4일만에 받았어요 교환하기 귀찮아서 그냥 쓰긴 하는데 미끄럼방지(?)패드가 하나 없었어요. 비닐안에도 떨어진 거 없는 거 보니 아예 처음부터 불량이었나봐요 ㅠㅠ 타자감은 괜찮았어요. 고장 안 나고 오래 쓸 수 있으면 좋겠네요,['https://phinf.pstatic.net/checkout/20200502_258/1588390985153gv1S2_JPEG/20200427_155152.jpg?type=f287']
5,"배송은 만족할 만큼 빠릅니다. 키패드 옛날 것을 하나 가지고 있는데, 미니키보드의 num lock와 연동이 되어 상당히 불편하였습니다. 그래서 비연동 키패드를 찾았는데 큐센 snk-3000이 미니키보드와 비연동이 되네요. 상당히 만족스럽습니다.^^",[]
4,만족합니다. 놋북이랑 게이밍 키보드는 숫자패드가 없어서 너무 불편해서 구입했습니다.평이 괜찮은거 같길래 이걸로 구입했는데 나쁘지 않은것 같습니다.소음도 적은편이고 키감도 무난합니다.편의기능으로 00이 있는데 이건 호불호가 갈릴것 같습니다만저는 기존 키패드를 외워서 누르다가 시행착오를 좀 겪었습니다. 곧 익숙해지면 편하게 쓸 것 같습니다.제품 자체는 만족합니다.,[]
1,"물건은 만족합니다.택배 서비스가 형편없네요.로젠택배회사와 배송기사가 형편없습니다.제대로 쓴 주소를 로젠에서 엉망으로 변환 후 송장에 입력.배송기사는 집사람에게 ""주소 똑바로 안 쓸거면 물건 사지 말라""라는 문자를 보내지 않나,로젠택배 인 것 알았으면 주문 안 했을 텐데요.로젠택배 인 것 알았으니, 이제 다른 곳에서 주문 할 것 같습니다.귀사의 발전을 위해 택배사 바꾸시길 권합니다.",[]
5,"가성비 좋아요 멤브레인이라 키 눌림 좋고요. 깔끔하고 고급지게 나왔네요. 기본적인 기능 다 들어가서 좋고요, 특히 0과 00이 함께 있어서 빠르게 계산할수 있어서 좋아요, 게임할때 숫자키패드 없는 무접점 게임용 쓰고 있어서, 숫자패드 필요했었는데 필요할때마다 쓸수있어서 완전 만족합니다.",[]
5,"가격대비 좋아요!
키감도 괜찮습니다
배송도 안전하게 뽁뽁이로 잘 싸여져서 왔습니다","['https://phinf.pstatic.net/checkout/20201014_119/1602648503872HGOpX_JPEG/review-attachment-f9fe5309-6718-4e14-bb1f-8b6caa441d90.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201014_93/16026485036642LcLk_JPEG/review-attachment-d7946a3c-d3b9-4845-9196-ef635f38e1d1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201014_9/1602648514408vuEak_JPEG/review-attachment-1e702734-47de-4df2-b1b4-c575f9cc5dad.jpeg?type=f287']"
4,잘 받았습니다. 로지텍 키보드에 별도로 숫자키가 없어 구입했습니다.키보드자체는 일반 키보드의 숫자키패드와 동일합니다.단지 아쉬운게 경쾌한 키감을 원했는데 그렇지 못한점이좀 아쉽네요.. 키감 신경 안쓰시는 분들은 가격대비 좋은 제품입니다.,[]
5,노트북을 쓰면서 숫자입력할때가 가장 불편하다고 느끼고 있었는데 요런게 있어 좋아요!!,"['https://phinf.pstatic.net/checkout/20200812_65/1597234551692VenPL_JPEG/review-attachment-0289fe99-c58b-4c3b-8e00-3291cdf82937.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200812_159/15972345598110sXaB_JPEG/review-attachment-1e3c8a33-1268-4035-9f50-f457b911c18a.jpeg?type=f287']"
4,키패드 좋아여. 무난한 키패드 키패드 기능 보면 Num Lock 키 독립기능이라고 NumLock키를 누르면 사용중인 키보드에 영향을 주지 않고 키패드가 독립적으로 사용되는 기능을 말한다고 설명이 되어있는데. NumLock키를 누르면 사용중인 키보드와 따로 인식되는건줄 알았는데 NumLock기능만 독립적으로 되는거엿음; ㅋㅋㅋ 단축키같은거 따로 지정해서 사용할려고 했는데 그렇겐 안됨 ㅋㅋㅋ,[]
5,"후기가 좋아서 구매했는데
배송도 빠르고 견고하네요",['https://phinf.pstatic.net/checkout/20201119_48/1605776071967OtWs8_JPEG/review-attachment-0450fc45-3a87-4a95-802b-e94ab9151b98.jpeg?type=f287']
