star_point,comment,photo
5,"레이저 풀키보드는 처음 구입해보는 입장이라 기대를 하고 구매하였습니다.
결론부터 말하자면 키감은 리니어를 생각하고 구매한만큼 부드러움이 느껴집니다, 그런데 처음생각과 다른점이있다면 다른사람들에게 장점일지 단점일지 모르지만, 예상외로 키감에 반발력이 느껴지는데 이게 불편한 느낌이 아니라 쫀득한 느낌이 들어 저는 만족하는 중독성있는 키감이었습니다. 더욱이 저는 이전에 사용하던 광축 리니어를 사용해서 그것에 비하면 누르는 느낌이 있어 키감이 재미있었습니다. (광축리니어는 너무 심심했지....) --> 실제로 해당키보드로 리뷰를 쓰다보니 키감떄문에 리뷰가 길어지고 있다......

RGB는 레이저를 구매 하는 이유의 반을 차지할정도 였으니 나무랄수 없을정도로 예쁜 색감을 보여 주고 있었고 비교대상이 마땅치 않아서 기존에쓰던 ""타르타로스 V2(메카 멤브레인)"" 와 비교한 사진을 보여드리자면 둘다 ""보강판 자체""에서 빛이 나는 느낌의 RGB를 보여 줍니다.{실제로는 키에서 나오는 RGB가 반사되어진 빛입니다..}

다음으로는 마감 퀄리티인데 키캡의 마감은 ABS에 약간 러버느낌의 무광 코팅이라 키캡자체는 고급진 감촉을 주고 있어 ""아! 내가 비싼 키보드를 쓰는구나""라고 느낄수 있게 해주고 하우징은 다른 리뷰에서는 싼티나는 플라스틱 마감이러고들 하는데 내구도면에서는 오래 견딜 느낌으로 종합적으로 보면 오래써도 세월의 흔적이 잘 안느껴질 마감인것으로 생각 합니다.

하지만 이 키보드를 구매하고 가장먼저 발견할수 있으며 유일한 단점을 말하자면 ""통울림"" 이 꽤 있는편입니다. 예민한 사람들은 금방 알수 있고 타자 방법이 구름타법이 아닌 강하게 내려 치는 사람들에게는 자주 들릴 수 있을거 같았고 실제로 조금 거슬리는 정도입니다. 하지만 게임이나 동영상을 틀어 놓은 상태에서는 소리가 안들리닌 환경에 따라서 느낌이 달라질 것 으로 보입니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_26_0/0b2ecfa1-b7a7-11ea-8782-505dac8c3607_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200626_272/1593173806353Ru2x3_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200626_141/1593173812093K8E1S_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200626_242/15931738434694yJU2_JPEG/4.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200626_93/15931738483008C6NK_JPEG/5.jpg?type=f287']"
5,"역시 명불허전 입니다.
키보드,마우스,헤드셋,번지
요렇게 4개 한번에 구입했습니다.
너무 이쁘고 좋네요.
키보드는 키감도 좋고요. 고민했지만
키캡도 맘에듭니다. 아쉬운건 한글각인
딱히 아쉽지는 않지만 잘보이지 않는
단점은 있고, 마우슨 극히 주관적이라 패스
번지도 상당히 마감히 우수합니다. 묵직함도
좋고요.적극추천!
헤드셋은 분리형은 아니지만 차폐감도 좋고
. 조금 뭉게지는 소리갔지만
이퀄라이저로 커버가능합니다.
글은 여기까지~

웨이코스 홈페이지 자료실 업뎃좀
해주세요synapse 영문홈피에서 다운받다가
뒈지는줄...;;","['https://phinf.pstatic.net/checkout/20201106_280/1604661596158Ac0d6_JPEG/review-attachment-bb1a2b90-e8bd-4bbe-9614-8ed5334987d3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_6/1604661596256eBzXH_JPEG/review-attachment-a526b22a-49af-43d2-a81f-c72f40edf98b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_84/16046615963925D3Iu_JPEG/review-attachment-7bd9ae17-3439-4ea4-b54d-0fd5d60d23ed.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_255/1604661596878bc1Ah_JPEG/review-attachment-c29d1f6a-c3b0-48d5-b3b6-9135fe5dda09.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_145/1604661597045kJ3EQ_JPEG/review-attachment-01089611-465a-4316-b84a-4687d1b48e85.jpeg?type=f287']"
1,"레이저 제품은 매우 좋습니다. 머 말안해도 최고제품이죠.
상품을 받아봤습니다.
여러부분이 불만족스럽습니다.
박스에 매우 찌그러져 있습니다. 사진 보시면 아시겠지만 키보드 위에 마우스를 올려 보내주셨는데 마우스옆에 완충제를 넣어주지 않아서 발생된 문제 인거 같습니다.
마우스박스가 손상되면서 키보드박스도 손상이 가있네요. 고가의 제품이다보니 여러가지 이유로 (수집, 중고판매등) 박스를 소중히 하는데요...
그리고 이정도 박스가 찌끄러져있다면 제품에는 별문제가 없을지도 의문이네요.
박스들은 재배송등이 기다리기 싫어서 그냥 사용하려고 오픈하였는데 키보드 보호하는 투명덮개에 잔흠집은 뭐죠? 이거 중고,리퍼제품인가요???","['https://phinf.pstatic.net/checkout/20200623_191/1592909443232i4noD_JPEG/CFA1A408-C14A-4654-97BC-0B9BBD1EC93B.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200623_119/1592909443790NNSKL_JPEG/2105AFDD-7830-49D0-99DC-0CC92EF6D1E1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200623_242/1592909444237bOx49_JPEG/C710AFEF-F4C9-4D74-AF94-B8485CB07B13.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200623_217/1592909445195bOLCW_JPEG/32684872-1F0C-41B9-BEAB-E70E447CD665.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200623_2/1592909446038YDPgi_JPEG/A1BF4C10-D103-41FC-A6F9-03DEE70D3EB4.jpeg?type=f287']"
5,"기계식 키보드를 좋아하고 그 동안 수 많은 브랜드의 게이밍기어들을 구매했고 사용해봤지만, 감성과 함께 타건감, 그리고 스테빌라이저와 자체 프로그램을 이용한 RGB설정 등 모든 것을 고려해봤을 때 그 어느 브랜드도 레이저 앞에선 밥입니다. 특히나 리니어 옐로우축 느낌은 제가 이전 사용했던 커세어의 적축이나 프나틱기어의 적축 보다도 훨씬 도각도각하고 서걱임이 적고, 굳이 윤활을 할 필요성조차 느끼지 못했습니다. 특히 가장 놀랐던 것은 스테빌라이저입니다. 게이밍기어에서 이정도 스테빌이라는건... 진짜 쓰면서도 감탄만 나오네요. 레오폴드나 바밀로 등 키감을 중시한 키보드들과 비교해도 전혀 뒤지지 않습니다. 이번 할인 때 쓸만한 기계식 입문하실 분은 무조건 선택하세요. 후회 없습니다. 그리고 타건 감은 체리 적축보다는 이전에 사용했던 게이트론 황축과 더 유사하지만 거기서 더 업그레이드 된 타건감이고 더 가벼운 타건감입니다. 아주 만족합니다!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_16_0/de7c6a71-9768-11ea-a4a6-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200516_218/1589628719012sHkOA_JPEG/KakaoTalk_20200516_203137438.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200516_35/1589628719042s1zzW_JPEG/KakaoTalk_20200516_203137438_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200516_297/1589628719150aX95o_JPEG/KakaoTalk_20200516_203137438_02.jpg?type=f287']"
5,"아니 왜 별을 다섯개밖에 못주죠?

진짜 레이저감성 레이저감성 말만 들었지

미쳤습니다. 탈로지텍 하고 레이저로 갈아타길 잘했어요

진짜 미쳤습니다 왜 이제왔지

리니어축은 적축과 은축 그사이 어딘가 같습니다

너무좋아요 딱입니다

사장님 진짜 미쳤네 어떻게 이걸 만들생각을했지","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_08_0/4ef0f8af-9114-11ea-82c6-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200508_295/1588932680332qOm5H_JPEG/0533DF68-188F-46C2-97B4-E02F98222FD8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200508_126/1588932680710LMwSX_JPEG/21AEA781-AEC1-44BE-B569-770E5BE399CE.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200508_71/1588932681009UhueB_JPEG/FAD62028-E078-426A-9C22-4D18206FC1C1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200508_280/15889326812469seaB_JPEG/7358CAE7-6DB1-414F-8CF6-A7418075FFA1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200508_84/1588932684176OsIT2_JPEG/6A3F397A-92CF-4344-A5CC-43CFCBBF1B32.jpeg?type=f287']"
5,"우선 레이저 감성이 너무 좋습니다.

키보드의 전체 무게감은 묵직 합니다.

힘을 크게 들이지 않아도 키가 입력 되기 떄문에
손에 무리가는 일은 없을 것 같네요.

미디어키가 따로 없습니다.
원래 신경쓰지 않는 부분이고
fn키로 쓸 수 있으니 상관 없습니다.

타건을 했을때 다른 키들에서는 크게 들리지 않으나
스페이스바에서 통울림이 좀 많이 느껴집니다.

기계식은 다 그런건지 잘 모르겠네요.
저는 둔감한 편이지만 예민한 분들은 신경이 쓰일 수도 있겠어요.

정가에서 할인도 많이해서 가격적인 면도 부담이 줄었고
레이저의 감성이 너무 좋아서 만족입니다.","['https://phinf.pstatic.net/checkout/20201021_105/1603257372410l9v8i_JPEG/review-attachment-e8f2f162-8b57-4129-956c-2d05bffd1b55.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201021_200/1603257372448uKDW2_JPEG/review-attachment-9e651797-3407-4423-9a9a-eae4ff0b748b.jpeg?type=f287']"
5,"체리,cox 키보드 쓰다가 레이저로 갈아탔습니다. 일단 이 블랙위도우는 led가 맛깔나게 들어오는 건 물론이와 제가 좋아하는 키감과 비슷합니다.(무겁지만 경쾌한?) 다만 led가 들어오는 부분이 q w e r t를 제외한 나머지 한글키는 안들어옵니다 참고하세요 종합하자면 레이저가 비싸서 가장 저렴한 레이저 키보드를 샀지만 이 키보드는 상위 키보드와 비교해봐도 꿀리지 않다고 생각합니다.","['https://phinf.pstatic.net/checkout/20201121_25/1605959443609oy35f_JPEG/review-attachment-945e930b-7802-4e22-92ac-159fe2ef9964.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201121_78/1605959454171drwGe_JPEG/review-attachment-290072f4-c58d-4c0e-9b3e-ad6257d05c64.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201121_148/1605959470743q6SB1_JPEG/review-attachment-661c48a6-271c-49d2-ac80-1d2b9de15dd4.jpeg?type=f287']"
5,"엘리트 모델 염가판이라 해도 퀄리티가 떨어지는 느낌은 전혀 안듭니다. 플라스틱 하우징인데도 단단하고 무게감도 있어서 그런가 통울림이 거의 없네요. LED는 레이저 답게 아주 화려합니다. 밝은데서 사용해도 잘 보이고 저가형 키보드LED에서 자주 볼 수 있는 빛샘도 없습니다.
그리고 진심으로 스테빌이 미쳤네요. 어디를 누르던간에 철심소리 하나도 안나고 입력감도 일정한게 타건하면서 절로 웃음이 나올정도네요 ㅋㅋㅋ
다만 약간 아쉬운건 키캡에 지문이 좀 남습니다. 손에 땀이랑 유분 거의 없는 편인데 자국이 남아서 키캡만 따로 교체할 예정입니다. 또 저소음을 상정하고 만든 키보드가 아니다보니 리니어축 특유의 달그락 거리는 소음은 있습니다. 사무실에서 사용하기에는 힘들듯 합니다.

이때까지 사용해봤던 키보드들 중에서 굉장히 만족스럽다는 느낌을 받은 몇 안되는 제품 같습니다. 레이저 입문으로 정말 괜찮은 제품입니다.",['https://phinf.pstatic.net/checkout/20200817_60/1597657285445UI05R_JPEG/review-attachment-eedc2383-2f1a-4da3-9d30-18f0d894875d.jpeg?type=f287']
3,"스페이스바 크게 누를시 통울림이 있고, 좀 시소타는 느낌이에요. 3만원대 적축 키보드 썼었는데 확실이 피로감은 적어요. 연타시 약간 끊김 현상 있는 것 같기도 하고 아닌 것 같기도 하고 as 기간이 그래도 기니까 문제 생길때 고치긴 편할 것 같아요","['https://phinf.pstatic.net/checkout/20201016_142/1602832076276uIXCJ_JPEG/review-attachment-0383d54c-b62e-4fd5-b394-b9ac4bd062f5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201016_199/1602832076733gLX2I_JPEG/review-attachment-dc1fcc5d-6420-4c27-be0c-1f7b13fafb40.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201016_131/1602832077180S040d_JPEG/review-attachment-c12bb499-e960-4a01-9616-ba4889e36e5f.jpeg?type=f287']"
4,"키보드 자체는 매우 준수하고 좋습니다. 스테빌라이저에 기본적으로 구리스1 발려저있는거 매우 칭찬합니다.
RGB 커스텀을 위해 프로그램을 깔아야 했는데 설치 사이트에 들어가지 않아도 USB를 꽂으면 설치 관리자가 나오는것은 매우 좋은 서비스였던것 같습니다
전에 썼던 오나타보다 100배는 정숙하고 조용한 듯 하네요. 단 적응시간이 좀 걸렸습니다 그리고 배송이 좀 늦게 오던데
아침에 결제했는데 다음날 저녁에 송장번호를 받은게 좀 아쉬웠습니다.","['https://phinf.pstatic.net/checkout/20200706_185/1594041519746UQ9V6_JPEG/review-attachment-aa1729a0-63ff-4295-bd6f-882b740b3248.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200706_300/1594041520744tcrkq_JPEG/review-attachment-9b5d443a-1c3e-4baf-850c-25877ab458aa.jpeg?type=f287']"
