star_point,comment,photo
1,"사진의 위는 판매광고 사진 아래사진은 현배송된사진
1번사진 아무리봐도 다른 키보드입니다
2번사진 위처럼 생긴 배수구 아무리 찾아도없고
구멍 4개 있네요 물도 안빠지겠음
3번사진 키조합 LED 변경 소용 없음
윈도우 키 되신 LED키가 있고 3가지패턴
과 끄기 만 됨 밝기조절이 안됨
4번사진 마우스는 디자인 똑같은데 ...
모델명이 달라 (키보드도 마찬가지)
의심 안할수가없음
J02 키보드마우스 세트 구입자분 많은데 왜 다좋다고만 하시는지 몰겠음 .. 완전이 광고랑 다른제품인데
반품하려다 입력 문제는 없어서 그냥 사용함
그냥 기분 나쁨 .. 광고 사진은 고가 상품이고
중국에서 카피품 보낸것 같음!!!!",[]
5,"오늘 도착했어요.바로 옆지역인데요키보드바꿔달래서 마우스랑 셋뚜로 구매했어요 그전마우스는 사용땐 속도가 늦은줄만 알았는데 마우스가 문제였어요.바꾸고나니 웬걸 이렇게나 빨랐다니요이전다음 페이지도 마우스로 해결할수있네요키보드도 십년넘게 썼던지라 더러움도 있었는데매장에 티비보러갔다가 아들이 바꿔달래서 금액대를보니 비싸더라구요,그래서 바로 검색해서 본인맘에 드는걸로겟 했어요.무튼 만족입니당",[]
1,"대부분 사람들은 받자마자 제품 써보지도 않고 별5개 후기써놨길래 제품 써보고 솔직후기 씁니다. 저는 옥션 5년 넘게 VVIP 이용자이고 수도없이 물건 사왔습니다. 군필 남자라 크게 하자없거나 제품이 중간만 가는 경우도 99.9%는 개의치 않고 판매의 고충을 생각해서 별5개 주는 사람입니다. 이번에 5년만에 처음으로 별1개 남겨봅니다. 세트구성 중 마우스는 사용감도 좋고 제품 질도 괜찮아요. 몇달 후에도 문제없습니다. 근데 키보드 사시는 분들은 절대절대절대 여기서 사지마세요. 컴퓨터 업무도 자주하고 게임을 좋아하는 사람이라 많은 키보드를 수도없이 다뤄봤는데 구매 10일만에 키보드 숫자,영어 패인팅이 지워지면서 검은색 잉크가 묻어나오는 당황스러운일을 이 제품으로 처음 겪었습니다. 심지어 제 손은 건성이고 액체류를 쏟거나 하는 등 변수발생도 없었습니다. 이미 제품의 손상으로 제품의 재판매가 불가능한것을 알기에 반품은 안했어요. 상품 사진 클릭해서 나온 설명으로는 최신기술 장비에 진짜 퀄리티 있는 제품으로 보이는데 실제는 전혀 그렇지 않습니다. 난생처음 별1개 주고 갑니다 같은 피해자가 발생하지 않기를 바라며 후기써놓습니다. 꼭 구매시 참고하세요 돈을 허투루 쓰지 마시길.. 제품 평점 좋아서 샀는데 평점 보니 아마 제대로 써보고 후기 남기신분은 많지 않을듯 하네요.",[]
5,"80년대부터 컴퓨터를 사용한 사람들에게 이 키보드는 100점짜리 키보드입니다. 단종될까봐 두려운 모델이라 ... 여유되신다면 2개씩 사는게 좋습니다.

키보드 작은방향키 주변에 방해요소가 없고
스페이스바가 크고
엔터키가 장화같은 모양입니다.

옛날 키보드의 특징들이죠 ㅎ",[]
5,"가성비 갑!!!
요즘 누가 유선 키보드 사용하느냐고 물을 수 있지만
유선 키보드 사용해 보신분들만의 만족감이 있습니다.
유선 키보드 는 무선 키보드 보다 훨신 안전합니다.
모든 부분의 키는 다 좋습니다. 오른쪽 숫자 키는 더욱 부드러우니 살짝 터치로 가능합니다.
담번에 재구매 의사 있습니다.
적극 추천 합니다.",['https://phinf.pstatic.net/checkout/20200824_152/1598223868744LtclI_JPEG/review-attachment-9e3ed9f3-805d-4710-ab4d-7627b76cda71.jpeg?type=f287']
1,J09 cox ckm500 키보드 마우스 세트키보드가 방향키와 문자키 혼합시 몇몇 버튼이 동시입력이 되지 않네요1. 우측방향키(→)+하단방향키(↓)+ R 좌측방향키(←)+하단방향키(↓)+ R → + ↓ + R 함께 누르면 R버튼 이 입력이 안됩니다 ← + ↓ + R 함께 누르면 R버튼 이 입력이 안됩니다2. 우측방향키(→)+하단방향키(↓)+ T → + ↓ + T 함께 누르면 T버튼 이 입력이 안됩니다 T의 경우 좌측방향키 ← + ↓ + T 의 동시입력시에는 T가 입력이 됩니다 우측만 불가능3. 우측방향키(→)+하단방향키(↓)+ J 좌측방향키(←)+하단방향키(↓)+ J → + ↓ + J 함께 누르면 J버튼 이 입력이 안됩니다 ← + ↓ + J 함께 누르면 J버튼 이 입력이 안됩니다제품 수령한지 이틀째됐고요.다른 문자키들은 동시입력이 되는데 해당 3문자만 이러네요게임할때 불편해서 쓸수가 없어요해당제품사에는 따로 드라이버를 제공하지 않는듯한데 해결방법좀 알려주세요,[]
5,"빠른배송 감사드리고 제품 잘 작동 하는 거 같습니다~!!!
오늘 받은 SKG-3000UB 키보드로 글 쓰고 있구요~!!!^*^
그런데 키보드 수평선이 탁상 받침대 하고 살짝 안맞아서 그런지 눕혀서 키보드 칠때 키보드가 좀 거슬리게 흔들려서...;;;ㅠㅠ
키보드 지지대 세울때는 딱 맞고 괜찮네요~!
그래서 그냥 밑에 받칠거 받쳐서 고정 시키고 쓰고 있습니다~!
아무튼 ~!!! 연결 정상 작동 잘 되구요~~~!!! 잘쓸께요~~~!!!^*^",[]
5,충동으로 구매 한 물건인지라 배송이 늦게 오진 않을까 걱정했는데 빠르게 도착했네요. 실수로 자취방이 아닌 컴퓨터가 없는 본가로 주문을 해서 직접 옮겨야 되는 상황에 처했었는데 생각보다 무게가 가벼워서 편하게 옮길 수 있었습니다. 기대했던대로 키보드 타자 소리도 좋구요ㅎㅎ 마우스는 오버워치 할 때 딱 좋은 감도를 가지고 있는 것 같습니다.,['https://shopping-phinf.pstatic.net/20191111_3/5300394a-3d27-4f28-b489-c82e63a8071b.jpg?type=f287']
1,"어이없음.4월2일 구매한 제품이
다른게 와서 교환요청하고 10일이나 지나서
통보없이 환불처리? .왜 환불이냐고 물으니 품절이래ㅋ.품절이었으면 진작에
교환안된다고하지. 그래야 지금껏 기다리지않고
다른곳에서 구매했을꺼 아닙니까!.
시간적인 피해는 어떻게 책임질거요!
장사 똑바로하세요!.별한게도 아깝다 진짜",[]
4,싼맛에 샀는데 다른건 기대도 않하고 그저 평범하게만 썼으면 해서 샀는데방향키와 몇몇 버튼 누를때마다 정확히 중앙을 안누르면 잘 안눌립니다 걸리는것처럼딱딱 소리나고 ;; 아마 어떤느낌인지 아실듯;;구매후 안쓰다가 오늘 처음 개봉해서 써봤는데;; 시간 지나서 환불도 안될거 같고 그냥 버리고 다른제품 구매하려 합니다절대 비추입니다 역시 싼값을 하네요 같은업체 좋아보이는 키보드도 있지만 신용이 안가네요,['https://shopping-phinf.pstatic.net/20190912_0/1fb40f87-5842-44ea-a623-0df602cd4f2b.jpg?type=f287']
