star_point,comment,photo
5,"DX V1이 너무 만족스러웠어서 하나 더 장만하려했지만 단종되어 못구했었어요. 중고로 구매할까하다 V2나온다는 소문이있어 존버했는데 드디어 나왔네요 ㅠㅠ
V1에서 가장 개선되었으면 했던게 5핀인점과 케이블 유격이었는데 C타입에 유격도없고 나사까지 숨겨놔서 너무좋네요 ㅋㅋ
스페이스바는 손좀 봐야할것같고
키캡은 음..저는 다른걸로 갈아낄래요 ㅋ.ㅋ
인생키보드 V2 잘쓰겠습니다 많이파세요!","['https://phinf.pstatic.net/checkout/20200822_213/1598088530333W3XNb_JPEG/review-attachment-e92dd886-7ac2-4a70-b758-84c19ad3b876.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_8/1598090494469xTYmd_JPEG/review-attachment-5fe19a6e-b38f-4c75-8859-aa29d1bdf282.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_155/1598089704117dDp5i_JPEG/review-attachment-687cab64-ca99-4cba-ad70-94284a88bf39.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_265/1598087921377YyByL_JPEG/review-attachment-84e25807-af78-4c96-8e44-64ae7baf89b2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_226/1598088530361Jxba3_JPEG/review-attachment-063b05a1-0c39-4976-81ea-4c5f8774c464.jpeg?type=f287']"
4,"통알루미늄 키보드에 팰토리 윤활이라 그런지 통통거리는 소리는 역시 나네요. 스테빌 및 스프링 소음 거슬리시는 분들은 공방 맡기시거나 작업하시거나, 타 제품 사셔야할거같아요.
무게가 묵직하니, 안정성은 좋고, 타이핑하기에도 적합한 설계같아요,
잘 쓸게요","['https://phinf.pstatic.net/checkout/20200929_206/1601363391423GULyQ_JPEG/review-attachment-4701036a-bbba-457a-885c-9e31a8b566e4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200929_236/1601363391643HweFD_JPEG/review-attachment-7c19a790-831a-4c61-b241-2054f4154120.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200929_280/16013633920278qxWK_JPEG/review-attachment-27b04e2d-0704-4549-8d6c-544163a1d260.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200929_238/1601363392104dFbzU_JPEG/review-attachment-08a6f053-816e-4a11-b6a4-5e5fd53987fb.jpeg?type=f287']"
4,"이전에 나온 dx에서도 디자인으로 호불호가 갈렸지 타건감에선 이견이 없던 제품으로 알고 있습니다.그리고 2에서는 1에서 지적되었던 부분들은 거의 다 수정해서 구입하게 되었습니다.그래서 대부분의 사항에 대해서 만족하지만, 2가지 정도 실망한 부분이 있습니다.첫번째는 QC입니다. 제품은 잘 만들었는데 왜 검수는...키보드 내부에 흡읍재가 누락되어 있었고, 보강판과 기판을 연결하는 나사가 마모되어 리벳인줄 알았습니다.두번째는 키맵핑입니다. 자체적인 소프트웨어를 지원해서 편하긴한데, FN키는 변경되지 않습니다.저는 FN키가 있는 위치에 Backspace를 지정해서 사용하는데, 이 부분은 지극히 개인적인 부분이라 일반 구매자분들에게는 QC문제가 없다면 이 가격대에 이만한 알루 키보드는 없을 것이라고 생각합니다.",[]
5,"전작에서 문제됬던 부분 다 개선됬구요.
검은색 진짜 이쁘게 잘뽑혔습니다.
기본 키캡도 퀄리티 좋구요.
스테빌은 윤활재가 살짝 부족한듯 하나 퀵스왑이니 별문제가 안됩니다.
DX v1 때 만족하고 후속작 나온다고 해서 기다렸는데요.
정말 잘산것 같습니다
그리고 사진은 실물 보다 더밝게 나왔습니다.","['https://phinf.pstatic.net/checkout/20200820_109/1597899101883BOVtC_JPEG/review-attachment-33228108-00d3-4e8f-8d11-255c47f331e2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_142/1597899101887PPtnH_JPEG/review-attachment-9fb85a6c-33c8-42c3-8e95-b23fbbce3dcf.jpeg?type=f287']"
5,"사진보다 실물이 더 낫네요
당분간은 키캡 안 갈아끼고 쓸 것 같습니다
동영상은 소리가 좀 세게 나는데 역시 저적이라 실제 소리는 훨씬 심심하고 나름의 느낌이 있어서 좋습니다 스테빌도 스페이스바 제외하고는 거슬리지 않고 괜찮은 것 같아요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_03_0/aa9cab8f-ed8c-11ea-9463-a0369ff94ec8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200903_154/1599099870404CrIQH_JPEG/review-attachment-57378bb0-86a9-4b64-ab61-f39957e43e18.jpeg?type=f287']"
5,단단하고 좋은 키감입니다. 팩토리 윤활이라 스테빌도 생각보다는 쓸만하구요. RGB와 비키의 조합이 화려해서 마음에 듭니다. 아쉬운 점은모서리 쪽 키들에 대한 편차가 있네요. 한번 교환을 받았고 다른 커스텀 키보드들도 이러한 단점에서 완전히 자유롭지는 않지만 꽤 편차가 있는 편이네요. 스테빌도 결국 튜닝을 해줘야하긴 하구요.,['https://phinf.pstatic.net/checkout/20201105_183/16045519872196ksyl_JPEG/review-attachment-80427bf2-9bd3-496a-9475-aed2496e3a25.jpeg?type=f287']
5,"기기 와서 잘쓰고있습니당 무게도 묵직하구요
풀알루에 저적이라 소리 굉장히 조용합니다
비키타입에 실버라 따로 맞춘 푸딩키캡이랑 호환도 아주 좋구요 광량도 좋습니당
상자에 들어있던 청소붓이 쓰지도않았는데 손잡이랑 붓이랑 따로 빠진거빼면 기기자체는 매우 만족합니다",['https://phinf.pstatic.net/checkout/20201110_255/1604996995246TDv0c_JPEG/review-attachment-30223744-9455-47e3-8c4b-b2c6d7abefa4.jpeg?type=f287']
5,스프링 소리와 사각거림은 일반 키보드와 크게 다르지 않지만 단단함과 타건감에서의 차이감은 확실히 납니다 풀윤활만 하면 될거같네요 무게감은 확실히 있고 축 교환이 가능한 퀵스왑 방식이라 좋네요 키캡은 PBT재질 치고는 약간 미끌거리는 편이고 품질은 보통에서 상태 안좋은거는 보통 이하 정도까지 큰 기대 안하시는 편이 좋습니다 하지만 풀알루 모델이고 비키타입이라 통울림이 없고 이쁩니다 나중에 FX 다이킷도 구매해서 풀윤활 해보고싶네요,[]
5,"통울림도 없고 스테빌 윤활도 기본적으로 되어있고 진짜 너무 좋습니다.. 시중에 나온 키보드들이 다 별로라서 커스텀키보드 사서 튜닝하려고 했는데 안그래도 될거같아요.... 좋은 제품 감사합니다.
키보드 입문자에게는 이 제품만큼 좋은 건 없어보입니다. 다만 알루미늄이라 꽤 무거운데 그건 어쩔 수 없는 것 같아요.",['https://phinf.pstatic.net/checkout/20200823_169/1598145855389XkWyE_JPEG/review-attachment-723e22a7-508c-4741-911a-d494419c85f9.jpeg?type=f287']
5,"DXv1에서 달라진점
1. 상판결합나사를 키캡사이로 숨김
2. 매립형 smd led
3. 스페이스바 흡음
4. 하이브리드 스테빌에서 체리스테빌라이저로 바뀜
5. 마이크로5핀에서 C타입으로 변경됨
6. 건메탈에서 블랙으로 진화
7. DIY구성 기본키캡의 퀄리티 향상
8. 숫자키 위에 붙어있던 펑션열 분리",['https://phinf.pstatic.net/checkout/20200822_278/1598036777119vDj3M_JPEG/review-attachment-daa29bb3-f4a1-41ba-842b-962d472af666.jpeg?type=f287']
