star_point,comment,photo
5,"원래 청축을 사용하고 있었는데, 같은 청축임에도 그 키 감과는 사뭇 다르네요. 유선 키보드의 절반 높이밖에 되지 않는 키를 누르는 그 느낌이 너무 부드럽고 기분 좋습니다. 하지만 역시 청축이니 조용한 곳에서는 아주 약간 소리가 거스릴 수도 있을 듯.

마구 타격하면 안 될 것 같은 소프트한 키 감이 한 편으로는 휴대를 목적으로 제작한 키보드임에도 가방에 휴대하고 다니면 눌려 손상되지 않을까 하는 걱정을 줍니다. 저렴이 키보드에도 들어 있는 단단한 투명 키 커버 같은 게 있었다면 그나마 조금 안심이 되었을 수도.

키의 표면은 우레탄 코팅같은 무광 느낌이라서 오래 사용하면 광이 나면서 닳을 것 같습니다.

아직 익숙하지 않아서 오타가 자꾸 생기는 데 금방 적응될 것 같아요. 키보드 받침대를 세워서 쓰면 조금 더 편안한 느낌. 장패드 위에 놓고 쓰면 밀리지도 않고 좋네요. 유선 키보드는 높이가 높아서 손목을 거의 들고 사용해야 했는데, 이처럼 낮은 저상형 키보드가 이렇게 편할 줄 몰랐습니다.

무선 연결인데도 딜레이가 거의 느껴지지 않아 화면을 보며 타이핑하는 데 이질감이 별로 없어서 편안하군요. 연결은 어렵지 않지만 처음 무선 설정할 때엔 조금 헤맬 수도 있을 것 같아요.","['https://phinf.pstatic.net/checkout/20200908_165/1599563482356uyEo8_JPEG/review-attachment-bb4f537f-d493-44bd-b495-3d4847cd98eb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_50/1599563482319j2ddd_JPEG/review-attachment-04af70ee-0990-4d4f-b50a-030b194d05b7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_231/1599563482247kb75g_JPEG/review-attachment-dd7a2b61-6a4d-4046-b16a-46e83992dd81.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_112/15995634822266WF1a_JPEG/review-attachment-9562f302-be21-426a-8e57-6c62ca71c45e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_156/1599563482174w1t5V_JPEG/review-attachment-b0055891-0c05-4bec-9aa1-832b1cddd356.jpeg?type=f287']"
5,"손목건강을 신경쓰는 편이라 로우프로파일 기계식 키보드를 찾고있었는데 10만원 아래 가격대에서 로우프로파일 기계식 키보드면 이 제품이 유일한 선택지인 것 같아서 구매했는데요 굉장히 만족스럽습니다

로우프로파일이라 일반적인 청축보다 키압이나 소음이 다 약간 적은 편인데 저한테는 이게 정말 딱 좋더라구요 그리고 키캡도 그렇고 하우징도 그렇고 실제로 보시면 상당히 고급스럽습니다 특히 abs로 알고있는데 이정도 촉감의 키캡이면 아주 좋은 것 같아요
다섯개까지 블루투스 연결이 가능한 것도 큰 장점이구요

단점이라면 딱 세가지를 뽑을 수 있겠는데,
1. led효과가 부드럽지못하고 뚝뚝 끊기는 편이라 그런걸 중요하게 생각하시는 분들이라면 좀 아쉬울 것 같습니다 그런데 저는 알고 구매했고 어차피 효과는 안쓰는 편이라 상관안하긴 해요
2. led 효과를 전환하거나 밝기를 조절할 수는 있는데 이게 저장이 되지 않고 컴퓨터를 껐다가 다시 켜면 상시점등에 밝기 2단계로 다시 돌아옵니다. 불을 꺼두거나 밝기를 1단계로 낮춰서 쓰는 편인데 조금 번거롭긴 하네요
3. 블루투스 기기간의 전환버튼이 로지텍처럼 핫키로 바로바로 전환되는게 아니라 펑션키와 함께 눌러야 전환됩니다. 출시 초기 리뷰들을 찾아보면 3초간 눌러야 전환된다 하던데 이제는 펌웨어가 업데이트되어 1초로 변경되었다고 하기는 하지만, 어쨌든 두개의 버튼을 눌러야 하는거라 여러 기기에 페어링 시켜두고 자꾸 전환해가며 쓰기에는 굉장히 귀찮고 거슬릴 것 같아요

위의 3가지 단점을 제외하고는 저는 딱히 단점을 찾기가 힘드네요 무엇보다 이 가격대의 유일한 로우프로파일 무선 기계식이면서도 제품이 상당히 좋아서 울며겨자먹기 식으로 쓰지 않아도 된다는 점이 가장 마음에 듭니다

아 그리고 리뷰를 찾아보면서 usb 연결부분이 좁아서 기본으로 주는 케이블 외에 호환되는 케이블 찾기가 힘들다고들 하던데 개선이 된건지 뭔지는 모르겠는데 저는 제가 가지고있던 케이블이 다 호환이 됐습니다 가로 12mm 세로 8mm 이내의 케이블이면 다 호환될거에요",['https://phinf.pstatic.net/checkout/20200917_138/16003092480720Yr3j_JPEG/review-attachment-4bb811a0-b06e-4ff1-b89c-d3b7b7e92871.jpeg?type=f287']
5,"4.5점인데, 괜찮아서 5점드립니다.
완전 납작한 키보드형, 펜타그래프 키는 극혐인데, 이건 적당히 얇고 키감도 깔끔해서 마음에 듭니다.

디자인도 깔끔하고, 밑에 판? 하우징?이 얇아서 그냥 본연의 키감을 잘 살린것 같습니다.
기계식이라 하기 뭐하지만, 기계식의 느낌을 살린 펜타그라프 형식이라 마음에 들구요

아쉬운건 화이트 버전이 있는데, 구하기 힘들다는점과 구성품이 약간 빈약하다는점? 정도 입니다.
사실 뭐 키보드 쓰는데는 무리없고, , 맥과 윈도우 호환이 잘되는 멀티페어링 유무선키보드라 흠이 될건 아닌거 같긴합니다.

그냥 제안을 드린다면, 유선이 페브릭소재이고(유무선용으로 자주 탈부탁하므로), 전용 파우치 케이스가 있고(대안은 레오폴드 아푸치가 예쁘고 퀄리티는 좋ㄴ으나 비쌈..), 한글에도 led가 들어오는 키캡이라면 퍼펙트할 것 같습니다.

멀티페어링 키보드중에서는 굳이 보급형 로지텍꺼나 비싼거 살필요없이 이정도면 딱 좋은 것 같습니다(풀배열을 선호한다면 제외)","['https://phinf.pstatic.net/checkout/20200908_271/1599570274795B7L3g_JPEG/review-attachment-afebd4e4-a215-407a-a9c8-b019b8442d16.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_214/1599570274579Hg33S_JPEG/review-attachment-b6459946-67fc-4077-96cb-4d500932a42c.jpeg?type=f287']"
5,"다섯가지 기계를 동시에 연결해서 사용할 수 있다는 게 이렇게 편한 줄 이제야 알았네요. FN+1~5 로 노트북 휴대폰 2개 태블릿 등에 모두 연결해 두었다가 그 때 그 때 필요할 때마다 전환해서 사용하니 앞에 모두 늘어놓고도 키보드 하나로 다 통제가 가능하군요.

특히 폰 카톡이나 문자할 때 작은 화면에서 오타내며 타이핑할 필요없이 숫자키패드 없는 풀사이즈 키보드로 타이핑하는 편안함은 이루 말 할 수 없이 좋습니다.

가지고 다니기도 전혀 부담 없는데 충전해 두면 하루종일 사용할 수 있고 배터리 떨어지면 USB선 끼워서 바로 사용할 수도 있으니 이렇게 편할 수 없네요.

게다기 키 감은 제가 가진 어떤 키보드보다 타이핑 할 맛이 납니다. 높지 않아 역시 손목이 편하고 오타도 훨씬 적네요.

무선일 때 키보드 백라이트가 들어오지 않는 것이 아주 약간 불편한 데, 펌업 등으로 미미하게나마 살짝이라도 들어오게 해 준다면 세미나 또는 회의 등의 조명이 꺼진 환경에서도 편하게 사용할 수 있을 것 같습니다.

구매한 가격이 아깝지 않은 아주 편리하고 .
정말 잘 샀네요.",['https://phinf.pstatic.net/checkout/20201026_245/1603672847335W7OTc_JPEG/review-attachment-07722e45-e809-4456-a897-827ab1244aba.jpeg?type=f287']
4,"로지텍 블루투스 게이밍 키보드를 사고 싶었으나 모든 제품이 텐키리스가 아니기에 고민하던 중 이 제품을 찾게 되었습니다. 가격대비 괜찮습니다만 키보드 느낌이 딱 가격 값 하는 것 같습니다. 고급스럽지는 않고 가벼워서 그냥 책상에 놓고 쓰기 편한 것 같고, 키감은 조금 쓰다보니 괜찮은 느낌입니다. 일정 시간 미사용시 슬립모드가 들어가 다시 연결까지 몇 초가 걸리니 이 점은 꼭 유의하고 구매하시기 바랍니다. 참 그리고 무선 키보드다보니 나중에 배터리 교체 관련해서 문의 해봤는데 만원이면 배터리 교체 가능하다고 해서 수명은 걱정 안하셔도 될 것 같아요","['https://phinf.pstatic.net/checkout/20200822_58/15980484596572Ihc9_JPEG/review-attachment-0f8ad50f-2d42-4fad-b1ad-455a1bb8a22a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_257/15980484600286pBJI_JPEG/review-attachment-135af8e9-8844-4daf-8f9c-48b12984cf20.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_272/1598048460694MayVi_JPEG/review-attachment-062da344-3874-4d39-bdef-ee019c9db9fa.jpeg?type=f287']"
5,"1년 전 구매후 두번째 구매입니다.
잘쓰다가 동생에게 뺏기고 1년여간 무접점 체리축등 여러가지써보며
돈탕진하고 기타키보드들의 높이에 팜레스트를 썼음에도
손목이 시큰거려서 결국 다시 구매했습니다.

저처럼 구매하신분들의 후기를 보며 지를까말까 고민하시는분들께
조금이나마 도움 보태고자 리뷰몇자 적어봅니다.

1.장점 : 1)키보드높이가 낮다.(기타 키보드들의 반토막 손목 편-안)
2)덜?시끄러운 소음 (체감상 노뿌무접점 보다 살짝 시끄러운정도)
3)얕지만 깔끔한 키감(개인취향)
4)컴팩트한 사이즈(비키타입은 싫어하지만 키보드 베젤이 넓지 않음)
5)범용성 데탑/노북/스맛폰 (현재 이 리뷰작성도 스마트폰에 페어링하여 작성중)

2.단점 : 1)다소 저렴한 ABS 키캡품질
(다른키보드들의 PBT키캡품질과 비교불가/지문,땀등 잘묻음)
2)약간의 통울림(하우징크기 대비 통울림이 크진않지만 파워타건시 통울림 보유)
3)스테빌라이저 철심소리(타사 체리축 키보드 스테빌 미윤활제품보다 )
4)소프트웨어 (oh my goodness!)
5)블루투스 변환 및 적용 딜레이 (1.5~2초정도 체감 됨)

3. 총평
개인적으로 이키보드가 너무 다시 쓰고싶어서 샀기때문에 몇몇의단점등은 이미
알고있었지만 손목통증 및 키감이 너무 그리워서 재구매했습니다.
LP축의 타사제품들(커x어 lp,로xx g91x，헥스xx , 빈x 탭x,쿨x마스x sk6xx등)도 많이
찾아보고 고민하였지만 가격이 일단 최소 반값이고 타사제품들도 간헐적 통울림 철심
소리등 동일한 단점들이 있는것을 확인하여 고민없이 재구매하였습니다.
lp키보드 가성비 입문으로는 감히 최고이지 않을까 싶습니다.",['https://phinf.pstatic.net/checkout/20200502_165/1588413291462Ot05U_JPEG/20200502_185436.jpg?type=f287']
5,"사무실에서 사용 하는데에 주변에 큰 눈치 볼 필요 없을 정도로 소음이 매우 적어서 만족스럽습니다.
키압또한 상당히 낮아 손에 부담이 없어 하루종일 키보드 만지고 있어도 퇴근 할 때 큰 무리 없는 수준입니다.
블루투스모드와 유선모드가 둘다 사용할 수 있다보니 사무실과 실험실을 오가며 노트북과 함께 가지고 다녀도 금방금방 모드전환 하여 사용할 수 있어서 편리 합니다.
반응속도는 게임용으로 사용하는게 아니다 보니 신경쓰진 않았지만 사무용으로 사용하기에는 전혀 문제 없는 정도의 반응속도 입니다.
외관 디자인은 무엇보다도",['https://phinf.pstatic.net/checkout/20201005_101/1601868282834030Ms_JPEG/review-attachment-e0353d0f-d6e5-4f8a-8c1d-cfaa9e46c63c.jpeg?type=f287']
5,"청축으로 구매하려다가 그냥 품절이라 적축으로 구매했습니다. 적축도 사각사각하니 키감도 좋고 전체적으로 마음에 듭니다.
기존에 일반 키캡의 키보드를 쓰다가 슬립형으로 바꿔보았는데 매우 만족스럽습니다. 손에 부담도 덜하구요 매우 얇아서 받침대를 안써도 될 정도로 위치잡기가 편합니다. 무게도 매우 가볍고 초반에 적응하는데 좀 시간이 걸렸지만 기존 키캡보다 확실히 더 편한것 같습니다. 블루투스도 가능하여 타 기기들과 연동하기도 좋고 강추합니다.",['https://phinf.pstatic.net/checkout/20201106_234/1604667967640fAQHT_JPEG/review-attachment-c0c8537b-3593-436a-ac7f-7406edc70a72.jpeg?type=f287']
4,"** 배송 및 포장상태 **
어제 새벽에 구매하였고, 다음날인 오늘 도착했습니다. 빠른 배송 감사합니다.
포장 역시 뽁뽁이로 여러번 감싸져있어 안전하게 잘 왔습니다.

** 상품 **
스페이스바가 다른키에 비해 너무 가볍게 눌립니다. 원래 그렇게 나온건지 스페이스바가 길어서 가볍게 눌린다고 착각 되는건지 잘 모르겠습니다.(그래서 별 -1)
그 외, 블루투스 연결 및 타이핑, 타건, .

워낙 가성비키보드로 좀 유명(?)해서그런지 인터넷에 정보가 많네요. 아직 낯설지만 .
흰색 사고싶었는데, 블랙도 이쁘네요..ㅠㅠ
~","['https://phinf.pstatic.net/checkout/20200822_108/1598104467731Mw3rz_JPEG/review-attachment-b7a9c6e0-c5a6-4ac8-9373-1777628142e8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_219/15981044875123ez3I_JPEG/review-attachment-ba6907f5-5462-4923-99f5-a09ea8ce3bf3.jpeg?type=f287']"
5,"배송이 빠르고 좋습니다.
키보드 4개째 이 제품 구매해서 사용하고 있어요.
집에 하나, 고장나서 하나 더 사고,
청축 나왔길래 궁금해서 하나 더 사고,
사무실에 하나 더 샀어요
우선 키보드가 얇고 가벼워서
경량 찾으시는분들에게는 정말 추천드려요.
저 같은경우에는 팬타블렛과 키보드를 책상위에 배치해두는데 어깨 아플때마다 키보드 위치를 변경해 가면서 사용하고있어요. 그래서 정말 가벼운 키보드를 찾고있었는데, 맨처음 구입당시 너무
지금까지 이 키보드를 사용하고 있으며,
다른 키보드는 못쓰겠어요.

드리고 싶은 제품입니다!",[]
