star_point,comment,photo
4,"같은회사 제품인 EK820 적축을 사용하다가 화이트색상이 이뻐보여서 살짝 넘어와 봤는데..
확실이 이쁩니다. 특히 크리스탈 키캡 + 백라이트가 꿀 조합이네요.
개인차는 있겠지만 제가 보기에 너무 이쁩니다.

EK820과 비교 대상은 아니지만, EK820에 비해 키캡 높이가 높고,
EK820 적축에 비해 키압이 살짝 높아서 그런지.. 적응하는데 시간이 필요할것 같습니다.
조용한 키보드를 선호하는 편이라 그런지, 타건음은 솔직히 맘에 들진 않지만 LK158이
선택권이 없기에 어쩔수 없네요. (다양한 스위치 적용 해 주시면 좋을것 같아요.)
소음 부분은 오링을 끼워서 해결 가능할것으로 기대되기에.. 별로 신경쓰진 않습니다.
그리고, 블루투스의 경우 내 스마트 폰이 문제인지 키보드가 문제인진 모르겠지만,
가~끔~씩 오타가 나긴 합니다. (예 : 시간 어때? = 시ㄱㅏㄴ 어때?)
아직 오랜시간 사용해본것이 아니기에 그렇게 불편할 정도로 자주 반복되는 현상은 아니기에 애교로 넘어갈만합니다.

성능 및 블루투스기능, 디자인 면에서 세컨드 키보드로 사용하기에 충분하다는 생각이들고,
특히 여성분들의 취향 저격에 맞춤 제품이 아닌가하는 생각이 듭니다.
많이 파시고 번창하세요.

(추신 : 처음 받았을때 스페이스 키캡이 빠져 있어서 깜짝 놀랐네요. 원래 그런건지..?)","['https://phinf.pstatic.net/checkout/20200419_282/1587247563114x13bX_JPEG/20200419_055327_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200419_11/1587247577829BCQOi_JPEG/20200419_055331.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200419_120/1587247577420cgJ8f_JPEG/20200419_055401_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200419_62/1587247576806yGt2G_JPEG/20200419_061052_HDR.jpg?type=f287']"
4,"블루투스 무선 키보드 제품으로 기존에 사용해오던 것이 있었는데 피스넷 더블폴더 노트였습니다. 노트북과 똑같은 사이즈의 키배열로 잘 사용했었는데 문제는 이 제품의 내구성이었습니다.
그것을 케이스 바이 케이스라고 할 분들도 있겠으나 전 그렇게 생각지않습니다. 꼭 보증 수리 기간이 끝나자 마자 고장이 나서 제품 가격의 50%의 돈을 내고 보상 판매 형식으로 새 키보드를 구입해야했고 이것도 보증 수리 기간이 끝나자마자 역시 똑같은 형태로 고장이 나버렸습니다. 자기들도 미안했는지 이번엔 무상 교환을 해주더군요. 그런데 정말 무상 교환을 왜 해줬는지 알 수있는 제품이었습니다.
전체적으로 키 터치가 안좋아져서 거의 불량 제품 수준이었습니다. 다시 전화를 하려다가 무슨 영화를 바랄까 싶어서 그냥 안했습니다. 도무지 정상적으로 사용하기 힘들어서 산 제품이 바로 이 다얼유 LK158제품입니다.
유무선 겸용으로 사용이 가능하고 블루투스가 되고 거기다 기계식 키보드이니 혹하지않을 수가 없더군요. 거기다 가장 저렴한 제품이었습니다. 옥션에서 말이죠.
매장 방문하여 바로 수령해와서 사용을 해보니 처음에 혼란이 있었으나 이젠 정상적으로 사용 가능합니다. 물론 혼란기에도 사용은 되었습니다.
동봉된 USB케이블로 연결을 하고 유선 상태에서 사용하는 경우 LED가 각 자판에 6가지 모드로 켜지고요, 물론 전 그런 요란스러운거 필요없기에 꺼놨습니다. 이렇게 유선으로 연결해서 무선(블루투스)모드로 전환하면 LED Connect 표시 램프에 불이 들어오고 5개의 제품을 차례로 페어링하여 블루투스로 사용 가능합니다.
전 일단은 스마트폰을 연동하여 사용하고 있는데 갈축의 키감이 청축과는 다르지만 그래도 손맛이란게 있네요. 이게 지금은 새 제품이라 마냥 좋긴 하지만 앞으로 내구성을 가지고 버텨줬으면 하는 마음입니다. 집에 있는 태블릿 PC도 블루투스로 연결하여 한번 테스트를 해봐야겠습니다.","['https://shopping-phinf.pstatic.net/20191128_21/4d57324d-788f-48e7-b4cb-1641b00fe336.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191128_2/f2f12101-563d-4599-b06f-a252fa188a76.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191128_27/2a71663c-9571-4226-8410-2816d760f2ab.jpg?type=f287']"
3,"블투일때만 LED 들어오는 건 둘째 치고, 페어링 반응이 너무 느려서 불편합니다 게임하다가 볼일 보고 슬립모드에서 깨우면 딜레이도 조금 있는 편이고요. 키감 자체는 그럭저럭 했네요. 만원정도 더 투자 해서 가성비 좋다고 소문난 그 물건이나 아니면 돈을 더 지불하고서라도 제대로 된 키보드를 쓰시는 게 좋을 듯...",[]
5,"텐키리스는 첨써보는데 생각 보다 괜찮네요.
공간도 쾌적하고...
키입력 정직하게 잘 되는 느낌이고 소음도 기계식 맞나 할정도로 조용한것 같습니다.
갈축보다는 탄력이 좀 좋은 적축 같은 느낌이 듭니다. 스위치가 걸리는 느낌없이 스극 스극한 느낌이네요.
led도 이쁘긴한데 크리스탈 키캡이 아크릴이라 좀 찐득한 느낌이 들어서 이거는 저는 좀 별로 였습니다.
그래도 블루투스 입력 5기나 저장할수 있는 기계식 키보드라 편리할것 같아서 구매했는데 저렴하게 잘 구입한 느낌입니다.
블루투스 및 유선지원 기계식 키보드 중 가성비가 제일 괜찮은 키보드 같네요.",['https://phinf.pstatic.net/checkout/20200219_95/1582090691375fha7h_JPEG/20200219_135059.jpg?type=f287']
3,"배송은 빨리왔습니다 기능상 문제점은 없습니다 아쉬운건 이벤트 표기는 해놓코 이벤트 제품은 보내주질 않았내요? 그리고 8,9,0 키캡이 얼룩이있는데 얼핏봐도 보일정도로 눈에 거슬립니다 흰색키캡에다가 밝게찍어서 그렇지 사진에서보다 실제로 얼룩이 더 진합니다 처음엔 그냥 제조상 이물질이 묻은줄 알았는데 자세히 보니 크리스탈?안쪽에있는거더군요 이중사출중간에끼인얼룩이라 지워지지 않습니다 당장 써야되서 반품하긴 그렇고 키캡만 바꿔주시면 감사하겠내요 키캡 깨진것들도 정말 많습니다 사진 첨부해드립니다 확대해서 보시기바랍니다",[]
3,가격이 5만원도 안 되니 비교하긴 참 그렇지만 디자인 좀 싼티나고 좀 허접한 느낌이 듭니다 싸게 가성비로 쓰실 분들은 블루투스도 되고 괜찮은 제품입니다. 성능은 나쁘지않아요. 기계식키보드가 이미 하나 있어서 그냥싸게 하나 더 들이자한건데 조금 후회됩니다. 가성비 중요시하시는 분들은 구매하셔도 좋을 듯,['https://phinf.pstatic.net/checkout/20200225_14/1582630705366VVDHE_JPEG/1582630625770.jpg?type=f287']
4,"처음 배송왔을때 잘 살펴봐야했었는데 그냥 좋다고 썻네요..
디자인은 잘빠졌는데.. LED 모션이 영 별로입니다. 부드럽지 못하네요.
키캡은 점점 깨지는 건지 금이 가있는데 별 지장은 없습니다.
그래도 화이트 블루 로망때문에 씁니다!",[]
1,포장 뜯어 보니 이미 키 몇개 떨어져 있음 ㅜㅠ 반품이나 교환 요구 할려다 그냥 하나하나 끼워서 씀 다른키 빠지는건 그냥 끼우겠는데 SHIFT랑 스페이스바 키는 그냥 끼우는게 아니라 철사 구조물(?) 같은게 있어서 개짱남!! 리퍼제품이라고 해서 좀 찝찝했었는데 역시나... 내구성은 기대 절대 하지 말고 사시길.. 그냥 싼값에 하나 막 쓸거 구하시면 구매 ㄱㄱ,[]
3,"유선(PC), 무선1(태블릿), 무선2(PS4) 연결해서 쓸려고 샀는데유선 연결상태에서는 PC전원에 따라 키보드도 껐다 켜졌다 해서 PC를 켜야 무선장치들도 쓸수있는 불편함이 있습니다 블루투스 ON/OFF 스위치는 유/무선 혼용해서 쓰려고 케이블 연결해두면 아예 존재의미를 상실.. PC가 꺼지면 키보드가 아예 꺼지고 PC가 켜지면 스위치가 OFF라도 무선모드로 바꿔서 블투 키보드 쓸수있습니다.. 그래서 그냥 PC에 블투 동글 하나 꽂아서 선 빼버리고 전부 블투 모드로 사용하고 있습니다 선이 안꽂힌 상황에서는 On/Off 스위치 잘 동작하고, 장치간 전환도 아주 잘 됩니다초기 유/무선 혼용할때 제대로 잘 안되서 불량인줄알고 교환받으려고 했는데 그냥 무선모드로만 쓰기로 했습니다가격 감안해서 그럭저럭 만족스럽습니다. 타건감은 무선에 경량 생각하면 다른 가격대 있는 키보드에 비해서 허전한 느낌은 좀 있습니다만.. 아무래도 가격차이와 무선이라는것을 고려하면 쓸만하다 라고 생각됩니다 (보강판이 묵직한게 들어갈수가 없으니..)축 스위치도 체리 카피인거 같은데 기존 체리키 키보드 키캡이 맞아들어가서 키캡놀이 할수도 있을거같습니다 근데 바꾸려면 키캡을 다 바꿔야 할거같습니다. 키캡위에 투명한 클리어(?)부분만큼 키캡 높이가 다른 키캡보다 좀 높습니다. 참고하세요결론적으로 PC에서 사용할 기계식 메인 키보드로는 비추(타건감)유/무선 같이 사용할 생각으로 사신다면 비추(유/무선혼용불편)기계식 키보드를 무선으로 장치 여러대 사용한다면 추천서브키보드 혹은 거실용으로 기계식 쓰고싶다 추천ps) FN+1~5로 무선기기간 전환하는데 FN키가 오른쪽에 있어서 한손으로 변경 안되는것은 실사용 해보니 쪼금 불편",['https://phinf.pstatic.net/checkout/20190722_209/1563772560099lQ6ri_JPEG/photo_2019-07-22_14-15-40.jpg?type=f287']
5,"노트북을 들고다니며 작업할 일이 많은데 노트북에 달린 키보드는 작업능률이 떨어져서 구입하게 되었습니다.
부피도 적게 차지하고 기계식에 블루투스까지 되어서 활용도가 좋습니다.
단점이라면 자체의 손목받침대가 없어서 손목에 무리가 가기 때문에 부수적으로 손목받침대를 구입해서 사용하시는 것이 좋습니다.",[]
