star_point,comment,photo
3,"성능은 보통이하라는 게 개인적인 평가이다. 다른 사람은 좋아할 수도 있다. 우선 타격감이 고무재질이라 딱 그만큼만한다. 휴대성이 좋을 거라고 기대할 수 있지만 말아서 휴대하는 것과 그만한 크기의 플라스틱으로 된 것과 큰 차이가 있을 것 같지는 않다. 키보드의 가장 큰 장점은 잘 입력할 수 있어야 하고 편해야 하는데, 아직은 좀 못미치지 않나 하는 생각이 든다.",[]
4,받은 키보드 휴대폰에 연결ㄹ해서 리뷰쓰고 있습니다. 와 캡쳐도 되고 컨트롤c하면 텍스트도 복사되고 편하네요 ㅋㅋㅋ english is also ok. 한자는 안되네요. 성인 남성이 쓰기에는 조금 작은 사이즈인 것 같지만 제 손에는 나쁘지 않아서 곤찮ㅇ요. 빠르게 치면 가끔씩 인식률이 떨어ㅓ지는 것 같아 작업용으로는 ㅂ추이지만 저처럼 태블릿 연결등으로 간단하게 스기에는 무게도 ㄱ볍고 좋을 거ㅓㅅ 같아요. 만족합니다.,['https://phinf.pstatic.net/checkout/20201118_295/1605690600861MRb4p_JPEG/review-attachment-88ef8172-d4ef-43c6-900c-1733806a88c6.jpeg?type=f287']
3,"여러분 블루투스 기능이 꼭 필요한게 아니면 같은 COMS 제품 만원대 usb 롤 키보드 사세요
블루투스 키보드는 가격도 비싸지만 일단 정사이즈가 아니에요
일반키보드의 한 90프로 사이즈입니다.
손가락이 얇아서 쓰는데 입력은 잘되는데 그래도 일반사이즈가 더 익숙하네요.
그리고 타격감?이랑 소음면에서도 usb가 더 나아요.
블투는 느낌이 노트북키보드에다가 실리콘 스킨덮은느낌이에요. 칠때 딱딱딱 이런 소리가나요. 노트북보단 조용한데 그래도 좀 신경쓰이네요.
usb는 좀더 조용하고 이게 더 나중에 나온건가봐요. 블루트스보다 더 좋은점이 많아보이네요.
쉬프트키도 합쳐져있고
소리도 블투보다 더 정숙합니다.
블투는 딱딱딱
유에스비는 혹혹혹 이런 느낌?
도서관에서 노트북키보드로 쓸때 눈치 엄청보였는데
유에스비 이거 키보드가져가서 편하게썼습니다. 물론 완전 무소음은 아닌데
노트북석에서 쓸때 눈치 안보일정도 됩니다.
여러분은 실수로 2만원대 블투 키보드 사지 마시길 ..ㅎㅎ",[]
3,"솔직히 키감이나 그런건 안 좋아요. 오타도 많이 나고 하지만 도서관 같은데서 조용히 쓰기에는 가성비 좋은거 같습니다. 돌돌 말아서 가지고 다닐수 있어 휴대도 편하고 , 블루투스라 좋은 거 같습니다.
현개 기술에서는 가성비 따졌을나쁘지 않은 제품이라고 생각합니다.",['https://phinf.pstatic.net/checkout/20200123_85/1579787478973itHVX_JPEG/20200123_225039.jpg?type=f287']
5,"배송도 빠르고 제품도 너무 좋습니다. 실리콘 제질이라 맘편히 매트리스 위에 두고 신경 안쓰고 맘편히 씁니다. 블루투스 키보드인데 부팅 시 바이오스 설정도 너무 잘됩니다. 다만, 배송비를 아끼려고 블루투스 마우스도 같은 샵에서 주문했는데 배송비가 별도로 잡혀서 따로 배송해야하는 무슨 사정이 있나보다 했는데 결국 묶음배송으로 왔네요. 배송비 하나는 환불해주시던가 아니면 샵 전용 무료배송 쿠폰이라도 주셔야 하지 않나요? 배송비는 각각 받고 묶음배송으로 보내시면 제 마음이...ㅠㅠ. 참, 그리고 제품은 좋은데 설명서에 구성품을 보면 자동 감김 충전 케이블이라고 되어있는데 인간적으로 동봉된 케이블이 자동 감김 케이블은 아니지 않나요? 그냥 케이블로 변경하심이. 암튼 제품은 좋습니다. 기존 무선 키보드는 빼버리고 요거만 달랑 하나 연결해서 쓰는데 아무런 문제가 없습니다.","['https://shopping-phinf.pstatic.net/20190821_11/0bd8c075-ba56-4b14-967e-727a92c1dcd0.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190821_20/9b6f7729-8a99-4861-85f1-fc4a39b3336e.jpg?type=f287']"
4,"아주 조용한 독서실 사용 하기 아주 좋습니다.
오타가 많다는 상품평이 있어 걱정했는데,
조금 적응하니 빠른 타자도 오타율이 적습니다.
단, 키보드가 말려있어서 그런지... 오른쪽 끝부분이 들뜨는데,,,, 이게 좀 거슬리긴 하네요.","['https://phinf.pstatic.net/checkout/20190821_202/1566382710755aKNy2_JPEG/2019-08-21-19-12-41-649.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190821_16/1566382718733vyMcv_JPEG/2019-08-21-19-13-42-786.jpg?type=f287']"
5,작은 가방에도 쏙~ 들어갈만한 키보드를 찾다가 발견했어요. 핸드백에도 돌돌 말거나 반으로 살짝 접어서 넣을 수도 있고 제가 사용하는 노트북 키보드랑 자판도 유사해서 넘 편합니다. 한자키 없는 키보드도 있다고 하던데 이건 있어요! 매우 만족합니다~:),[]
3,13일(금요일) 오전 10시에 사서 18일에 받음 일부러 배송 오늘 출발 찾아서 산건데 당일에 송장만 뜨고 배송출발을 안함 그러다 주말 지나고 월요일 지나고 수요일에 받음. 제품자체는 이상이 없는데.. 토요일에 받을줄알고 산게 수요일에 와서 좀 그럼;,[]
3,"수단과 방법을 다 써도 충전이 잘 안되던 물건이 반품하고나니까 갑자기 된다? 뭔가 수상하네요. 게다가 배송의 지연 또한 물건의 하자와 같지 않은가요? 그런데 구매자에게 어느정도의 과실이 있다손치더라도 배송비를 전액 구매자에게 떠넘긴다는 게 매우 실망스럽습니다. 상품평이나 문의사항을 보니, 다른 구매자들도 비슷한 경험을 하신듯한데, 물론 다시 배송된 제품자체에는 하자가 없을지언정, 되도록 일을 한번에 처리할 수 있게, 하자에 대해 충분히 확인 후에 물건을 보내주셨으면 합니다.",['https://shopping-phinf.pstatic.net/20180412_7/8be82143-41cd-49db-b6a1-cfb9d292baa0.jpg?type=f287']
5,"받자마자 프리미엄 후기 따끈하게 올립니다.
만족스러운 부분도 있고, 반면에 아쉬운 부분도 있네요.
먼저 제가 실리콘 키보드 구입하게 된 가장 중요한 이유는 소음이기에 어떻게 소음이 나는지 여러 속도와 압력으로 입력 테스트 해봤습니다.
기존 노트북 키보드와는 소음의 수준이 확실히 다릅니다.
하지만 평소 키보드 치는 속도와 습관으로 치려고하면 소음이 아주 없는 것은 아닙니다. 그런데 그 소리가 팬타그래프 처럼 찹찹찹 촤?찹찹 하는 느낌이 아니고,, 예를 들자면,, 플라스틱 파일로 부채질 할때 나는 음색에 더 저음의 데시벨은 훨씬 작은 느낌??
감이 안오신다면..
팬타그래프 노트북 키보드에 실리콘 덮개를 씌우고 최대한 정숙하게 치면 나는 소리가
이 키보드와 팬타그래프 키보드의 정중앙 쯤에 위치한 소리 같네요
아무튼 소리를 글로 묘사할려니 힘든데 저는 매우 만족스럽습니다.
구입전에 다른 분들 후기를 보니까 생각보다 , 오타율이 장난아니다. 이런글들 보고 고민을 좀 했었는데,,
오타율은 이 글 쓰는 동안 이미 적응이 좀 되는 것 같네요.
안 먹히는 경우는 거의 없고, 문제는 2연타로 나오는 것인데, 이것은 점차 적응이 되는 느낌이네요. (누르는 압력, 속도, 타점이 중앙을 눌렀는지 뭐 이런거에 영향을 받는 것 같아요)
아쉬운점은 두 가지가 있는데 .
저는 아이폰과 패드에서 사용할 용도로 구입한 것이라 iso 에서 사용할 때에 가능한 펑션키 같은 목록이 있을 줄 알았는데, 아무것도 없네요.
원래 접이식 블루투스 키보드 쓰던 것이 있는데, 거의 기능이 비슷하게 먹혀서 망정이지 처음쓰는분은 많이 당황하실듯
예를 들어 한영키 전환은 컨트롤 스페이스바 같이 필수 펑션들 모르면 일일이 눌러보거나 찾아봐야겠네요
다음으로 설명서에는 구성품에 자동감김 충전케이블이라고 적혀있는데 일반 케이블이 들어있네요.. 뭐 상관은 없는데 살짝 속은 느낌..
그리고 일반 팬타그래프 보다 살짝 분들은 적응하는데 시간이 더 필요하실거 같네요.
어쨋든 제가 구입전에 알아보고 기대했던 것이 5점이라면 받아보고 잠깐 사용해본 첫인상은 6점 정도로 주고 싶네요.
그럼 이만 키보드 적응 겸, 후기를 마칠게요.
[G마켓 아이폰 앱에서 작성]",['https://shopping-phinf.pstatic.net/20181227_15/a653bcbc-44c3-482b-bdf7-850902027803.jpg?type=f287']
5,생각보다 괜찮네요 독서실에서 타이핑하려고 샀는데 생각보다 괜찮네요! 휴대성도 좋구요!그런데 오타가 많이 나는 것은 사실이에요! 문서 작업할 때는 못쓸것 같고 조용한 곳에서 간단하게 입력할 때 괜찮은 것 같아요!~~ 추천해요,[]
4,"생각보다 좋습니다. 추천해요. 독서실에서 키보드 소리 내면안되서 샀는데... 생각보다 좋고, 근데 아예 소리 안날줄 알았는데 그건 또 아니네요.. 다른 키보드 보다 심하진 않지만.긴글 쓸때는 조심조심 누르며 쓰고있습니다. 연결부분이나 타자치는 속도든지 좋구요. 손목은 좀 아프긴해요. 이렇게 길게쓸땐요..전 보통 단어 찾고 할때 쓰는거라 상관은 없지만... 암튼 추천입니다.",[]
5,"상품평을 입력해주세요(최소30자 이상)
 
제품을 받아서 30분간 사용한 시점의 후기입니다.
 
ㅇㅣㄴ인식률 = 한번에 바로 인식.
 
 설명서 = 설명서 대로 하니까 바로 오케이 되었습니다.
 
블루투스를 처음 연결해봤는데, 핸드폰으로요, 설명서대로 블루투스 검색하고 버튼 누르고 핀코드 친 후에 엔터 치니까 완료되고 정상작동되었습니다.
 
소리 = 제가 가장 중요하게 봤던 부분입니다. 밖에서 사용할 물건이라서였죠.
 
 정말 무소음이어습니다. 실리콘을 누르는 느낌이라 .
 
 귀를 딱 붙이고 있어야 겨우 소리가 들릴 정도입니다.
 
 다만, 타자를 하는 손가락이 키보드와 닿는 순간 발생하는 소리는 생깁니다.
 
 키보드에서 붙이다시피 손을 두고 타자하니 .
 
 
크기 = 사진에도 나오지만 대충 저런 크기입니다. 홍보사진만 보면 좀 큰 느낌이었는데, 그 밑에 가로세로 크기 설명해둔 걸 간과했던 거였죠.
 
 하지만 .
 
 
단점.
 
기본으로 주는 통이 있습니다. 키보드 보관 통.
 
 아주 얇은 플라스틱 통인데 (이 가격대에 고급을 바란다면 노~양심.)
 
 잘 만들어졌습니다. 끝부분 마감도 잘 되어 있고요.
 
 그런데 키보드가 자판이 밖으로 나오게 마는 형태라서 (반대로 해봤는데 살짝 꺽이는 느낌이 있습니다.)
 
 플라스틱 통에서 꺼낼 때, 요령이 없으면 쉽게 빠지질 않습니다.
 
(키보드=고무니까 마찰력이 강함 / 플라스틱통 = 고무가 착 달라붙으면 밀착되니 마찰력 강함)
 
(그런데 플라스틱통 마감이 손가락 다치지 말라고 안쪽으로 살짝 굽어져있는데 이 부분에 키보드 자판이
 걸리는 느낌이라서 빼기가 조금 어렵다. 요령이 필요하다.)
 
이상으로 평을 마치지요.
 
 또 다른 누군가의 합리적인 소비 선택에 도움이 되기를 바라는 마음으로 적었습니다.",['https://shopping-phinf.pstatic.net/20170617_0/1ab41c6b-2266-4775-8dd8-1a0eb6bd190a.jpg?type=f287']
3,가격과 배송 자체는 만족합니다. 하지만 제품의 키 자체가 기존에 제가 사용하던 블루투스 키보드보다 작아서 손이 큰 저로서는 손목에 힘이 조금 들어가네요. 그리고 왼쪽 쉬프트키가 왜인지 두 개로 나뉘어 있습니다. 하지만 가볍고 가방에 아무렇게나 넣어 다니기 편해 휴대성이 뛰어나기때문에 밖에서 간단히 사용하기에는 큰 부담 없습니다.,[]
