star_point,comment,photo
5,"유선버전, 1개만 페어링되는 블투버전 두개를 사용중이다가 신형을 수령해서 간단하게 테스트해봤습니다.

키감은 X280 과 구형 유선키보드의 중간적인 느낌이 납니다.
키보드 자체의 무게도 비슷하고...

구형 블투키보드와 차이를 보자면
- 별도의 전원스위치가 존재
- 믈투,무선 선택가능
- Fn키가 4개 단위로 떨어져있어서 키보드 안보고 입력할 떄 용이
- C-Type 단자라서 폰 충전기로 편하게 사용 가능

정도입니다.

기존 블루투스 버전은 하드웨어 자체 결함인지 드라이버차원의 문제인지 잘 모르겠으나 사용하다가 입력하는 도중에 연결이 끊어졌다가 몇 초 뒤 다시 연결되는 현상이 있어서 업무용으로써는 봉인해놓고 원격 키보드용으로만 사용하고 있었는데, 이번에 받은 이 키보드도 비슷한 현상이 있는지 몇시간 테스트 해보고, 별 이상 없이 괜찮다 싶으면 하나 더 장만 할 예정입니다.

사진에 있는 다른 키보드는 구형 블루투스 키보드(KT-1255) 입니다.

살짝 아쉬운게 있다면 여기에 백라이트까지 있었으면 얼마나 좋았을까 싶네요","['https://phinf.pstatic.net/checkout/20200804_115/1596547937612V3SuG_JPEG/review-attachment-8953fb8a-c692-4cb4-8fa3-adfe0cc41ffc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_127/1596547937674CH3Kk_JPEG/review-attachment-df3582cc-c4d0-4b59-8a7b-40eb6d59daaa.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_263/1596547937765CmsfU_JPEG/review-attachment-cd4f68ae-2004-4450-9deb-fb2b59f31039.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_245/1596547937818oHFt8_JPEG/review-attachment-f7be0d6d-4ea6-4a32-b069-9f14e5eb344c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_66/1596547937926u6bjg_JPEG/review-attachment-b2e695d9-f5cd-47ac-87c4-6241955656bc.jpeg?type=f287']"
5,"키보드 자체의 마감이나 완성도는 정말 마음에 드네요.
멀티 페어링이 안된다는 건 알고 구매했으니까 큰 문제 없고
생각보다 무게가 많이 나가는 게 유일한 단점이랄까요.

그 외 많은 분이 인정하는 타건감은 역시 훌륭하고 빨콩의 매력은 한 번 적응하면 이만한 게 없는 거 같아요.
현재 갤럭시 S6에 주로 사용하고 있는데 아주 만족스럽습니다.

더 자세한 리뷰는 담덕이의 탐방일지에서 볼 수 있어요.","['https://phinf.pstatic.net/checkout/20201024_89/1603531721659XzlOE_JPEG/review-attachment-be189f5d-6d5e-4be1-a621-77bce482416c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_221/1603531721593HB4zQ_JPEG/review-attachment-365484d2-1866-4854-b818-486facb7de63.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_10/1603531721544tizya_JPEG/review-attachment-fe5863a7-a095-4f14-8579-76208573dbf8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_226/16035317214432kCl0_JPEG/review-attachment-945c7394-5187-48e1-b111-bc3d80708eb0.jpeg?type=f287']"
5,"미디어마우스를 증정해주셔서 감사합니다. 마우스가 저의 손에 딱 맞는 크기여서 손을 올려놓았을 때 착 감기는 것이 너무나 편하고 좋은 감촉이 납니다. 키보드도 매우 만족하빈다. 타이핑 할 때 눌리는 감이 쫄깃한 것이 펜타그래프 키보드로 만들 수 있는 최적의 사용감이라 생각합니다. USB리시버 - 블루투스 전환도 매끄럽고, 안드로이드 - 윈도우 전환 스위치가 따로 있는 것도 편의성을 크게 향상시켜 줍니다. 특히, 안드로이드 휴대폰에서 빨콩으로 마우스 커서 기능을 사용할 수 있다는 게 컬쳐쇼크입니다. MS워드나 한컴워드, 혹은 리모트 데스크탑을 안드로이드 앱으로 사용하면 완전 편할 것 같습니다. 업무용 블루투스 키보드 계열에서는 최고의 사치품이 될 것 같습니다. 여타의 기계식 키보드들과 거의 비슷한 가격대인데, 문서작성과 같은 업무중 사용에서는 정말 편리하고 만족스러운 경험을 전달해줍니다. 빨콩을 적극적으로 활용하기 위해서는 다소의 연습이 필요하지만, 빨콩 . 슬림한 크기의 업무용 무선 블루투스 키보드를 고민하고 계신다면 선택하지 않을 이유가 없는 좋은 키보드입니다.",['https://phinf.pstatic.net/checkout/20201014_7/16026851886024AenD_JPEG/review-attachment-4c235ab3-6a42-45e4-a019-5d8d896dd848.jpeg?type=f287']
4,"키감도 좋고, 컴팩트해서 들고다니기 편합니다.
단점으론, 제가 다중 블루투스로 컴퓨터와 핸드폰 패드로 자주 옮겨서 쓰기 떄문에 조금 불편하네요.(무선으로 쓰면 됩니다만, 핸드폰은 usb연결단자?를 따로 써야 해서...)
전작인 다중 블루투스가 끌리긴 하는데, 구하기도 힘드지만 키감이 안 좋다는 평이 많아서 다음 제품으로 다중 블루투스가 또 나왔으면 합니다.

개인적으로 무선 혹은 유선과 블루투스 2~3개가 됐으면 합니다.",['https://phinf.pstatic.net/checkout/20201021_32/1603245518887rIPvj_JPEG/review-attachment-9f52cb09-6d02-4bb3-8c6a-c8f1bee3897f.jpeg?type=f287']
5,"사실 차량용으로 사용하려고 이 키보드를 구매했습니다. 용도는 삼성덱스용으로 사용하기 위해 키보드/ 터치패드 제품을 보던중 유튜버 Tech Gear Cast님의 리뷰를 보고 바로 바로 질렀습니다.(씽크패드 트랙포인트 키보드 2 개봉기 및 첫인상: 5년을 넘게 기다렸다!!)
초딩때 삼촌이 쓰던 IBM Thinkpad 놋북의 감성을 달고 그대로 출시해서 너무 좋았습니다. 물론 키감은 말할것도 없고, 마우스움직임도 좋았습니다. 무엇보다, 삼성덱스에 사용하기 위해 구매했는데, 안드로이드도 지원하니 최고의 만족감입니다.",[]
5,"역시 키보드하면 씽크패드 아닐까요 ㅎㅎ
묵직하고 디자인이 매우 맘에 듭니다 키감도 좋아요~",['https://phinf.pstatic.net/checkout/20201028_271/1603896786583Kd5an_JPEG/review-attachment-96537868-51cd-4322-a66d-f1cc5a484bcc.jpeg?type=f287']
5,제품 설명 및 사진과 실제 제품이 일치합니다.,['https://phinf.pstatic.net/checkout/20201121_95/1605947825077S1uXy_JPEG/review-attachment-37745dbe-5cd1-4bc9-992f-bb1a2329fd7a.jpeg?type=f287']
5,예뻐요 키감 너무 좋아요,['https://phinf.pstatic.net/checkout/20201105_144/1604583800757kP01a_JPEG/review-attachment-c1efbdc7-3ec9-417d-8b42-a4529682bb39.jpeg?type=f287']
5,"기존에 유선 사용중인데, 확실히 무선이 편리하네요.
블루투스도 지원하고 수신기, 안드로이드, 전원 on/off 등등.. 편의기능이 많아졌네요. 아주 만족합니다~",['https://phinf.pstatic.net/checkout/20201009_52/16022194220001lfU5_JPEG/review-attachment-775ebd55-5be5-417d-8530-7d9cc65f6e48.jpeg?type=f287']
5,빠른배송 감사합니다 잘쓸게요,['https://phinf.pstatic.net/checkout/20201106_203/1604648033210S2AbS_JPEG/review-attachment-189a3cb8-43bd-455f-9bd8-8b0ba75d786d.jpeg?type=f287']
5,"방금 받고 바로 사용해봤는데 맘에 드네요
충전기 꽂아놓고 사용도 되고
pc연결 및 휴대폰 연결시에도 잘 사용 됩니다.",['https://phinf.pstatic.net/checkout/20201027_166/1603786791649wXy2o_JPEG/review-attachment-a010fdfe-daa8-480d-858d-405a987d0713.jpeg?type=f287']
5,이쁘고 좋네요^^ 최고입니다,['https://phinf.pstatic.net/checkout/20201006_35/16019685784371491J_JPEG/review-attachment-5edc0a20-f1d8-4965-94ea-2dcd703552c4.jpeg?type=f287']
