star_point,comment,photo
5,"디자인이 약간 장난감스러우면서도 유치하지 않은 색감이 마음에들었다.
타건 했을때 키가 매우 쫀득한느낌으로 좋았으며, 저소음 적축이라는 이름에 맞게 매우 조용한 타건음이 원하던대로 였다. 아예 무소음을 생각하시는 분들은 다른거 사는게 좋을듯. 기계식 키보드 특유의 타닥소리는 있다.",['https://phinf.pstatic.net/checkout/20191030_162/1572415151780Ps1WC_JPEG/20191029_173833.jpg?type=f287']
5,디자인부터 너무 마음에 들고 비싼 키보드는 처음 써보는데 돈값 제대로 합니다. 조용한 키보드를 원하시는분은 저소음 적축으로 구매해보세요. 진짜 타건하는데 누를때 마다 약간 부드러운 느낌이 난다고 해야할까 ㅋㅋㅋ 여튼 추천합니다ㅋㅋ,['https://phinf.pstatic.net/checkout/20191019_216/15714775941381glBM_JPEG/KakaoTalk_20191019_183243428.jpg?type=f287']
5,확실히 무소음이라 소리가 진짜 안나요!!사플 중요시 여기시는 분들이면 진짜 무소음 적축 강추드려요!! 대신 약간 타감이 좀 뻑뻑해요 그건 뭐 개인차 있겟지만은.. 고려해주시고요ㅎㅎ 이케아 색상 찐파랑 찐노랑 너무너무 이뻐요~~~!!! 진짜 대존예구요 . 상큼합니다. ㅎㅎㅎ,"['https://phinf.pstatic.net/checkout/20190223_82/15509183868388xp2r_JPEG/EBD65FD1-5A0C-4985-9E66-DA1E323BCA88.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190223_177/1550918388779ijIzu_JPEG/DEFCA1D2-8628-405B-882E-779BAB059977.jpeg?type=f287']"
5,LED 반짝거리는거 싫어하는데 그런거 없어도 키보드가 너무 이쁘네요. 타이핑 시 소리도 작도 키감도 아주 적당해요. 손가락에 무게가 크게 실리지 않아 피로감도 적고 숫자패드 거의 안써서 이모델로 샀는데 공간활용면에서 매우 만족스럽습니다.,[]
5,빨리 도착했습니다. 소리도 청축보단 조용하고 우리 아들이 배그하는데 청축이 소리가 많이 나서 불평 이었는데 지금은 부드럽고 너무 좋다고 하네요 . 치킨닭도 자주 먹고 대 만족... 사용하고 깨끗이 닦고 덮개로 덮고 고이고이 쓰네요 ㅋㅋ,[]
5,"색상이 너무 잘 나왔습니다. 그리고 키감도 좋고 저소음이라 타사 적축보다도 훨씬 조용해서 사무실에 쓰기에 딱입니다. 청축, 적축에 비해 타건이 좀 밋밋할 수도 있지만 저소음 적축만의 느낌이 있어서 잘 쓸 수 있을 것 같습니다.",[]
5,"오랜시간 기다렸죠.
스웨디시 검은 색깔 ~~
환호!!!
와우!!!
이겁니다~~~","['https://phinf.pstatic.net/checkout/20201124_259/160620669796423iuB_JPEG/review-attachment-30236c04-3173-4604-90c8-6ea818f95ad0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201124_169/1606206700642pQgQv_JPEG/review-attachment-4e6d5ae9-0951-4173-97a5-449866650cce.jpeg?type=f287']"
5,실물색감이 너무 이쁘고 키감도 말할거없이 좋아요 원래 청축썼는데 생각보다 금방 적응되네요,"['https://phinf.pstatic.net/checkout/20191009_281/1570615476570A83s3_JPEG/AF08434A-D8DA-4DFB-9DD7-6A521F787E48.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20191009_205/1570615477554XQUKT_JPEG/EE79C05C-F248-4C8C-820B-616171199ACD.jpeg?type=f287']"
5,텐키리스 처음 써보는데 적응되니까 숫자키 없어도 안불편하구요! 소음이 조금있긴한데 키캄이 좋아서 괜찮아요!,['https://phinf.pstatic.net/checkout/20191204_183/15754241270053GTXY_JPEG/1575424114756.jpg?type=f287']
5,제가 원하는 조건이 다 갖춰 있습니다. 다른 색상으로 재구매 예정임,['https://phinf.pstatic.net/checkout/20191201_202/1575187175245BJOQu_JPEG/2019-12-01-16-47-14-350.jpg?type=f287']
5,저소음 적축쓰다가 갈축써보고 싶어서 샀는데 맘에 듭니다 ㅎㅎ,['https://phinf.pstatic.net/checkout/20191121_82/1574341858601hmTxh_PNG/%C1%A6%B8%F1_%BE%F8%C0%BD.png?type=f287']
4,전체적으로 마감처리와 키감은 만족스러우나 스페이스바의 스프링 소리가 큽니다.,['https://phinf.pstatic.net/checkout/20191030_193/1572401493690GsMG3_JPEG/3B3431F4-59D7-44CD-B8DF-8AE3DA437B71.jpeg?type=f287']
5,남자친구 선물해줬는데 엄청 좋아하네요 ㅎㅎ,['https://phinf.pstatic.net/checkout/20191101_247/1572594622531ggPyI_JPEG/B8C85BDD-E0FB-4B4E-8625-5BB8E89BB6FB.jpeg?type=f287']
5,포장도 배송도 좋아요,['https://phinf.pstatic.net/checkout/20191030_193/1572365714891TpMBO_JPEG/1572365694606.jpg?type=f287']
5,진짜 좋아요 !!!! 정말 좋아요 !!!!!,['https://phinf.pstatic.net/checkout/20191126_170/1574694136565jWrDk_JPEG/968D7E15-F1B6-4F15-A6D7-B93B37280324.jpeg?type=f287']
5,"배송빨랐구요~~
신랑이 갖고싶어하던키보드라 사줬더니 엄청 좋아하네요!!색깔도 이쁘구요",['https://phinf.pstatic.net/checkout/20191016_179/15712281122213AQ0T_JPEG/20191016_211353.jpg?type=f287']
5,오아 진짜 예뻐요~~~,['https://phinf.pstatic.net/checkout/20191015_217/15711344355875B1Yh_JPEG/20191015_185814_860.jpg?type=f287']
4,굿 조아요 조아 굿ㅅㅅㅅ,['https://phinf.pstatic.net/checkout/20191106_109/157301516489126fBp_JPEG/20191106_133854.jpg?type=f287']
5,"전부터 너무 갖고 싶었던 레오폴드 제품입니다.
기계식은 역시 쫀쫀한 청축이죠! 레오폴드는 갈축이 유명하다지만.. 나중에 갈축도 하나 사보고 싶네요",['https://shopping-phinf.pstatic.net/20191004_2/93c1d091-c25a-4792-b681-75485ec87b93.jpg?type=f287']
5,정말 소리도 작고 이번에 큼맘먹고 질럿는데 정말 좋네요,['https://phinf.pstatic.net/checkout/20190929_18/1569738504055ip2CQ_JPEG/BF6BC027-DA1C-4403-96D5-CA41D289F80A.jpeg?type=f287']
5,배송도 빠르고 제품 받아보니 역시 레오폴드다 ! 키보드 타건 해보니 역시 저소음적축이다 ! 매우 만족하고 있습니다 ㅎㅎㅎ,"['https://phinf.pstatic.net/checkout/20190425_146/155616442932879CAC_JPEG/C1478F2B-5D84-447D-BF8E-41DA7BA2BA07.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190425_230/1556164431174RA0SS_JPEG/ED79D90D-0A58-496D-92FD-7DA4E02D483F.jpeg?type=f287']"
5,키감 너무좋아요 ㅠㅠ 구름타법!!,[]
4,소리가 확실히 조용하고 키감도 나쁘지 않음,[]
5,키감과 소리가 아주 좋습니다.,[]
3,조아요 조아 ㅅㅅ 조아요 굿굿,[]
4,촉감은 좋은데 스페이스가바 너무 잘눌려져서 단점..,[]
5,레오폴드 키보드는 처음 써보는데 마감이 상당히 좋습니다. 그리고 저소음 적축 답게 확실히 사무실이나 조용한 공간에서 써도 크게 남들에게 피해가 갈거 같지 않습니다. 색은 무조건 이쁩니다.,[]
5,사용 중인 갈축 필코제품이 너무 오래되서 구입했습니다.키감은 좀 더 묵직하고 조금 서걱거리는 느낌에 아주 조용합니다. 레오폴드 답게 품질 역시 아주 좋습니다. 잘 사용하겠습니다^^,[]
5,저소음 적축 처음써봤는데 조용하고좋네요,[]
5,이쁘고 키감이 너무 좋네요,[]
3,"저소음구입했는데 소리나는게 왔어요
그리고 쪼매 불량이라 맘엔 안 들지만 아이가 좋아해서
그냥 쓰기로 했습니다.
ㅜㅜ",[]
5,갈축인데 너무 타건감이 좋아여 게임할때도 좋네요 감사합니다,[]
5,배송도 빠르고 키보드 타건 느낌도 좋네요 잘쓰겠습나다,[]
5,빠른배송 역시 레오폴드꾸밈과짜임새라는 이름이 마음에 들어서 여기서 주문햇어요❤ 제가 가지고 잇던 키캡으로 변경중에 찰칵❤키스킨이 탐나지만 리뷰잘썻다구 주시진 않겟쵸 홍홍홍,['https://phinf.pstatic.net/checkout/20190612_227/1560314473450WH1Au_JPEG/BA2A1A85-1A75-40DB-9DAA-26987D8BF605.jpeg?type=f287']
5,배송 그리고 제품 둘다만적해용,[]
5,너무좋아요 .소리도많이안나고,[]
5,"조용하고 깔끔합니다.
타건감 훌륭 하고요

led없는 제품을 찾았는데 너무 마음에 듭니다.",[]
4,배송은 빨라서 좋은데 개봉씰이 뜯겨있어서 좀 의심이 가더라구요. 확인결과 문제 없는거 같아서그냥씀니다,[]
5,배송도 빠르고 진짜 조용하네요 ㅋㅋ,[]
5,"1년을 살까 말까 고민했는지
그동안 고생한 손가락에 미안하다고 말하고 있습니다 너무 좋습니다!",[]
4,디자인 실물이 더 낫네요.,['https://phinf.pstatic.net/checkout/20190610_288/1560135842367ojtUY_JPEG/20190607_134848.jpg?type=f287']
5,좋아요! 근데 배송비는 무료로 해주시면 더 좋을것같아요,[]
5,색깔 좋고키감 좋고배송 좋고,['https://shopping-phinf.pstatic.net/20191118_14/4fc41158-3fe2-451b-84dd-838f9bd3b456.jpg?type=f287']
5,배송빠르고 타건감도 미친듯이 좋아요로지텍 G413쓰다가 바꿨는데 차원이 다르네요,['https://phinf.pstatic.net/checkout/20190516_149/1557980630477AF6Lw_JPEG/20190515_193934.jpg?type=f287']
5,키보드도 이쁘고 잘사용중에 있습니댜,[]
5,색이너무이뿌고갈축이라소리도좋음,[]
5,이쁘고좋네요 감사합니다,['https://phinf.pstatic.net/checkout/20190216_173/1550328500931LcPqu_JPEG/20190216_234800.jpg?type=f287']
5,"빠른배송, 디자인, 터치감 모두 만족해 하네요",['https://phinf.pstatic.net/checkout/20190215_237/1550156633073JYGtJ_JPEG/20190214_165416.jpg?type=f287']
5,역시 레오폴드 갓 입니다.,[]
5,키감이 너무 좋습니다,[]
5,너무 이쁘네요 갈축이여서 소리 크지도 않고치는 맛도 있고 짱이네요,[]
5,생각보다 훨씬 빨리 도착 했네요!!,[]
5,배송겁나게빠르고키보드완전이쁘네요,[]
5,배송도 빠르고 키감도 좋고 조용하네요 색감도 이뻐서 만족합니다,[]
5,"정말 소음이 적어요. 그리고 색감도 이쁩니다. 만족합니다.처음 느낌은 기존에 적축을 쓰고 있었는데, 기존 제품보다는 키감이 무거운 느낌입니다.그리고 색상의 화면으로 볼때보다 노랑파랑색이 생각보다 진한느낌이었었요.",[]
5,가격대비 완전 좋습니다! 배송이 특히 빨라서 더 좋았습니다,[]
