star_point,comment,photo
5,"키보드 타건감 조용하고 깔끔 합니다.애쉬그레이 제품 글자 각인 생깔이 노란색이라 약간 우려 했는데 시인성 우수하며 보기보다 눈이 편안 합니다. 만족 합니다.
키보드 제조 마감 품질도 흠잡을데 없이 좋습니다.
이 제품을 추천합니다.",[]
4,"디자인 깔끔하고 아주 조용합니다다만 엠스톤 t87 a 모델에 비해 더 조용한 대신서걱거리는 느낌이 조금 덜 납니다저는 바로 적응해서 잘 사용하고 있습니다아, 포장이 뽁뽁이에 칭칭 감겨와서 박스상태도 좋고밀봉상태였어요. 판매자님 최고!!!?",[]
5,"사무실에서 사용하기 위해서 구입했습니다.장시간 타이핑해야하고 소음도 많아서는 안되는 키보드여야해서 오랜고민끝에 이 제품으로 결정했습니다.텐키리스라 공간확보가 되어 사무실책상이 쾌적해졌고,오래 타이핑해도 손가락이 아프지않아 너무좋네요.",[]
4,"기계식 키보드는 처음 사용해보는데 키감이 조금 낯설기는 하지만 만족스럽고, 저소음이라 조용합니다. 기존 멤브레인 키보드와 비슷한 수준의 소음입니다. 특히 제품 완성도가 아주 괜찮은 것 같습니다.배송은 빠르지만 포장 상태가 아쉽습니다.",[]
5,"배송은 , 주문하고 다음 날 제품 받아 봤습니다. 마감이 4시 까지여서 그전에 주문 넣엇더니.. 다음 날 왔어요 :) 제가 원래 갖고 있던 게 청축 키보드 인데..알고 보니깐 체리 청축이...였습니다. 고장나서 산 제품은 아니고 스트레스를 타이핑 하면서 좀 풀었는데...청축이 너무 시끄러워서 고민하다 구매 하게 되었습니다. 저한테는.. 조금은 큰 지출이지만 사길 잘 했다고 생각 합니다. 키압이라는 것도 키보드 알아보면서 알게 됐는데 아직 적응이 안되서 그런지 저는 청축이 더 잘 눌리고 힘이 덜 든다는 느낌을 받았구요. 이건 아무래도 청축 키보드를 오랜 시간 사용하다보니 축 자체가 느슨해 져서 그런가? 싶습니다. 지금 구매한 제품으로 상품평을 쓰고 있는데소리도 조용하고 좋습니다. 아주. 만족스러운 제품 이예요. 두 제품 모두 같이 물려 놓고 사용할 예정인데, 좋습니다. 가격대가 있긴 하지만 좋은 선택이라고 생각 합니다.",[]
5,"빠른 배송에 감사하고 제품도 이상없습니다.
근데 겉상자에 개봉테이프 태그가 떨어진채 왔네요.
누가 한번 개봉했던것 같은데,만약 제품에 이상이 있었으면
환불 안되는 상황이었을텐데요.(테이프 태그에 개봉시 교환,환불불가라고 적혀있음) 암튼 잘쓰겠습니다.",[]
5,일반 키보드 쓰다가 기계식 키보드는 처음 써봐요 처음 칠 때는 일반 키보드보다 좀 더 무거운 느낌이 들었는데 쓰다보니까 뭔가 부드럽게 잘쳐지네요 무게가 있어서 문서작성할 때 키보드가 움직이지 않아서 좋고 캡스락인가 그거 걸려있으면 불빛도 나서 확인하기 좋아요 배송오고나서 문제 있을까봐 구매확정 늦췄는데 써보니까 문제도 없고 괜찮네요 저는 소음 많은 게 싫어서 저소음 적축인 걸로 샀는데 새벽에 글작업해도 이웃집에 피해 안가게 쓸 수 있어서 좋아요 처음 써 보는 기계식 키보드인데 만족하고 있습니다 ^^,[]
3,"스프링소리 상품은 복불복이니 참고만 하세요. 키 몇개에서 심한 스프링소리로 인해 문의를 드렸었습니다. 입력이 되지않는 문제 이외엔 불량이 아니며, 공장에서 대량 생산되는 상품이다보니 그럴 수 있다는 답변을 받았습니다. 레오폴드에 직접 문의 하라고 말씀주셨고요. 전체적으로 그런것도 아닌 몇 개의 키에서만 스프링 소리가 난다면 불량까지는 아니더라도 정상은 아니라고 생각됩니다. 그중 키 하나는 특히나 심하고요. 그 하나를 제외하면 그러려니하고 쓸정도 입니다. 본사에 연락하여 수리든 교환이든 진행하며 걸릴 시간 생각해보니 그게 더 답답할 것 같아서 그냥 사용합니다. 스프링소리만 아니었어도 정말 만족했을듯하네요. 저가라면 저가이지만 이런 문제가 있을 줄 알았다면 좀 더 고가인 제품이라도 다른거 알아봤을 듯 합니다...",[]
4,키보드 자체는 너무 예쁘고 소음도 적고 좋습니다. 바밀로 키보드 쓰다 갈아탔는데 고급스러움은 바밀로가 좀 더 좋지만 색감이랑 타건감은 바밀로보다 조금 나은 것 같기도 합니다. 다만 바밀로에 비해 딸깍거린다 그래야되나 그런 소음이 조금 있습니다.,[]
5,추천 합니다 정말 좋습니다. 장점 : 소음이 정말 거의 없다 약간 의 소리가 들리나 전혀 거슬리지 않고 그 어떤 저소음 키보드보다 소리가 작다고 봐도 무방한 제품이다. 타건감 이 나쁘지 않다고 봅니다 커세어 제품도 사용해 보고 로지텍 G pro 제품도 사용 중 이지만 솔직히 저의 개인적인 의견은 적축에 있어서는 정말 마음에 드는 제품 중 하나라고 말하고 싶네요 단점 : LED 특정 키에만 나와서 밤에 빛이 없다면 약간 불편 할 수도 있겠다 정도 기존 게이밍 키보드는 다 LED가 들어 오는 제품들 인지라 그것들에 적응이 된 시점에약간은 불편할 수 있겠다는 생각이 들어요 하지만 날 것 자체의 느낌 레트로한 느낌이 나쁘지 않다는 것 이이 단점마저 무마해 버리는 것 같아 전 그 점 또한 마음에 들어 버리네요,[]
