star_point,comment,photo
5,"갠취가 다 다르겠지만 내 입장에서는 여러 키보드를 비교 분석하면서 레오폴드가 가장 마음에 들었다. 첫째, 디자인과 색이 너무 이쁘고 마음에 듬. 보라색을 원래 좋아하기도 하지만, 튀는 색의 제품들은 복잡하며, 특히 한글자판은 난잡한 느낌인데 이 제품은 영문자판이라 심플&깔끔하면서도 돋보인다는게 매력 포인트 중의 하나다. 둘째, 조용하면서도 키감이 살아있다. 기존 기계식 키보드 소리가 너무 커서 작업을 하면서도 소리가 귀에 거슬렸다. 물론 치는 타건감이야 말할 수 없이 좋았지만 아무래도 직장에서 사용하다보니 다른 분들에게 폐끼치는 거 같아서 조금 조용하면서 키감이 있으면 하는 바램이 있었는데 딱 들어 맞는 키보드이다. 기존과 다르게 작업을 하면서도 소리가 조용하게 나서 느낌이 이상하긴 하지만 차차 적응해간다면 나아질거라 생각한다. 이상이며, 엠xx, 바xxx 등 여러 군데 비교해 본 결과 레오폴드가 가장 내 취향에 맞아 선택함.",['https://shopping-phinf.pstatic.net/20201008_4/9e01ee53-dda4-4d27-bc0b-55abbc907ab1.jpg?type=f287']
5,"배송속도는 매우 빠릅니다 결제한날 바로 붙여주셨어요박스가 작살이 나서 왔는데 ""취급주의:던지지 마시오""를 보고 던지는것 빼고 다 했구나 생각을 했습니다만용기를 내어 개봉한 작살난 박스 안에 든든하게 싸져있는 뽁뽁이에서 택배사에 대한 기묘한 신뢰가 느껴졌습니다.내용물은 멀쩡했기 때문에 내용물 사진은 생략합니다.잘쓰겠습니다.",[]
5,"소리도 키감도 너무 좋아서 지른 돈이 후회가 되지 않을 정도다. 이런 식으로 내가 키보드를 두들기고 있다 보면 온 세상의 근심 걱정들이 모두 날아가버리는 것 만 같은 기분이 든다. 실제로 그렇지 않을까 의문도 든다. 나를 괴롭히는 것, 나를 근심하게 만드는 것, 나를 고통스럽게 만드는 것. 그런 것들 모두가 내가 이 키보드를 두들김으로써 사라지니 이 기분을 평생 느끼고 싶다. 부드러운 촉감에 내 몸을 맡기면 내 자신에 더 집중할 수 있다. 거대한 행복감을 느낄 수 있다. 한가지 후회되는 것이 있다면 내가 지금까지 이 키보드를 알아보지 못하고 찾아보지 못하고 사지 못했던 것에 대한 후회가 든다. 이런 기분을 진작에 느낄 수 있었더라면 내 인생이 조금은 바뀌지 않았을까도 생각이 든다. 이 소리와 촉감이 나를 진정시키고, 침착하게 만들고, 신경과 정신을 날카롭게, 내 시선과 주변과 앞으로의 미래에 집중하게 만든다. 이런 명품을 이제야 만났다는 사실에 작은 비탄을 통감할 뿐이다.",[]
3,기존에 쓰던 키보드가 시끄러워 바꿨는데 무척 맘에 들어하네요. 터치감 좋고 조용하고...근데 택배가 3일만에 왔네요. 요즘 cj택배 다른것도 다 늦게오고 정말 맘에 안들어요. 다른데서 주문하려는걸 우겨서 여기서 산건데...이제 택배사도 확인하고 주문해야할듯. 키보드는 예쁘고 좋아보이네요. 요즘엔 참 고급스럽게 잘나와요. 그만큼 비싸긴 하지만요.고장안나고 오래오래 썼음해요.,[]
5,"기존 타사 갈축, 적축을 오랫동안 사용하다가 장소에 따라 소음 때문에 곤란해 하던 중 리얼포스 저소음 무접점과 고민하다가 구매했는데 만족도가 아주 높습니다키감은 기존 적축과 큰 차이가 없으며 소음 부분에서 아주 대만족이네요PBT 키캡에 따른 호불호가 있을 수 있을것같고capslock, numlock, scrlock 키 활성화 표시등에서도 호불호가 생길것 같네요제품 마감이나 퀄리티는 아주 좋습니다",[]
5,지방이라 타건샵갈 생각은 못했고사무실에서 쓸 거라 조용하다고 하는 저소음 적축으로 구매했습니다따각따각 소리가 아에 안나는 건줄은 몰랐어요기존에 쓰던 키보드는 키가 내려가면 툭 툭 스위치 눌리는 느낌이 들고 압력도 세게 해야 키가 눌리는 반면에이거는 내려갈 때 느낌도 굉장히 가볍고 걸리는 것 없이 소리도 거의 안 들릴 정도로 사각사각거려서 타이핑 할 때 느낌이 굉장히 좋습니다한영키가 따로 없고 한자키가 없는것이 흠이라면 흠인데한영키 = 오른쪽 ALT한자키 = 오른쪽 CTRL 키로 사용 가능합니다아주 쓰기 좋은 기계식 키보드를 잘 산 것 같습니다,[]
5,처음에 업무시간 전에는 옆자리 앉아계신분이 타자소리가 들린다고 하셧는데요. 업무시간이 지나고 물어보니 일 하고 있는줄도 몰랏다고 하셧어요실제 치고 있는 저는 소리를 느낄수 있지만 다른분들은 잘 안느껴지는 상태라 마음놓고 타이핑 하셔도 될듯해요 추천해요,[]
5,정말 마음에 듭니다. 바로 한달전에 리얼포스 55G 를 구입했지만 빠른 타이핑을 할 때 한글 자음을 칠 때 왼쪽 새끼 손가락쪽이 굉장한 부담이었어요. 그런데 이번 저소음적축을 사보니 정말 바꾸길 잘했다는 생각이 드네요. 생각 이상으로 만족하고 있고 주변에서도 한결같이 가격+키감에 훌륭하다는 평입니다. 구입하시면 정말 후회하지 않을듯 합니다. 소음은 정말 발군이에요. 아무리 세게 두드려도 옆에서 일반 번들키보드 치는 소리보다 조용합니다. 가성비 정말 좋아요.,[]
5,모던한 디자인의 매력 와 진짜 너무 이쁘구여 개인 호불호야 있겠지만 led rgb full color 있는 다른 모델보다 디자인적으로나 키캡의 품질 색상 조용함 서걱거림 키압 모든게 다 만족스럽내요 나중에는 업무용 말고 게이밍용으로 텐키리스 갈축도 하나 사야겠어요 정말 레폴 갈축이 그렇게 유명하던데 조만간 또 사러오겠습니다 ^~^ 저소음 적축 고민하는분 있다면 바로 추천드립니다 강추강추,[]
5,"사무실에서 최고 강자 기계식 키보드는 처음이라 여러 브랜드를 알아보고, 키보드의 타입에 대한 공부&타건까지 직접 느껴보았는데, 기계식 키보드의 최소 조건을 만족하면서 최대의 효과를 느낄수 있는 키보드를 골랐습니다. 배송받아서 사용한지 이틀째이며, 키보드를 두드리는 순간이 매우 즐겁습니다.사무실에서 소리에 대한 배려, 나의 만족도를 원하신다면 적극 추천합니다.",[]
5,포장도 깔끔하고 안전하게 왔네요 정품실이 너무 쉽게 뜯어져 살짝 놀라긴 했지만 만족합니다,"['https://phinf.pstatic.net/checkout/20200410_10/15865272811644v1j3_JPEG/6903215A-D4BB-4C9B-BBC2-B9893A843F93.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200410_91/1586527281294uQ5Eh_JPEG/D831E5A0-3579-4322-879D-35A9BD8EDD8C.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200410_174/1586527281173dUU11_JPEG/1161091A-5AE2-4581-B2D5-6E02DB214036.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200410_192/1586527281204yWz9s_JPEG/6453E2CA-39A1-4D04-B6DB-4ABABD7EB49F.jpeg?type=f287']"
5,really good,['https://phinf.pstatic.net/checkout/20201106_125/1604629800678MFM3a_JPEG/review-attachment-81d3668e-a53b-4394-aa8e-8ac64686c6b0.jpeg?type=f287']
5,"빠른 배송 감사합니다
제품도 깨끗하게 왔어요
잘 쓰겠습니다",['https://phinf.pstatic.net/checkout/20201105_182/1604505416413LK41q_JPEG/review-attachment-e8768968-3504-4d4b-a877-a7cd6c1c68ec.jpeg?type=f287']
5,남편 선물해주었어요 배송도 하루만에 오고 제품도 너무 훌륭해서 만족해요! 디자인도 예쁘고 타자 소리 정말 거의안나네요~ 개발자 남편이 만족해 합니다!,['https://phinf.pstatic.net/checkout/20200907_171/15994387413853747u_JPEG/review-attachment-4600e364-beef-42ce-83b6-2f2992d80623.jpeg?type=f287']
5,화이트 그레이 색상도 이쁘고 키감도 좋아요,['https://phinf.pstatic.net/checkout/20200922_110/1600778631765VaXfy_JPEG/review-attachment-78215df9-bdfe-43ce-8f84-8bbba79a48c6.jpeg?type=f287']
5,디자인도 이쁘고 키감도 너무 맘에 듭니다 조용해서 오래 쓸수 있을 것 같습니다^^,['https://phinf.pstatic.net/checkout/20200908_99/1599543744367K8nul_JPEG/review-attachment-db3e7d44-6acc-40c3-b311-64ac6d4c9bbe.jpeg?type=f287']
5,이쁩니다!!! 저소음적축이긴하지만 그렇다고 소리가 아예안나는건아니에요. 오피스에서 사용중인데 사각사각 거리는 느낌이 너무 좋아요 ㅎㅎ,['https://phinf.pstatic.net/checkout/20200914_110/1600080371898aeJth_JPEG/review-attachment-e0b7cc79-7dd0-40a5-9d1f-ef22b14520d3.jpeg?type=f287']
5,저소음 적축을 사용하고 계신분이라면 충분히 살만하지만 써보지 않고 구매하셨으면 키감이나 이런부분이 살짝 불만족스러울수도 있으니 반드시 경험하고 구매하세요,['https://phinf.pstatic.net/checkout/20200918_292/1600396802655eiYgH_JPEG/review-attachment-f044e088-f5b8-4877-85c5-2107ffe89e8e.jpeg?type=f287']
5,"제품은 좋아요. 실물 받고나니 텐키없는걸로 살껄, 약간 후회됩니다. 기계식 텐키 없는것만 보다가 있는거 보니 엄청 커보이고, 이동이 잦은데 약간 부담스럽네요.
제품엔 문제 없습니다.",['https://phinf.pstatic.net/checkout/20200912_261/1599873794300M2fir_JPEG/review-attachment-d78f885d-577d-4ab3-93e6-11bd6f410c6b.jpeg?type=f287']
5,좋아요 청축을 써는데 소음(?)땜시 신경쓰였는데 이번에 적축을 사용해보려고 구매했습니다 키감도도 좋고 비싼만큼 제값하네요,['https://phinf.pstatic.net/checkout/20200828_101/1598570018082WfLcp_JPEG/review-attachment-1f5942e9-ef58-41c9-a016-2e4bec41c834.jpeg?type=f287']
3,"소음이 진짜 없다고 보면 됩니다.
근데 게임용으로는 별로인것같아요
사무실에서 소음이 싫으신분들에게 강력추천합니다.",['https://phinf.pstatic.net/checkout/20200822_207/1598107951603Vo4Sv_JPEG/review-attachment-63ceb1cf-ba1c-41ae-8c75-de130425baa7.jpeg?type=f287']
5,저소음 적축이라 조용하고 이쁩니다,['https://phinf.pstatic.net/checkout/20200831_70/1598838527186dT6Ko_JPEG/review-attachment-c54aee57-a004-4d75-a3e4-1531e8f24152.jpeg?type=f287']
5,진짜좋네여 소리도 부드럽고,['https://phinf.pstatic.net/checkout/20200825_222/1598363792382hnpFG_JPEG/review-attachment-61be30d9-deaa-4763-b8f0-90fed7302e41.jpeg?type=f287']
5,키감 너무 좋고 디자인도 실물이 더 예뻐요,['https://phinf.pstatic.net/checkout/20200730_251/1596084434481P2KNW_JPEG/review-attachment-db1a1587-547c-4008-8538-b6e37c287f6a.jpeg?type=f287']
4,예쁜 걸로 50점은 깔고... 전에 갈축과 무접점 꽤 오래 사용하고 청축도 간간히 썼는데 그런 키감이 아니네요. 걸리는 것 없이 비교적 더 가벼운 느낌? 그리고 매우 조용합니다. 아직은 약간 어색한데 곧 적응하지 않을까요? ㅎㅎ,['https://phinf.pstatic.net/checkout/20200805_239/1596582676255csK5l_JPEG/review-attachment-0395d02c-652c-4adf-a2c6-fe93fab098d4.jpeg?type=f287']
5,"배송 빨라요!!
기대했던데로 키누르는 소리 안나네요",['https://phinf.pstatic.net/checkout/20200807_152/1596793769477fSAUX_JPEG/review-attachment-79a5637a-7d84-4fa4-af3e-61078b513313.jpeg?type=f287']
5,"서걱서걱 느낌 너무 좋고 조용해요!
사무실에서 쓰기 좋아요",['https://phinf.pstatic.net/checkout/20200806_45/1596694857751dgoK6_JPEG/review-attachment-146275f1-30c9-483b-b686-d80abcc1b3cd.jpeg?type=f287']
5,토욜에주문해서 기대안했는데 엄청빠르네요 배송저소음이라 조용하고 잘샀어요,[]
5,양품입니다 회사에 두고 쓰는데 아주 부드럽고 편해요이쁜 색 있으면 또 살 의향 있습니다배송 빠른게 아주 맘이글어요,[]
5,배송도 빠르고 실물로 보니까 정말 예뻐요 조금 뻑뻑한 감이 있는거 같아요,[]
5,아프기 전에 투자하는 마음으로 샀습니다ㅠㅠ 키감 좋네요~~,['https://phinf.pstatic.net/checkout/20200617_16/1592365306595W3w6r_JPEG/9906CF3D-854F-4F35-9681-A8845C1DC6B5.jpeg?type=f287']
5,좋았어요 예쁘고요 ㅎ,[]
5,"디자인 심플하고 이뻐요. (개인적으로 영문키보드라 더 심플)
저소음 적축이라 조용하고 걸리는거 없이 타이핑 많이 하시는분들께는 최고입니다.",[]
5,"뭐.. 일단 좋습니다.
개발일을 10여년 쯤하고있는데 적축임에도 사무실에서 눈치보였으나..
이건.. 정말 소리가 안나고 살짝 보글보글 하기도 하고 재밋습니다.
개발력 10% 상승",[]
5,원하던 제품 저렴하게 잘 샀습니다,[]
5,확실히 키감도 좋고 노트북 거치대를 같이 사용하니까 자세도 좋아졌습니다~ 비쌀만 하네요,[]
5,"키감은 가볍고
소음은 아주 적당해요!
사무실에서 쓰기 괜찮아요",[]
5,이틀만에 배송 받았구요 원하던 컬러여서 너무 좋아요!,[]
5,키감 좋네요. 구름위를 걷는듯한..,[]
5,소음없고 적당합니다. 잘쓸께요.,[]
5,잘눌리고 조용해요 만족합니다,['https://phinf.pstatic.net/checkout/20200519_91/1589894347649zEaRn_JPEG/20200519_221738.jpg?type=f287']
5,키감이 너무좋네요 추천!!,[]
5,정말 좋은거 같습니다,['https://phinf.pstatic.net/checkout/20200526_61/15904526271246zrpT_JPEG/image.jpg?type=f287']
5,"군더더기 없고 심플합니다 디자인도 깔끔하고, 소음은 매우 적네요 만족합니다",[]
5,바밀로 저소음 적축이랑 고민 많이했는데 디자인이 예뻐서 레오폴드로 했어요. 후회없어요! 키보드 끝판왕은 레오폴드 저소음 적축!,['https://phinf.pstatic.net/checkout/20200505_226/1588683500583O6a4N_JPEG/20200428_195138.jpg?type=f287']
5,조용하고 깔끔하고 괜찮습니다.,[]
4,조용하면서도 키감이 좋습니다,[]
5,실물이 더 예쁘네요 키감도 짱!,[]
5,사무실 키보드소리 시끄럽다고 해서 구입했는데 모두가 만족합니다 ㅋ,[]
5,키감 좋고 소리가 다른 기게식보다 없습니다,['https://phinf.pstatic.net/checkout/20200413_86/1586738000296oPjIG_JPEG/09E13DE2-265D-4EB0-80CB-BF3BF2D2BDF2.jpeg?type=f287']
