star_point,comment,photo
5,배송은 수요일 밤늦게 주문해서 금요일 낮에 받았어요! 베이비쿠키 마우스랑 같이 구매했는데 너무 예뻐요ㅠㅠ 인테리어용으로 쓰기에도 좋고 무엇보다 누르는느낌이 다각다각 너무 좋아요! 나중에 다른캐릭터로도 살려구요ㅋㅋㅋ 장패드까지 세트로 다 구매해서 책상에 놓을예정인데 방 들어오자마자 책상이 먼저 딱 보이는 구조인데 보면 기분도좋아지고 기분전환 제대로일거같아요ㅎㅎ 요즘 코로나때문에 집에서 노트북으로 온라인클래스 듣는데 과제할때도 기분이 넘 좋은거있죠ㅋㅋㅋ 짱입니다!!,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_24_0/7e7c2689-8607-11ea-b2bf-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200424_44/1587717574042U21VJ_JPEG/20200424_173808.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200424_69/1587717698635MdkWf_JPEG/20200424_174127.jpg?type=f287']"
5,노트북에 같이 쓸 키보드로 구매했는데 대만족입니당!! 치미로 샀는데 엄청 쨍한 노란색일 줄 알았는데 그래도 좀 차분한 색깔이라 좋았습니다! 특히 치미 키캡이 너무 귀여워서 너무 좋아요!! 키감도 마음에 들고 잘 쓸 것 같습니다!,"['https://phinf.pstatic.net/checkout/20200404_159/1586007214345jnj2r_JPEG/31A049BC-5039-49ED-8532-834310135BAB.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200404_147/15860072146937oNfg_JPEG/A990B8A8-458F-460E-9ECF-4E52A3E18543.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200404_37/1586007214537u8fnK_JPEG/FCBA31A8-2F8D-4A89-A4A0-DAC94813DE9C.jpeg?type=f287']"
2,"디자인은 너무 예쁜데, 보라색 부분에 끈적거리는 기름? 기름보다 좀 더 끈적거리는 뭔가가 묻어있어서 찝찝하고 기분 안 좋았어요.
키 사이사이에도 묻어있어서 키캡 빼고 닦았네요. 박스에는 씰 붙어있었으니 새거라는건데, 누가 쓴거 넣은건 아닌가 싶게 비닐포장도 봉인 되어있지 않고 그냥 넣기만 했더라구요...;; 찝찝하고 기분 안 좋네요. 검수하고 보내줬으면 해요.","['https://phinf.pstatic.net/checkout/20200512_282/1589287496963Dbdlw_JPEG/D21904B0-3719-461B-AB57-E51698587CE8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200512_68/1589287497202d8rdq_JPEG/EA21BA1E-5D5E-4473-935D-C4B0DCD93BC2.jpeg?type=f287']"
4,"배송도 빨리 왔고 키보드는 불량이 없을거라 믿고 구매했어요
배터리가 빨리 닳는다는 후기들이 있는데 한달정도 사용해봐야 알 수 있을 것 같네요! 처음에 사용할때에는 적응시간이 필요했는데 사용한지 지금 한 5시간 되어가는데 벌써 적응을 해버렸어욬ㅋㅋㅋ 타자감도 좋고 소리 안나는게 최고 :)","['https://phinf.pstatic.net/checkout/20200130_279/158031270663137s9A_JPEG/%C5%C3%B9%E8.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200130_190/1580312706695wfg5p_JPEG/%C6%F7%C0%E5.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200130_268/1580312706604E1Ied_JPEG/%BC%B3%C4%A1%BC%A6.jpg?type=f287']"
5,뭔가 캐릭터 다 너무 귀여워서 고민하다 타타로 했는데 어휴 뿌듯하네요 귀여워요.. 진짜 딱 방 들어오면 키보드 먼저 보이는데 너무 귀여워서 미칠 지경입니다 ㅠㅠ 진짜 이거 산 나 자신 대견하다..! 키보드 소리가 따각따각일 줄 알았는데 다각다각 거리네요 뭔가 물 먹은 그런 느낌의 소리...? 몽알몽알이에요. 아직 타자가 익숙치 않아서 빠르게 치지는 못하지만 아 그래두 누르는 거 너무 재밌습니다 잘 쓸게요!><,['https://phinf.pstatic.net/checkout/20200404_85/1585934282901QbfLq_JPEG/%A4%B7%A4%B7.jpg?type=f287']
2,박스포장상태가 별루였어요....;;; 키보드보다 큰 상자에 담아져서 공간이 많이 남는바람에 배송스티커도 떨어질려고 하고... 박스봉합상태도 별로 였습니다. 박스포장을 조금더 신경써서 해주셨으면 좋겠어요. 하지만 키보드는 만족합니다. 너무 귀엽기도 하구요~,"['https://phinf.pstatic.net/checkout/20191220_107/1576821295066OETYL_JPEG/KakaoTalk_20191220_094113899_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191220_261/1576821295327SLYfQ_JPEG/KakaoTalk_20191220_094113899_04.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191220_103/1576821295107aayTU_JPEG/KakaoTalk_20191220_094113899_03.jpg?type=f287']"
5,좋아요! 찰칵거리는 소리가 날 줄 알았는데 조금 더 뭉툭한 소리가 나요 ㅎㅎ 근데 넘 기여워여... 알제이를 사고싶었는데 코랄계열 색을 좋아해서용 근데 코야도 넘넘 기엽씁니다 비티칭구들 모두 다 기엽지만 ㅠㅠ 경제적 여유만 된다면 다 쓸어담고싶습니다.......,"['https://phinf.pstatic.net/checkout/20191229_7/1577593049576FNwpO_JPEG/792306EC-5C2B-461D-B526-3CE061FD8A55.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20191229_271/1577593049558TSWhf_JPEG/49EB3AEC-2DAE-4680-80F5-51F713B56B04.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20191229_82/1577593049687D2gQV_JPEG/46161467-288F-4B2A-A878-BE07C3D57137.jpeg?type=f287']"
5,"완전 캐귀욤하네여.
esc키빼고 피규어키 꼽는것도 너무 신박하고 가끔눌리는 esc키 손맛이 있네여 ㅋㅋㅋ
소음도 별로 없고 너므 좋은데 꾹꾹 눌러야하네욘.
그래두 타타 넘귀엽

아 그리고 집에 먼지가 많아서 키보드 덮개가 필요한데 없네영 ㅠㅠ","['https://phinf.pstatic.net/checkout/20191219_281/1576745599332w5lM1_JPEG/19-12-19-17-47-52-540_deco.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191219_70/1576745605620cOyuu_JPEG/19-12-19-17-47-30-112_deco.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191219_122/1576745610839yIggC_JPEG/19-12-19-17-47-03-166_deco.jpg?type=f287']"
5,"넘 귀여워서 샀는데 만족하면서 쓰구있어요
디자인쪽일하다보니까 키보드쓰는일이 많은데
불편하지도 않구 타자칠때마다 오도독 소리가 너무 귀엽네용..(두근)
돈만 많으면 더 쟁여놓구 사고싶어요
열심히 일해서 더 살게요 화이팅",['https://phinf.pstatic.net/checkout/20200331_75/1585652300153FF8XV_JPEG/5CEA70E7-3FF9-47A1-B012-07DD6B96574F.jpeg?type=f287']
5,보라색 무선 키보드를 찾다가 방탄 캐릭터 키보드가 있다는 걸 알고 바로 구입했어요. 디자인이랑 색감이 너무 예뻐요. 회사 책상에 놓고 사용할 생각을 하니 절로 웃음이 나네요. 사무실이 환해질 듯... 업무도 조금은 즐거워지겠죠?^^,['https://phinf.pstatic.net/checkout/20200401_65/1585668987545qm1qd_JPEG/20200331_172614.jpg?type=f287']
