star_point,comment,photo
5,"잘 받았습니다.
업무용으로 사용하려고 백라이트가 화려하지 않은 제품 찾다가 구매했어요.
추가로 키캡 세트 주는 건 원래 그런 건지 모르겠지만 감사합니다. 상품 설명에 넣으면 좋을 듯.

국내 정발품은 게임용 키캡이 있는 걸로 아는데 저야 뭐 게임용이 아니니 상관 없어요.

받으면 박스는 어쩌지? 했는데 박스는 그냥 벌크로 와서 고민할 필요 없어서 좋네요.",['https://phinf.pstatic.net/checkout/20201116_58/1605498914839c84Ry_JPEG/review-attachment-ca91a4c4-4f7e-4c1a-b3c1-91d0dd0ba840.jpeg?type=f287']
5,아주 좋습니다. 키보드 타격감도 괜찮구요. 소리도 적당하고 디자인과 빛도 요란하지 않고 아주 좋아요. 첨부되어 온 키들의 모양이 다른데 손을 올려놓았을때 살짝 감기는 느낌이 들어서 매우 좋습니다. 아주 만족합니다. 고장도 없고 배송도 빠른편이에요. 강력 추천합니다. 겜돌이에게 딱 맞는 키보드에요.,['https://phinf.pstatic.net/checkout/20201006_186/16019495856919wtEf_JPEG/review-attachment-47f59a56-53b5-4fd0-9e74-a5358e144b45.jpeg?type=f287']
1,"처음물건받고 약3일후 확인했을떄 스페이스 버튼이 반쯤 맞이간상태였습니다 그래서 이미 몆일지나서 환불안될거같아서 그래도썻는데
그러고나서 딱한달됬을떄 한번 썌개 누르니까 바로 부러짐
내구성도 약하고 제품자체가 99%인상태로왔습니다
이제품을 구매하고 확인할떄 모든 버튼이 정상적으로 작동하는지 확인해야합니다",['https://phinf.pstatic.net/checkout/20200831_222/1598840790748vUHqm_JPEG/review-attachment-936747bc-4399-471f-a174-0d66a8dac068.jpeg?type=f287']
5,"역시나 생각했던대로 타건감도 좋고, 의외로 구성도 탄탄해서 더 맘에 들었네요! 받아보면 게임할 때 자주 누르는 qwer asd 12345 부분의 키캡을 추가로 동봉해 주는데, 누를 때 더 안정적이고 편안한 모양이라 전 바로 바꿔서 쓰고 있습니다 매우 만족스럽습니다!",['https://phinf.pstatic.net/checkout/20200807_112/1596772424749yedRn_JPEG/review-attachment-29afe5af-8e19-497a-864d-a2abf0444c6f.jpeg?type=f287']
5,이전에 저렴한 기계식 키보드를 아무거나 썼는데 소리도 좀 날카롭게 시끄러웠고 수명이 다 된것같아서 이 키보드 추천받아서 구매했어요. 축이 낯설길래 잘 맞을지 긴가민가 했는데 타건감도 그렇게 묵직하지 않고 소리가 차분한 느낌이라 마음에 들어요~ 오래 쓰고싶네요!,['https://phinf.pstatic.net/checkout/20200508_149/1588873838586stgg9_JPEG/KakaoTalk_20200508_024441940.jpg?type=f287']
5,"이 제품을 이번이 세번째
구매하는 겁니다.
다른 두곳에서 구매한것들이
모두 불량이었거든요.
다른곳에서는 제품 박스도 그냥 일반 누런 박스에 넣어와서, 병행수립 제품은 다 그런 줄 아랏는데 아니더군요.


이곳에서 구입한 리뷰 갑니다.

먼저 배송이 굉장히 빨라요,
주문하고 이틀만에 받았습니다.
포장도 다른곳과 다르게 정품박스에 넣어서 제공되네요.
(다른곳은 그냥 누런박스에 배송왔었습니다.)
일주일정도 사용했는데
불량없이 잘 됩니다.

매우만족합니다.
적극추천!!","['https://phinf.pstatic.net/checkout/20190930_91/1569831087317WquMj_JPEG/20190930_170814.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190930_169/15698310895242f641_JPEG/20190930_170805.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190930_226/1569831089767QA1XK_JPEG/20190930_170823.jpg?type=f287']"
5,"새 제품 뜯어서 꽂자마자 스페이스바 문제가 있었습니다. A/S 접수 후 센터에 가자마자 증상 확인 후 바로 새걸로 교체해주시더군요. 로지텍 A/S가 악평 많아 걱정했는데 저는 하루만에 해결돼서 만족합니다. (재고가 색상은 제 선택과 달라졌습니다.)

텅텅 소리가 많이 나는 편이라 (거의 타자기에 가깝습니다) 혼자 일하는 직종이나 집에서만 사용 가능할 것 같긴 합니다만, 외형이나 타건감은 매우 만족하는 바입니다. 소리에 예민하신분은 비추, 타건감이나 디자인을 원하시는 분은 강추 입니다.",['https://phinf.pstatic.net/checkout/20200108_141/157841918324446Vtg_JPEG/KakaoTalk_20200108_024437822.jpg?type=f287']
5,키보드 뭐살까 하다가 가격대비 가성비 좋은걸로 골랐는데 진짜 만족합니다 이가격에 이런 퀄리티 좋아용 한글 자판 없는건 더 저렴하게 가능하던데 그래도 한글 자판있는걸로 구매해봤어요 ! 돈 안아깝습니다 고민하고 있다면 그냥 지르세요 ! 키보드 터치감도 좋네용,"['https://phinf.pstatic.net/checkout/20190919_255/15688267226797rpSH_JPEG/C6491293-2440-4383-AB75-7A079F9DC34D.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190919_5/1568826722806FLv1g_JPEG/2021F48A-8935-4E30-8106-CA295B414633.jpeg?type=f287']"
1,"기능이야 어떤지 모르겠지만

마감이 보기에는 좋은데 , 칼날처럼 날카롭습니다.

키보드의 위치를 옮기는 과정에서 손을 제대로 베였습니다. 태어나서 처음으로 키보드에 손이 베였습니다.

사용하실분은 조심하시고, 제작하시는분은 개선하셔야할 것 같습니다. 피가 너무 많이납니다. 깊게 베여서 피가 안멈추네요. 반품하고 싶은 마음이 굴뚝같지만 포장을 버렸네요.

사진은 찍었지만 약혐이라 올리지 않겠습니다.",[]
1,주문한지 10일만에 받았습니다. 중간에 질문 드렸더니 답변은 없으시고 공개적인 Q/A에 올리니 그때서야 빠르게 답변주시면서 배송 누락이라고 하셨네요. 제가 Q/A도 안올렸으면 평생 못받았을 수도 있네요 ㅋㅋ 추가적으로 배송 누락에 대한 보상은 커녕 사과 말씀도 없으시고 역대 최악의 업체입니다.,['https://phinf.pstatic.net/checkout/20200811_160/1597128574751hyfOB_JPEG/review-attachment-50eb01d8-60d6-4dad-b1c0-3dc872d9cfde.jpeg?type=f287']
1,"박스가 최소한 한번 쌔게 집어던지고 발로 한번 더 까야 될정도로 구겨져왔네요 뾱뾱이 한바퀴로 잘 버텼는지 모르겟습니다 물류창고에서 무슨일이 있었는지 몰라도 키,마 같이 구입했는데 키보드만 그러네요 상당히 찝찝하네요 그냥 중고가 더 나을듯합니다 마우스는 멀쩡한데 키보드가 무거운거도 아닌데 왜 그랬을까요 취급주의 스티커라도 하나 붙여주시지 기분나빠서 본품박스는 미개봉으로 구석탱이에 쳐박아놨습니다 이런 취급받을려고 물류창고에 3일 묶여있었나 보네요",[]
