star_point,comment,photo
5,"약 5년 가까이 710+ 쓰다가 교체해야 될 시점이 되어 국산 OO 제품으로 구매해 써봤는데... 정말 익숙지 않은 키감과 키 배치 등등... 미세한 차이가 제 어깨까지 힘들게 만들더군요. 몇개월 못쓰고 다시 로지텍으로 구매하게 되었습니다.

바로 이제품~G512~~요즘 키보드 가격 왜케 비싸요? ㅡ,ㅜ
그래도 그중에 젤 가성비 있을거 같은 G512로 선택 했는데 너무 맘에 드네요. 아직 설치는 않했고 리뷰 때문에 사진부터 찍은거 입니다.^^:;요즘 한달 사용뷰라는 것도 있던데 그때 디테일 리뷰 써야 겠네요.

믿고 쓰는 로지텍 브랜드 제품 일듯 합니다. 항상 느끼는 거지만 내구성만 좀더 개선되면 좋겠습니다.","['https://phinf.pstatic.net/checkout/20201125_85/1606234181866eWSyH_JPEG/review-attachment-1a48a036-d92e-408d-b585-f79f311e975f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201125_237/16062341910609APfJ_JPEG/review-attachment-8b1fcdf7-5365-4bca-9e10-7bd5a5b65e61.jpeg?type=f287']"
5,"물건 잘 받았습니다.

배송도 빨랐고 키보드는 가로폭이 기존에 사용하던것보다 좀 짧은느낌이라 불편하면 어쩌나 했는데 전혀 그런느낌은 없었어요.

그리고 적당한 높이감도 있는듯해서 낮은 키보드를 선호하시면 모를까 전 높이도 적당히 있어서 너무 좋았습니다.

그리고 같이 동봉되어온 키보드 덮개가 너무 마음에 듭니다.
잘구겨지는 집에 반려동물들 키우거나 하시는분들은 더더욱 보관이 편리할거같아요.
덮개까지 씌우니 깔끔해보이는게 고민하다가 샀는데 너무좋네요.

갈축으로 구매했는데 적당한 감도에 .","['https://phinf.pstatic.net/checkout/20200813_55/159724713725220RHj_JPEG/review-attachment-87f8c105-2d6d-4233-8dcf-b24f63cea5cc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200813_250/1597247301948UHJXG_JPEG/review-attachment-03bf9622-ab6e-4851-b6d8-b781b9af60dd.jpeg?type=f287']"
1,"배송 느려요 ~
그리고 제품 포장 좀 잘 좀 해주세요 !!
제품이 1~2만원 하는것도 아닌데
너무 성의 없이 보내셨네요
덕분에 택배박스 오픈하자마자
첫째 기분이 팍~ 상하고
둘째 (제품에 문제가 있으면 어떻하지...) 하는 안해도 될 걱정을 하게해서 쓸때없는 감정 소비를 했습니다
뭐.. 물론 택배사에서 배송중에 험하게 다뤄서 그런거 같은데 그래도~!! 완충제를 좀 더 사용해서 확실한 포장 하세요~!!
일단 귀찮아서 구매확정 박아버리긴 했는데
더 잘 되시라고 쓴소리 한겁니다","['https://phinf.pstatic.net/checkout/20200822_165/1598090896677GFoxt_JPEG/review-attachment-e8de63d6-61ea-42c0-b2fa-7db5a54bc125.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_221/1598090897103KC8Cg_JPEG/review-attachment-37d739ba-1901-4770-a3e1-5ff815d9fbda.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_47/1598090897122cFTay_JPEG/review-attachment-36bd8e6c-d492-4445-9b54-f3b4bdf027ce.jpg?type=f287']"
1,"지인 선물용으로 파워플레이, G703, G512 3개를 구매했는데 포장상태 진짜 너무한거 아닌가요??
저렇게 공간이 많이 남으면 신문지 같은 완충재를 넣어서 빈공간이 없게끔 해주시던가 그런것도 아니고
박스 상단부 테이핑은 그냥 뜯어진 수준으로 왔구요
빈공간이 많아 키보드가 흔들리며 박스가 찢어져왔습니다
그렇다고 에어캡이 충분하냐?
그것도 아닙니다 달랑 한겹이에요 한겹
그로 인해 판매자측에 포장이 너무 부실하다는 톡톡을 보냈으나 읽은 뒤 제대로 씹어드셨네요^^
이미 지인한테 보낸 상태라 구매확정은 합니다만
이딴식으로 발송하실거면 장사하지 않는 것을 추천드리네요",['https://phinf.pstatic.net/checkout/20200713_267/1594606571385n5bJD_JPEG/review-attachment-c7b9cc97-e2f2-415e-8c7a-b1c22a5edad7.jpeg?type=f287']
5,리뷰 이제야 올리네요 예전부터 로지텍 키보드 꼭 써보고 싶었어서 계속 찾아보다가 왼쪽에 매크로키 있는건 불편할꺼 같고 숫자 키패드 없는 키보드를 사용하고 있어서 있는 키보드로 찾다가 이 제품으로 구매했어요 배송이야 워낙 빨랐고 포장도 잘 해서 보내주셔서 넘 좋았어요 키보드도 적축은 처음 써보는데 넘 훌륭하고 다 만족스러웠어요 루프 주신것도 키보드에 껴놓으면 간지나고 너무너무 좋아요 다음에 또 구매하러 올게요,['https://phinf.pstatic.net/checkout/20200716_165/1594885142473IoHc7_JPEG/review-attachment-9e6e4e6f-df37-43ef-b740-cabb4bcd906c.jpeg?type=f287']
5,5만원 대 키보드 샀다가 스프링 소리도 너무 심하고 방향키도 고장난거 배송와서 바로 반품해버리고 이 제품 샀는데 좋네요ㅎㅎ 배송도 빠르고 키감도 좋고 스프링 소리도 거의 없는 것 같네요. 사은품으로 온 덮개도 좋네요 1달 사용 뒤 다시 후기 올리겠습니다.,"['https://phinf.pstatic.net/checkout/20201114_8/1605348972047wmLOs_JPEG/review-attachment-7ebcf940-023d-4f99-b267-eb29ea5dc567.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201114_95/1605348988281WUaQ8_JPEG/review-attachment-9d22e4a9-3dbd-4a42-84a2-60d917d093d7.jpeg?type=f287']"
5,"난생 처음 써본 기계식 키보드여서 어떨지 궁금했는데, 첫 기계식 키보드 경험치고 매우 만족하면서 쓰고 있습니다. 주로 사무용으로 쓸거긴 하지만 이왕 사는거 잘 알려진 브랜드로 사기로 해서 로지텍 것을 샀는데 만족스럽습니다. 키를 칠 때마다 나오는 LED 효과는 흥미롭네요. 갈축과 적축 중에 고민 했는데 갈축으로 가길 정말 잘 한거 같습니다.","['https://phinf.pstatic.net/checkout/20200426_151/1587886725486IHY35_JPEG/KakaoTalk_20200426_090933290_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200426_228/1587886725463sd8zl_JPEG/KakaoTalk_20200426_090933290_01.jpg?type=f287']"
5,사각거리는 키보드 감은 좋습니다. 조용한편이고요. 통울림도 별로 없고요. 스프링 소리 얘기 많은데 전 양품이 걸렸는지 스프링소리 하나도 안납니다. 로지텍 초기 불량 많다고 해서 불안했는대 전부 정상적으로 작동하네요. 적축은 첨인데 제 취향은 갈축이 더 맞는듯..... 디자인 전체적으로 세련되고 바디도 알루미늄 브러쉬 마감된거 고급스러워 좋고요. 근데 좀 날카로운 느낌이라 살짝 아쉽네요.,['https://phinf.pstatic.net/checkout/20200428_83/1588081247465rUcoc_JPEG/125AF73C-917C-416F-8B66-87163DAFAD28.jpeg?type=f287']
4,"사지 말라는 리뷰가 정말 많아서 걱정됬는데, 막상 받아서 일주일정도 사용해보니 전반적으로 만족스럽습니다.일단 예뻐서 사는걸 결정한 만큼 생김새는 딱 마음에 듭니다.기능적인 측면에서도 지금까지는 딱히 문제가 되는 점을 발견 못했고 단지 g hub 프로그램이 쓰레기인건 어쩔수 없는것 같아요.단점이 있다면 자판 재질이 기름이 굉장히 잘묻고 손톱 긴 사람이 사용하면 끼익끼익 안좋은소리가 납니다.덕분에 손톱 열심히 깎았네요.... 그것만 뺴고선 만족스럽습니다.",[]
5,"와우~~ 대박 입니다.
여태껏 저렴한 키보드만 쓰다가 하도 손목이 아파서 키보드 마우스를 바꿔봤는데.. 마우스는 실폐했는데 키보드는 정말 마음에 듭니다.,
오른쪽 컨트롤키 설정하면서 애를 먹었는데 다행히 해결했네요 정말 좋습니다.",['https://phinf.pstatic.net/checkout/20200911_231/1599798369453jozDs_JPEG/review-attachment-8563531b-1256-4a17-9b1c-c12f8527ba38.jpeg?type=f287']
4,판매자는 배송이 빨랐습니다. 다소 소음이 큼니다. 타건감은 가격대비 높지는 않습니다.쫀득한 맛은 없네요. 윈도우키가 안먹는 경우가 있는데 게임시에 오타방지를 위한 장치 같습니다. FN +F8누르면 해제되네요. 재질은 상당히 고급스럽습니다. 그래도 가격대비로는 덜 시끄럽고 쫀득한 타건감을 주는 제품 추천드려요.,[]
5,청축쓰다가 이번에 적축 처음써보는데 타건감이 완전히 다르네요청축의 찰진 타건감/타건음이 익숙해서 어? 좀 약하게 눌렀는데(혹은 눌러진 느낌이 부족했는데) 입력먹었네 이런 경우가 있어서적응에 애먹을 것 같습니다(그게 또 적축의 장점이기도 하죠 낮은 키압감)타건 소음은 기대한 것보다는 크네요(청축 찰진 타건음이 시끄러운거 빼고는 역시 최고입니다),[]
5,"구매이유
1. 게이밍스럽지 않은 깔끔한 디자인
2. 맞춤 설정가능한 영롱한 LED
3. 키보드 보호를 위한 덮개(사은품)

6년 만에 쓰던 키보드의 한자키가 부서지면서 바꾸게 되었는데..
조금 부담스러운 가격대여서 고민했지만 결과는 매우 만족입니다.
게이밍스럽지 않는 깔끔한 디자인의 키보드를 찾던 저에게 딱입니다.
사은품은 키보드 덮개(플라스틱)인거 같은데 이것도 마음에 듭니다.",['https://phinf.pstatic.net/checkout/20200730_263/1596039197987RR0gS_JPEG/review-attachment-d3e35b58-a8cb-49bf-84a5-6cd1fa0f3580.jpeg?type=f287']
5,키감이 너무 좋아요. 마감도 고급지고요. 전용 루프가 없는 점은 아쉬워요. 로지텍에서 나오는 따로 구매라도 할 수 있는 정품 루프가 있으면 좋을것 같아요. 그리고 유튜브에서 타건영상 찾아보신 분들은 다들 아시겠지만 윤활이 덜 되어있는지 큰 키들의 텅텅 소리는 아주 심해서 고급키보드라는 느낌을 떨어뜨리는것 같아요. 한글에 LED 안들어오는것도 아쉽습니다.,[]
5,"택배박스는 구겨졌지만 정품박스안에 잘 포장되서
비닐에 있는 새상품인거 확인됐구요
일단 사은품으로 나온 루프가 너무 마음에 들어요
키보드를 들고 다니고 외부에 오래 놔둬야 해서
키보드 루프도 필요했는데
박스안에도 잘들어가고 매우만족합니다",['https://phinf.pstatic.net/checkout/20200731_52/1596179808421jXDj3_JPEG/review-attachment-fbaab29e-8cd0-4e2a-b60c-5fd58e8b4785.jpeg?type=f287']
