star_point,comment,photo
1,"여기서 사지 마세요, 불량품이 아니라 그냥 사기 수준입니다... 버젓이 아예 다른 제품이 왔어요.
제가 쓴 다른 구매평들 찾아보시면 보이시겠지만 저 구매평 나쁘게 쓴 적 한 번도 없는데
지금 너무 어이가 없고 화가 나서 구매평 씁니다.

일단 첫째로 스위치 자체가 다르네요.
제가 키보드 한두개 써본 것도 아니고, 일일이 매장 가서 다 타건해보고 주문한 거거든요.
근데 제품 받아서 보니까 타건감이 전혀 다르길래 키캡 열어보니 역시나 전혀 다른 제품이었습니다..;
제가 주문한 거는 GX BLUE Clicky 이고, 이 제품의 경우에는 키캡 열어보면 아래와 같이 나옵니다.

근데 제꺼는 이상하길래 열어보니까 아래와 같이 아예 다른 거네요...
(밑에 사진 참조)

둘째로, 제품 자체가 달라요... 그냥 달라요...;
g512제품은 아래 사진처럼 RGB 컬러라 키마다 LED 색깔 커스터마이징이 다 가능해요.
(밑에 사진 참조)


근데 이거는 색상 커스터마이징하러 갔더니(전용 소프트웨어로 키보드 RGB 설정이 가능합니다.)
이상하게 빨강색만 나오길래 자세히 보니까 아래처럼 키보드 인식을 g413으로 해버리네요...;;
찾아보시면 아시겠지만 g413제품은 LED가 RGB 커스터마이징이 안 되고 빨강색만 적용 가능한 버전으로,
가격이 g513에 비하면 반값이면 삽니다...


이거는 개인 사정이기는 하지만, 지금 해외에 나와 있는 상태라 주문은 한국에서 하고 국제 배송으로 받은 건데
반품처리, 교환처리 하려면 배송비가 만만치 않아서 배보다 배꼽이 커지는 꼴입니다..
울며 겨자먹기로 그냥 써야 하는 상황인데, 도대체 무슨 경우인지 이해도 안 가고 어처구니가 없고 화가 나서
이렇게 굳이 글을 남기고 갑니다...
문의 남겨도 답변도 하나도 없고 너무 무책임해요.
여러분들, 여기서 아무 것도 사지 마세요...","['https://phinf.pstatic.net/checkout/20200224_253/1582519398833RkiLy_JPEG/clicky.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200224_123/1582519417639Xrq03_JPEG/defective1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200224_206/1582519427926UOQNN_JPEG/defective2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200224_11/1582519438090uTjjR_JPEG/clicky2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200224_74/1582519451713iHQWR_JPEG/defective3.jpg?type=f287']"
5,"깔끔한 디자인에 루프 케이스까지 같이 주셔서 먼지가 안들어가게 보관할 수있어 좋습니다.

전용 앱 로지텍 G허브로 LED 컬러를 제맘대로 셋팅할 수 있어 WASD에 만 컬러 변환을 넣고 나머지는 일반 그레이 컬러로 넣으니 아주 깔끔하게 LED가 표현되네요.

키감은 일반 기계식 적축보단 살짝 물렁해 아쉽긴합니다만 적응해서 쓰다보니 크게 차이도 모르겠습니다.
(와이프는 키보드 소리 조용해졌다고 좋아하긴 합니다.)

전체적으로 매우 만족하고 사용중입니다.","['https://phinf.pstatic.net/checkout/20200924_61/1600920322810LVja7_JPEG/review-attachment-4ce4e2de-fd89-4055-ac07-28dde601b0e2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200924_137/1600920322730gX4Rw_JPEG/review-attachment-71d66fba-b3e9-4615-8b58-4b01242758ca.jpeg?type=f287']"
5,"구매 후기가 없어서 제가 올려봅니다.

업체가 집에서 가까워서 주문 반나절도 안되어 내방 수령했구요.
직원분들 체계적이고 친절하시더군요.

기타 제품 관련된 사항은 인터넷 뒤져보면서 어느정도 숙독한터라
사용하는데 무리는 없었어요.

.","['https://phinf.pstatic.net/checkout/20200720_12/1595224105864WskKs_JPEG/review-attachment-6754a59c-9c40-4e92-94e7-afe424d81ee0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200720_218/1595224122649e7GrD_JPEG/review-attachment-a1fef92f-eb6c-4da5-9442-d45550b6be8d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200720_33/1595224122745NyjII_JPEG/review-attachment-a3e3c35e-c23b-4873-bf21-769e2d34214a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200720_231/1595224122593fy8Hi_JPEG/review-attachment-7daee018-6ec5-40d0-9219-3871a99e11b8.jpeg?type=f287']"
5,키보드 많이 써보는데 G512는 카일청축 광축이랑 거의 같네요 당연히 같은 회사서 만든 축이니. 체리보다 조금 쫀득한 타건감은 없지만 로지텍 마우스 키보드 패드 세트로 놓기에 이뻐보이네요 RGB도 마음에 들고 키감조금아쉽지만 못쓸정도는 아니구 키캡은 기존 로지텍에 있는 ABS 키캡 재질도 휼륭해서 조금 있다 써보려는데 색상은 이쁘네요 빠른배송 감사합니다 하루만에 왔네여,"['https://phinf.pstatic.net/checkout/20200923_145/1600825877920OCr43_JPEG/review-attachment-44a5ed25-cb5a-4d0c-ae84-977204baba7a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_50/1600825887386WqkR4_JPEG/review-attachment-06cbe503-4cad-4881-990d-01d3de8b5929.jpeg?type=f287']"
3,"다 마음에 듭니다. 디자인, 키감, 소리, 기능 다 좋습니다. G810을 썼었는데 내구성이 개떡이었습니다. 스위치 불량, 키캡 연결부 파손 등. G512는 이제 막 수령 후 사용 중이라 내구성이 어떤지는 추후에나 알 수 있겠습니다. 일단 현재는 매우 좋은 상품이라고 여겨집니다.
다만 한글 각인과 FN 기능 각인들이 백라이트 조명이 안되는 게 가장 아쉬운 흠입니다. 제 주관으로는 좀 치명적인 단점입니다. 몇 사진들이나 영상들을 보니 초기 모델들은 백라이트가 있던 것으로 봤는데, 정말 아쉽습니다.",['https://phinf.pstatic.net/checkout/20200723_139/1595463435930VvD6Q_JPEG/review-attachment-189a4796-358b-4b46-ad37-689a230c2711.jpeg?type=f287']
5,"한 5년전 10만원 이상 청축 키보드를 사용하다가 이번에 바꿔야 될 것 같은 신호가 오셔서...

바꾸게 되었네요.

박스에는 한글 각인되었다는 별도 스티커가 붙어 있네요.

우선 컴퓨터에 결합하는 usb 연결하는 포트가 1개가 아니라 2개라서 당황함 ㅋㅋㅋ

실제 타격은 이전 청축보다는 힘이 좀 더 들어가네요.

그리고 타격음은 좀 더 예전 것보다 시끄럽지는 않습니다.

좀 더 차분하게? 묵직하게? 시끄럽네욬ㅋㅋㅋ

일단은 아주 귀찮나서 기본 LED 출력으로 서용하고 있습니다.

많이 파세요~","['https://phinf.pstatic.net/checkout/20200609_116/1591694117053hLfMh_JPEG/20200608_212249.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200609_191/1591694117315RqpHc_JPEG/20200608_200547.jpg?type=f287']"
4,"진짜 다 좋습니다.
키감, LED 백라이트 커스텀, 디자인...
다 좋은데 딱 하나 안좋은게 키캡의 넓이입니다.
처음에 왜이렇게 오타율이 높은가 했더니 키캡의 누르는 면적이 좁습니다.
다른 기계식 키보드들과 비교해보면 가로는 살짝 짧고 세로는 좀 많이 짧습니다.
그래서 진짜 치기 불편합니다. 손이 작거나 원래의 다른 키보드에 적응하지 않았던 분들이라면 괜찮을 수 있지만 그렇지 않은 분들은 적응에 아주 많은 불편함을 겪으실 거예요.
키보드가 타이핑이 불편하다면? 꺼려지게 되겠지요.....
그리고 또 아쉬운 점이라면 NumLock on/off 를 표시하는 곳이 따로 없습니다.
풀배열인데 왜 넘락 여부를 알 수 없는지 이해가 전혀 안되구요.
어찌됐건 잘 판단하고 사셨으면 합니다.
어차피 최저가가 많이 할인돼서 8만9천원에 샀으니 만족하면서 쓰렵니다 ㅋㅋㅋ",[]
5,"1. 타건감이전의 로머지축들은 모두 누를때의 느낌이 타사 축보다 떨어진다는 느낌이 강했습니다.개인취향이겠지만 카일사의 스피드 핑축 체리 적축 보다 느낌이 안좋았고G pro가 10만원 이상의 고가키보드임에도 5만원짜리 핑축을 더 많이 썼었습니다.하지만 이번 gx blue축은 키감을 상당히 개선해서 다른 축들보다 좋았습니다gx red도 나왔으면 하네요2. 타건음타건음은 체리사의 청축소리와 비슷해서 치는맛이 살아납니다3. 디자인사진으로 보시죠 말할필요 업습니다.4. LED로지텍의 최강장점 led는 이번에 밀어주고있는 로지텍 소프트웨어인G-HUB와 같이 이용하면 최상의 led라이트를 기대하실수있습니다.led로 유명한 다른회사 키보드(커세x,레이x)등은 빛샘이 좀 있지만g512 clicky축은 로머지축과 동일하게 실제로보면 빛샘이 거의 발생하지않아눈도 안아프고 되게 깔끔한 led가 연출됩니다 이부분이 로지텍 led의 최강장점이죠색상전환도 부드럽게해주는 스무딩효과가 있어 led효과도 되게 고급집니다.5. 단점로지텍 특유의 스테빌문제는 아직도 있는거같네요","['https://shopping-phinf.pstatic.net/20190628_18/c3c42246-374a-4408-9344-3931d556938f.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_2/28d19f68-f276-460e-ad53-903c8c47d0b8.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_0/7d3df71b-9c6d-43f3-910a-86aad1f4a810.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_17/4cc6b7da-0758-4413-bfaf-ce99add8db0f.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_13/8a9b7ecf-a806-4c8f-9fa8-c3262be89b37.jpg?type=f287']"
4,"키 촉감이 미끄럼방지기능도 있고 키판은 알루미늄이리 심플하니 좋은데 스피커 aux단자가 없는게 좀 아쉽고요
Usb포트가 있어서 커버가 가능하지만 무선마우스 쓰시면 둘중하난 pc에 꽂아야한다는 점이 있네요
갠적으로 외장사운드카드가 있어 무선마우스 꽂으니 편리하네요. 한글부분도 백라이트가 들어와서 드라이버깔아서 설정하면 키하나하나 설정이 가능합니다. 너무 좋네요.","['https://phinf.pstatic.net/checkout/20191224_141/1577179804068CbNRO_JPEG/20191224_122704.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191224_32/1577179821775cIYGx_JPEG/20191224_123349.jpg?type=f287']"
3,키보드 키감이 부드럽고 좋습니다. 하지만 익숙하지 않으면 오타도 좀 날듯 합니다. 로키텍에서 제공하는 g허브 설치하다가 포기했습니다. 이건 도체 어떻게 설치를 하라는 것인지.. 너무 불편합니다. 그냥 세팅안하고 기본으로 사용하고 있습니다. 지허브 인터넷 설치법 참고하여 여러방안으로 해봐도 답안나옴...;;;,['https://phinf.pstatic.net/checkout/20200427_148/1587944524516TwauV_JPEG/KakaoTalk_20200427_084131320.jpg?type=f287']
