star_point,comment,photo
2,"정말 찝찝합니다 기스 나있고 엄청 드럽고 먼지 묻어있고 쓰던 중고를 보낸게 아닌가 의심 스럽지만 아들이 당장 쓰고 싶어 이미 세팅을 끝내놔 버려서 반품도 못하고 큰 맘 먹고 시험 잘본 선물로 주문해준건데..
이래서 매장가서 비싼 돈주고 사는거구나 싶네요","['https://phinf.pstatic.net/checkout/20200728_294/1595942702060zYHr6_JPEG/review-attachment-d0dcb585-7383-4243-98e3-2002a80c805b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200728_174/1595942855743pv1c7_JPEG/review-attachment-66a7e86e-186f-4168-a7ab-061f973ebd45.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200728_211/1595942911753sflzx_JPEG/review-attachment-1c653123-13c5-4078-a3fa-69a6d483074f.jpeg?type=f287']"
5,"역시 로지텍 입니다. 키감 예술이네요. 일렉트로마트에서 직접 타건 해보고 몇일을 고민하다가 샀는데 고민한 시간이 아깝네요. 추천합니다. 사무실에서 사용중인데 생각보다 소리도 안크고 좋습니다.
기계식은 역시 체리스위치 인거 같아요 ㅋ",['https://phinf.pstatic.net/checkout/20200805_18/1596581458366CBOg3_JPEG/review-attachment-12c6c3fa-f465-45f0-96b7-6f4871795b5e.jpeg?type=f287']
4,"청축자판이라 타자를 칠때 소리가 굉장히 실감납니다. 자판에 영문한글로 되어 있어 타자칠때 어려움 없이 칠수 있습니다.
다만 가격이 저렴한편이 아니어서 오래사용 해야하므로 자판덮개나 스킨같은거 덤으로 하나 주면 좋으련만 그것이 아쉽네요.
전체적 디자인 깔끔하고 좋습니다~","['https://phinf.pstatic.net/checkout/20200211_252/15813754614097V670_JPEG/B612_20200208_130249_702.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200211_85/1581375475503HtIAG_JPEG/B612_20200208_125830_994.jpg?type=f287']"
2,분명 중고제품이 아닌 새제품을 산것이 분명한데 상당한 이물질이 키보드 안에 들어있고 깨져있거나 스크래치가 있는 키캡이 몇개 있고 심지어w키는 눌리지도 않는 상태였음... 교환받은 제품의 포장도 그렇고 뭔가 두 제품사이에는 큰 차이가 있어보임 교환받은 제품은 상당히 괜찮게 쓰고있지만 교환받는데 시간이 오래걸리기도 하고 애초에 교환받을 필요없이 한번에 새제품이 왔으면 기분좋게 썻을거 같은데 정말 실망이 컷음 제품을 보내면서 확인 안하는것이 분명해보임,"['https://phinf.pstatic.net/checkout/20190301_285/1551445258885iXRRH_JPEG/%C5%B0%BA%B8%B5%E5_%BB%E7%C1%F8_1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190301_14/1551445259051y5e4a_JPEG/%C5%B0%BA%B8%B5%E5_%BB%E7%C1%F8_2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190301_59/1551445259214tIRBV_JPEG/%C5%B0%BA%B8%B5%E5_%BB%E7%C1%F8_3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190301_185/1551445259349KnnQG_JPEG/%C5%B0%BA%B8%B5%E5_%BB%E7%C1%F8_4.jpg?type=f287']"
5,키보는 타자감좋고 마우스도 사용감좋아요 남편이 게임한다고 사라고해서 산건데 저도 사용하기편하네요 영문이라 한글스티커붙였는데 불나오는곳이 가려져서 아쉬워요ㅋㅋ포장간단하게해서왔지만 제품깨끗하고 쓰레기버릴거줄어서 오히려좋았어용 배송도엄청빠릅니다,['https://phinf.pstatic.net/checkout/20190902_230/15674107507693W8Cz_JPEG/20190829_211404.jpg?type=f287']
3,"사용상 작동 상태나 키감은 좋았습니다.

다만, 첫 제품을 받아보았을때 파손된 상태로 제품을 받아보았고

에어캡을 통한 완충요소 없이 포장하는 방식이라는 답변이

예상 외였습니다.

파손된 상태의 제품을 먼저 받아보았단 점

교환조치 받았지만 그로 인해 시간이 더 들었다는 점으로 3점 드립니다",[]
5,배송도 빠르고 박스도 깔끔하게 잘 도착했어요. 유무선 안가리고 다 사용해봤지만 기계식 키보드는 처음 사용해보는데 일단 무게도 묵직하고 키를 누르는 감이 확실하네요. 무게가 있어서 키보드가 쉽게 움직이거나 하지도 않고 백라이트도 고급져서 모두 만족합니다. 잘 사용하고 다음에 필요하면 또 주문할께요~~~~^^,['https://shopping-phinf.pstatic.net/20190627_27/47807466-21db-4137-b802-1c22e005cde8.jpg?type=f287']
3,배송은 빨리 왔어요~ 동생 생일 선물로 산건데 키보드가 너무 더러워서 놀랐어여... 선물인데ㅠㅠ 전체적으로 자판 하나하나 빼서 닦지 않으면 더러운채로 써야해요... 설마 누군가 쓰던건 아니겠지 하고 동생은 그냥 사용한다고 했어요 이런부분 잘 확인하고 보내세요!,[]
5,아내에게 사 준 선물입니다. 키보드가 또각또각 하는맛이 일품입니다. 전문 프로 키보드사의 제품에 못지않으며 로지텍 제품이라 믿음직스럽고 AS에 안심이 됩니다. 품질도 이 가격에 이 정도면 너무 만족스럽네요. 이미 타건 테스트 후 구매하였으니 타건 안해보신 분들은 해 보시고 구매하세요. 다만 소음에 민감하신 분들은 구매하지 않으시는게 좋겠습니다.,[]
5,기존에 쓰던 키보드가 입력미스가 나서 샀는데 일단 키스위치는 갈축으로 적축과 청축사이로 적축의 부드럽고 조용함의 키와 청축의 청량한 타격감이 합쳐져서 시끄러운키음을 싫어하시는분들은 갈축을 사용하시면 될것같습니다. 넘보드가 있어 나이가 많으신분들도 편하게 사용하실수있고 게임할때 입력미스가 나지않아서 10-20대들중 게이밍 키보드를 뭘 살지 고민하신분들은 이 키보드를 적극 추천합니다.오테뮤 카일 체리 키보드중 체리가 내구성이 가장 강하고 체리가 가장 가격이 비싸지만 이 g610은 체리 키보드중 가성비갑! (체리 키보드 중 가격이 제일 저렴하네요) 그리고 로지텍 제품이어서 믿고삽니다.,[]
5,"배송도, 포장도, 상태도, 제품도 모두 만족!! 배송: 휴일꼈는데도 하루만에 옴포장: 뾱뾱이 만땅, 박스포장 좋아요상태: 정품 씰 돼있고, 새제품 맞네요제품: 기계식 입문을 청축으로 해봤는데, 키감도 경쾌하고 타격음도 좋아요다만 좁은집에서 룸메랑 사시는 분들은 키보드 소리로약간 다툴수가 있으니그럴때 날아오는 주먹을 키보드로 막으시면 될 것 같네요.",[]
