star_point,comment,photo
4,"한줄요약: G키가 거슬리고 키보드 텅텅거리는 소리가 나지만, 끊김 없는 무선이라는 장점 하나로 다 씹어먹는 키보드.

장점
- 끊김 현상 1도 없는 무선. 역시 게이밍 키보드라 그런지 일반 문서작업을 할 때는 말할 것도 없고, 게임을 할 때도 전혀 끊김 없음.
- 무선, 블루투스 2가지 모두 사용 가능함. 컴퓨터와 휴대폰 두 기기에 연결해 놓고, 버튼 하나만 누르면 전환 가능. 매우 편리함.

단점
- G키. 간혹 괜찮다는 평도 있었으나 대다수 사용자들이 얘기했듯 매우 거슬림. 특히 자주 쓰는 ESC키와 CTRL키가 자주 오타가 났음. 그래서 키캡은 빼 버리고, G-hub에서 아예 G버튼을 다 비활성화해버렸더니 괜찮아짐.
혹시 G키 때문에 구매를 망설이는 저같은 분이 있다면 이것도 꽤 쓸만한 해결방법이 될 수 있다는 걸 알려드리고 싶음.
- . 음악을 틀어놓거나 이어폰을 끼고 있는 상황이라면 괜찮지만, 조용한 방 안에서 키보드를 두들길 때는 텅텅 소리가 귀에 울림. 키스킨 끼우고 나니 좀 나아짐.

기타사항; 호불호 갈릴 것 같은 것들
- 타건감. 분명 흔히들 생각하는 기계식 키보드의 타건감은 아님. 뭐 서걱서걱하다, 별로다 라는 평이 있어서 이것도 걱정했었는데 저는 개인적으로 괜찮음. 웬만하면 일렉트로마트 같은 곳에서 직접 두들겨 보시고 사는 것을 추천함.
- 일체형 팜레스트. 저는 이전까지 팜레스트 없던 키보드를 썼어서 이것도 구매를 망설인 이유 중 하나였음. 그런데 써 보니 나쁘지 않음.
- 무거움. 하지만 무겁기 때문에 키보드가 밀리지 않고 안정감 있음.
- 키배열. 분명히 풀사이즈 키보드인데 뭔가 어색함. 확실하진 않지만 일반적인 키보드 배열보다 약간 키들이 조금 더 붙어있는듯? 아마 G키 때문일 거라 추측 중.

아, 그리고 처음에 왔을 때 루프가 안 와서 문의드렸더니 친절하게 루프만 따로 보내주셨음.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_01_07_0/2f8f0d8f-3145-11ea-adeb-0000000049a8_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_01_07_0/9afa9800-3145-11ea-95c6-505dacfbaa5c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_42/1578398324861M4XB0_JPEG/20191227_211754.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_87/1578398374243Yeg0q_JPEG/20200107_205923.jpg?type=f287']"
5,"장점 단점 제가 느낀 점 정리해보겠습니다.

장점 1. 무선의 간편함

이 무선이라는게 참 요물입니다. 얼마나 거슬리겠어? 하는데 이게 한 번 무선을 경험하고 나면 선이 달린걸 움직일때마다 중력 10배짜리 나메크성에 처음 도착한 크리링마냥 고중력을 체험하게 됩니다. 이 키보드를 쓰면 중력 100배짜리 우주선에서 훈련하고 온 손오공이 된 것 처럼 자유로움을 느끼게 해줍니다.

장점 2. 빠른 반응속도

무선을 쓰면 편하다는건 모두 알고 있음에도 불구하고 코어게이머들이 무선을 꺼리는 이유, 성능입니다. 같은 가격이면 무선이 고정관념이 있죠. 그런데 이 놈은 아닙니다. 무선인데 어지간한 유선을 씹어먹을 정도로 빨라요.

장점 3. 멀티 디바이스

스마트폰이나 태블릿 PC를 거치할 수 있는 거치대를 같이 주는데, 여기에 태블릿을 두고 버튼 하나로 블루투스로 바꿔가며 쓸 수 있습니다. 블루투스가 반응이 떨어진다고 해도 게임 할 때나 아주 약간 밀리는 정도지 타이핑하는데는 아주 훌륭한 속도기 때문에 기능입니다.

장점 4. 멀티미디어 & 매크로버튼

매크로버튼을 단점으로 든 분도 많이 계신 것 같은데, 사실 저는 매크로버튼이 탐나서 굳이 쓰고있던 유선 키보드를 친구에게 떠넘기고 이 제품을 구매했습니다. 캡쳐버튼 알고 있습니까 캡쳐버튼? 윈도우 + 쉬프트 + S입니다 무려 3버튼 조합이요 3버튼. 근데 이거를! G허브에 등록해서 걍 G1키에 지정하면! 걍 버튼 하나만 누르면 돼요! 이게 얼마나 편한지 모릅니다. 매크로 텐키 키보드 3만원이면 산다고 하실수도 있는데 그건 유선이에요 유선. 유선키보드에 유선 텐키 키보드? 중력 10배짜리 나메크성이 중력 20배짜리 혹성 프리더가 되어 돌아왔습니다. 와 씨 그걸 어떻게 써. 처음엔 조금 어색할 수도 있습니다. 그런데 적응해보세요 남들이 화승총 쓰면서 한 발 장전하고 쏘고 할 때 우리는 기관총 들고 두두다닥다다 쏘는 것과 같은 효과를 누릴 수 있습니다. 왜냐 다른 사람들 키 세 개 조합해서 누를 때 우리는 하나 누르니깐. 매크로키는 참 좋은 기능이에요.

장점 5. 루프

루프라고 해서 저는 걍 PC에서 쓸 법한 얇은 플라스틱 판때기 올 줄 알았는데 완전 고급스러운 반투명 검정 커버 왔네요. 오 까리해


지금부터는 단점이나 호불호 갈릴만한 것들

1. 키감

로머 G는 흔히 말하는 기계식 키보드의 따각따각하는 소리가 아닌 멤브레인마냥 슥슥들어가는 키감입니다. 저는 나름 괜찮아요. 시원시원한 맛은 없는데 디스코드 할 때 상대방 따각따각따따따딲하는 소리 들리면 좀 성가실 때가 있거든요. 그런데 시원시원한 느낌이 좋은 분들은 좀 싫을거같네요.
아 근데 그 와중에 스페이스바만 뭔가 텅 빈 거 마냥 텅 텅 소리 나네요 이건 좀 감점

2. 팜레스트 일체형

팜레스트를 싫어하는 분들이 꽤 계시죠. 저희 형도 맨날 제가 제 돈 내고 산 키보드 팜레스트 때어던져놓고 어딨는지 몰라서 좀 화날 때가 많았는데요, 이 제품은 다행인지 불행인지 팜레스트가 일체형입니다. 못 때요.
와 씨 이제 형이 제 키보드 팜레스트 던져버릴 일은 없겠네요. 이제 불편하다고 키보드를 통째로 던지질 않길 빌어봅시다. 심지어 무선이라 휙휙 잘도 날아가겠네요.

3. 뭔가 묘한 키보드배치

이거는... 쓰다보면 적응이 될 거 같은데 지금은 좀 오타를 많이 유발하네요. 이상해요 저번에 쓰던 키보드랑 키 배열이 다른 것도 아닌데.


일단 당장 쓰면서 느낀 것은 이 정도네요. 한달 사용기로 뵙겠습니다.","['https://phinf.pstatic.net/checkout/20191205_268/1575471989771AV8Oo_JPEG/KakaoTalk_20191204_235530430.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191205_297/1575472059186TYhLn_PNG/%C1%A6%B8%F1_%BE%F8%C0%BD.png?type=f287', 'https://phinf.pstatic.net/checkout/20191205_149/1575472127442VGrAi_JPEG/KakaoTalk_20191205_000836140.jpg?type=f287']"
5,장점1. 무선/블루투스2. 기계식3. 풀사이즈 키보드단점1. 매크로키 위치2. RGB효과키보드와 마우스의 무선화를 위해서 며칠간 고민하다 선택한 제품입니다. 데스크 탑에 사용할 제품이기 때문에 블루투스만 되는 제품은 추가로 동글을 구입해야 되어서 좀 고민이 되었습니다. 거기다 기계식이었으면 좋겠고 텐키를 자주 사용해서 풀사이즈 키보드고 RGB효과까지 있으면 좋겠다 싶었는데....제 욕심이 너무 컸나봐요..;;ㅋ레이저 키보드들이 딱 좋았는데 죄다 선이 달려있;;;흠흠;;;차선으로 고민하던 이녀석을 주문하고 받는 순간 뭐....그냥 좋아요..ㅋ기계식 키보드는 처음 사용하다보니 엄청 좋다 어떻다 할만한 경험치가 없습니다;;; 그냥 열심히 사용하고 있어요.근데 엄청 딸깍거리는 느낌은 아니어서 큰 위화감 없이 사용중입니다. 그리고 좌측에 있는 매크로키들이 위치가 완전 에러인듯하네요.습관적으로 단축키 사용하다가 매크로키들을 자꾸 누르게 되는 불상사가;;;;어쨌든 불필요한 선들을 모두 걷어내니 너무나 홀가분하고 깔끔해진 책상이 마음의 평화를 가져다 주네요~,"['https://phinf.pstatic.net/checkout/20190812_190/1565583722614w2hmQ_JPEG/KakaoTalk_20190812_122958163.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190812_294/1565583747923yoJye_JPEG/KakaoTalk_20190812_122751642.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190812_161/1565583760522u6oOL_JPEG/KakaoTalk_20190812_122532635.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190812_218/1565583785339JUikJ_JPEG/KakaoTalk_20190812_122521479.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190812_262/15655837983751Fq6q_JPEG/KakaoTalk_20190812_122510852.jpg?type=f287']"
5,"빠른 배송으로 잘 받았습니다 g613키보드로
블루투스 연결해서 상품평 작성중 입니다
G HUB에도 잘 등록 되네요 그리고 키보드
키 보호캡이 사은품 인가 보네요 그러지 않아도
키스킨을 주문했는데 좋습니다^^ 그리고...
아쉽지만 저도 G키의 압박에서 못벘어 났네요
나는 아닐줄 알았는데 esc 옆 g1 과 윈도우 키를 자꾸
누루네요 ㅋㅋㅋ 뭐그래도 전반적으로 대만족
입니다 다만 아쉬운건 블루투스가 한번등록 하고
다른 장치에 연결하면 기존에 패어링 됬던 다른 장치
블루투스를 등록을 삭제 하고 재연결 해야 하는
번거로움이 있네요 이건 좀아쉽습니다 그래도
^^","['https://phinf.pstatic.net/checkout/20200706_192/15940137127366B2Xq_JPEG/review-attachment-ae7a6946-3911-4627-bd0e-8ad643927503.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200706_293/1594013732939vngdo_JPEG/review-attachment-5ab8cc0d-18e0-4bb9-b852-9ae00a252b88.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200706_68/15940137577521IjRO_JPEG/review-attachment-6a3cbdd7-9ac8-4b97-abc0-511e39e59154.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200706_2/1594013779498NNXx3_JPEG/review-attachment-b69a9875-1612-4b72-8bf7-3fec3434a62e.jpeg?type=f287']"
1,"사전에 병행 상품이라 미세한 스크레치와 먼지가 있을수 있다는 안내는 확인 했습니다. 근데 ...

미세한 수준은 아니네요. 그냥 포인트 사용해서 저렴하게 구입했기때문에
그냥 쓰지만 다른 소비자들이 참고할수 있게 사진 남깁니다.

전반적인 상품은 이상은 없어보이나
사용감이 있어 보일정도의 키캡 퀄이였습니다.

그냥 사무용도로 사용하기 위해 구입 했기 때문에 그냥 씁니다.","['https://phinf.pstatic.net/checkout/20201118_282/1605699214052YeXTw_JPEG/review-attachment-aaeaa64b-3844-45a3-8a6c-fa35e2ebbf9c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_101/1605699214090gibrm_JPEG/review-attachment-097c767e-1008-48cb-997b-c6b7f985aa27.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_7/1605699214159BPxqk_JPEG/review-attachment-aaeeb68a-61d6-464c-80df-2f8231a9967d.jpeg?type=f287']"
5,"최고입니다
1. 매크로기능
간편하게 포토샵이나 자주 쓰는 엑셀 공식 입력도 가능하고 편합니다 또한 RPG게임에서도 반복동작 편하게 설정합니다

2. 사은품
덮개 정말 고급스럽습니다. 유리는 아니지만 안쓸때 덮에둘수도 있어서

3. 자체적 키보드 손목보호대
자체적으로 달려있습니다 없는거보단 나아요 그치만 컴퓨터 오래하신다면 따로 하나 사시는게 나을거같아요

4. 노래 재생.정지.다음곡.이전곡
너무 잘쓰고있는기능입니다.. 프로그램 자체 오디오 인식해서 넘기는거라서 오디오 나오는 프로그램만 인식해서 넘겨요 최고
덤으로 유튜브나 넷플릭스 영화 기타등등 다 되네요



*매크로 기능 필독*
블루투스로 연결하시면 ""로지텍 G hub"" 인식 못합니다. 키보드 뒤쪽에 usb 본체에 끼워야 G-Hub가 인식해요. 이거몰라서 3시간동안 헤맸어요 불량인줄알았네요 ㅜ


G-Hub 프로그램은 구글에 치시거나 로지텍홈페이지에서 최신버전 다운 가능해요 👍
잘쓰겠습니다 !! 여유가 되면 마우스도 무선으로 하나 사고싶어지네요",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_07_0/579f0bc7-c027-11ea-98d4-246e963a49a8_03.jpg?type=f287']
4,"깔끔한 키보드에요. 그런데 쓰다 보니까 분명 esc를 눌렀는데. G1키를 눌러버린다거나 TAP키를 눌렀는데 G3키를 누른다거나 CTRL키를 눌렀는데 G6를 눌러버리는 제 자신을 발견했죠. 더 큰 문제는 G1, G3, G6키를 눌러도 아무것도 작동 안하면 좋은데 막 도움말이 나온다거나 그래 버려요. 이게.. 뭐랄까? 키보드는 멀쩡해요. 제 기능을 잘 하고 있어. 그런데 내가 내 손이 워낙 익숙해 져있어요. 왜 우리 키보드 눈으로 보면서 치지 않잖아요.

한 줄요약 키보드 익숙해지는데 시간이 조금 필요하다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_28_0/e0176e64-a0e8-11ea-b5c3-48df379cca40_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200528_161/1590673244184x7zn2_JPEG/%C5%B0%BA%B8%B5%E5_1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200528_80/1590673251821DJWQE_JPEG/%C5%B0%BA%B8%B5%E5_2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200528_91/15906732571577R8O8_JPEG/%C5%B0%BA%B8%B5%E5_%BA%B8%C1%B6_3.jpg?type=f287']"
4,"적축과 같은 기게이밍키보드 타격감하고는 다소 다릅니다.(pc방 키보드 생각하면 안되요.)
당연히 알고 샀지만 조금 아쉬운건 어쩔 수 없네요.

G 키보드는 당연 욕먹어도 됩니다ㅋㅋㅋ 필요없는 기능...
손목받침이 딸려온다는게 마음에 너무 듭니다.
블루투스에 배터리까지 건전지배터리라는 점이 제일 마음에 들고 구매 이유였습니다.

키보드 버튼 외에 음량조절버튼이라던지 재생, 빨리감기 등 의 버튼들은 다소 싸구려? 느낌이 드는건 어쩔수 없네요.
그리고 키보드에 불빛이 안나오는건 아쉽습니다.
capslock와 battery 밖에 확인이 안되요 ㅋㅋnumlock도 확인안되고..

G버튼, 싸구려버튼감, 불빛 외에는 불만사항없네오 ㅋ 너무 좋습니다. 상에 선이 없으니 너무 깔끔해졌어요.

추가적으로 리뷰들보면 키스킨까지 갖고계신분 있던데 키스킨은 어디서 구매가 가능한가요??? 원합니다..","['https://phinf.pstatic.net/checkout/20200607_284/1591527202082C0XLl_JPEG/20200606_160027.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200607_37/1591527202660d4dxO_JPEG/20200606_160249.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200607_213/15915272015740q9PM_JPEG/20200606_160519.jpg?type=f287']"
5,"청축 유선키보드를 꽤 오래 사용하다가 책상 정리가 필요해 예전에 쓰던 저렴이 블루투스 키보드를 사용을하니 키감이 영 거슬리더군요. 이것 저것 알아보던 중 호감이 생겨 구매를 했습니다. 결정적인 계기는 불필요한 라이트를 제거하고 건전지를 넣어서 사용기간이 길어진 것입니다.

청축에 비해 타격감이 부드러워 적응을 하긴 해야겠지만 뚜렷한 오타 없이 잘 쳐지네요. G1-6키 위치때문에 불만을 표하는 분들이 많던데 저도 처음에는 ESC나 컨트롤 누를 때 혼동이 있을 수 있겠더라구요. 그렇지만 애초에 경쾌(?), 격하게(?)키보드를 쓰는 편이 아니라 대부분이 사무용으로 사용하기 때문에 적응하는데 아무 문제가 없을 것 같습니다. 동봉된 태블릿 스탠드도 너무 좋습니다.

여러모로 기분 좋게 사용을 잘 할 것 같습니다. ^^",['https://phinf.pstatic.net/checkout/20200627_7/1593228759566kglgx_JPEG/6D39C596-5313-4EA5-B4B9-3764A413BA3E.jpeg?type=f287']
5,"매크로 기능 및 팜레스트 때문에 구입하게 되었습니다.
일단 매크로 기능은 마우스 기능까지 매크로로 구동이 가능하기에 생각보다 게임이나 다양한 활동에 실용적이네요. 그리고 팜레스트로 인해 확실히 기존에 쓰던 키보드보다 손목이 훨씬 편합니다. 루프는 .. 기대이상입니다. 깔끔하게 정리도 되고 먼지도 안쌓여서 좋습니다.","['https://phinf.pstatic.net/checkout/20200910_240/1599711462289F7tXB_JPEG/review-attachment-45916426-f16b-479f-bee4-9966da7fac0b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200910_243/1599711462208arXR3_JPEG/review-attachment-1157458e-20c3-4dd5-b1b5-685cf8ba6e6d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200910_81/15997114622454vS9R_JPEG/review-attachment-b602e134-ccde-4058-a238-c3f04517b695.jpeg?type=f287']"
