star_point,comment,photo
5,"첫 출시됐을때부터 보고 있었는데요 가격이 좀 비싼편이고 해서 망설이다가 결국안샀습니다 그리고 적축 청축 이렇게 되어있는게 아니고 택타일 리니어 이런식으로 되어있어서
헤깔리기도 했구요 저는 로지텍 출시된 키보드 마우스는 수십개를 사본사람입니다
마우스도 g903, g pro 부터 그전제품까지 다 써보고 최신버젼은 다가지고 있구요
키보드도 커세어부터 razer제품 로지텍도 왠만한 제품은 다 써봤습니다
청축 , 적축, 은축, 갈축 다 써봤구요 되게 깐깐하게 평가하는 스타일은 아니지만
청축은 안씁니다 적축이나 갈축쪽을 좋아하는데요
기계식 키보드에 무선까지 되는 적축 갈축 무선키보드는 거의 없습니다
유명한제품중에는 로지텍이 거의 유일했고 얼마전에 razer에서 31만원짜리가 무선 기계식 키보드가 나오긴했는데 한글프린팅이 안되어있습니다
고민중에 이제품이 싼가격에 나왓고 택타일이라서 보니까 갈축이라고 생각하면되더군요
갈축을 제일 좋아해서 바로 샀습니다

택배는 이틀만에 왔고 아마도 기계식 무선 키보드 중에 제일 가볍지 않나 싶네요
소음은 그냥 갈축보다는 약간 덜나는거같긴한데 사무용으로
쓰시면 아마 상대방이 거슬려 할꺼같습니다

옆에 매크로키는 거슬린다고 하는분 많은거같은데 제가 g613도 가지고 있는데
그제품은 크기도 커서 상당히 거슬리고 매크로키를 치는경우도 종종있는데
이제품은 별로 거슬리지않았습니다 매크로키를 잘못치는경우도 별로 없었고요
배터리가 30시간이라고 별로라고 하시는분 많던데 g903써보신분은 아시겠지만
배터리가 상당히 오래갑니다 그리고 1분정도 입력안하면 자동으로 절전들어가서
배터리소모를 최소화하고요 저는 지금 3일내내 쉬면서 컴퓨터를 했는데 아직 배터리가 50%남았습니다 전체적으로 20만원초반가격이면 이만한 키보드도 없을꺼같네요

단점은 최대의 단점인데 키보드의 단점은 아직모르겟고 로지텍 as가 참 거지같습니다 제가 몇번받아봤는데 커피쏟거나 버튼파손되거나하면 as자체가 안됩니다 유상으로도 안해줍니다 그게 최대의 단점입니다",['https://shopping-phinf.pstatic.net/20201109_23/733808d2-dcae-4bbf-a46e-bf6332eaa67f.jpg?type=f287']
5,"정말 몇달을 사고싶어서 보았던 것..
일렉트로마트가서 리니어 버전으로 타자 쳐보고 몇달간 리니어만 생각했다가
우연히 다나와 검색끝에 택타일이 싸게 판매하시는 것을 보았어요.
가격적 메리트에 안살 수가 없었죠
지금 그것으로 쓰고 있는데, 멤브레인보다도 더 조용한거같아요
주로 사무 공간에서 사용하다보니, 다소 조용하면서 키감이 편하고, 손목이 부담안가는 ( 키보드를 많이쓰는 환경에 살아서, 자주 손목이 아팠어요 그래서 어쩔 수 없이 멤브레인 그것도 노트북처럼 낮은 것만 썼거든요 )
그런 걸 원했는데, 음.. 진짜 편하고 좋아요. 정말 말해뭐해입니다.

사람들이 function키 불편하시다고 하는데, 저는 조금만 쓰면 익숙해질거같아요 ㅎㅎ tab키를 쓸때에 조금 헷갈리지만, 컨트롤 키는 그렇게 방해받는 느낌이 아니네요.
정말 추천드리구싶어요 짱 좋습니다.",['https://shopping-phinf.pstatic.net/20201104_27/907fc679-20ee-465b-b553-7c985d125d6d.jpg?type=f287']
5,"남친 선물로 구매함 와 진짜 일단 하자라고 꼽자면 한글안써져잇는건데 어짜필 독수리 타자아닌이상 다외우고 사니깐 쓸만함 ㅋㄷ 배송은 4일걸림 정확히 ㅋㅋ
2주이상 걸릴까바 걱정햇는데 해배인데 총알이고 이정도면 씹ㅅㅌㅊ 진짜 개봉하자마자 영롱그자체.. 하..
저세상 클릭키임 청축인데도 불구하고 부드러움 ,,아무튼간에 진짜 꼭사세여 !!!! ㄹㅇ 개좋음 !!
p.s 남자친구 로지텍 에디션도 올려봣어요 ㅎㅎ
남친 이렇게 컴터방 꾸며주면그날로부터 우대받고 살수잇삼 ㅎㅎ","['https://phinf.pstatic.net/checkout/20201023_124/16034241411646WDT3_JPEG/review-attachment-af836c4c-df58-4c8d-938f-f0002cbe6b99.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201023_102/1603424162631QTASV_JPEG/review-attachment-15a5eb24-2ff5-4a53-bfd7-e318829e7c8c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201023_300/16034242356625U4Ei_JPEG/review-attachment-69c172bf-5292-4f72-9f64-c9639a4c41c1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201023_33/1603424252015FWuB7_JPEG/review-attachment-defa8a4f-1b70-4357-8377-14bdd0385bac.jpeg?type=f287']"
5,"일단 너무나도 가볍고 쓰기가 편합니다. 아름다운것도 큰 장점이고요. 기존 기계식에서는 느끼지 못한 아주 좋은 느낌입니다. 메크로키는 평균 이상의 공간지각 능력을 갖추고 있다면, 전혀 불편하지 않습니다. 저의 블로그 리뷰를 인용하면

로지텍 G913의 아름다운 소리를 느껴보라. G913은 로우 프로파일 기계식 스위치라는 로지텍이 직접 만든 기계식 스위치다. 아주 느낌이 좋다. 과거에 회사를 다닐 때는 무접점 키보드를 사용했는데, 그것과 비교도 안 될 정도로 키감이 좋다. 매우 쫀득쫀득한 느낌이다. 거기다 키보드가 매우 얇기 때문에 손목의 무리가 적다. 참으로 좋은 장점으로 써보면 확실하게 느낄 것이다. 그리고 왼쪽의 G키가 헷갈린다는 사람들이 있는데, 음.... 나는 그런 적이 없다. 이건 개인차가 큰 거 같다. 본인이 머리가 어느 정도 좋고 공간지각 능력이 평균 이상이라면 아무런 문제도 없을 것이다.

나의 경우 게임을 안 하기 때문에 반응 속도가 큰 상관은 없지만 확실하게 느끼는 것은 다른 기계식 키보드들 보다 반응속도가 빠르게 느껴진다. 그리고 오른쪽 상단의 볼륨 크기를 조절하는 스크롤바도 매우 좋다. 써보면 진짜 편하다. 그리고 이렇게 예쁘고 때문에 컴퓨터로 글을 자주 쓰고 싶게 된다는 장점이 있다. 직업이 작가인 내게는 아주 좋은 점이다.",['https://phinf.pstatic.net/checkout/20200623_249/1592893503874pUF1y_JPEG/%B4%D9%BF%EE%B7%CE%B5%E5.jpg?type=f287']
5,제가 딱 원하던 키보드였는데 그동안 가격이 부담스러워 구입 못하고 있다가 이번 기회에 구입했네요. 원래 다른 기계식 키보드 쓸 때에도 갈축이 취향이었기 때문에 마침 딱 택타일이기도 했구요. 실제로 받아보니 포장도 고급스럽고 기계식치고는 얇고 RGB 불 들어오는 것도 좋네요. 아무래도 기계식이라 보기보다 묵직한 건 있고 옆에 G키들이 단점이긴 합니다만 개인마다 적응하기에 따라서 큰 문제는 아닐 거구요. 암튼 만족스럽습니다.,"['https://shopping-phinf.pstatic.net/20201115_19/690f0678-9e5a-4a7f-b331-432fd2999495.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201115_18/7bc2d947-c1e4-40f0-9416-4e81b03cf36a.jpg?type=f287']"
5,배송도 빨랐고 키보드가 이쁘게 잘 나왔네요ㅋ 근데 제품을 개봉하고 보니깐 아주 약간에 찍힘이 있던데 이런건 교환이 안되겠죠?^^;; 별거 아닌데 그부분만 계속 보여서 신경이 쓰인다는ㅋ 그리고 포장에 신경 좀 쓰셨으면 하네요. 키보드/마우스/헤드셋 같이 주문했는데 한박스에 뽁뽁이도 없이 배송이 됐던데 포장에 신경 좀 쓰셨으면 합니다^^,"['https://shopping-phinf.pstatic.net/20200825_10/898cfe9c-19ae-4917-a55b-c236059e6a4d.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200825_9/e08a2a04-1f3b-46d5-b7a3-d4b28e19f6f8.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200825_25/6b002291-fa73-4d70-a105-833d7c948931.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200825_4/7adfcda5-25aa-4e9a-a0c9-92ac1bfd8f89.jpg?type=f287']"
5,"2월 219,000에 할인하는거 하루 놓쳐서 2달넘게 기다리다가 너무 가지고 싶어서 그냥 삿어요
키감도 너무 좋고 3가지 버전 전부 실물로 생각해보고 골랐습니다
클릭키가 청축이라 많이 시끄러울수도 있다고 하던데 생각했던거 보다 시끄러운건 없구요 G키 또한 익숙해지기 어렵다는 이야기가 많은데 똥손인 제가 하루만에 익숙해지는걸보면 과장이 많은거 같습니다
와이프는 로지텍 크래프트 생일선물로 사줬어요
드디어 mx master2s랑 와이프는 로지텍 버티컬 마우스+크래프트로 더욱 삶에 질이 올라가는 컴퓨터 생활을 할수있는거같아요 아주만족스럽습니다","['https://phinf.pstatic.net/checkout/20200423_259/1587651325805Ghnkb_JPEG/20200422_233947.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200423_228/1587651325638gCrSL_JPEG/20200422_233935.jpg?type=f287']"
5,"g913 g933s g903 함께구매 했고 지금껏 썻던 제품들중에 단연 탑입니다
특히 키보드는 고급진 정도가 아니라 엄청납니다
마우스야 당연히 말할것 없고 헤드셋도 이가격에 이정도라니 라는 생각이듭니다 (모비우스 3d등등 많은것을 경험했지만 무선이 최고라는 생각이드네요 특히 마이크 넣다뺐다하는게 너무 센스있습니다)
키보드마우스도 커세어 제품이든 레이저제품이든 같은 로지텍이든 프리미엄 라인업을 경험해봤지만 단연 이제품들이 최고의 만족감을 주네요 주문하자마자 로지텍측에선 배송을 바로해줬지만 cj이가 너무 밀려서 4일정도 걸렸습니다 로지텍 배송은 정말 빠릅니다",['https://phinf.pstatic.net/checkout/20201016_119/1602816344436SgbfE_JPEG/review-attachment-e2b95611-51b6-4bd1-83e8-fa8f0ec6a05a.jpeg?type=f287']
5,"크흐 무친 클릭감...
남자친구랑 일렉트로마켓 같이 갔다가 너무 좋아하길래 서프라이즈로 생일선물을 이걸로 샀어요
구성품도 넘 좋아요
간지터지는 어둠의다크니스블랙 텀블러랑
마우스모양 유이스비 넘 기여워요 ㅋㅋㅋ 유에스비는 제가 갖게요 비밀로해야지 홀홀
30만원 어치를 할지는 모르겠지만 알아서 잘쓰게죠머 암튼 누를때는 여태까지 눌렀던 키보드 들을 쌉 쓰레기로 만들어버리는 클라스를 보여줍니다.
굿이에용",['https://phinf.pstatic.net/checkout/20200730_22/1596092567892gdTem_JPEG/review-attachment-9278642a-0c15-42bd-83e3-4953144c87b6.jpeg?type=f287']
3,"현재 키보드로 작성중입니다. 먼저 배송에 대해서 말씀드리면, 쇼킹딜로 물건이 나와서 주문량이 폭주해서 어려움이 있었다는 것은 이해할 수 있으나, 사전에 충분히 고지하지 않은 점이 아쉬웠습니다. 두 번째로, 누가봐도 상품이 개봉되었었다는 것입니다. 무려 정가 30만원하는 제품이 개봉의 흔적이 있다는 것이었습니다(사진 포함). 어차피 쓰다보면 중고제품이 되는 것은 당연하지만, 이 부분도 아쉬웠습니다. 저의 경우에는 쇼킹딜로 저렴하게 단순개봉상품 샀다고 생각하려고 합니다. 세 번째로, G913이라는 제품의 퀄리티입니다. 상품이 휘어져있다는 평을 몇개 보았는데, 제 제품도 실제로 그러했습니다. 상당히 당황스러웠지만, 금속제품으로 온도에 따라 팽창하기 쉽다는 점을 감안해도 30만원의 제품이 휘어져있다는 것이 놀라웠습니다. 이 부분은 손으로 반대로 휘어주니까 잡혔습니다.(그럼에도 불구하고 싸구려도 아니고 이게 뭐하는 짓인지 하면서 했습니다.) 그 외에는 훌륭합니다. 기계식 키보드의 고질적인 문제가 스프링 소리와 함께 통울림이 있는데, 이건 진짜 통이라는 것이 없는 것 같은 느낌입니다. G613는 거의 이게 악기인가? 할 정도인데, 이건 진짜 대박입니다. , 레오폴드 저소음 적축에서 넘어온 바로는 . 그리고 G613에서는 동그란 버튼이 딱딱한 느낌이었는데 이건 좀 물렁물렁 아쉽습니다. 무엇보다 디자인이 잘 빠지고 무선이라는 것이 좋습니다. 끝으로 다른 구매자분은 개봉도 안되어있고 휨도 없는 좋은 녀석으로 뽑길 바라겠습니다...",[]
