star_point,comment,photo
5,"일단 디자인이 너무 예쁘네요.
작업하려고 샀는데 제 메인 키보드가 될것 같습니다.
GHUB연동해서 마우스와 LED 이펙트를 공유할수도 있고 키에 기능을 할당할수도 있네요.
키보드 우측상단에 있는 볼륨조절휠은 처음 돌려봤을때 너무 무게감이 없어서 많이 아쉬웠습니다.
소음을 싫어해서 적축을 구매했는데 타건감또한 나쁘지 않았습니다.
디자인 측면에서는 영어만 LED가 들어오는게 훨씬 깔끔해 보였어요. 다만 제가 가끔 한글자판을 보고쳐서...
몇분간 사용하지 않을때는 자동적으로 LED가 꺼지는데 이게 유선일때도 적용되네요. 유선연결일때는 계속 켜져있었으면 좋겠어요.
USB리시버를 키보드에 장착할수 있는 공간이 있어서 . 빼먹더라도 블루투스연결을 지원해서 대용으로 사용해도 되고 두개다 연결해서 왔다갔다 사용도 가능할것 같습니다만 아직 해보지는 않았습니다.
충전할때나 완충됬을때 알려주는 초록색 LED가 조금 신경쓰이기는 합니다.
배송도 빨랐고 커다란 에어캡에 꼼꼼히 포장해주셔서 박스도 상처하나 없었습니다.
전체적으로 상당히 만족합니다. 다음달에 하나 더 구매해서 그때는 업무용으로 사용하겠습니다.","['https://phinf.pstatic.net/checkout/20200625_219/15930843010778Xx1C_JPEG/20200625_200326_806.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200625_206/1593084315218G9yzI_JPEG/20200625_201242_930.jpg?type=f287']"
4,비싼것빼고 마음에 드는 제품. 원래 흰색 쓰고있었는데 세일한다고 하길래 회사용으로 하나 더 구매했습니다~ 근데 흰색이랑 버튼 감촉이 다르네요. 검은색은 더 미끌미끌한 느낌입니다. 리니어축으로했는데 마음에 듭니다. 사은품 보온병은 안에 이상한 사인펜으로 그어진 자국이 있어서 못 쓸거같아요 교환되는지 궁금하네요,"['https://shopping-phinf.pstatic.net/20201121_10/01aaed91-8a6a-4bf9-bf2a-3ef498fc3b0c.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201121_25/b2cd0d82-8bb1-4818-aff0-c8f757ed2a70.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201121_16/c95213ec-b354-43a0-9c27-af7e6b88c964.jpg?type=f287']"
5,잘 받아서 며칠 사용해보니 무선임에도 끊김없이 입력되네요. 처음엔 한영키 눌러도 작동을 안하고 alt키 본연기능만 하길래 제품고장인줄 착각했습니다. 윈도우10에서 106키를 101키로 바꿔야지 한영키 제대로 작동합니다. 텀블러 사은품 잘 받았습니다.,"['https://shopping-phinf.pstatic.net/20201124_20/46a14f31-a923-488d-8077-8188aea17674.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201124_7/53818562-ffce-4dbc-989c-844a98107a1b.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201124_0/e806fbd6-be8d-4c6b-b319-a328c889722f.jpg?type=f287']"
5,"현재 무선 게이밍키보드의 수요는 정말 많지만 다양한 모델이 존재하지 않는다고 생각해요
많은 분들이 무선이면서 usb 수신되어 게이밍이되고, 텐키리스인 제품을 찾았을거라 생각되는데요! 이제품은 확실히 그 니즈를 해결해주는 것같아요. 진짜 예쁘고 사은품으로 온 커버도 너무 이쁘고, 다만 키감에 경우 로우프로파일+리니어 조합은 호불호가 많이 갈릴것같아요. 거의 멤브레인에 가까운 느낌이 들었달까요. 대신 통울림도 없고 타이핑하면 뭔가 창밖에 비내리는 소리 나는 거 같아 좋고 진짜 조용하더라구요. 가격만 좀 딱20만원이엇으면 좋앗을것같네요. 배송은 2일만에 왔어요 그저께 늦은 밤에 시켯는데 오늘왓어요 개빨라용","['https://phinf.pstatic.net/checkout/20200703_136/1593766850256S6vnp_JPEG/review-attachment-dbf902a3-49f6-463b-bd5f-c1a8f787165e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200703_118/1593766866777D8NTr_JPEG/review-attachment-c4237df8-63a2-47ee-98ec-e6348072a5f2.jpeg?type=f287']"
5,키감이 촉촉하고 좋네요. 지프로쓰다가 쓰니까 키가 낮아서 적응이잘안됏는데초반엔 써보니 너무좋네요 무선인거랑 라이팅과.. 먼지 보호용 뚜껑만있으면좋겠어요. 그리고 키꽂는부분이 작아서 키캡이 다가려줘서 먼지털때 키캡뽑고닦기만하면될거같애서 괜춘하네요,"['https://phinf.pstatic.net/checkout/20200717_171/1594946706599Nc22a_JPEG/review-attachment-325294e3-f3c3-4d33-abf1-27336b548e01.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200717_181/15949467175623cbPh_JPEG/review-attachment-2f1d03cd-5f99-4f7f-8a03-8d6e1e9df32b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200717_75/1594946726588Fx9sn_JPEG/review-attachment-012a8f75-82f9-44d1-852f-6b22d776c31f.jpeg?type=f287']"
5,"g913의 단점인 매크로 버튼을 깔끔하게 해결한 제품!!!
원하는 그대로 나와서 만족합니다.
볼륨 버튼을 그대로 유지해서 편리성도 그대로 왔네요
진작에 나왔어야할 제품입니다
블루투스 전환도 빠르게 되고요 무선 리시버는 여전히
빠릿빠릿합니다.
다만 아쉬운것은 충전단자를 usb c타입을 적용해줬으면
더 좋았을것 같습니다
개인적으로 충전단자 위치도 왼쪽보다는 오른쪽에 있었으면 좋았늘 텐데 그것은 개인차이니까 단점이라고 볼
수는 없겠네요
사무용 겸용으로 사용하셨던 분이라면 텐키리스가 어색할텐데 게임용으로 사용하면 이것도 편리성이 최고입니다. 마우스와의 거리가 짧아지기 때문에 최상의 편리성을 제공해줍니다
미디어 버튼도 딱 있을것만 있어서 군더더기 없고 위치도 사용하기 편리한 위치에 있어요. 텐키리스의 장점인 크기 덕분에 책상이 깨끗해졌습니다 개인적으로 로지텍 제품만 사용하는데 기존의 913에서 불편했던 내용이 사라져 앞으로도 계속 로지텍 제품만 쓸것 같네요
913에 조금 실망하셨던 분이라면 반드시 선택해야 합니다",[]
5,"K70 로우프로파일 1년 6개월쓰다
겜용 텐키리스 하나 구매할까 싶었는데
마침 출시해서 구매하게 됐어요
10시간 정도 쭉 사용후기
키캡 표면 촉감이 좀 신기해요
분명 ABS인데 G pro 무선 표면 만지는 느낌이고 기름기가 거의 안묻네요?
커세어 제품은 만지자마자 조금씩 묻어났는데
그리고 탭키,캡스락,\(￦)키 밑에 에 스테빌이 있어요","['https://phinf.pstatic.net/checkout/20200612_99/1591954995231WIv23_JPEG/20200612_184222.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_243/1591956513621W8ilC_JPEG/20200612_190809.jpg?type=f287']"
5,"엌 여기도쓸수있군
마찬가지로 너무 영롱하고 제가원하는기능 다들어갔네요 마우스도좀 충전식으로 무선충전패드지원하고 블루투스전환이 상단에 존재하는거 나왔으면 30만원이어도 바로지를듯
이 키보드는 로지텍 로고가 빛나는걸보고 가슴이 웅장해지다못해 남자인데도불구하고 c컵이되었습니다",['https://phinf.pstatic.net/checkout/20201031_237/1604138939052I0pG0_JPEG/review-attachment-2164fe19-67f1-4c26-8c6f-82b8d65db0e0.jpeg?type=f287']
4,다 좋은데 키별로 바인딩은 지원안하네요 한두푼짜리도 아닌데 FN키 조합으로 기능지정도 못하고... 오직 상단 펑션키 12개만 커스텀 가능하고 독보적인 무선 안정성때문에 사긴했지만 거품이 많이낀건 부정 못하겠네요 하지만 스위치 튜닝은 게임용으로 역대최고네요. 온갖 축을 다 써봤지만 압력도 적당하고 도달거리가 가장짧아서 직관적이고 연타하기 좋고 볼륨조절하는건 걸리는게 없이 돌아가서 딱딱 정확하게는 못하지만 편하긴하네요. 루프도 고급스럽고 만족합니다.,['https://phinf.pstatic.net/checkout.phinf/20200703_19/1593745030981JXdAW_JPEG/bcbeb71f9884e49033ad41923cc8bca9.jpeg?type=f287']
5,영롱합니다.. 집에서 작동해보니 작동도 잘되구요 .. 무겁지는 않은데 안정감있고 갈축 처음써보는데 키감도 적응하니 나쁘지않네요. 아는사람이 사서 좋다고 추천해줘서 산건데 예전에는 루프덮개 주는곳도 있었다던데 .. 지금은 다들 안주나봅니다 아무튼 제품은 만족입니다.,['https://phinf.pstatic.net/checkout/20201007_207/1602050235601fK9U9_JPEG/review-attachment-17395094-fdb1-4d2b-a093-52f19b22a8ee.jpeg?type=f287']
5,"일단 G913 풀배열 모델을 쓰고 있었는데, 옆의 매크로 키 때문에 너무 불편해서 중고로 처분하고 G913 TKL 모델을 구입하였습니다.

곧 화이트 모델도 나온다고 했지만, 그냥 빨리 써보고 싶어서 Clicky 제품으로 주문했습니다.

일단 청축 계열의 걸림을 좋아하시는 분들은 무조건 Clicky 입니다. 풀배열 일 때 Tactile 썼는데, 확실히 쫀득거리는 키감은 Clicky 가 더 좋습니다. 그리고 일반 기계식 청축 (레이저의 녹축) 처럼 키압이 높지 않아서 손에 힘이 크게 들어가지 않습니다.

Tactile 타건하다가 Clicky 타건하면 ""어, 좀 무겁네"" 라고 느껴질 수 있는데 이후에 찾아오는 키감에서 모든걸 엎어버립니다.

Linear 는 안써봐서 모르겠는데, 저의 키 타입중에서 걸림이 없는 키감들을 별로 선호하지 않아서, 이번 고려대상에서 제외되었구요.

G913 풀배열에서는 상판 휨 문제가 있었는데, 이번 TKL 모델에서는 가로폭이 상대적으로 좁아서 그런지 상판 휨 문제는 없고,
키들이 흔들리는 느낌을 가끔씩 받긴 합니다.

그래도, 최고의 제품인 것 같습니다. 무선/키감/스피드 등등",[]
